Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.00048730884160807115,0.0011974462182433026,0.0,1.9375,1.9375
0.003250638698285928,0.0009230915465832514,0.0007853151998074397,0.0,2.5,2.5
0.0031319607237853143,0.0005467717690883713,0.0010087383064012708,0.0,0.9375,0.9375
0.0030726217365350055,0.00036346446300044633,0.0011743473772221616,0.0,0.0,0.0
0.0033915432854892138,0.00041293051197699465,0.0010929852802699877,0.0,0.0,0.0
0.00427894370130791,0.00034023702556630625,0.0012891498639084858,0.0,0.0,0.0
0.005500294323468085,0.00022360729125952487,0.00193923295783189,0.0,0.0,0.0
0.006366627624416327,0.0002222087263608253,0.0021107179666853115,0.0,0.0,0.0
0.0060960031999666865,0.0007072106739045796,0.00106327155259045,0.0,1.25,1.25
0.005669953823740333,0.0008973790277195809,0.0007454624777666385,0.0,2.0,2.0
0.00526714766250654,0.0005981713839492833,0.0009240649072222687,0.0,2.0,2.0
0.005326486649756846,0.00041529340819113726,0.001139447670313084,0.0,2.0,2.0
0.00526714766250654,0.00020114442529391396,0.0013504821725249731,0.0,2.0,2.0
0.005089130700755599,0.00011302650071400998,0.0015043364542612595,0.0,2.0,2.0
0.005029791713505292,5.664380040619105e-05,0.00157128459348426,0.0,2.0,2.0
0.00534922157193558,2.7806920825410684e-05,0.0015897644189342272,0.0,2.0,2.0
0.0069127369580425264,1.7791558546019944e-05,0.0015103026736308517,0.0,2.0,2.0
0.008773455581545972,2.0168908869866907e-05,0.0013993585186820436,0.0,2.0,2.0
0.009103418993245939,3.190837775528567e-05,0.0012342984527102044,0.0,2.0,2.0
0.00866299216465065,3.2991232629341256e-05,0.0012669941447740981,0.0,2.0,2.0
0.008425636215649415,2.8996563445198754e-05,0.0015697363992528668,0.0,1.375,1.375
0.007456161898732805,3.148415571609667e-05,0.0018484936178505048,0.0,1.0,1.0
0.005893297709313076,4.761133901393349e-05,0.001976069897919314,0.0,1.0,1.0
0.004531185403823027,9.442241368431473e-05,0.0018206116060724478,0.0,1.0,1.0
0.0034879946472871647,0.00022988544597585795,0.0014801871407665714,0.0,1.0,1.0
0.003250638698285928,0.0004477115514544382,0.0012151091340624044,0.0,1.0,1.0
0.0031319607237853143,0.0008346163828308078,0.0008238461392190573,0.0,1.625,1.625
0.0030726217365350055,0.0011133714765694804,0.0006051650433068641,0.0,2.0,2.0
0.0033915432854892138,0.0011611170041251541,0.0005639921300644523,0.0,2.0,2.0
0.00427894370130791,0.0009833717785449562,0.0006852964664287905,0.0,2.0,2.0
0.005500294323468085,0.0005330096827864749,0.0011304337400015547,0.0,2.0,2.0
0.0063750871857316,0.0004341261161915729,0.0013118813707196889,0.0,2.0,2.0
0.006281985529602826,0.0003628588031665794,0.0013732494213928455,0.0,0.75,0.75
0.005855936153376473,0.00017156803065928537,0.0016513285258200833,0.0,0.0,0.0
0.005453129992142678,7.031901881865737e-05,0.001888109201271794,0.0,0.0,0.0
0.0055124689793929855,2.3157972275511995e-05,0.0020421709914942975,0.0,0.0,0.0
0.0054296855083945435,1.0321188489626749e-05,0.002022139491184327,0.0,0.0,0.0
0.005275113030391737,8.739079616396111e-06,0.001924943955089645,0.0,0.0,0.0
0.005215774043141431,4.933175894859726e-06,0.0016913336690049993,0.0,0.625,0.625
0.00553520390157172,6.476226479129727e-06,0.0015257679191548056,0.0,1.0,1.0
0.00709871928767867,0.0,0.0015869345089019524,0.0,1.0,1.0
0.008781915142861247,1.2357616975196282e-06,0.0017832778705922348,0.0,1.0,1.0
0.009103418993245939,1.1527676627928503e-05,0.0019453136406032564,0.0,1.0,1.0
0.00866299216465065,1.60795500849684e-05,0.002067224806530984,0.0,1.0,1.0
0.008425636215649415,2.2376081262338974e-05,0.002071687914585883,0.0,1.625,1.625
0.007456161898732805,3.982973202990959e-05,0.0020417394303029394,0.0,2.0,2.0
0.005893297709313076,9.215910745150133e-05,0.001909280543188411,0.0,2.0,2.0
0.004531185403823027,0.00021438723622463536,0.0014883721894634423,0.0,2.0,2.0
0.0034879946472871647,0.0006048827421706393,0.0010695140547116245,0.0,2.0,2.0
0.003250638698285928,0.0009070978871240124,0.0007888380950432581,0.0,2.0,2.0
0.0031319607237853143,0.0009019394118667232,0.0007339681139197706,0.0,1.375,1.375
0.0030726217365350055,0.0009212852547699377,0.0006953237803884661,0.0,1.0,1.0
0.0033915432854892138,0.0009503182301626726,0.0006695011307932501,0.0,1.0,1.0
0.00427894370130791,0.0007743108846285168,0.0008100147998429663,0.0,1.0,1.0
0.005500294323468085,0.0004036246951008781,0.001395474841356552,0.0,1.0,1.0
0.0063750871857316,0.00032708699506670723,0.0015788282166815473,0.0,1.0,1.0
0.006281985529602826,0.0005630341503778846,0.0010735283105965348,0.0,1.0,1.0
0.005855936153376473,0.0006610668217782245,0.0009430215779446569,0.0,1.0,1.0
0.005453129992142678,0.0006141251377200919,0.0009436584181579575,0.0,1.0,1.0
0.0055124689793929855,0.0006640314449867613,0.0008450752309961198,0.0,1.0,1.0
0.0054296855083945435,0.0006964854714670609,0.0007709776762053461,0.0,1.0,1.0
0.005275113030391737,0.0007514487705943047,0.0007146038493733492,0.0,1.0,1.0
0.005215774043141431,0.0011056307876340318,0.0005276255433282504,0.0,1.625,1.625
0.00553520390157172,0.0011341527563305382,0.0005271443789561904,0.0,2.0,2.0
0.00709871928767867,0.0007030333229147643,0.0007899580317612334,0.0,2.0,2.0
0.008781915142861247,0.00026876438349454694,0.0013569770903176389,0.0,2.0,2.0
0.009103418993245939,0.0001784902669553945,0.0017376696060550825,0.0,2.0,2.0
0.00866299216465065,0.00018175246815488137,0.001674459683097103,0.0,2.0,2.0
0.008425636215649415,0.00019145955009947302,0.001590628482670145,0.0,2.0,2.0
0.007456161898732805,0.00022030859248935825,0.001479393302065849,0.0,2.0,2.0
0.005893297709313076,0.00046476666293492384,0.0011478951194457082,0.0,2.0,2.0
0.004531185403823027,0.000907787392476398,0.000711432668380952,0.0,2.0,2.0
0.0034879946472871647,0.0014010757776365267,0.0003839636277009924,0.0,2.0,2.0
0.003250638698285928,0.001661514053994454,0.0002882176327403874,0.0,2.0,2.0
0.0031319607237853143,0.0015514999357666027,0.00031945935935114874,0.0,1.375,1.375
0.0030726217365350055,0.0014725418672101652,0.00031870031313027144,0.0,1.0,1.0
0.0033915432854892138,0.0014418142970449672,0.0003135976501842458,0.0,1.0,1.0
0.00427894370130791,0.0012166614023567462,0.0004684287100268794,0.0,1.0,1.0
0.005500294323468085,0.000686024904857554,0.0008643597686874143,0.0,1.0,1.0
0.0063750871857316,0.0005320370409375519,0.0011210807298444368,0.0,1.0,1.0
0.006281985529602826,0.0008319728533789063,0.0007695689528415361,0.0,1.0,1.0
0.005855936153376473,0.0008201083648982731,0.0006872196091809735,0.0,1.0,1.0
0.005453129992142678,0.0006300215720368561,0.0007290266330431706,0.0,1.0,1.0
0.0055124689793929855,0.0004954839330281706,0.0007404353746498433,0.0,1.0,1.0
