Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.0,0.0023620861297522448,0.0,0.625,0.625
0.003250638698285928,6.440164376189612e-06,0.0022740480459113245,0.0,1.625,1.625
0.0031319607237853143,1.1562742420806153e-05,0.0027490485739981125,0.0,1.375,1.375
0.0030726217365350055,3.600398927882223e-05,0.002839412045931976,0.0,1.625,1.625
0.0033915432854892138,6.059009958919371e-05,0.0029049876237125776,0.0,2.0,2.0
0.00427894370130791,2.4344800683925614e-05,0.003285624737315766,0.0,0.75,0.75
0.005500294323468085,8.189870460128713e-06,0.0034416313233425534,0.0,0.625,0.625
0.006366627624416327,6.129462306439412e-05,0.0033372607631759624,0.0,2.25,2.25
0.0060960031999666865,7.072507793118867e-05,0.0032528424395434417,0.042375,2.375,2.375
0.005669953823740333,4.775291679333984e-07,0.0032538724359357017,0.258,1.375,1.375
0.00526714766250654,0.0,0.0037175406580075075,0.4795,1.625,1.625
0.005326486649756846,0.0,0.005119908328205434,0.6064375,1.375,1.375
0.00526714766250654,0.0,0.0064576493408886534,0.7081875,1.0,1.0
0.005089130700755599,0.00026766182569354504,0.0037505550292805077,0.7641875,1.625,1.625
0.005029791713505292,0.00022562774466019334,0.00026452131893218685,0.7283125,2.625,2.625
0.00534922157193558,0.0004255772883398375,0.0001445802334383406,0.5959375,3.625,3.625
0.0069127369580425264,0.0005055486668090012,0.00011465160167467183,0.265375,4.0,4.0
0.008773455581545972,0.0001665006009191316,0.0008102995890506698,0.0186875,4.0,4.0
0.009103418993245939,4.1081277168921195e-06,0.0041874184304175905,0.0,4.0,4.0
0.00866299216465065,1.2691845345663477e-07,0.0037040748052370696,0.0,3.375,3.375
0.008425636215649415,0.0,0.0038550935545089444,0.0,1.75,1.75
0.007456161898732805,0.0,0.003602926145308002,0.0,1.625,1.625
0.005893297709313076,0.0,0.003381529652347347,0.0,0.75,0.75
0.004531185403823027,0.0,0.0030942353028558045,0.0,0.0,0.0
0.0034879946472871647,0.0,0.0027636788370305858,0.0,0.0,0.0
0.003250638698285928,5.368672784880138e-06,0.00259986454546196,0.0,1.25,1.25
0.0031319607237853143,4.061892292107503e-05,0.0026438186971748504,0.0,2.625,2.625
