Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.0028657471197151316,4.003175414837538e-05,0.0,3.125,3.125
0.003250638698285928,0.003584677457016797,0.0,0.0,3.875,3.875
0.0031319607237853143,0.0047871228992661975,0.0,0.0,5.0,5.0
0.0030726217365350055,0.004603106359299915,0.0,0.0,4.375,4.375
0.0033915432854892138,0.004376907832319674,0.0,0.0,4.0,4.0
0.00427894370130791,0.00440527258518853,0.0,0.0,4.625,4.625
0.005500294323468085,0.0036986744796465992,0.0,0.0,5.0,5.0
0.006366627624416327,0.002641449932103694,0.0001356849864473399,0.0,3.75,3.75
0.0060960031999666865,0.0032311449822031964,3.992338606194381e-06,0.0,3.625,3.625
0.005669953823740333,0.003786478471898408,0.0,0.0,4.0,4.0
0.00526714766250654,0.004078070752229973,0.0,0.0,4.625,4.625
0.005326486649756846,0.00427136838800366,0.0,0.0,5.0,5.0
0.00526714766250654,0.004228800613053932,0.0,0.0,5.0,5.0
0.005089130700755599,0.0033982746158067656,0.0,0.0,3.75,3.75
0.005029791713505292,0.00367878375725314,0.0,0.0,4.25,4.25
0.00534922157193558,0.00437131908723804,0.0,0.0,5.625,5.625
0.0069127369580425264,0.0032839010521517453,0.0,0.0,4.75,4.75
0.008773455581545972,0.0022890911772161103,0.00020953748542512627,0.0,4.625,4.625
0.009103418993245939,0.0021052585449461906,0.00035858309969018275,0.0,5.0,5.0
0.00866299216465065,0.0018905748604547004,0.00039302181151861865,0.0,4.375,4.375
0.008425636215649415,0.0022267414182955514,0.00027035678493160607,0.0,4.625,4.625
0.007456161898732805,0.002639897848493727,0.00014585786093160871,0.0,5.0,5.0
0.005893297709313076,0.002908161366554259,0.00015740307952652544,0.0,4.375,4.375
0.004531185403823027,0.0037674048822361793,1.107209370270869e-06,0.0,4.625,4.625
0.0034879946472871647,0.003510956949315696,0.0,0.0,3.125,3.125
0.003250638698285928,0.003945118882777166,0.0,0.0,3.25,3.25
0.0031319607237853143,0.004838539401473612,0.0,0.0,4.0,4.0
0.0030726217365350055,0.005112301008088066,0.0,0.0,4.0,4.0
0.0033915432854892138,0.005640665925049081,0.0,0.0,4.625,4.625
0.00427894370130791,0.005103836286144091,0.0,0.0,4.375,4.375
0.005500294323468085,0.0030452943923005623,0.00018076059929985328,0.0,2.75,2.75
0.0063750871857316,0.003074061148016547,0.000170316779741279,0.0,3.25,3.25
0.006281985529602826,0.0042716021769300325,0.0,0.0,4.0,4.0
0.005855936153376473,0.004467171883451839,0.0,0.0,4.0,4.0
