Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.002495502392327315,0.00010252178934254708,0.0,3.25,3.25
0.003250638698285928,0.002979476930557189,0.0,0.0,2.75,2.75
0.0031319607237853143,0.0036225288989873874,0.0,0.0,2.625,2.625
0.0030726217365350055,0.004523473521267434,0.0,0.0,3.625,3.625
0.0033915432854892138,0.004378959579785031,0.0,0.0,3.375,3.375
0.00427894370130791,0.0037038428240964666,0.0,0.0,3.0,3.0
0.005500294323468085,0.0024321908973808553,0.00013596053143771002,0.0,2.375,2.375
0.006366627624416327,0.002276282757720407,0.00018157835544332156,0.0,2.625,2.625
0.0060960031999666865,0.0028116838732774696,0.00010484636378274642,0.0,2.375,2.375
0.005669953823740333,0.0031425617709681755,4.2307252836324034e-05,0.0,2.625,2.625
0.00526714766250654,0.003228791061020665,0.0,0.0,3.0,3.0
0.005326486649756846,0.0025958765019066976,6.149192297904494e-05,0.0,2.375,2.375
0.00526714766250654,0.002348020644846181,0.00011286479449432791,0.0,2.625,2.625
0.005089130700755599,0.002462883369776034,2.579930227831956e-05,0.0,3.0,3.0
0.005029791713505292,0.0021221859754046077,0.00019043802562561572,0.0,2.375,2.375
0.00534922157193558,0.0013684706718696902,0.00025172618986929945,0.0,1.375,1.375
0.0069127369580425264,0.0010237385662508096,0.00043466840870573156,0.0,1.625,1.625
0.008773455581545972,0.0005067302836760945,0.0009130101247648975,0.0,2.0,2.0
0.009103418993245939,0.0003271874808835841,0.0012667148433932597,0.0,2.0,2.0
0.00866299216465065,0.00032878096156552065,0.0012032095213344036,0.0,2.0,2.0
0.008425636215649415,0.0008293545557586683,0.0008734766555348235,0.0,3.25,3.25
0.007456161898732805,0.001042827748987616,0.0007048757818894518,0.0,3.375,3.375
0.005893297709313076,0.0011790190925089893,0.0005538454113737875,0.0,2.375,2.375
0.004531185403823027,0.001587354379133934,0.00032335153913797676,0.0,2.0,2.0
0.0034879946472871647,0.0024787712669873795,0.00012581756898482358,0.0,2.625,2.625
0.003250638698285928,0.0026193597427656666,0.0,0.0,2.375,2.375
0.0031319607237853143,0.002980354379128662,0.0,0.0,2.625,2.625
0.0030726217365350055,0.003328258448540871,0.0,0.0,3.0,3.0
0.0033915432854892138,0.002994815280777513,0.0,0.0,2.375,2.375
0.00427894370130791,0.002672679846548501,4.192086826365889e-05,0.0,2.625,2.625
0.005500294323468085,0.0023539869481392856,0.00015866120060238439,0.0,3.625,3.625
0.0063750871857316,0.0020170349866523913,0.0002346572219430509,0.0,3.375,3.375
0.006281985529602826,0.002385810235041696,5.834603574850618e-05,0.0,3.0,3.0
0.005855936153376473,0.0029817728468904754,4.905358842866956e-06,0.0,3.625,3.625
0.005453129992142678,0.002954253483209709,1.3361859995968917e-05,0.0,4.0,4.0
0.0055124689793929855,0.001984646323589466,0.0001695381951479188,0.0,3.375,3.375
0.0054296855083945435,0.0018631686523911135,0.00017882638420862933,0.0,3.625,3.625
0.005275113030391737,0.0015141985243366499,0.00021331998643229705,0.0,3.375,3.375
0.005215774043141431,0.0014852568761193942,0.00020055052353501162,0.0,3.625,3.625
0.00553520390157172,0.0006550314946155817,0.0006171100829111436,0.0733125,2.75,2.75
0.00709871928767867,3.563972974035283e-05,0.0016633155252569732,0.330375,2.0,2.0
0.008781915142861247,6.002383261008625e-06,0.0017181618712558801,0.1729375,2.0,2.0
0.009103418993245939,2.2400062115036607e-05,0.0017996313156234045,0.0,1.375,1.375
0.00866299216465065,2.5994436368949894e-05,0.0019124840795449575,0.0,1.0,1.0
0.008425636215649415,3.1421444690295956e-05,0.0019661416461477636,0.0,1.0,1.0
0.007456161898732805,3.719364522045209e-05,0.0020934696681949045,0.0,0.375,0.375
0.005893297709313076,0.00012509893043906228,0.001788462043234621,0.0,0.625,0.625
0.004531185403823027,0.0004108956532336226,0.0010185456328841828,0.0,1.0,1.0
0.0034879946472871647,0.00094884348374501,0.00047214757521755454,0.0,1.0,1.0
0.003250638698285928,0.0016368956498451028,0.00022580532782770976,0.0,1.625,1.625
0.0031319607237853143,0.0014526388492023092,0.0002630401301151044,0.0,0.75,0.75
0.0030726217365350055,0.0015963544983735878,0.00021764935019657355,0.0,0.625,0.625
0.0033915432854892138,0.0019193176880949723,0.0001372616353489027,0.0,1.0,1.0
0.00427894370130791,0.0014270023100981628,0.0003543161694098958,0.0,0.375,0.375
0.005500294323468085,0.0014651694485962477,0.0005260623515037867,0.0,1.25,1.25
0.0063750871857316,0.0013420853506088846,0.000613830173120842,0.0,1.375,1.375
0.006281985529602826,0.0019855653900059324,0.00028788892751394177,0.0,1.625,1.625
0.005855936153376473,0.002493069308620143,0.00010252137455242543,0.0,2.0,2.0
0.005453129992142678,0.0015744470688452052,0.00037245517199172853,0.0,0.75,0.75
0.0055124689793929855,0.0012903067489564407,0.0004331095234699624,0.0,0.625,0.625
0.0054296855083945435,0.0008646876275838156,0.0006041975318170883,0.0560625,1.0,1.0
0.005275113030391737,0.00012584566131605479,0.001717700637851637,0.3688125,0.375,0.375
0.005215774043141431,2.8161136225818945e-05,0.0015921420126123553,0.734375,0.0,0.0
0.00553520390157172,2.6805771608546112e-05,0.0010134569668923314,0.71625,1.25,1.25
0.00709871928767867,6.115647117868653e-05,0.0006943839071387697,0.5569375,2.0,2.0
0.008781915142861247,9.389044012602101e-05,0.0005636522137705582,0.1909375,2.0,2.0
0.009103418993245939,5.9010910109352945e-05,0.0006122321205874237,0.0,2.0,2.0
0.00866299216465065,9.14635568040082e-06,0.0010998813647529393,0.0,0.75,0.75
0.008425636215649415,1.0536002995329156e-07,0.0016193030797964202,0.0,0.0,0.0
0.007456161898732805,0.0,0.0019399596843242225,0.0,0.0,0.0
0.005893297709313076,9.94570858492372e-06,0.0021610874422491864,0.0,0.0,0.0
0.004531185403823027,3.1662820781307594e-05,0.002038919429273965,0.0,0.0,0.0
0.0034879946472871647,0.00012333300853660997,0.001885019964574231,0.0,0.0,0.0
0.003250638698285928,0.0002186009492825634,0.0017337155569034789,0.0,0.0,0.0
0.0031319607237853143,0.00047326985435973976,0.0013933394501047794,0.0,0.625,0.625
0.0030726217365350055,0.0005253669122719984,0.0013565925328147702,0.0,0.375,0.375
0.0033915432854892138,0.0005118245715022823,0.0014325023704453658,0.0,0.0,0.0
0.00427894370130791,0.0006097445824090918,0.0013580738679785317,0.0,0.625,0.625
0.005500294323468085,0.00032746351847708966,0.0018946633023261686,0.0,0.375,0.375
0.0063750871857316,0.00025708970240485146,0.0021315856036070876,0.0,0.0,0.0
0.006281985529602826,0.0004819372578044496,0.0017224422111342958,0.0,0.0,0.0
0.005855936153376473,0.0006259918990127059,0.001363447504434936,0.0,0.625,0.625
0.005453129992142678,0.00025846639528220346,0.0017763454330271303,0.0534375,0.375,0.375
0.0055124689793929855,2.962910907976795e-05,0.002122246282105721,0.339375,0.0,0.0
0.0054296855083945435,8.634122528198122e-06,0.0013813616570991119,0.667875,1.25,1.25
0.005275113030391737,4.986117969715336e-05,0.0010863348359543825,0.7766875,2.0,2.0
0.005215774043141431,0.0008275834284281836,0.0007609133271422251,0.7650625,3.25,3.25
0.00553520390157172,0.0006072333067954439,0.00012940984101434842,0.7175625,3.375,3.375
0.00709871928767867,0.0008878170480227718,7.783810563248985e-05,0.5601875,4.25,4.25
0.008781915142861247,0.0007077002456321047,1.8439681397738185e-05,0.194875,3.75,3.75
0.009103418993245939,0.0006512048647156045,4.027522966389259e-05,0.0,2.375,2.375
0.00866299216465065,9.30128785267725e-05,0.000504454233280917,0.0,2.625,2.625
0.008425636215649415,2.115507947102872e-05,0.0008515759188458824,0.0,1.75,1.75
0.007456161898732805,7.910442779109073e-06,0.0011333936190523384,0.0,1.625,1.625
0.005893297709313076,1.975882771022932e-06,0.0014660653128455755,0.0,0.75,0.75
0.004531185403823027,2.786584574884506e-06,0.001630941461228227,0.0,0.0,0.0
0.0034879946472871647,2.071857857507502e-05,0.001729395643780276,0.0,0.0,0.0
0.003250638698285928,4.199994150193639e-05,0.0018467328678247767,0.0,0.0,0.0
0.0031319607237853143,9.564281697828197e-05,0.001946983396302847,0.0,0.0,0.0
0.0030726217365350055,0.00011626280708649447,0.0019213069046024901,0.0,0.0,0.0
0.0033915432854892138,0.0001523160294595557,0.0018989089042648838,0.0,0.0,0.0
0.00427894370130791,0.00012008577118111167,0.0020351520894487793,0.0,0.0,0.0
0.005500294323468085,6.892197285194943e-05,0.00236652523553971,0.0,0.0,0.0
0.0063750871857316,6.594048993794818e-05,0.002478052477315808,0.0,0.0,0.0
0.006281985529602826,0.0001419485925140588,0.0023148293936854553,0.0,0.0,0.0
0.005855936153376473,0.00011756119173388025,0.002268225484249728,0.0166875,0.0,0.0
0.005453129992142678,1.560127917577804e-05,0.0020567649419686233,0.13875,0.0,0.0
