Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,4.5596638734862495e-05,0.0038653154679223994,0.0,1.75,1.75
0.003250638698285928,5.492996064434173e-05,0.003511906110106257,0.0,1.625,1.625
0.0031319607237853143,4.980574372490484e-05,0.0031585407260758484,0.0,2.625,2.625
0.0030726217365350055,4.855758304318213e-05,0.002987904439317739,0.0,3.0,3.0
0.0033915432854892138,5.2893710925393204e-05,0.003013620563370589,0.0,3.0,3.0
0.00427894370130791,4.924881021074743e-05,0.0033618843347268134,0.0,3.0,3.0
0.005500294323468085,0.0009000792279705432,0.0,0.0,3.0,3.0
0.006366627624416327,0.0008781426665300232,0.0,0.0,3.625,3.625
0.0060960031999666865,0.0007892356887874171,0.0,0.0,3.375,3.375
0.005669953823740333,0.0007885770354630765,0.0,0.0,3.0,3.0
0.00526714766250654,0.0008649957822655706,0.0,0.0,3.0,3.0
0.005326486649756846,0.0010793523791150948,0.0,0.0,3.625,3.625
0.00526714766250654,0.0010215736657306436,0.0,0.0,2.75,2.75
0.005089130700755599,0.00123432161855056,0.0,0.0,4.5,4.5
0.005029791713505292,0.001012938973216833,0.0,0.0,4.75,4.75
0.00534922157193558,0.0010879880047880168,0.0,0.0,4.625,4.625
0.0069127369580425264,0.0010511729492073754,0.0,0.0,5.0,5.0
0.008773455581545972,0.0008834586141212007,0.0,0.0,5.0,5.0
0.009103418993245939,0.0008461115210687399,0.0,0.0,5.0,5.0
0.00866299216465065,0.0008615142480188145,0.0,0.0,5.0,5.0
0.008425636215649415,0.000742277812267553,0.0,0.0,4.375,4.375
0.007456161898732805,0.0008172387858479566,0.0,0.0,4.625,4.625
0.005893297709313076,0.00013612933709669788,0.003992562802055398,0.0,3.75,3.75
0.004531185403823027,2.6348550198795838e-05,0.005692321375896929,0.0,3.0,3.0
0.0034879946472871647,2.7566112479286004e-05,0.004362844681990753,0.0,3.625,3.625
0.003250638698285928,2.8701042725640705e-05,0.0036616808915646026,0.0,4.625,4.625
0.0031319607237853143,3.1074897457215376e-05,0.003465246658228241,0.0,4.375,4.375
0.0030726217365350055,2.9884938941433634e-05,0.003253862369203544,0.0,4.0,4.0
0.0033915432854892138,3.3502899403863654e-05,0.003122052337584747,0.0,4.625,4.625
0.00427894370130791,3.597842612897524e-05,0.003471649531702599,0.0,5.0,5.0
0.005500294323468085,0.0008221510490700278,2.573829524908519e-06,0.0,3.75,3.75
0.0063750871857316,0.0006846136217901605,1.2107115015087618e-05,0.0,3.625,3.625
0.006281985529602826,0.000626133140896684,3.254760916105546e-05,0.0,4.0,4.0
0.005855936153376473,0.0006071509471368618,4.2315953145949256e-05,0.0,3.375,3.375
0.005453129992142678,0.0006469548579313344,5.2306362173397965e-05,0.0,3.0,3.0
0.0055124689793929855,0.0006027913164973116,6.301500162613594e-05,0.0,3.0,3.0
0.0054296855083945435,0.0006358249490770264,5.323077633342159e-05,0.0,3.0,3.0
0.005275113030391737,0.0007795101980568046,6.685672780197584e-05,0.0,3.0,3.0
0.005215774043141431,0.0007116647626989708,7.100390976238043e-05,0.0,2.375,2.375
0.00553520390157172,0.0009302693339529378,7.133747228403244e-05,0.0,3.25,3.25
0.00709871928767867,0.000805949313597524,7.098436824348088e-05,0.0,2.75,2.75
0.008781915142861247,0.0008967504830086382,2.11317468421631e-06,0.0,3.25,3.25
0.009103418993245939,0.000770024110651319,0.0,0.0,3.375,3.375
0.00866299216465065,0.0007606900786051986,0.0,0.0,3.0,3.0
0.008425636215649415,0.0006900298867003182,5.534104672160998e-07,0.0,2.375,2.375
0.007456161898732805,0.0008187990765293398,5.4937968944009076e-08,0.0,3.25,3.25
0.005893297709313076,0.00016700928223967323,0.002745385815741958,0.0,3.375,3.375
0.004531185403823027,4.0991250407339274e-05,0.0041727476674197385,0.0,3.625,3.625
0.0034879946472871647,4.199126589857429e-05,0.003250634102844159,0.0,3.375,3.375
0.003250638698285928,4.274116210492595e-05,0.002970667706556088,0.0,3.0,3.0
0.0031319607237853143,4.6356205454960893e-05,0.0026571353707304643,0.0,3.625,3.625
0.0030726217365350055,4.651078609330877e-05,0.0025393118500023517,0.0,3.375,3.375
0.0033915432854892138,4.6717414432777904e-05,0.0026235769402597766,0.0,3.0,3.0
0.00427894370130791,4.3899562925571006e-05,0.0031074968872257832,0.0,2.375,2.375
0.005500294323468085,0.0008231604510984776,0.0,0.0,2.0,2.0
0.0063750871857316,0.0007117426644008095,5.039930822614898e-06,0.0,2.625,2.625
0.006281985529602826,0.0006949425229327947,2.9453871676883286e-05,0.0,3.625,3.625
0.005855936153376473,0.0005814186999436515,9.489141949407973e-05,0.0,3.375,3.375
0.005453129992142678,0.00033539826381117797,0.00022968733574940762,0.0,2.375,2.375
0.0055124689793929855,0.00040041385473768836,0.0002205219131774551,0.0,3.25,3.25
0.0054296855083945435,0.0002720342429306949,0.00027026700995031426,0.0,3.375,3.375
0.005275113030391737,0.00010449807525386995,0.0007333496851464903,0.0,1.125,1.125
0.005215774043141431,2.9821967820158365e-06,0.001990979676952494,0.0,0.0,0.0
0.00553520390157172,0.00029151117516481516,0.001652721482181952,0.0,0.0,0.0
0.00709871928767867,1.529221292992186e-05,0.0013520790231739853,0.0,2.5,2.5
0.008781915142861247,0.0,0.0020581913023326967,0.0,4.0,4.0
0.009103418993245939,0.0,0.003012022429772488,0.0,2.75,2.75
0.00866299216465065,0.0,0.0031205262962090154,0.0,2.0,2.0
0.008425636215649415,0.0,0.002886484928277191,0.0,2.0,2.0
0.007456161898732805,0.0,0.0024290434482960675,0.0,2.625,2.625
0.005893297709313076,2.069393526067939e-06,0.0017404731580240949,0.0,3.0,3.0
0.004531185403823027,7.025665670757789e-06,0.0013780655353192509,0.0,3.0,3.0
0.0034879946472871647,4.316860445255475e-06,0.0013950355268505033,0.0,1.75,1.75
