Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.0011353876027906124,0.002359911035141402,0.0,2.3125,2.3125
0.003250638698285928,0.0017350547322057739,0.002343495022927328,0.0,2.5,2.5
0.0031319607237853143,0.0012081039566977838,0.002579342195976454,0.0,0.9375,0.9375
0.0030726217365350055,0.0009078049727307637,0.0026198257201505105,0.0,0.0,0.0
0.0033915432854892138,0.001019973056952599,0.0024465587274348556,0.0,0.0,0.0
0.00427894370130791,0.0009346195347479367,0.0024728402385488096,0.0,0.0,0.0
0.005500294323468085,0.0006743528545725778,0.0027900851492634916,0.0,0.0,0.0
0.006366627624416327,0.0006461343232623056,0.0028293224289937025,0.018,0.0,0.0
0.0060960031999666865,0.000891788532361614,0.0023957130982927796,0.1336875,0.625,0.625
0.005669953823740333,0.0005651302061686765,0.002436124900361936,0.3208125,1.0,1.0
0.00526714766250654,0.00020961063654677213,0.0025345167696938322,0.3981875,1.0,1.0
0.005326486649756846,6.687845972115693e-05,0.002584288176545892,0.5390625,1.0,1.0
0.00526714766250654,3.702587341062615e-05,0.0029854121505284758,0.51925,1.0,1.0
0.005089130700755599,1.4733782268919347e-05,0.0039150433950324555,0.565625,1.0,1.0
0.005029791713505292,4.568145925876907e-06,0.004667167062191714,0.60675,1.0,1.0
0.00534922157193558,0.0,0.004487641894943731,0.478,1.0,1.0
0.0069127369580425264,0.0,0.0029463221503502747,0.036625,1.0,1.0
0.008773455581545972,0.0,0.0026729074411082753,0.0,1.0,1.0
0.009103418993245939,0.0,0.0028903750792015643,0.0,1.0,1.0
0.00866299216465065,0.0,0.002981845250527605,0.0,1.0,1.0
0.008425636215649415,7.830188616239538e-06,0.0031413902234053133,0.0,1.625,1.625
0.007456161898732805,4.047401594852111e-05,0.003190121998703846,0.0,2.0,2.0
0.005893297709313076,0.00016862051636278542,0.002921608697950688,0.0,2.0,2.0
0.004531185403823027,0.000407046112905252,0.0024802048258261,0.0,2.0,2.0
0.0034879946472871647,0.0007968320355771925,0.0021804439162746744,0.0,2.0,2.0
0.003250638698285928,0.0010676641921965983,0.0021382933208649695,0.0,2.0,2.0
0.0031319607237853143,0.0010017899039485802,0.00216369749486495,0.0,1.375,1.375
0.0030726217365350055,0.0010454925364985288,0.0021714263384535453,0.0,1.0,1.0
0.0033915432854892138,0.0011709293505618205,0.0021250660732657933,0.0,1.0,1.0
0.00427894370130791,0.0011290153325218166,0.0022024702373734132,0.0,1.0,1.0
0.005500294323468085,0.0008281414213857359,0.0024328685001852317,0.0,1.0,1.0
0.0063750871857316,0.0007725882749857957,0.0025050438909203043,0.015375,1.0,1.0
0.006281985529602826,0.0006241634605037792,0.0025395868583752124,0.0615,0.375,0.375
0.005855936153376473,0.0004371954345874145,0.002439198233316967,0.005125,0.0,0.0
