Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.012530261983146359,0.0,0.0,1.9375,1.9375
0.003250638698285928,0.014108382930442453,0.0,0.0,2.5,2.5
0.0031319607237853143,0.013990172087682043,0.0,0.0,2.1875,2.1875
0.0030726217365350055,0.014024149206640284,0.0,0.0,2.0,2.0
0.0033915432854892138,0.01432241978886912,0.0,0.0,2.0,2.0
0.00427894370130791,0.01415171817046499,0.0,0.0,2.0,2.0
0.005500294323468085,0.013388732180493454,0.0,0.0,2.0,2.0
0.006366627624416327,0.013035174142134181,0.0,0.0403125,2.0,2.0
0.0060960031999666865,0.010662755240316558,0.0,0.23175,1.375,1.375
0.005669953823740333,0.00764301640649245,4.507796016795471e-05,0.387125,1.0,1.0
0.00526714766250654,0.006254394535257271,0.00033376633792929814,0.39025,1.0,1.0
0.005326486649756846,0.007083484999721089,2.7611684128610357e-05,0.0305625,1.0,1.0
0.00526714766250654,0.0065393871598905815,7.388814906178408e-05,0.12,1.0,1.0
0.005089130700755599,0.004512163885887138,0.0010472326616644918,0.5690625,1.0,1.0
0.005029791713505292,0.005249019464968326,0.0005496991708687837,0.39625,1.625,1.625
0.00534922157193558,0.007268886435417039,2.467301898168831e-05,0.0296875,2.0,2.0
0.0069127369580425264,0.007946939079704389,0.0,0.0,2.0,2.0
0.008773455581545972,0.007391286418315479,0.0,0.0,2.0,2.0
0.009103418993245939,0.007300241496679816,0.0,0.0,2.0,2.0
0.00866299216465065,0.007842676711107808,0.0,0.0,2.0,2.0
0.008425636215649415,0.007326901017511863,0.0,0.0,1.375,1.375
0.007456161898732805,0.007305553569413169,0.0,0.0,1.0,1.0
0.005893297709313076,0.008514679605085607,0.0,0.0,1.0,1.0
0.004531185403823027,0.009732437961110892,0.0,0.0,1.0,1.0
0.0034879946472871647,0.010930208193198846,0.0,0.0,1.0,1.0
0.003250638698285928,0.011589858619641537,0.0,0.0,1.0,1.0
0.0031319607237853143,0.012082963361701941,0.0,0.0,1.0,1.0
0.0030726217365350055,0.012471696836533222,0.0,0.0,1.0,1.0
0.0033915432854892138,0.012655840329635463,0.0,0.0,1.0,1.0
0.00427894370130791,0.012372275285570718,0.0,0.0,1.0,1.0
0.005500294323468085,0.011516350381594147,0.0,0.0,1.0,1.0
0.0063750871857316,0.011175966884266284,0.0,0.02025,1.0,1.0
0.006281985529602826,0.011007826915082581,0.0,0.081,1.0,1.0
0.005855936153376473,0.010572273235638554,0.0,0.0525,1.0,1.0
0.005453129992142678,0.007828651299354982,6.5535866718616e-05,0.237,1.0,1.0
0.0055124689793929855,0.006093325223556567,0.00014627188426332452,0.2921875,1.0,1.0
0.0054296855083945435,0.00520849620674274,0.0003148563930243827,0.26175,1.0,1.0
0.005275113030391737,0.006195020217161493,2.5092524778634604e-06,0.0203125,1.0,1.0
0.005215774043141431,0.0076029825100923576,0.0,0.0,1.625,1.625
0.00553520390157172,0.00827225031505097,0.0,0.0,2.0,2.0
0.00709871928767867,0.008088246760946535,0.0,0.0,2.0,2.0
0.008781915142861247,0.007065835866653327,0.0,0.0,2.0,2.0
0.009103418993245939,0.006388615383297946,0.0,0.0,2.0,2.0
0.00866299216465065,0.006477544216444985,0.0,0.0,2.0,2.0
0.008425636215649415,0.006663638827892497,0.0,0.0,2.0,2.0
0.007456161898732805,0.006989045101835595,0.0,0.0,2.0,2.0
0.005893297709313076,0.007903755869704356,0.0,0.0,2.0,2.0
0.004531185403823027,0.008923854913434082,0.0,0.0,2.0,2.0
0.0034879946472871647,0.0100534926988952,0.0,0.0,2.0,2.0
0.003250638698285928,0.010679842939255542,0.0,0.0,2.0,2.0
0.0031319607237853143,0.011239327177309754,0.0,0.0,2.0,2.0
0.0030726217365350055,0.011847135834579268,0.0,0.0,2.0,2.0
0.0033915432854892138,0.012339371232840882,0.0,0.0,2.0,2.0
0.00427894370130791,0.01237426972308235,0.0,0.0,2.0,2.0
0.005500294323468085,0.011765541112556987,0.0,0.0,2.0,2.0
0.0063750871857316,0.011514955524205863,0.0,0.03,2.0,2.0
0.006281985529602826,0.010855410566389403,0.0,0.1719375,2.0,2.0
0.005855936153376473,0.009102110624464255,0.0,0.2850625,2.0,2.0
0.005453129992142678,0.007814975545829864,3.323692910440739e-05,0.2865625,2.0,2.0
0.0055124689793929855,0.008170350766207828,0.0,0.111875,2.0,2.0
0.0054296855083945435,0.006129414182393837,0.00038209549248125054,0.4588125,2.0,2.0
0.005275113030391737,0.005203454214553553,0.0007541055257540163,0.524625,2.0,2.0
0.005215774043141431,0.005026240675779315,0.0005807475951621333,0.3959375,2.0,2.0
0.00553520390157172,0.006139721818551019,9.196766607521383e-05,0.0301875,2.0,2.0
0.00709871928767867,0.006407345273217217,6.69344969575763e-07,0.0,2.0,2.0
0.008781915142861247,0.00601642298155928,9.026090674297239e-05,0.0,2.0,2.0
0.009103418993245939,0.005964987706989359,0.00010402472339525004,0.0,2.0,2.0
0.00866299216465065,0.00649430536964191,2.3370043249685163e-05,0.0,2.0,2.0
0.008425636215649415,0.008210005894546466,0.0,0.0,2.625,2.625
0.007456161898732805,0.009585571404259445,0.0,0.0,3.0,3.0
0.005893297709313076,0.010757665214514786,0.0,0.0,3.0,3.0
0.004531185403823027,0.011801539993601553,0.0,0.0,3.0,3.0
0.0034879946472871647,0.012811703990343424,0.0,0.0,3.0,3.0
0.003250638698285928,0.01334539198112445,0.0,0.0,3.0,3.0
0.0031319607237853143,0.013841498818646724,0.0,0.0,3.0,3.0
0.0030726217365350055,0.014398127486606908,0.0,0.0,3.0,3.0
0.0033915432854892138,0.01492831116263829,0.0,0.0,3.0,3.0
0.00427894370130791,0.015092657492286743,0.0,0.0,3.0,3.0
0.005500294323468085,0.014641689100439849,0.0,0.0,3.0,3.0
0.0063750871857316,0.014445671506137644,0.0,0.0496875,3.0,3.0
0.006281985529602826,0.013285074003400477,0.0,0.306,3.0,3.0
0.005855936153376473,0.010714176544365732,3.642865658397211e-05,0.556,3.0,3.0
0.005453129992142678,0.008866654805959018,0.00023872628413281366,0.612125,3.0,3.0
0.0055124689793929855,0.007872065240795157,0.000831026726240543,0.706375,3.0,3.0
0.0054296855083945435,0.007247717874654765,0.0009682788602294793,0.569125,3.0,3.0
0.005275113030391737,0.008147014673376602,0.000124246824266962,0.1351875,3.0,3.0
0.005215774043141431,0.008372999741825784,0.00014691156819803623,0.366,3.625,3.625
0.00553520390157172,0.010512107800982103,0.0,0.0305,4.0,4.0
0.00709871928767867,0.010797103996782298,0.0,0.0,4.0,4.0
0.008781915142861247,0.010184825495191454,0.0,0.0,4.0,4.0
0.009103418993245939,0.009932055294746549,0.0,0.0,4.0,4.0
0.00866299216465065,0.010348870047570177,0.0,0.0,4.0,4.0
0.008425636215649415,0.010835844995514194,0.0,0.0,4.0,4.0
0.007456161898732805,0.011312867223285596,0.0,0.0,4.0,4.0
0.005893297709313076,0.012358853948680488,0.0,0.0,4.0,4.0
0.004531185403823027,0.013434051989874045,0.0,0.0,4.0,4.0
0.0034879946472871647,0.01448975139638684,0.0,0.0,4.0,4.0
0.003250638698285928,0.015094169818575285,0.0,0.0,4.0,4.0
0.0031319607237853143,0.013452699547422944,0.0,0.0,2.75,2.75
0.0030726217365350055,0.01257612987445568,0.0,0.0,2.0,2.0
0.0033915432854892138,0.012955272016847813,0.0,0.0,2.0,2.0
0.00427894370130791,0.012920708111102868,0.0,0.0,2.0,2.0
0.005500294323468085,0.012279237915385339,0.0,0.0,2.0,2.0
0.0063750871857316,0.012037982292201193,0.0,0.0264375,2.0,2.0
0.006281985529602826,0.012274957986504586,0.0,0.10575,2.625,2.625
0.005855936153376473,0.011544715329112875,0.0,0.067125,3.0,3.0
0.005453129992142678,0.008322140272413932,0.0,0.23325,3.0,3.0
0.0055124689793929855,0.0087631602424054,0.0,0.0194375,3.0,3.0
0.0054296855083945435,0.008292954976594033,0.0,0.086625,3.0,3.0
0.005275113030391737,0.006353668893077841,0.00011058347344031123,0.3465,3.0,3.0
0.005215774043141431,0.0072970617473761485,0.0,0.028875,2.375,2.375
0.00553520390157172,0.00731933680504246,0.0,0.0,2.0,2.0
0.00709871928767867,0.007592123848179139,0.0,0.0,2.0,2.0
0.008781915142861247,0.006870660111178038,0.0,0.0,2.0,2.0
0.009103418993245939,0.0066405517330976925,0.0,0.0,2.0,2.0
0.00866299216465065,0.007176059366723209,0.0,0.0,2.0,2.0
0.008425636215649415,0.006791525963730527,0.0,0.0,1.375,1.375
0.007456161898732805,0.006864971900050457,0.0,0.0,1.0,1.0
0.005893297709313076,0.008003148260393651,0.0,0.0,1.0,1.0
0.004531185403823027,0.009164409012687847,0.0,0.0,1.0,1.0
0.0034879946472871647,0.010340133376816652,0.0,0.0,1.0,1.0
0.003250638698285928,0.010974403652030585,0.0,0.0,1.0,1.0
0.0031319607237853143,0.012656113233238129,0.0,0.0,1.625,1.625
0.0030726217365350055,0.01373552521655105,0.0,0.0,2.0,2.0
0.0033915432854892138,0.013883368030292265,0.0,0.0,2.0,2.0
0.00427894370130791,0.01358277317911448,0.0,0.0,2.0,2.0
0.005500294323468085,0.01270607984034925,0.0,0.0,2.0,2.0
0.0063750871857316,0.012243646515934197,0.0,0.02925,2.0,2.0
0.006281985529602826,0.011341209146132916,0.0,0.117,2.0,2.0
0.005855936153376473,0.010463813004956614,0.0,0.0735,2.0,2.0
0.005453129992142678,0.007459620061105005,5.7626526660211326e-05,0.3298125,2.0,2.0
0.0055124689793929855,0.006014487399559888,0.00029954093556881843,0.4045,2.0,2.0
0.0054296855083945435,0.005450347462778248,0.0004846860882996759,0.3609375,2.0,2.0
0.005275113030391737,0.007053281387184146,3.3758714764788404e-05,0.028,2.0,2.0
0.005215774043141431,0.009991062725769703,0.0,0.0,3.25,3.25
0.00553520390157172,0.011833062961506262,0.0,0.0,4.0,4.0
0.00709871928767867,0.012187410809748745,0.0,0.0,4.0,4.0
0.008781915142861247,0.011641057554036171,0.0,0.0,4.0,4.0
0.009103418993245939,0.011545323930354198,0.0,0.0,4.0,4.0
0.00866299216465065,0.012070420058347985,0.0,0.0,4.0,4.0
0.008425636215649415,0.010433388414690287,0.0,0.0,2.75,2.75
0.007456161898732805,0.009677089677966811,0.0,0.0,2.0,2.0
