Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.0038327811246567337,3.9230498918930906e-06,0.0,1.625,1.625
0.003250638698285928,0.004704370897477831,0.0,0.0,2.0,2.0
0.0031319607237853143,0.004674847920786001,0.0,0.0,1.375,1.375
0.0030726217365350055,0.005327869560655731,0.0,0.0,1.625,1.625
0.0033915432854892138,0.0058758532627579615,0.0,0.0,2.0,2.0
0.00427894370130791,0.004863630549180128,0.0,0.0,1.375,1.375
0.005500294323468085,0.0031003403690149835,0.00013237066607210368,0.0,0.375,0.375
0.006366627624416327,0.002590836478776829,0.00016384839637055164,0.0,0.0,0.0
0.0060960031999666865,0.003374309250898348,8.385531093396375e-05,0.0028125,0.0,0.0
0.005669953823740333,0.0031103130255927883,4.147737416342615e-05,0.0135,0.0,0.0
0.00526714766250654,0.003588203257753087,2.5565237347023147e-06,0.012,1.25,1.25
0.005326486649756846,0.0036521496244642975,0.0,0.013875,2.0,2.0
0.00526714766250654,0.0024635808756335634,0.0002059406128259937,0.0201875,1.375,1.375
0.005089130700755599,0.0023790508166619236,9.456203095833528e-05,0.0029375,1.625,1.625
0.005029791713505292,0.00232620928605533,6.127287619096245e-05,0.00525,2.0,2.0
0.00534922157193558,0.0021456250655626954,7.327590256358368e-05,0.0004375,2.0,2.0
0.0069127369580425264,0.0019164667283918249,0.00022236644581899738,0.0,2.0,2.0
0.008773455581545972,0.0008206255231798194,0.0008338075250682125,0.0,0.75,0.75
0.009103418993245939,0.0009694944507974737,0.0009273442949504844,0.0,1.25,1.25
0.00866299216465065,0.0011729220247406076,0.0007624638605519518,0.0,1.375,1.375
0.008425636215649415,0.0015772746413835503,0.0005704785743703044,0.0,1.625,1.625
0.007456161898732805,0.0016263107804691062,0.000537025501982303,0.0,1.375,1.375
0.005893297709313076,0.0014877925412166305,0.0005145136757450043,0.0,0.375,0.375
0.004531185403823027,0.002478723839995704,0.0002505914388855096,0.0,0.625,0.625
0.0034879946472871647,0.004194614216671345,3.777844376130898e-06,0.0,1.625,1.625
0.003250638698285928,0.0050213918193295695,0.0,0.0,2.0,2.0
0.0031319607237853143,0.004085819064426966,0.0,0.0,0.75,0.75
0.0030726217365350055,0.0035469239614093033,0.0,0.0,0.0,0.0
0.0033915432854892138,0.004876071092995988,0.0,0.0,1.25,1.25
0.00427894370130791,0.005198499664260913,0.0,0.0,2.0,2.0
0.005500294323468085,0.0041062372405738096,0.0,0.0,2.0,2.0
0.0063750871857316,0.0037086775691304746,0.0,0.0,2.0,2.0
0.006281985529602826,0.004334882519750365,0.0,0.0,2.0,2.0
