Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.00018234958363166914,0.0025982267099236666,0.0,1.5625,1.5625
0.003250638698285928,0.0004652398696880592,0.0022840709517600324,0.0,2.5,2.5
0.0031319607237853143,0.0007990050825829529,0.002051079340414106,0.0,2.8125,2.8125
0.0030726217365350055,0.001070084024871294,0.0017309776870265503,0.0,3.0,3.0
0.0033915432854892138,0.0012872439479008505,0.001487247706195765,0.0,3.0,3.0
0.00427894370130791,0.0012997935252378279,0.0014561447963326835,0.0,3.0,3.0
0.005500294323468085,0.001072420404463006,0.0017190301300340116,0.0,3.0,3.0
0.006366627624416327,0.0009467095475766508,0.0018240293934899433,0.0515625,3.0,3.0
0.0060960031999666865,0.0003058331945317527,0.003146174120981942,0.3016875,1.125,1.125
0.005669953823740333,3.839602465043556e-05,0.004220322296872086,0.515,0.0,0.0
0.00526714766250654,3.28584321220747e-06,0.004333093678471832,0.4960625,0.0,0.0
0.005326486649756846,1.2575903150870684e-05,0.0035554834373684382,0.0386875,0.0,0.0
0.00526714766250654,0.0,0.003129175712447249,0.0,0.0,0.0
0.005089130700755599,0.0,0.0026406506347222084,0.0,0.0,0.0
0.005029791713505292,0.0,0.0020277253850958564,0.0,1.25,1.25
0.00534922157193558,0.0,0.0017156955487064953,0.0,2.0,2.0
0.0069127369580425264,0.0,0.0017471339552028553,0.0,2.0,2.0
0.008773455581545972,0.0,0.0019480410905431847,0.0,2.0,2.0
0.009103418993245939,1.1453533983649062e-05,0.002236676338675738,0.0,2.0,2.0
0.00866299216465065,6.206867274282214e-06,0.002450340726008476,0.0,2.0,2.0
0.008425636215649415,7.388639780941399e-06,0.00285129744807752,0.0,0.75,0.75
0.007456161898732805,8.388058179379415e-06,0.00306527629688214,0.0,0.0,0.0
0.005893297709313076,1.2060701113408901e-05,0.00309654243516257,0.0,0.0,0.0
0.004531185403823027,2.40655083878471e-05,0.002950634953198453,0.0,0.0,0.0
0.0034879946472871647,6.33769828389738e-05,0.0028151135843289487,0.0,0.0,0.0
0.003250638698285928,0.00012076157922804029,0.0027883350357485077,0.0,0.0,0.0
0.0031319607237853143,0.00034024756151839137,0.0022117511323556625,0.0,1.875,1.875
0.0030726217365350055,0.0006092457183898297,0.0018383993480522685,0.0,3.0,3.0
0.0033915432854892138,0.0006917841711541758,0.0017538393389974235,0.0,3.0,3.0
0.00427894370130791,0.0006121897749593802,0.0017959303508267054,0.0,3.0,3.0
0.005500294323468085,0.0003790206060264573,0.0021118316059688244,0.0,3.0,3.0
0.0063750871857316,0.00031764547632376133,0.0021774908194603917,0.0,3.0,3.0
0.006281985529602826,0.0004302934765164867,0.0018947877039377336,0.0,3.0,3.0
0.005855936153376473,0.0003465425284754822,0.0018207530262499836,0.0,3.0,3.0
0.005453129992142678,0.00021666477709682353,0.0019003685985168168,0.0,3.0,3.0
0.0055124689793929855,0.00014419198888295545,0.0019468315852413038,0.0,3.0,3.0
0.0054296855083945435,8.07778357274096e-05,0.001892643937520713,0.0,3.0,3.0
0.005275113030391737,6.883448432859149e-05,0.001785023864331922,0.0,3.0,3.0
0.005215774043141431,4.8722642587567316e-05,0.0016611887904006075,0.0,3.0,3.0
0.00553520390157172,3.5643696163209535e-05,0.0015431851589312606,0.0,3.0,3.0
0.00709871928767867,1.094814491624199e-05,0.0015783221731607326,0.0,3.0,3.0
0.008781915142861247,2.3084582621245566e-06,0.0017374266683862843,0.0,3.0,3.0
0.009103418993245939,1.4264745939857188e-05,0.0018823772645414614,0.0,3.0,3.0
0.00866299216465065,1.8156541846596702e-05,0.001919881366469186,0.0,3.0,3.0
0.008425636215649415,1.6578606044279878e-05,0.002110536121521433,0.0,1.75,1.75
0.007456161898732805,1.6354941933099325e-05,0.002140021455286992,0.0,1.0,1.0
0.005893297709313076,2.8133235687688533e-05,0.002042485482944801,0.0,1.0,1.0
0.004531185403823027,7.447679594927021e-05,0.001860156553230557,0.0,1.0,1.0
0.0034879946472871647,0.00015540940214187556,0.001736095809190951,0.0,1.0,1.0
0.003250638698285928,0.0002415582398531495,0.001651476354526025,0.0,1.0,1.0
0.0031319607237853143,0.0004237690316601612,0.001424325479721086,0.0,1.625,1.625
0.0030726217365350055,0.000629255982401282,0.0012603018467707244,0.0,2.0,2.0
0.0033915432854892138,0.000749266085391655,0.00117472887113531,0.0,2.0,2.0
0.00427894370130791,0.0007257705806339654,0.0012588970755769615,0.0,2.0,2.0
0.005500294323468085,0.00048702443716555096,0.001640986850466267,0.0,2.0,2.0
0.0063750871857316,0.00045484630446136266,0.0017776470657428084,0.0178125,2.0,2.0
0.006281985529602826,0.0006379025329151068,0.0014203792554854954,0.07125,2.625,2.625
0.005855936153376473,0.0007373159373529892,0.0012049483524833428,0.0059375,3.0,3.0
0.005453129992142678,0.000386599099842717,0.0015619986792515038,0.051375,3.0,3.0
0.0055124689793929855,8.05871438488204e-05,0.0022026678124688827,0.2055,3.0,3.0
0.0054296855083945435,2.9765548485620512e-05,0.0019978837185563674,0.0799375,3.0,3.0
0.005275113030391737,2.290330138277676e-06,0.002140158958828455,0.31875,3.0,3.0
0.005215774043141431,0.0,0.00185905688943539,0.3659375,3.625,3.625
0.00553520390157172,0.0,0.0016346421043108115,0.3225,4.0,4.0
0.00709871928767867,2.0016251728636833e-07,0.0014596847982036355,0.025,4.0,4.0
0.008781915142861247,0.0,0.0017177582354031436,0.0,4.0,4.0
0.009103418993245939,0.0,0.0019539994463695755,0.0,4.0,4.0
0.00866299216465065,0.0,0.002093699694559387,0.0,4.0,4.0
0.008425636215649415,7.862268558916066e-06,0.002401063694842659,0.0,2.75,2.75
0.007456161898732805,1.1367039849484125e-05,0.002471195979971902,0.0,2.0,2.0
0.005893297709313076,2.1221911049057446e-05,0.0023632967595523073,0.0,2.0,2.0
0.004531185403823027,6.70586933223085e-05,0.0020594937162558514,0.0,2.0,2.0
0.0034879946472871647,0.00018451737862634673,0.001759373004568867,0.0,2.0,2.0
0.003250638698285928,0.00026883385650565254,0.0016143937131864975,0.0,2.0,2.0
0.0031319607237853143,0.00033758512126887054,0.00149623098608599,0.0,2.0,2.0
0.0030726217365350055,0.00041156667950008216,0.0014271356436087155,0.0,2.0,2.0
0.0033915432854892138,0.00044343461665013003,0.0013963073655833623,0.0,2.0,2.0
0.00427894370130791,0.00039523486151561314,0.0015337919572886048,0.0,2.0,2.0
0.005500294323468085,0.00023275559256891477,0.001932339551803874,0.0,2.0,2.0
0.0063750871857316,0.00018530312933036838,0.0020666873055317234,0.0,2.0,2.0
0.006281985529602826,0.000248407203717385,0.0017896048599197593,0.0,2.0,2.0
0.005855936153376473,0.0002054826657222169,0.0017477304839196373,0.0,2.0,2.0
0.005453129992142678,9.369045536134018e-05,0.0018227088941989288,0.0,2.0,2.0
0.0055124689793929855,2.9174217642784412e-05,0.0017820272195794623,0.0,2.0,2.0
0.0054296855083945435,6.566765679914212e-06,0.0016939570648962844,0.0,2.0,2.0
0.005275113030391737,1.0394584746203112e-05,0.0015295463056912457,0.0,2.0,2.0
0.005215774043141431,3.32189647471035e-06,0.001329062511955503,0.0,2.0,2.0
0.00553520390157172,1.7366498790765318e-06,0.0011921004384413962,0.0,2.0,2.0
0.00709871928767867,1.525709469805325e-06,0.0012577787283960553,0.0,2.0,2.0
0.008781915142861247,0.0,0.0014561928550600126,0.0,2.0,2.0
0.009103418993245939,5.889614637804678e-06,0.001690053795420103,0.0,2.0,2.0
0.00866299216465065,4.81685559150662e-06,0.0018310822849247287,0.0,2.0,2.0
0.008425636215649415,8.920727584186914e-06,0.001963023539521921,0.0,2.0,2.0
0.007456161898732805,1.2167565115368674e-05,0.0019696209970817944,0.0,2.0,2.0
0.005893297709313076,1.915819250506478e-05,0.0018865897953295348,0.0,2.0,2.0
0.004531185403823027,6.665916957589713e-05,0.0017288402970932109,0.0,2.0,2.0
0.0034879946472871647,0.0001749915345984296,0.0015951681742208555,0.0,2.0,2.0
0.003250638698285928,0.00028641601547733816,0.001464224399908177,0.0,2.0,2.0
0.0031319607237853143,0.0007424087791428739,0.0011199598026400313,0.0,3.25,3.25
0.0030726217365350055,0.0010875051415021077,0.0009103720065659109,0.0,4.0,4.0
0.0033915432854892138,0.0011440069022149643,0.000842526237434078,0.0,4.0,4.0
0.00427894370130791,0.001016682119983088,0.0009399209261124054,0.0,4.0,4.0
0.005500294323468085,0.0006375366249874638,0.0012486958317748308,0.0,4.0,4.0
0.0063750871857316,0.0005425369790961796,0.0013228877793823742,0.0,4.0,4.0
0.006281985529602826,0.000822792244644205,0.001053539765907462,0.0,4.0,4.0
0.005855936153376473,0.0008739353907446452,0.0009465274140084569,0.0,4.0,4.0
0.005453129992142678,0.0007823069632106384,0.0009945203324561928,0.0,4.0,4.0
0.0055124689793929855,0.0007426287584593412,0.0009889353147352162,0.0,4.0,4.0
0.0054296855083945435,0.0007348672810772299,0.0009062403379066398,0.0,4.0,4.0
0.005275113030391737,0.0008190092958697199,0.0008347308912666108,0.0,4.0,4.0
0.005215774043141431,0.0011470298002130511,0.0006938746859116906,0.0,4.625,4.625
0.00553520390157172,0.0012539870670925774,0.0006530920646118894,0.0,5.0,5.0
0.00709871928767867,0.000954103605720558,0.0008327517572694923,0.0,5.0,5.0
0.008781915142861247,0.0004646793721134927,0.0011736142615502612,0.0,5.0,5.0
0.009103418993245939,0.0002989321179611294,0.0014491303106919894,0.0,5.0,5.0
0.00866299216465065,0.00032520437889982194,0.0013735377452168327,0.0,5.0,5.0
0.008425636215649415,0.00014882691566021523,0.0017779141033220675,0.0,3.125,3.125
0.007456161898732805,9.285031497428452e-05,0.0019529983783207212,0.0,2.0,2.0
0.005893297709313076,0.00017640878098828145,0.0016199634210179524,0.0,2.0,2.0
0.004531185403823027,0.00035371578240286206,0.0011972388415267688,0.0,2.0,2.0
0.0034879946472871647,0.0007487076725362388,0.0008315585132462818,0.0,2.0,2.0
0.003250638698285928,0.0009273831414916602,0.000690093496362341,0.0,2.0,2.0
0.0031319607237853143,0.0012057499054152112,0.0005499825884470313,0.0,2.625,2.625
0.0030726217365350055,0.001428948884368204,0.00042404488272130295,0.0,3.0,3.0
0.0033915432854892138,0.001410728930223404,0.0004320830078612776,0.0,3.0,3.0
0.00427894370130791,0.0011701190920363044,0.0005743183066606104,0.0,3.0,3.0
0.005500294323468085,0.0006327317342838699,0.000939491214574567,0.0,3.0,3.0
0.0063750871857316,0.000470175814511366,0.001067998354620258,0.0,3.0,3.0
0.006281985529602826,0.0005976326748560369,0.0009321268620381633,0.0,2.375,2.375
0.005855936153376473,0.000543314139963205,0.0009056372379458972,0.0,2.0,2.0
0.005453129992142678,0.00043460143598190553,0.0009792379130178957,0.0,2.0,2.0
0.0055124689793929855,0.0004200170505446457,0.000957258816366596,0.0,2.0,2.0
0.0054296855083945435,0.0003876573687500692,0.0009110966685429701,0.0,2.0,2.0
0.005275113030391737,0.00037079938303209286,0.0008586673861536687,0.0,2.0,2.0
0.005215774043141431,0.0003726482090867576,0.0008028842210708951,0.0,2.0,2.0
0.00553520390157172,0.00026554764049298947,0.0009024018719242223,0.0,2.0,2.0
0.00709871928767867,0.00011179604638866729,0.0011515054978887063,0.0,2.0,2.0
0.008781915142861247,2.267508782815658e-05,0.0014817234628881535,0.0,2.0,2.0
0.009103418993245939,2.9412879757813703e-05,0.0016592189296236555,0.0,2.0,2.0
0.00866299216465065,3.298820202429309e-05,0.0017247527927734187,0.0,2.0,2.0
0.008425636215649415,0.0001220714507273376,0.0015445631642799274,0.0,3.25,3.25
0.007456161898732805,0.0002251847685744637,0.0013148216090323338,0.0,4.0,4.0
