Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.0009488438950740588,0.0013695081613149386,0.0,0.75,0.75
0.003250638698285928,0.0009483101327549273,0.001067885201729328,0.0,1.25,1.25
0.0031319607237853143,0.0010346897931894014,0.000824280668959883,0.0,2.0,2.0
0.0030726217365350055,0.002525941897157184,0.0004993553184257077,0.0,5.125,5.125
0.0033915432854892138,0.0040392878698937195,0.00023454067254207866,0.0,7.625,7.625
0.00427894370130791,0.001872439852003674,0.0006694912533193105,0.0,3.625,3.625
0.005500294323468085,0.0007161326785861587,0.0011684656624143903,0.0,2.25,2.25
0.006366627624416327,0.0011058349465905802,0.0009534488174570318,0.001125,3.625,3.625
0.0060960031999666865,0.0016159670953809502,0.00064777226594508,0.0045,4.0,4.0
0.005669953823740333,0.002501462889793487,0.0004056620987935698,0.0185625,5.875,5.875
0.00526714766250654,0.0015043709123150413,0.0008212037722933592,0.11325,5.125,5.125
0.005326486649756846,0.0007039301218542841,0.0015003106488288523,0.253375,4.0,4.0
0.00526714766250654,0.0005417869814065818,0.0018217135567824589,0.493875,4.0,4.0
0.005089130700755599,0.0009228421307622527,0.0017400806662852379,0.7188125,5.875,5.875
0.005029791713505292,0.0008073072916219272,0.0016715650323903858,0.6938125,6.375,6.375
0.00534922157193558,0.0005978750627764148,0.001557726135350758,0.4929375,6.0,6.0
0.0069127369580425264,0.0006251042384612072,0.0015109360630375399,0.0395625,5.375,5.375
0.008773455581545972,0.0005368943181683351,0.0018519892080212336,0.0,5.0,5.0
0.009103418993245939,0.00042967048573247274,0.002149629211956645,0.0,4.375,4.375
0.00866299216465065,0.0003699745947419027,0.0022715355561356253,0.0,3.375,3.375
0.008425636215649415,0.0006275477841143251,0.0020077658323279955,0.0,3.625,3.625
0.007456161898732805,0.000953770303054278,0.001651897084165478,0.0,4.0,4.0
0.005893297709313076,0.0011968974971775202,0.0014256008366561996,0.0,3.375,3.375
0.004531185403823027,0.0012810262265448616,0.0012688154694340155,0.0,2.375,2.375
0.0034879946472871647,0.0017861206054804936,0.0010227025353942779,0.0,2.0,2.0
0.003250638698285928,0.0018588212084195027,0.0008499248498941152,0.0,1.375,1.375
0.0031319607237853143,0.0016212929623833218,0.000960558731294412,0.0,0.375,0.375
0.0030726217365350055,0.0016373849358166201,0.0008316707455701085,0.0,0.0,0.0
0.0033915432854892138,0.0018516637060591902,0.0007371858907794487,0.0,0.0,0.0
0.00427894370130791,0.0017265080604574627,0.0007514874872568242,0.0,0.0,0.0
0.005500294323468085,0.001762936414712726,0.0007814330852166352,0.0,0.625,0.625
0.0063750871857316,0.0015261397332217857,0.0009787348751683369,0.0,0.375,0.375
0.006281985529602826,0.001696468808413365,0.0008240834444612121,0.060375,0.625,0.625
0.005855936153376473,0.0009244320600251841,0.0018720820978392597,0.336375,1.0,1.0
0.005453129992142678,0.0007055154155558361,0.0024901423250312396,0.529375,1.625,1.625
0.0055124689793929855,0.000661155938033795,0.002506524946048025,0.695375,2.0,2.0
0.0054296855083945435,0.000961478313448028,0.002316605191382712,0.7638125,3.25,3.25
0.005275113030391737,0.0008362329310914846,0.002270747727096133,0.748375,3.375,3.375
0.005215774043141431,0.000643174503897597,0.0021203802857800917,0.6951875,3.625,3.625
0.00553520390157172,0.000594838383667159,0.0019569113939647068,0.49575,4.0,4.0
0.00709871928767867,0.0006410469820779114,0.0018188577888118582,0.042,4.0,4.0
0.008781915142861247,0.0003719765203822682,0.0022071719246461283,0.0,3.375,3.375
0.009103418993245939,0.00018817801433822622,0.002679886424434071,0.0,2.375,2.375
0.00866299216465065,0.0001499443018055346,0.002902952511142908,0.0,1.375,1.375
0.008425636215649415,0.00013242816686530543,0.0028561775243383615,0.0,1.0,1.0
0.007456161898732805,0.000265723966670566,0.0027852105026824727,0.0,1.0,1.0
0.005893297709313076,0.0007120235334866424,0.002242579494094268,0.0,1.625,1.625
0.004531185403823027,0.0011632264851310892,0.0016557809132520048,0.0,2.0,2.0
0.0034879946472871647,0.0015573015915953568,0.0013126497499761254,0.0,2.0,2.0
0.003250638698285928,0.0014580837677285693,0.0012946337759963792,0.0,1.375,1.375
0.0031319607237853143,0.0010967075166949786,0.0014042383230302299,0.0,0.375,0.375
0.0030726217365350055,0.0015595544139257805,0.0010906623124612967,0.0,1.25,1.25
0.0033915432854892138,0.0013502107890246788,0.0011669624681356666,0.0,0.75,0.75
0.00427894370130791,0.0008035872440649582,0.0014587454743038542,0.0,0.0,0.0
0.005500294323468085,0.0008663343186216084,0.0014153626527707071,0.0,1.25,1.25
0.0063750871857316,0.0008514080077279122,0.001473553840003318,0.0,1.375,1.375
0.006281985529602826,0.0013835933380939162,0.0010266395087726238,0.0,1.625,1.625
0.005855936153376473,0.002183203174226988,0.0006322945784827528,0.0,2.625,2.625
0.005453129992142678,0.0020643857207315944,0.0006256829762414714,0.0,2.375,2.375
0.0055124689793929855,0.0014464584443024265,0.0007639153856850331,0.0,1.375,1.375
0.0054296855083945435,0.001887695447229637,0.0005597085669538483,0.0,2.25,2.25
0.005275113030391737,0.0024268342540813698,0.00036174608407575794,0.0,3.0,3.0
0.005215774043141431,0.002218234509138755,0.0003646560323192119,0.0,2.375,2.375
0.00553520390157172,0.0024107434839773564,0.0003115923355042773,0.0,2.625,2.625
0.00709871928767867,0.002599219319509605,0.00028543003569475925,0.0,3.625,3.625
