Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.0,0.003001102853960845,0.0,1.9375,1.9375
0.003250638698285928,0.0,0.0025086280983155273,0.0,2.5,2.5
0.0031319607237853143,0.0,0.002700255210968083,0.0,0.9375,0.9375
0.0030726217365350055,0.0,0.0027383168905307353,0.0,0.0,0.0
0.0033915432854892138,0.0,0.0026805863019963064,0.0,0.0,0.0
0.00427894370130791,0.0,0.002893565450276449,0.0,0.0,0.0
0.005500294323468085,0.0,0.0033489302682794117,0.0,0.0,0.0
0.006366627624416327,0.0,0.003624181320612637,0.036,0.0,0.0
0.0060960031999666865,0.0,0.003908925065612747,0.144,0.0,0.0
0.005669953823740333,0.0,0.003773329606739996,0.012,0.0,0.0
0.00526714766250654,0.0,0.0046428199696902156,0.088125,0.0,0.0
0.005326486649756846,0.0,0.007291420863777331,0.451125,0.0,0.0
0.00526714766250654,7.778245099249097e-05,0.006770074123600695,0.53075,0.0,0.0
0.005089130700755599,0.0001510209093462944,0.0003404982561315141,0.460375,0.0,0.0
0.005029791713505292,0.0004656422668391534,8.469472994928457e-05,0.163875,0.0,0.0
0.00534922157193558,0.0006949852600121075,0.005328926093122594,0.6020625,0.0,0.0
0.0069127369580425264,0.0006877588509155443,0.004528818664967602,0.399,0.0,0.0
0.008773455581545972,0.0004476922856496724,0.00446567135194239,0.0296875,0.0,0.0
0.009103418993245939,0.0002643219160672874,0.003992626976183791,0.0,0.0,0.0
0.00866299216465065,0.00035263118150831804,0.0020474396754859743,0.0,0.0,0.0
0.008425636215649415,0.0002813117588943095,0.00023439098897232033,0.0,0.625,0.625
0.007456161898732805,5.549152457491742e-05,0.0011706944875960307,0.0,1.0,1.0
0.005893297709313076,9.664205701438162e-06,0.008378075953758592,0.0,1.0,1.0
0.004531185403823027,0.0,0.006081577979448861,0.0,1.0,1.0
0.0034879946472871647,0.0,0.004818883049065329,0.0,1.0,1.0
0.003250638698285928,0.0,0.004198163923849037,0.0,1.0,1.0
0.0031319607237853143,0.0,0.004037738706620177,0.0,0.375,0.375
0.0030726217365350055,0.0,0.003791405384231569,0.0,0.0,0.0
0.0033915432854892138,0.0,0.003563069307210329,0.0,0.0,0.0
0.00427894370130791,0.0,0.003688442294570394,0.0,0.0,0.0
