Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.004060574251572687,8.787427248760115e-05,0.0,3.375,3.375
0.003250638698285928,0.004497471437282978,3.559254562051309e-05,0.0,3.625,3.625
0.0031319607237853143,0.004170510049036832,2.5261005326461966e-05,0.0,3.375,3.375
0.0030726217365350055,0.00420503922311659,5.595115721252454e-05,0.0,3.0,3.0
0.0033915432854892138,0.004282647369057097,5.51778983715893e-06,0.0,3.0,3.0
0.00427894370130791,0.0035391655679123603,6.800321863814423e-05,0.0,2.375,2.375
0.005500294323468085,0.0024742156118985744,0.00024171503594364618,0.0,2.0,2.0
0.006366627624416327,0.0023081486764518267,0.00035453451688436917,0.0,2.0,2.0
0.0060960031999666865,0.002424810248940612,0.00031278474080003056,0.0,1.375,1.375
0.005669953823740333,0.0022614875258965017,0.0002508345533254843,0.007125,1.625,1.625
0.00526714766250654,0.001926205318355223,0.00038775041275093555,0.061875,2.625,2.625
0.005326486649756846,0.002311613079945227,0.0004967925268383026,0.1919375,4.875,4.875
0.00526714766250654,0.0024692656213383657,0.0007057359384408778,0.3128125,6.625,6.625
0.005089130700755599,0.0016872564554281846,0.00125616126045508,0.4454375,5.75,5.75
0.005029791713505292,0.0012127791020519522,0.001556796537688432,0.574625,5.0,5.0
0.00534922157193558,0.0012703854375304118,0.0013645912678973571,0.36225,5.0,5.0
0.0069127369580425264,0.0013640484541989097,0.0010670616227078412,0.0269375,4.375,4.375
0.008773455581545972,0.0011064392926897352,0.0012035238109979096,0.0,4.0,4.0
0.009103418993245939,0.0006166996454331912,0.001688217314953889,0.0,2.75,2.75
0.00866299216465065,0.00027881419589018575,0.002436143945781397,0.0,0.75,0.75
0.008425636215649415,0.0004797240302169797,0.0018870135343114667,0.0,1.25,1.25
0.007456161898732805,0.0011621891226854342,0.0011098956596042354,0.0,2.625,2.625
0.005893297709313076,0.0008952779165663084,0.001225313321178169,0.0,1.125,1.125
0.004531185403823027,0.002148926289570161,0.0005218593931920945,0.0,2.5,2.5
0.0034879946472871647,0.0035318423588266337,0.0001211516602185224,0.0,3.375,3.375
0.003250638698285928,0.004087605728023106,5.8666562702380436e-05,0.0,3.625,3.625
0.0031319607237853143,0.004858603387451835,1.3076421893578666e-05,0.0,4.625,4.625
0.0030726217365350055,0.005095802693104807,0.0,0.0,5.0,5.0
0.0033915432854892138,0.004557838021104991,0.0,0.0,4.375,4.375
0.00427894370130791,0.004207833248665905,6.146028010799527e-05,0.0,4.625,4.625
0.005500294323468085,0.00421525267532674,4.700711785229044e-05,0.0,6.25,6.25
0.0063750871857316,0.003906918666585091,5.415530628725117e-05,0.0,6.375,6.375
0.006281985529602826,0.0041698010632177695,4.314448099788502e-05,0.0,6.0,6.0
0.005855936153376473,0.004005407811194705,3.306729413373138e-05,0.0,6.0,6.0
0.005453129992142678,0.0028705652501430463,0.00013392314720344104,0.0189375,5.375,5.375
0.0055124689793929855,0.002160117844442424,0.0003947989469224841,0.123,5.625,5.625
0.0054296855083945435,0.0019557963952941786,0.0007188180657292386,0.2759375,6.625,6.625
0.005275113030391737,0.0014955322800711554,0.0012318088404504085,0.460875,6.375,6.375
0.005215774043141431,0.0014726135839849936,0.0014020412398176862,0.5993125,6.625,6.625
0.00553520390157172,0.0012424210733760661,0.0012837999621677127,0.368625,5.75,5.75
0.00709871928767867,0.00128227574632598,0.0010589532711600164,0.0273125,5.0,5.0
0.008781915142861247,0.0008792318788422258,0.0011896295336409565,0.0,4.375,4.375
0.009103418993245939,0.00034834532111772335,0.0018241303418337757,0.0,2.75,2.75
0.00866299216465065,0.00025332394536909563,0.0019449349848955273,0.0,2.0,2.0
0.008425636215649415,0.0005698568723139994,0.00153233191294071,0.0,2.625,2.625
0.007456161898732805,0.00062088498991296,0.001447013213342987,0.0,2.375,2.375
0.005893297709313076,0.000604604859899527,0.0013486834340018848,0.0,1.375,1.375
0.004531185403823027,0.0012367947064091823,0.0008481799261689999,0.0,1.625,1.625
0.0034879946472871647,0.002145235210545949,0.000394090153043131,0.0,2.0,2.0
0.003250638698285928,0.0024067100504136974,0.00024472963370055986,0.0,2.0,2.0
0.0031319607237853143,0.0025818665795353697,0.00020284062362236282,0.0,2.0,2.0
0.0030726217365350055,0.003151507679983149,0.00012233724661383334,0.0,2.625,2.625
0.0033915432854892138,0.002278332551871882,0.0002753200653427213,0.0,1.125,1.125
0.00427894370130791,0.0025671332282634117,0.00021164798350439628,0.0,1.875,1.875
0.005500294323468085,0.0029625921545556664,0.00015682747523700275,0.0,3.625,3.625
0.0063750871857316,0.002550600080537883,0.00028578118671048435,0.0001875,3.375,3.375
0.006281985529602826,0.0023968764045731532,0.0002803998612642755,0.005625,2.375,2.375
0.005855936153376473,0.001848877388045221,0.0003340684784762914,0.0244375,2.0,2.0
0.005453129992142678,0.0016077512688392234,0.0004343951673198323,0.021125,2.625,2.625
0.0055124689793929855,0.0013483433647795916,0.000441515606513759,0.001625,2.375,2.375
0.0054296855083945435,0.0014152749247855318,0.00040339259174380037,0.0,3.25,3.25
0.005275113030391737,0.002213353442877071,0.0002988428333574204,0.0,5.875,5.875
0.005215774043141431,0.0028817824072011004,0.0003357487157054909,0.082875,6.375,6.375
0.00553520390157172,0.0032305762285748498,0.0005035676012299636,0.3315,6.625,6.625
0.00709871928767867,0.005021663881355817,0.00025889335632657014,0.027625,8.25,8.25
0.008781915142861247,0.006351863140115063,3.485541884950342e-07,0.0,8.375,8.375
0.009103418993245939,0.007031172405258488,0.0,0.0,8.625,8.625
0.00866299216465065,0.008659214341754038,0.0,0.0,9.625,9.625
0.008425636215649415,0.010552080123820267,0.0,0.0,10.625,10.625
0.007456161898732805,0.011080645359130524,0.0,0.0,10.375,10.375
0.005893297709313076,0.011327329340122259,0.0,0.0,9.375,9.375
0.004531185403823027,0.012358060887441603,0.0,0.0,9.0,9.0
0.0034879946472871647,0.0114159879992512,0.0,0.0,7.125,7.125
0.003250638698285928,0.010660819934264178,0.0,0.0,6.0,6.0
0.0031319607237853143,0.012507020235313127,0.0,0.0,7.25,7.25
0.0030726217365350055,0.011485729312478425,0.0,0.0,6.125,6.125
0.0033915432854892138,0.008828254402431327,0.0,0.0,3.75,3.75
0.00427894370130791,0.0068077657647914475,0.0,0.0,2.375,2.375
0.005500294323468085,0.006146175036721306,0.0,0.0,2.625,2.625
0.0063750871857316,0.004903614912349242,1.4316925689822557e-05,0.0,1.75,1.75
0.006281985529602826,0.006199607496163368,3.420829202071897e-07,0.0,2.25,2.25
0.005855936153376473,0.0061272280730602586,0.0,0.0635625,3.0,3.0
0.005453129992142678,0.00562244269292504,7.059283449891279e-05,0.361125,4.875,4.875
0.0055124689793929855,0.005866353087323723,0.0004896010252931492,0.589125,6.625,6.625
0.0054296855083945435,0.0054564771661686,0.0011667616120466643,0.7329375,7.0,7.0
0.005275113030391737,0.004181198561813257,0.0018098701046215233,0.7124375,5.75,5.75
0.005215774043141431,0.005400463906507905,0.0011618781346815394,0.6225,7.5,7.5
0.00553520390157172,0.005979381842787239,0.0004895500965515513,0.376375,7.75,7.75
0.00709871928767867,0.006297143097961744,0.00012427021045961924,0.0279375,7.0,7.0
0.008781915142861247,0.004924595000212415,0.00023068675118759788,0.0,5.75,5.75
0.009103418993245939,0.003941473631488549,0.0003619582949832764,0.0,5.0,5.0
0.00866299216465065,0.00521846296711467,0.00014471034701386338,0.0,6.25,6.25
0.008425636215649415,0.006108772661758211,4.0613738940526266e-05,0.0,7.0,7.0
0.007456161898732805,0.00682837032437642,2.4283186479836713e-06,0.0,7.625,7.625
0.005893297709313076,0.006146157886793881,3.476767083237468e-05,0.0,6.125,6.125
0.004531185403823027,0.006528690402397042,2.9234882238759212e-06,0.0,5.625,5.625
0.0034879946472871647,0.007196242162513938,0.0,0.0,5.375,5.375
0.003250638698285928,0.007788452741323617,0.0,0.0,5.625,5.625
0.0031319607237853143,0.007189788142550163,0.0,0.0,4.75,4.75
0.0030726217365350055,0.007194920874544711,0.0,0.0,4.625,4.625
0.0033915432854892138,0.007498530726057218,0.0,0.0,5.0,5.0
0.00427894370130791,0.006507357192915663,0.0,0.0,4.375,4.375
0.005500294323468085,0.005225904005742252,0.0,0.0,4.0,4.0
0.0063750871857316,0.00490944089097282,8.289286295442284e-06,0.0,4.0,4.0
0.006281985529602826,0.006105181740028978,0.0,0.0,4.625,4.625
0.005855936153376473,0.006000123045475673,0.0,0.0238125,5.0,5.0
