Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.004536175928792717,0.00015114316517648456,0.0,1.0,1.0
0.003250638698285928,0.005771025312325581,6.701977204596622e-05,0.0,1.625,1.625
0.0031319607237853143,0.006869906632625608,0.0,0.0,2.0,2.0
0.0030726217365350055,0.006630186047740313,0.0,0.0,1.375,1.375
0.0033915432854892138,0.005584180615262518,3.572783522267313e-05,0.0,0.375,0.375
0.00427894370130791,0.006421071012643425,4.942253280247314e-07,0.0,1.25,1.25
0.005500294323468085,0.00745068064079183,0.0,0.0,2.625,2.625
0.006366627624416327,0.007090971289373048,0.0,0.0,2.375,2.375
0.0060960031999666865,0.0077224358925669576,0.0,0.0,2.0,2.0
0.005669953823740333,0.008032433292510853,0.0,0.0136875,2.0,2.0
0.00526714766250654,0.006490647257587004,2.9711831999070588e-05,0.137625,2.0,2.0
0.005326486649756846,0.0036224844452914704,0.0008527344591064785,0.4639375,1.375,1.375
0.00526714766250654,0.003298998393399983,0.0018069543840338357,0.6795625,2.25,2.25
0.005089130700755599,0.003093392693806313,0.002369767824946702,0.740125,2.375,2.375
0.005029791713505292,0.002948675686951398,0.0024202517911851118,0.713375,2.625,2.625
0.00534922157193558,0.0025046751628878894,0.002335623319361718,0.6240625,2.375,2.375
0.0069127369580425264,0.0013576336705904144,0.0022697654011562818,0.3794375,0.75,0.75
0.008773455581545972,0.0014448670684631404,0.0018554470311433367,0.0281875,1.25,1.25
0.009103418993245939,0.002256150558124975,0.0012185355306855703,0.0,2.625,2.625
0.00866299216465065,0.0030465761684947672,0.000841766047751747,0.0,3.0,3.0
0.008425636215649415,0.002418936106373843,0.0009131242754787166,0.0,1.75,1.75
0.007456161898732805,0.002173600259811855,0.0009230341981066634,0.0,1.0,1.0
0.005893297709313076,0.0035972655516216265,0.00045992686348218646,0.0,1.625,1.625
0.004531185403823027,0.004208185582192832,0.00025589408189844327,0.0,1.375,1.375
0.0034879946472871647,0.005368629315211087,6.671017134673666e-05,0.0,1.625,1.625
0.003250638698285928,0.005677384436283889,5.5081886692560864e-05,0.0,1.375,1.375
0.0031319607237853143,0.006546811829684249,1.7460543105454636e-06,0.0,1.625,1.625
0.0030726217365350055,0.005856214611519194,3.726338213377571e-05,0.0,0.75,0.75
0.0033915432854892138,0.005768199956869185,2.2249875134133065e-05,0.0,0.625,0.625
0.00427894370130791,0.0059332060664747,0.0,0.0,1.0,1.0
0.005500294323468085,0.006741623399706729,0.0,0.0,2.25,2.25
0.0063750871857316,0.006042634408235829,6.0812446613213093e-05,0.0,1.75,1.75
0.006281985529602826,0.006854070665271922,0.0,0.0,1.625,1.625
0.005855936153376473,0.005820211444619491,1.2278774694361727e-05,0.0135,0.75,0.75
0.005453129992142678,0.004080265264811529,0.00016658122839229353,0.1299375,0.625,0.625
0.0055124689793929855,0.0026607160665010005,0.0010951344163288054,0.429375,1.0,1.0
0.0054296855083945435,0.0020896393154821754,0.002321671281305901,0.6504375,1.0,1.0
0.005275113030391737,0.002044744648232565,0.0023316509669510706,0.7388125,1.625,1.625
0.005215774043141431,0.0017878542754296367,0.0021222052067812755,0.7145625,2.0,2.0
0.00553520390157172,0.0014301962439070063,0.0019847357446791227,0.626375,2.0,2.0
0.00709871928767867,0.00109042307703286,0.001887731984354954,0.3825625,2.0,2.0
0.008781915142861247,0.0008946452547832094,0.0018511379910001967,0.0284375,2.0,2.0
0.009103418993245939,0.0004979845562303258,0.0022126587461691665,0.0,0.75,0.75
0.00866299216465065,0.00043138260761742107,0.0023317977586298257,0.0,0.0,0.0
0.008425636215649415,0.0009933848155427342,0.001825941345850284,0.0,1.25,1.25
0.007456161898732805,0.0009335322602776034,0.0018241516820721687,0.0,0.75,0.75
0.005893297709313076,0.0013390059262834383,0.001460792490026514,0.0,0.625,0.625
0.004531185403823027,0.0026516247353098425,0.0007499264033046537,0.0,1.625,1.625
0.0034879946472871647,0.004371706491071993,0.0003086531940922657,0.0,2.625,2.625
0.003250638698285928,0.004689763899594684,0.0001877612697838413,0.0,2.375,2.375
0.0031319607237853143,0.004173339404418087,0.00022227663149367987,0.0,1.375,1.375
0.0030726217365350055,0.005273098862963349,6.337335779478519e-05,0.0,2.25,2.25
0.0033915432854892138,0.004421637343145979,0.00016511259297554047,0.0,1.125,1.125
0.00427894370130791,0.004295100001598536,0.00015268872285995185,0.0,1.25,1.25
0.005500294323468085,0.0037257376558880407,0.00026173628773142207,0.0,1.375,1.375
0.0063750871857316,0.0034130060140104774,0.00032308633294300215,0.0,1.0,1.0
0.006281985529602826,0.004924606914726045,0.00010004765156038847,0.0,1.625,1.625
0.005855936153376473,0.004303684729166435,0.00011996541509482594,0.0,0.75,0.75
0.005453129992142678,0.0033501989020476007,0.00031558633548650996,0.1014375,0.625,0.625
0.0055124689793929855,0.0021851846687500507,0.0016134448891981224,0.5416875,1.625,1.625
0.0054296855083945435,0.001288415842241849,0.0022051959405912586,0.7181875,0.75,0.75
0.005275113030391737,0.0011409784493657087,0.0015964822100294,0.7439375,1.875,1.875
0.005215774043141431,0.0015123451331458646,0.0011216665467813048,0.7156875,4.875,4.875
0.00553520390157172,0.0009657620597536238,0.0011239591656778054,0.628875,4.125,4.125
0.00709871928767867,0.00042383761459336685,0.0011315887328133894,0.3864375,3.0,3.0
0.008781915142861247,0.00021611340512840246,0.0015142378610407152,0.02875,2.375,2.375
0.009103418993245939,0.0001162448298407801,0.002105047783112201,0.0,1.375,1.375
0.00866299216465065,0.00024958545214419034,0.00198480981732568,0.0,1.625,1.625
0.008425636215649415,0.0003380724383738106,0.002099631601600226,0.0,1.375,1.375
0.007456161898732805,0.0006729290997128393,0.001988821965492262,0.0,1.625,1.625
0.005893297709313076,0.0013775675851398822,0.0014247800355368454,0.0,2.625,2.625
0.004531185403823027,0.002104218804137092,0.0010170726393363952,0.0,3.0,3.0
0.0034879946472871647,0.003422455857792657,0.0007725222927267095,0.0,3.625,3.625
0.003250638698285928,0.0033815406713090116,0.0006865788430240102,0.0,2.75,2.75
0.0031319607237853143,0.004335308511748439,0.00041914803735077747,0.0,3.25,3.25
0.0030726217365350055,0.005832314886543651,0.00013448004686820303,0.0,4.625,4.625
0.0033915432854892138,0.005881877016227444,7.059374994307463e-05,0.0,4.375,4.375
