Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.0014292006978872355,0.0013504611517249107,0.0,0.75,0.75
0.003250638698285928,0.0014480608763529903,0.001027250735639476,0.0,1.25,1.25
0.0031319607237853143,0.0019623294957558848,0.000709819275014612,0.0,2.625,2.625
0.0030726217365350055,0.0034607351153626803,0.0004913543569288274,0.0,4.875,4.875
0.0033915432854892138,0.003557465534530579,0.0004237286325792118,0.0,4.75,4.75
0.00427894370130791,0.002909595605725076,0.0005011262026856262,0.0,4.0,4.0
0.005500294323468085,0.0014775355818262678,0.0009831373769383644,0.0,2.125,2.125
0.006366627624416327,0.0006900002424493742,0.0015966196187077173,0.006375,0.375,0.375
0.0060960031999666865,0.0011441490451395294,0.0011552024601840809,0.03825,0.625,0.625
0.005669953823740333,0.002040042123522109,0.0006440450473374286,0.0031875,1.625,1.625
0.00526714766250654,0.001638289051689685,0.0007621993080221915,0.0433125,2.0,2.0
0.005326486649756846,0.0010327823102290706,0.0014368486016193953,0.2679375,2.625,2.625
0.00526714766250654,0.0009189904050988883,0.0018513822575788109,0.53625,3.0,3.0
0.005089130700755599,0.0007572268537975669,0.0019298901671455434,0.7421875,3.0,3.0
0.005029791713505292,0.00043827295108912686,0.00201634876528415,0.728125,2.375,2.375
0.00534922157193558,0.000541517630448509,0.0018935635063120754,0.64275,3.25,3.25
0.0069127369580425264,0.00042189831841954586,0.0018569906616549914,0.3978125,3.375,3.375
0.008773455581545972,0.0003179166616708834,0.002086952599543367,0.029625,3.0,3.0
0.009103418993245939,0.0003285316271018464,0.0023137665193186927,0.0,3.0,3.0
0.00866299216465065,0.000555649512522621,0.0022422706997629158,0.0,3.0,3.0
0.008425636215649415,0.0005698926225458593,0.0022947459574648543,0.0,2.375,2.375
0.007456161898732805,0.0006632042744967074,0.0022183383183502314,0.0,2.0,2.0
0.005893297709313076,0.0010974896593213671,0.0018015251223745428,0.0,2.0,2.0
0.004531185403823027,0.0017385292336875812,0.0014207294344340995,0.0,2.0,2.0
0.0034879946472871647,0.002438379375296224,0.0010230905574098522,0.0,2.0,2.0
0.003250638698285928,0.0028904156326077235,0.0007431885123714368,0.0,2.0,2.0
0.0031319607237853143,0.002778409698759382,0.0006738945993140287,0.0,1.375,1.375
0.0030726217365350055,0.002224991288430129,0.0007393287649709345,0.0,0.375,0.375
0.0033915432854892138,0.0031410234831406756,0.00047721498160452087,0.0,1.25,1.25
0.00427894370130791,0.0025836239911240996,0.0005815054260852731,0.0,0.75,0.75
0.005500294323468085,0.001534156100869473,0.0010751491530087958,0.0,0.0,0.0
0.0063750871857316,0.001945823534347338,0.0008662661974146368,0.0025,0.625,0.625
0.006281985529602826,0.0027837027623602646,0.0004618752252745789,0.0155625,1.0,1.0
0.005855936153376473,0.0023883821024537387,0.0005258770078138506,0.0035,0.375,0.375
0.005453129992142678,0.0016482810729040365,0.0007319160134759648,0.0001875,0.0,0.0
0.0055124689793929855,0.001150454289063287,0.0009067622483747767,0.00675,0.0,0.0
0.0054296855083945435,0.0007542752006595438,0.0013481630180456781,0.0493125,0.0,0.0
0.005275113030391737,0.0008935807586261416,0.0013744741427960997,0.1348125,1.25,1.25
0.005215774043141431,0.0007252562049167627,0.0018442985409021658,0.2590625,1.375,1.375
0.00553520390157172,0.00036240278766064597,0.002284867625463851,0.4175625,1.0,1.0
0.00709871928767867,0.0002084002170688494,0.002503121334876667,0.384625,1.0,1.0
0.008781915142861247,0.00015109565992123052,0.002438107551526421,0.029875,1.0,1.0
0.009103418993245939,0.00012800160579779505,0.00283628902759445,0.0,0.375,0.375
0.00866299216465065,0.00015581482002066974,0.002868655991974564,0.0,0.0,0.0
0.008425636215649415,0.000534649526607917,0.0020140055560288104,0.0,1.25,1.25
0.007456161898732805,0.0004544922523149604,0.002018017766011583,0.0,0.75,0.75
0.005893297709313076,0.0009974072256351014,0.0013238466647917976,0.0,1.25,1.25
0.004531185403823027,0.001831461919698729,0.0006340548919649823,0.0,2.0,2.0
0.0034879946472871647,0.0025547953218666352,0.0003472889045605931,0.0,2.0,2.0
0.003250638698285928,0.002103669036026822,0.000434300899213782,0.0,0.75,0.75
0.0031319607237853143,0.0026127142942917463,0.00025943439639815205,0.0,1.25,1.25
