Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.0012794991368060653,0.0010377187842414693,0.0,2.6875,2.6875
0.003250638698285928,0.001645018931921716,0.0009430380153399961,0.0,2.5,2.5
0.0031319607237853143,0.0016967708215849244,0.0008541822921414306,0.0,2.1875,2.1875
0.0030726217365350055,0.001832460974974213,0.0007265413522876571,0.0,2.0,2.0
0.0033915432854892138,0.00210376446575305,0.000578610778860423,0.0,2.0,2.0
0.00427894370130791,0.0021023095532301693,0.0006402329325641141,0.0,2.0,2.0
0.005500294323468085,0.0016143324985042717,0.0008248305172649999,0.0,2.0,2.0
0.006366627624416327,0.0015153516812544021,0.000905672618430969,0.0170625,2.0,2.0
0.0060960031999666865,0.0022526112417080393,0.0006315139171188953,0.06825,2.625,2.625
0.005669953823740333,0.00253096545343381,0.0003994358334174989,0.0056875,3.0,3.0
0.00526714766250654,0.001979295893573387,0.00061013320978753,0.0538125,3.0,3.0
0.005326486649756846,0.001011693433036927,0.0016017444279369695,0.276,3.0,3.0
0.00526714766250654,0.0006686325813894631,0.0018815384359573562,0.3276875,3.0,3.0
0.005089130700755599,0.0003678856811020142,0.0018156100139343518,0.36075,3.0,3.0
0.005029791713505292,0.00010858957055237488,0.0018972611808685124,0.407375,2.375,2.375
0.00534922157193558,5.1541783294435214e-05,0.0018992216068648346,0.389,2.0,2.0
0.0069127369580425264,1.9298733154643248e-05,0.001675956773254407,0.030375,2.0,2.0
0.008773455581545972,1.6752014936497787e-05,0.0020187951206808124,0.0,2.0,2.0
0.009103418993245939,3.045755134708868e-05,0.0023336991160638003,0.0,2.0,2.0
0.00866299216465065,4.143154395477978e-05,0.002426863715889585,0.0,2.0,2.0
0.008425636215649415,0.00012885954720094376,0.0022869478696972657,0.0,2.625,2.625
0.007456161898732805,0.0002801874402851761,0.002051691366192641,0.0,3.0,3.0
0.005893297709313076,0.0005457397033452545,0.001721332858018642,0.0,3.0,3.0
0.004531185403823027,0.0008370909235120052,0.0013041474047864015,0.0,3.0,3.0
0.0034879946472871647,0.0011470445043833407,0.000967503587127367,0.0,3.0,3.0
0.003250638698285928,0.0012422961696907414,0.0008234173325876137,0.0,3.0,3.0
0.0031319607237853143,0.00302055180259368,0.0004801849534760811,0.0,6.75,6.75
0.0030726217365350055,0.004206601982668564,0.00027551518237986777,0.0,9.0,9.0
0.0033915432854892138,0.004337682518120502,0.00021884786487657383,0.0,9.0,9.0
0.00427894370130791,0.004202138664177899,0.00021840172418775966,0.0,9.0,9.0
0.005500294323468085,0.0036088386592336495,0.0003256122486432311,0.0,9.0,9.0
0.0063750871857316,0.0033411266997722413,0.00037612633121587456,0.0478125,9.0,9.0
0.006281985529602826,0.0015260871830255827,0.0009071481260925456,0.19125,5.875,5.875
0.005855936153376473,0.0008243652286748518,0.0009691779156151927,0.0159375,4.0,4.0
0.005453129992142678,0.0006200384704781235,0.0010804110673725245,0.0,4.0,4.0
0.0055124689793929855,0.0003696718454621069,0.001208313078332315,0.0,4.0,4.0
0.0054296855083945435,0.0001773210037700739,0.001424612684222428,0.1393125,4.0,4.0
0.005275113030391737,1.9804665747850232e-05,0.0018639042395818565,0.55725,4.0,4.0
0.005215774043141431,6.6867126297605355e-06,0.001377077215065329,0.0464375,3.375,3.375
0.00553520390157172,5.118637693335136e-06,0.001385061925477685,0.0,3.0,3.0
0.00709871928767867,4.7593692603061385e-06,0.0014771465449957952,0.0,3.0,3.0
0.008781915142861247,3.2996700268000643e-07,0.0017513526627896115,0.0,3.0,3.0
0.009103418993245939,2.973229419551691e-07,0.0020873002966115815,0.0,3.0,3.0
0.00866299216465065,1.629208768783812e-05,0.0022053301373062316,0.0,3.0,3.0
0.008425636215649415,5.5483826019682976e-05,0.002238908866376141,0.0,3.0,3.0
0.007456161898732805,0.00010757658161481859,0.002143920261754599,0.0,3.0,3.0
0.005893297709313076,0.0002760731272788883,0.0018350243630050858,0.0,3.0,3.0
0.004531185403823027,0.0005975071515971318,0.0014577018847316348,0.0,3.0,3.0
0.0034879946472871647,0.000988975939619501,0.0010167564457956412,0.0,3.0,3.0
0.003250638698285928,0.0014444502826008647,0.0008703814441155184,0.0,3.0,3.0
0.0031319607237853143,0.0014741408891626377,0.0008173534975005501,0.0,2.375,2.375
0.0030726217365350055,0.0015119493001250312,0.000771469414613954,0.0,2.0,2.0
0.0033915432854892138,0.001720267023522166,0.0006328965983104917,0.0,2.0,2.0
0.00427894370130791,0.0016175451211356974,0.000715469293455923,0.0,2.0,2.0
0.005500294323468085,0.0011381296562147196,0.001042876314201965,0.0,2.0,2.0
0.0063750871857316,0.000987665437338695,0.0011802551943458995,0.0144375,2.0,2.0
0.006281985529602826,0.0012227429390613495,0.00090822333951166,0.0856875,2.625,2.625
0.005855936153376473,0.0010847069101778432,0.0011001199451268061,0.1165625,3.0,3.0
0.005453129992142678,0.0012240645572092399,0.0008520373056324395,0.0093125,3.0,3.0
0.0055124689793929855,0.0011446949491454837,0.0008618779471340486,0.0,3.0,3.0
0.0054296855083945435,0.0010666544742491684,0.0008101538392326594,0.0,3.0,3.0
0.005275113030391737,0.0009148281920485247,0.0009885403349494618,0.0601875,3.0,3.0
