Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.0005504903108324892,0.001756108991494437,0.0,2.6875,2.6875
0.003250638698285928,0.0006200039831287888,0.001634641445683056,0.0,2.5,2.5
0.0031319607237853143,0.0008379245371834984,0.00152931042389838,0.0,2.8125,2.8125
0.0030726217365350055,0.0010412065634522619,0.0014003476153123609,0.0,3.0,3.0
0.0033915432854892138,0.0011660994813317517,0.0013648726346114136,0.0,3.0,3.0
0.00427894370130791,0.0011344635917250167,0.001378468810981535,0.0,3.0,3.0
0.005500294323468085,0.0009297508127745054,0.0016695392346116134,0.003375,3.0,3.0
0.006366627624416327,0.0008378656824619061,0.0017619088035042377,0.02025,3.0,3.0
0.0060960031999666865,0.0004275984582747812,0.0023162485667880097,0.056625,1.125,1.125
0.005669953823740333,4.902456725795177e-05,0.0031763372091959926,0.288375,0.0,0.0
0.00526714766250654,1.1461009991123096e-05,0.0034898599020114335,0.3723125,0.0,0.0
0.005326486649756846,1.944032050121147e-06,0.003479729521393688,0.429,0.0,0.0
0.00526714766250654,0.0,0.0034289659564482387,0.379,0.0,0.0
0.005089130700755599,0.0,0.0027644866176290304,0.029375,0.0,0.0
0.005029791713505292,4.3675719604470687e-07,0.002345809236259931,0.1078125,1.875,1.875
0.00534922157193558,2.49897956520099e-06,0.002507145059329429,0.43125,3.0,3.0
0.0069127369580425264,7.69420643977391e-06,0.002334228172367301,0.0359375,3.0,3.0
0.008773455581545972,1.1054325893370025e-05,0.0025514043366272857,0.0,3.0,3.0
0.009103418993245939,2.1009981146881617e-05,0.0027802657098318913,0.0,3.0,3.0
0.00866299216465065,2.0372260796835124e-05,0.002826185208824662,0.0,3.0,3.0
0.008425636215649415,5.075699903738284e-05,0.0028505770704254038,0.0,3.0,3.0
0.007456161898732805,9.020211794619261e-05,0.002767306328283852,0.0,3.0,3.0
0.005893297709313076,0.0001895761557469721,0.0024316334114971526,0.0,3.0,3.0
0.004531185403823027,0.00040504304041345476,0.0020397204349459825,0.0,3.0,3.0
0.0034879946472871647,0.0007363725690767208,0.0017773774205535624,0.0,3.0,3.0
0.003250638698285928,0.0009605905722882939,0.0016449691518989188,0.0,3.0,3.0
0.0031319607237853143,0.001162206429046324,0.001554131906526958,0.0,3.0,3.0
0.0030726217365350055,0.0013456456204446533,0.0013988589781801512,0.0,3.0,3.0
0.0033915432854892138,0.0015313223522347922,0.0013010882592824845,0.0,3.0,3.0
0.00427894370130791,0.0015447492694941037,0.0013173182534349692,0.0,3.0,3.0
0.005500294323468085,0.0012312462011930233,0.0015045678917945935,0.004125,3.0,3.0
0.0063750871857316,0.0009757511270735641,0.0017441546443250347,0.0920625,3.0,3.0
0.006281985529602826,0.0005535385953434736,0.0023637145198218447,0.3361875,2.375,2.375
0.005855936153376473,0.00024778813387905956,0.00261115056500828,0.3629375,2.0,2.0
0.005453129992142678,8.421562946897942e-05,0.0026989253004625715,0.345625,2.0,2.0
0.0055124689793929855,1.8153098271975874e-05,0.0025926056303458437,0.1306875,2.0,2.0
0.0054296855083945435,1.792411467721837e-07,0.002613991320994569,0.5565,2.0,2.0
0.005275113030391737,0.0,0.00375661113974806,0.7245625,2.0,2.0
0.005215774043141431,2.828288776404825e-07,0.003381681435584042,0.53925,3.25,3.25
0.00553520390157172,9.822424462227628e-06,0.0014840954976816025,0.041,4.0,4.0
0.00709871928767867,1.1446873118173715e-05,0.0011237990523656522,0.0,4.0,4.0
0.008781915142861247,3.858858106321437e-06,0.0013302959596344075,0.0,4.0,4.0
0.009103418993245939,2.1045041120418374e-07,0.001616467948183587,0.0,4.0,4.0
0.00866299216465065,0.0,0.0017289236918801322,0.0,4.0,4.0
0.008425636215649415,0.0,0.00200977472818995,0.0,3.375,3.375
0.007456161898732805,0.0,0.002208725214315099,0.0,3.0,3.0
0.005893297709313076,0.0,0.002310507456843026,0.0,3.0,3.0
0.004531185403823027,2.8983104963532634e-05,0.0022203064506133336,0.0,3.0,3.0
0.0034879946472871647,0.00010721877020660204,0.0020674845470279534,0.0,3.0,3.0
0.003250638698285928,0.00020206917732305804,0.0019613867842332867,0.0,3.0,3.0
0.0031319607237853143,0.000621192357528791,0.0016557661819803031,0.0,4.25,4.25
0.0030726217365350055,0.0010049785445952646,0.0015358148916334788,0.0,5.0,5.0
0.0033915432854892138,0.0012297926338098403,0.001523499477492889,0.0,5.0,5.0
0.00427894370130791,0.001251522891785784,0.0015676534012442768,0.0,5.0,5.0
0.005500294323468085,0.001036388814262433,0.0018151970639187086,0.006125,5.0,5.0
0.0063750871857316,0.0008791829352317236,0.0018986991223857975,0.03675,5.0,5.0
0.006281985529602826,0.0005257540722605013,0.002125245679709396,0.0938125,3.75,3.75
0.005855936153376473,7.071378174779638e-05,0.002737949794256428,0.363,3.0,3.0
0.005453129992142678,8.620036043946308e-06,0.00256893113417037,0.1609375,3.0,3.0
0.0055124689793929855,0.0,0.0028036565890162354,0.52275,3.0,3.0
0.0054296855083945435,0.0,0.002074334257368839,0.0435625,3.0,3.0
0.005275113030391737,0.0,0.002250576014221174,0.1335,3.0,3.0
0.005215774043141431,0.0,0.0031788713609658065,0.534,4.25,4.25
0.00553520390157172,2.8116404067334923e-05,0.002569088347694276,0.0445,5.0,5.0
0.00709871928767867,9.295378461847024e-05,0.0026335345836657476,0.0,5.0,5.0
0.008781915142861247,0.0001436366962394669,0.0028277070655113204,0.0,5.0,5.0
0.009103418993245939,0.00015619703934525962,0.0029212643926597296,0.0,5.0,5.0
0.00866299216465065,0.00024013363917095164,0.00272477884568661,0.0,5.0,5.0
0.008425636215649415,0.00015791742359743755,0.0029237736229751096,0.0,3.75,3.75
0.007456161898732805,0.00012014714176130956,0.002935462251727939,0.0,3.0,3.0
0.005893297709313076,0.0002594395233427562,0.0024918473649782123,0.0,3.0,3.0
0.004531185403823027,0.0005588101354841101,0.002111851904834365,0.0,3.0,3.0
0.0034879946472871647,0.0009229467951723654,0.0017921102431625931,0.0,3.0,3.0
0.003250638698285928,0.0011389460602988482,0.0016347719540552748,0.0,3.0,3.0
0.0031319607237853143,0.001090628529661027,0.0016243357007224735,0.0,2.375,2.375
0.0030726217365350055,0.0010803347713345976,0.0015517160909369603,0.0,2.0,2.0
0.0033915432854892138,0.001156055457042418,0.0014435066112937524,0.0,2.0,2.0
0.00427894370130791,0.0010884991582769605,0.0015298673658495595,0.0,2.0,2.0
0.005500294323468085,0.0007385462425291239,0.0018307482086176061,0.0035,2.0,2.0
0.0063750871857316,0.0005151463005180052,0.0020890543988171272,0.0920625,2.0,2.0
0.006281985529602826,0.000366566795785794,0.002362452536616005,0.3355,2.0,2.0
