Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.003833200263510481,0.0002917090736502748,0.0,0.75,0.75
0.003250638698285928,0.009879035522817459,6.250873564589091e-06,0.0,6.25,6.25
0.0031319607237853143,0.013608802795332473,0.0,0.0,8.75,8.75
0.0030726217365350055,0.015062009957839916,0.0,0.0,9.25,9.25
0.0033915432854892138,0.009814697017337663,0.0,0.0,4.375,4.375
0.00427894370130791,0.012638282647152973,0.0,0.0,6.625,6.625
0.005500294323468085,0.015503485859050889,0.0,0.0,9.375,9.375
0.006366627624416327,0.013458829090624931,0.0,0.00925,7.75,7.75
0.0060960031999666865,0.011280151153952029,0.0,0.1250625,5.75,5.75
0.005669953823740333,0.008432717822033692,2.3357197611873246e-05,0.394625,5.0,5.0
0.00526714766250654,0.008376296145079391,0.00017883036513769446,0.5991875,6.875,6.875
0.005326486649756846,0.007384843687664231,0.0006587691354278405,0.695375,7.375,7.375
0.00526714766250654,0.005957448406678317,0.0013955078212795295,0.7511875,7.0,7.0
0.005089130700755599,0.004711731054450102,0.001918309078885216,0.7390625,6.375,6.375
0.005029791713505292,0.0028315441340819513,0.0025850455294232125,0.6930625,3.5,3.5
0.00534922157193558,0.0026959163200920323,0.0022808567693114214,0.548875,3.875,3.875
0.0069127369580425264,0.0035448291687822015,0.0015581098003126734,0.2205,5.625,5.625
0.008773455581545972,0.003541494592466948,0.001064480791436515,0.0151875,5.375,5.375
0.009103418993245939,0.003571806497486605,0.0009194307826296429,0.0,5.0,5.0
0.00866299216465065,0.0032676756038606436,0.0008915291999284544,0.0,3.75,3.75
0.008425636215649415,0.002180471451956006,0.00108393991614943,0.0,1.75,1.75
0.007456161898732805,0.0025943113057830163,0.0008825247139115809,0.0,1.625,1.625
0.005893297709313076,0.0031409192459101614,0.0006060068188825746,0.0,1.375,1.375
0.004531185403823027,0.0043498490012834675,0.00031551735934468803,0.0,1.625,1.625
0.0034879946472871647,0.0043194768736026755,0.0002099776145360003,0.0,0.75,0.75
0.003250638698285928,0.004073781520520379,0.00020315157286365034,0.0,0.0,0.0
0.0031319607237853143,0.005168633599787869,0.00013559212034492497,0.0,0.625,0.625
0.0030726217365350055,0.006560407202528422,0.0,0.0,1.625,1.625
0.0033915432854892138,0.007287331858053215,0.0,0.0,2.0,2.0
0.00427894370130791,0.007124822500079096,0.0,0.0,2.0,2.0
0.005500294323468085,0.004856696677836503,0.00016126905615031402,0.0,0.75,0.75
0.0063750871857316,0.005330403931771021,9.460365817782407e-05,0.0,1.25,1.25
0.006281985529602826,0.006975883676391745,0.0,0.0110625,2.0,2.0
0.005855936153376473,0.005281466345600002,4.615243111291563e-05,0.08325,1.375,1.375
0.005453129992142678,0.004027640558711189,0.000287448256552522,0.2159375,1.625,1.625
0.0055124689793929855,0.003194291172224151,0.000767499074326519,0.306625,2.0,2.0
0.0054296855083945435,0.0017896550720794622,0.001942540509130012,0.379125,0.75,0.75
0.005275113030391737,0.0016236592709040593,0.002292574427933088,0.470625,1.25,1.25
