Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.0032102770208199856,0.00032550647637314355,0.0,1.9375,1.9375
0.003250638698285928,0.004146856439176007,0.0001807765899912995,0.0,2.5,2.5
0.0031319607237853143,0.0042238293898621574,6.634442618888745e-05,0.0,2.1875,2.1875
0.0030726217365350055,0.004450236533780226,7.459381317865103e-05,0.0,2.0,2.0
0.0033915432854892138,0.004722304088280593,8.659175271337947e-05,0.0,2.0,2.0
0.00427894370130791,0.004525744103159635,8.859814925354265e-05,0.0,2.0,2.0
0.005500294323468085,0.0038243905532100663,0.00011430266359155786,0.0,2.0,2.0
0.006366627624416327,0.0036031432841637126,0.00021139690147591362,0.031875,2.0,2.0
0.0060960031999666865,0.002930030430822467,0.00034490275575167534,0.1275,1.375,1.375
0.005669953823740333,0.0021872110812377428,0.000550254608866469,0.1071875,1.0,1.0
0.00526714766250654,0.0009799380753138236,0.002471135383655959,0.5026875,1.0,1.0
0.005326486649756846,0.0006013575095240004,0.002767743504626202,0.4979375,1.0,1.0
0.00526714766250654,0.0004889369045855798,0.002202998373217599,0.0388125,1.0,1.0
0.005089130700755599,0.00031993370996407516,0.00216566083056338,0.1273125,1.0,1.0
0.005029791713505292,0.00022736979425398333,0.002236241000036775,0.50925,1.625,1.625
0.00534922157193558,0.0003301616361867924,0.0017199738680344335,0.0424375,2.0,2.0
0.0069127369580425264,0.00033511900901669986,0.0017645024264552169,0.0,2.0,2.0
0.008773455581545972,0.0002637927855068854,0.002098427881476836,0.0,2.0,2.0
0.009103418993245939,0.000316246645238915,0.002384591921195125,0.0,2.0,2.0
0.00866299216465065,0.0005301802859560987,0.0020610769997385903,0.0,2.0,2.0
0.008425636215649415,0.0005788406223080924,0.0020704488301219646,0.0,1.375,1.375
0.007456161898732805,0.0007057801512543746,0.0019021780433227612,0.0,1.0,1.0
0.005893297709313076,0.001181704595654122,0.0012603178703865106,0.0,1.0,1.0
0.004531185403823027,0.001807360129864716,0.000793702117513095,0.0,1.0,1.0
0.0034879946472871647,0.0024674748829764228,0.00044734608329991823,0.0,1.0,1.0
0.003250638698285928,0.002790177053917117,0.00032846322373424644,0.0,1.0,1.0
0.0031319607237853143,0.003035540757124597,0.00024426775191966856,0.0,1.0,1.0
0.0030726217365350055,0.0032877678085500794,0.0001879344242354373,0.0,1.0,1.0
0.0033915432854892138,0.003502265353638248,0.0001445826145764366,0.0,1.0,1.0
0.00427894370130791,0.0033890017858897617,0.00015818317247792314,0.0,1.0,1.0
0.005500294323468085,0.002770986463387909,0.0003541597059027331,0.0,1.0,1.0
0.0063750871857316,0.0026224647643142028,0.0003941690030854458,0.0099375,1.0,1.0
0.006281985529602826,0.0028448967180706446,0.0002969355072391796,0.0616875,1.0,1.0
0.005855936153376473,0.002215483865959353,0.0004756970761880282,0.1210625,1.0,1.0
0.005453129992142678,0.0015323736263207492,0.000902154148353931,0.1273125,1.0,1.0
0.0055124689793929855,0.0013687455296818515,0.0008353971314251381,0.050875,1.0,1.0
0.0054296855083945435,0.000802262175885076,0.0017488868667920139,0.2085,1.0,1.0
0.005275113030391737,0.0005180586541487687,0.0019618959592377777,0.193625,1.0,1.0
0.005215774043141431,0.0003940327948711344,0.0017462978678980223,0.0793125,0.375,0.375
0.00553520390157172,0.00015631275450492997,0.002248159451638364,0.25725,0.0,0.0
0.00709871928767867,0.00015543587193263942,0.0020347013192837764,0.0214375,0.0,0.0
0.008781915142861247,0.00012764079041523236,0.002480913205251699,0.0,0.0,0.0
