Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.0018436646230078262,0.0011608400023408768,0.0,2.6875,2.6875
0.003250638698285928,0.001983038744199423,0.0010868048845759717,0.0,2.5,2.5
0.0031319607237853143,0.002307719624308456,0.0010277322719435442,0.0,2.8125,2.8125
0.0030726217365350055,0.002682054286546768,0.0009830792531941275,0.0,3.0,3.0
0.0033915432854892138,0.0029990811196253064,0.000912787866217955,0.0,3.0,3.0
0.00427894370130791,0.0031131441368025792,0.0009013680683436599,0.0,3.0,3.0
0.005500294323468085,0.0028426982991787164,0.0009815387779852393,0.0,3.0,3.0
0.006366627624416327,0.0029358263185928954,0.0009435796554089846,0.0,3.0,3.0
0.0060960031999666865,0.002498627642126979,0.0010086197672418472,0.005125,1.125,1.125
0.005669953823740333,0.0018569234128859872,0.0011657286747210403,0.0699375,0.0,0.0
0.00526714766250654,0.001335347257752845,0.0014952670707747884,0.288875,0.0,0.0
0.005326486649756846,0.0006961576275893404,0.001830004495995932,0.6029375,0.0,0.0
0.00526714766250654,0.0005883367626037323,0.0017674883076697892,0.4766875,0.0,0.0
0.005089130700755599,0.0004174766480223718,0.0019160055594674074,0.7035625,0.0,0.0
0.005029791713505292,0.0004427184454500619,0.001693639042811248,0.558625,0.625,0.625
0.00534922157193558,0.00015865803634860148,0.0025920728575303076,0.7370625,1.0,1.0
0.0069127369580425264,3.865059227244731e-05,0.003610712573816836,0.7005,1.0,1.0
0.008773455581545972,1.1958218662476016e-05,0.003860800101407069,0.4965,1.0,1.0
0.009103418993245939,1.8230223959075603e-05,0.0025939341204691694,0.037625,1.0,1.0
0.00866299216465065,5.844061333546147e-05,0.0021697941950428396,0.0,1.0,1.0
0.008425636215649415,0.0002964070721313135,0.0019123690334265126,0.0,2.25,2.25
0.007456161898732805,0.0006509117430056632,0.0017127621277465942,0.0,3.0,3.0
