Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0034879946472871647,0.00028204886745227437,0.0022671639158861304,0.0,0.375,0.375
0.003250638698285928,0.00043390102302104817,0.0023623435432636127,0.0,0.0,0.0
0.0031319607237853143,0.0006323210334443608,0.0023870910276549244,0.0,0.0,0.0
0.0030726217365350055,0.0007656826575353905,0.0023115611258885177,0.0,0.0,0.0
0.0033915432854892138,0.0008534335609495165,0.002279770849298374,0.0,0.0,0.0
0.00427894370130791,0.0010461174764081708,0.002208542733374123,0.0,0.625,0.625
0.005500294323468085,0.0011439087616362806,0.0021308106458624186,0.0,1.625,1.625
0.006366627624416327,0.0009746707738978262,0.0022671207129971115,0.0,1.375,1.375
0.0060960031999666865,0.0010281237877746443,0.00218101291682378,0.0285,1.0,1.0
0.005669953823740333,0.0010674477210280311,0.002159030967113399,0.1783125,2.25,2.25
0.00526714766250654,0.0006313662632294136,0.0024400608956476996,0.3726875,2.375,2.375
0.005326486649756846,0.0002992600989275103,0.0025800067511123435,0.5910625,2.0,2.0
0.00526714766250654,0.00016675984291832416,0.0026916012821372446,0.7616875,2.0,2.0
0.005089130700755599,0.00012676385244565156,0.0028192214820758365,0.7553125,2.625,2.625
0.005029791713505292,0.0001139110316173835,0.002930463949357398,0.7025625,3.0,3.0
0.00534922157193558,8.228413263354201e-05,0.0027867031735996093,0.5035,3.0,3.0
0.0069127369580425264,2.892603125657668e-05,0.0020935958634488573,0.0448125,2.375,2.375
0.008773455581545972,2.4910454772051794e-06,0.0025602080815267307,0.0,1.375,1.375
0.009103418993245939,0.0,0.0030092248370952135,0.0,0.375,0.375
0.00866299216465065,7.970715266668561e-06,0.003012014980984283,0.0,0.625,0.625
0.008425636215649415,5.7208123862660075e-06,0.003238423585863664,0.0,0.375,0.375
0.007456161898732805,1.2780427619553358e-05,0.003324597288876743,0.0,0.0,0.0
0.005893297709313076,5.308492087067272e-05,0.0032049433960137357,0.0,0.0,0.0
0.004531185403823027,0.00019030107946737542,0.0026039701430706635,0.0,0.625,0.625
0.0034879946472871647,0.00034646251629072015,0.0023726750737043272,0.0,0.375,0.375
0.003250638698285928,0.00041148532761165515,0.002313997538245149,0.0,0.0,0.0
0.0031319607237853143,0.0009465466396853479,0.001964028379627377,0.0,1.25,1.25
0.0030726217365350055,0.0009060281039630863,0.0020484789207061266,0.0,0.75,0.75
0.0033915432854892138,0.0007042163994670774,0.002161969635177337,0.0,0.0,0.0
0.00427894370130791,0.0006391982644325318,0.0022898307867383607,0.0,0.0,0.0
0.005500294323468085,0.0004304911154211311,0.002639553325262568,0.0,0.0,0.0
0.0063750871857316,0.0005355214432500453,0.0025115752927679694,0.0,0.625,0.625
0.006281985529602826,0.00054238567051369,0.002380192307785311,0.007125,0.375,0.375
0.005855936153376473,0.00047552733374681486,0.002261790313818675,0.0770625,1.25,1.25
0.005453129992142678,0.0004131998926926954,0.0021886112137301504,0.2601875,2.625,2.625
0.0055124689793929855,0.0001363012537543653,0.002362536834509494,0.2704375,2.375,2.375
0.0054296855083945435,4.218993203780732e-06,0.002633943342842399,0.161625,1.375,1.375
0.005275113030391737,0.0,0.003267602165532884,0.697125,1.0,1.0
0.005215774043141431,0.0,0.00377646225198831,0.7030625,1.625,1.625
0.00553520390157172,0.0,0.003737488010873276,0.504125,1.375,1.375
0.00709871928767867,0.0,0.002779716411825618,0.03825,1.0,1.0
0.008781915142861247,0.0,0.0026402349483739505,0.0,0.375,0.375
0.009103418993245939,0.0,0.002850180142059184,0.0,0.0,0.0
0.00866299216465065,0.0,0.0027001320120429986,0.0,0.0,0.0
0.008425636215649415,0.0,0.0026308496192271593,0.0,0.0,0.0
0.007456161898732805,0.0,0.0025668986773566293,0.0,0.0,0.0
0.005893297709313076,0.0,0.0023503081353525935,0.0,0.0,0.0
0.004531185403823027,7.3423193764529525e-06,0.0022455384153967574,0.0,0.0,0.0
0.0034879946472871647,4.356547109048998e-05,0.0020815673162843658,0.0,1.25,1.25
0.003250638698285928,5.0149742865075786e-05,0.002147652436347173,0.0,0.75,0.75
0.0031319607237853143,9.990874090455187e-05,0.0019355308591187683,0.0,1.25,1.25
0.0030726217365350055,0.00017584431306044284,0.0018379942943783545,0.0,2.0,2.0
0.0033915432854892138,0.00013294258193878065,0.0019566765544329974,0.0,1.375,1.375
0.00427894370130791,7.055138680114675e-05,0.0021853883796287476,0.0,0.375,0.375
0.005500294323468085,4.94854508372684e-05,0.0022353144407905355,0.0,1.25,1.25
0.0063750871857316,2.7004875587844817e-05,0.0023391213746572384,0.0,0.75,0.75
0.006281985529602826,6.756484558697286e-05,0.0020563425231141645,0.0,1.25,1.25
0.005855936153376473,6.087187260622622e-05,0.001958690873741573,0.0,2.0,2.0
0.005453129992142678,2.728547916999296e-06,0.002168808220683777,0.03375,0.75,0.75
0.0055124689793929855,0.0,0.0019485317774562984,0.183375,0.0,0.0
0.0054296855083945435,0.0,0.001926035905483668,0.26625,1.25,1.25
0.005275113030391737,0.0,0.002418708874952474,0.3496875,2.0,2.0
0.005215774043141431,1.3320665399092894e-08,0.0031945658042625614,0.4849375,2.625,2.625
0.00553520390157172,0.0,0.003717951400392589,0.5211875,3.0,3.0
0.00709871928767867,7.588239252047902e-08,0.002850383471050852,0.1790625,3.0,3.0
0.008781915142861247,7.863436394338907e-08,0.0023534976524286454,0.0,3.0,3.0
0.009103418993245939,0.0,0.002604231569058411,0.0,2.375,2.375
0.00866299216465065,0.0,0.0028927141706058287,0.0,0.75,0.75
0.008425636215649415,0.0,0.002963550268914296,0.0,0.0,0.0
0.007456161898732805,0.0,0.0028226950979747967,0.0,0.0,0.0
0.005893297709313076,0.0,0.0025926158567616607,0.0,0.0,0.0
0.004531185403823027,0.0,0.002375717574470829,0.0,0.0,0.0
0.0034879946472871647,9.187735012550571e-06,0.0022831476224366557,0.0,0.625,0.625
0.003250638698285928,3.356552529026971e-05,0.00238948177990642,0.0,1.625,1.625
0.0031319607237853143,6.615709636683115e-05,0.002440004912928817,0.0,2.0,2.0
0.0030726217365350055,0.00013747399840017687,0.0024731499413332236,0.0,2.0,2.0
0.0033915432854892138,0.00015396422780119894,0.0024602280588500633,0.0,2.0,2.0
0.00427894370130791,7.606316539467673e-05,0.0027924150477568704,0.0,0.75,0.75
0.005500294323468085,1.9014582530350242e-05,0.0030724218229815697,0.0,0.0,0.0
0.0063750871857316,3.665757865041231e-05,0.0030173380227099915,0.0,0.625,0.625
0.006281985529602826,8.61030089188968e-05,0.0028529068025784383,0.0,1.0,1.0
0.005855936153376473,7.922586684643417e-05,0.0026452713107316494,0.0,1.625,1.625
0.005453129992142678,7.039786263492841e-05,0.0025364231889231843,0.0,2.0,2.0
0.0055124689793929855,6.062774654759487e-05,0.0024289434071500453,0.0,2.0,2.0
0.0054296855083945435,5.714113237818599e-05,0.0022982415232605143,0.0,2.0,2.0
0.005275113030391737,6.046265075521604e-05,0.00224961861712598,0.0,1.375,1.375
0.005215774043141431,9.742869977712416e-05,0.0021207488745168565,0.0,1.625,1.625
0.00553520390157172,4.284052408103009e-05,0.002284267080058472,0.0,0.75,0.75
0.00709871928767867,1.342244904734487e-05,0.002341266334946074,0.0,0.625,0.625
0.008781915142861247,1.4047762303151803e-05,0.0023795631854321396,0.0,1.625,1.625
0.009103418993245939,1.5291045877385305e-05,0.0024383788812256343,0.0,2.0,2.0
0.00866299216465065,1.2173072908086524e-05,0.002491936158867463,0.0,1.375,1.375
0.008425636215649415,1.217440617136718e-05,0.0025210401851898903,0.0,1.0,1.0
0.007456161898732805,2.5681498393718982e-05,0.002423411243099998,0.0,1.625,1.625
0.005893297709313076,7.976812858999718e-05,0.002299615110728002,0.0,2.0,2.0
0.004531185403823027,0.00012189261394307858,0.0021170473644087674,0.0,1.375,1.375
0.0034879946472871647,0.0001919689987708155,0.0019760172632580673,0.0,1.0,1.0
0.003250638698285928,0.00019317237413629242,0.0019413834589482194,0.0,0.375,0.375
0.0031319607237853143,0.00034596657688428775,0.0017371720939319247,0.0,1.25,1.25
0.0030726217365350055,0.00043920528027867475,0.0017114293275332464,0.0,1.375,1.375
0.0033915432854892138,0.00028946522588447154,0.0018911105766577026,0.0,0.375,0.375
0.00427894370130791,0.00027259488594853434,0.0019815764906218726,0.0,0.625,0.625
0.005500294323468085,0.00024270527236905162,0.002100918040295876,0.0,1.625,1.625
0.0063750871857316,0.0002388240498173599,0.002077121673702592,0.0,2.0,2.0
0.006281985529602826,0.0002481542973482396,0.0019563295136827753,0.0,1.375,1.375
0.005855936153376473,0.00017870753758122008,0.0019716453729767772,0.0,1.0,1.0
0.005453129992142678,0.000122462443924038,0.0019323711666753838,0.0,1.0,1.0
0.0055124689793929855,9.663295337329586e-05,0.0019010119652647902,0.0,1.0,1.0
0.0054296855083945435,4.55930504590756e-05,0.0019128131020314206,0.0,1.0,1.0
0.005275113030391737,2.656394732508978e-05,0.0017446982045005977,0.0,1.625,1.625
0.005215774043141431,8.87007063295476e-06,0.0015473164487552996,0.0,2.0,2.0
0.00553520390157172,6.718119292091764e-06,0.0014821895410274566,0.0,1.375,1.375
0.00709871928767867,0.0,0.0017336119356830592,0.0,0.375,0.375
0.008781915142861247,0.0,0.0016721512596286725,0.0,0.0,0.0
0.009103418993245939,1.2611301193970583e-06,0.0017758001720107703,0.0,0.625,0.625
0.00866299216465065,3.838482535306809e-06,0.0018674678961849499,0.0,0.375,0.375
0.008425636215649415,4.8958409296414076e-06,0.0019428114992318464,0.0,0.0,0.0
0.007456161898732805,7.483121414724153e-06,0.0019583049647927055,0.0,0.0,0.0
0.005893297709313076,9.10363761974666e-06,0.001908412083019808,0.0,0.0,0.0
0.004531185403823027,1.91170652632004e-05,0.0017934673565192173,0.0,0.0,0.0
0.0034879946472871647,9.18193315662012e-05,0.0017044910740504505,0.0,0.625,0.625
0.003250638698285928,0.00012963349491919548,0.0017775520777413797,0.0,0.375,0.375
0.0031319607237853143,0.00016539495546307527,0.0018280825312751378,0.0,0.0,0.0
0.0030726217365350055,0.00020908488845282995,0.0017528847189327555,0.0,0.0,0.0
0.0033915432854892138,0.00020610667016558411,0.0017928812395079392,0.0,0.0,0.0
0.00427894370130791,0.00016746190942691248,0.0019437597111442917,0.0,0.0,0.0
0.005500294323468085,8.71715133360875e-05,0.002206905667349725,0.0,0.0,0.0
0.0063750871857316,7.34504079545874e-05,0.0022838018717757547,0.0,0.0,0.0
0.006281985529602826,0.00012759318360088318,0.002140165540902009,0.0,0.0,0.0
0.005855936153376473,9.935551295303423e-05,0.002116089535275722,0.0,0.0,0.0
0.005453129992142678,3.615036498254759e-05,0.0020535937995843703,0.0,0.625,0.625
0.0055124689793929855,1.4640048976601033e-05,0.0019077360241740535,0.0,1.0,1.0
0.0054296855083945435,4.310632804754668e-06,0.0017763043135150302,0.0,1.0,1.0
0.005275113030391737,7.125549865534616e-06,0.0016497756909849186,0.0,1.0,1.0
0.005215774043141431,7.793084066405758e-06,0.0014742482285571563,0.0,1.625,1.625
0.00553520390157172,2.725946371054129e-05,0.001377741114165435,0.0,2.625,2.625
0.00709871928767867,1.0765527526397652e-05,0.0015360934189686136,0.0,3.0,3.0
0.008781915142861247,1.1824982111024208e-05,0.001705836829922065,0.0,3.625,3.625
0.009103418993245939,1.491927737975177e-05,0.002047384165860275,0.0,2.75,2.75
0.00866299216465065,1.8825045839888817e-05,0.0020844636485203107,0.0,2.625,2.625
0.008425636215649415,2.3202335229504996e-05,0.002168383144200418,0.0,2.375,2.375
0.007456161898732805,6.12136269965743e-05,0.0021495994014533062,0.0,2.625,2.625
0.005893297709313076,0.0002619899787079426,0.00186861790623778,0.0,3.625,3.625
0.004531185403823027,0.00035207316951673615,0.001657169195552604,0.0,2.75,2.75
0.0034879946472871647,0.0006715685111761123,0.0013519172274459332,0.0,2.625,2.625
0.003250638698285928,0.0014672408860962698,0.0009354821807043228,0.0,4.25,4.25
0.0031319607237853143,0.0014268604592412464,0.0008888598669335407,0.0,3.75,3.75
0.0030726217365350055,0.0012710295593446452,0.0009030486177140492,0.0,3.0,3.0
0.0033915432854892138,0.001141645739188765,0.0009323444767550308,0.0,2.375,2.375
0.00427894370130791,0.0011292340938105986,0.0009683326620066327,0.0,2.625,2.625
0.005500294323468085,0.0004828741851472928,0.001614086514840548,0.0,1.75,1.75
0.006366627624416327,0.0002601699063373433,0.0019787927485518603,0.0,1.0,1.0
0.0060960031999666865,0.00045691885729198014,0.0015116680874459152,0.0,1.0,1.0
0.005669953823740333,0.0006785068851986528,0.001224534198775068,0.0,1.625,1.625
0.00526714766250654,0.0006783898350222282,0.001138449029740024,0.0,2.0,2.0
0.005326486649756846,0.0008371923513599313,0.0009743661716158349,0.0,2.625,2.625
0.00526714766250654,0.0006553988767066582,0.001068533268572796,0.0,1.75,1.75
0.005089130700755599,0.0008233218430675382,0.0009561759678836311,0.0,1.625,1.625
0.005029791713505292,0.0009008716595818486,0.0008394786250879679,0.0,1.375,1.375
0.00534922157193558,0.0005584910846206007,0.0011548877104907175,0.0,0.375,0.375
0.0069127369580425264,0.000638156706819602,0.001164276960440996,0.0,1.25,1.25
0.008773455581545972,0.00030694704829553127,0.00174948254623605,0.0,1.375,1.375
0.009103418993245939,0.00014434830212770313,0.002551802784424292,0.0,0.375,0.375
0.00866299216465065,0.00015149281062727253,0.002425498583850549,0.0,0.625,0.625
0.008425636215649415,0.00025506082935056537,0.0019019957794999451,0.0,1.625,1.625
0.007456161898732805,0.0005411447777912618,0.0013973141028599725,0.0,2.625,2.625
0.005893297709313076,0.0013485131974282992,0.0008092866353943888,0.0,3.625,3.625
0.004531185403823027,0.0009439511719258865,0.0009174386970957426,0.0,1.5,1.5
0.0034879946472871647,0.000763589989756177,0.0008928294643189707,0.0,0.0,0.0
0.003250638698285928,0.0009275314425455137,0.000712238247563113,0.0,0.0,0.0
0.0031319607237853143,0.0019659975307288976,0.00031202107195025413,0.0,1.875,1.875
0.0030726217365350055,0.002364308795254732,0.00018658535967092823,0.0,2.375,2.375
0.0033915432854892138,0.0018156650959104109,0.0003351904017527926,0.0,1.375,1.375
0.00427894370130791,0.001341086161073534,0.0005113009968664719,0.0,1.0,1.0
0.005500294323468085,0.000589131664306265,0.0011348342384594,0.0,0.375,0.375
0.006366627624416327,0.0005346113571095278,0.0012586390291808329,0.0,0.625,0.625
0.0060960031999666865,0.000712065335978743,0.0009564524630073857,0.0,0.375,0.375
0.005669953823740333,0.0005262918565919137,0.0010089459375701533,0.0,0.0,0.0
0.00526714766250654,0.0003739058772165791,0.0010952381605493138,0.0,0.0,0.0
0.005326486649756846,0.0003691837551403089,0.0010016791853765406,0.0,0.625,0.625
0.00526714766250654,0.00013853001532506892,0.0014931716826125149,0.0,0.375,0.375
0.005089130700755599,4.3032010352428445e-05,0.001581940797448504,0.0,1.25,1.25
0.005029791713505292,1.7069248120215673e-05,0.0017684366892832461,0.1175625,2.0,2.0
0.00534922157193558,2.7790079195945097e-05,0.0017471543192171162,0.51,2.625,2.625
0.0069127369580425264,6.157629360638895e-06,0.0017744307602224453,0.1981875,1.75,1.75
0.008773455581545972,2.0394090236813564e-05,0.0019351139655710919,0.0,1.625,1.625
0.009103418993245939,3.130245286149141e-05,0.002204274096493743,0.0,2.0,2.0
0.00866299216465065,3.4283814596560314e-05,0.0022619865967386014,0.0,2.0,2.0
0.008425636215649415,5.2575035625045236e-05,0.0023153720337183545,0.0,2.0,2.0
0.007456161898732805,5.289056926508716e-05,0.002431999142974197,0.0,1.375,1.375
0.005893297709313076,0.00013148878703561864,0.002004264118396686,0.0,1.625,1.625
0.004531185403823027,0.0005046634298173865,0.0011711345248524466,0.0,2.625,2.625
0.0034879946472871647,0.0008478905774539786,0.0007777379430688333,0.0,2.375,2.375
0.003250638698285928,0.0010459839603394342,0.0006054152088449058,0.0,2.0,2.0
0.0031319607237853143,0.0016182156345725962,0.00038049618072701606,0.0,2.625,2.625
0.0030726217365350055,0.0017154056567708052,0.00032068823880656205,0.0,2.375,2.375
0.0033915432854892138,0.0015643009516534056,0.0003352811099619187,0.0,2.0,2.0
0.00427894370130791,0.0010639394892191906,0.0006008259319941078,0.0,1.375,1.375
0.005500294323468085,0.0006970797227989382,0.000987810063445117,0.0,1.625,1.625
0.0063750871857316,0.0003777720106293988,0.0015137875634508506,0.0,0.75,0.75
0.006281985529602826,0.0005135836762960341,0.0011374529188523273,0.0,0.625,0.625
0.005855936153376473,0.00043356426026056055,0.0011298633929477855,0.0,0.375,0.375
0.005453129992142678,0.0002477868756710296,0.0013943607023178721,0.0,0.625,0.625
0.0055124689793929855,3.434631627152093e-05,0.0019413323008090628,0.11025,1.625,1.625
0.0054296855083945435,2.3463814966392008e-05,0.0019881472320533193,0.5743125,2.625,2.625
0.005275113030391737,7.222742973974529e-06,0.00197590790683121,0.7066875,2.375,2.375
0.005215774043141431,0.0,0.0021483401742386017,0.7093125,1.375,1.375
0.00553520390157172,0.0,0.002011066415106886,0.5589375,1.625,1.625
0.00709871928767867,1.4400980176668615e-06,0.0016324666710165606,0.202875,1.375,1.375
0.008781915142861247,0.0,0.0017177460928446647,0.0,1.0,1.0
0.009103418993245939,0.0,0.0021345396777858175,0.0,1.0,1.0
0.00866299216465065,0.0,0.0023984197098124794,0.0,0.375,0.375
0.008425636215649415,0.0,0.002446517702382115,0.0,0.625,0.625
0.007456161898732805,0.0,0.002680633469249143,0.0,1.0,1.0
0.005893297709313076,5.135785099561366e-06,0.0028282203583624107,0.0,1.0,1.0
0.004531185403823027,4.210182720968402e-05,0.0025550293604308673,0.0,1.0,1.0
0.0034879946472871647,0.00010763922985881982,0.0022152479584441483,0.0,1.0,1.0
0.003250638698285928,0.00018644627804909804,0.0020442444553035737,0.0,1.0,1.0
0.0031319607237853143,0.00015983019400498682,0.002060809500799651,0.0,0.375,0.375
0.0030726217365350055,0.0003785583870069793,0.0017251132400461949,0.0,1.25,1.25
0.0033915432854892138,0.0005736048183548788,0.0014710745560697844,0.0,2.0,2.0
