Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,4.115662962593254e-05,0.0048837257803457474,0.0,2.6875,2.6875
0.0027177459334007717,9.082452838444167e-05,0.0044645507202272896,0.0,2.5,2.5
0.0024809646194858446,0.00010226939532816889,0.004151355826297446,0.0,0.9375,0.9375
0.0024809646194858446,0.0001294471417356097,0.0038875358057098653,0.0,0.0,0.0
0.002882537406248412,0.00017844983176021218,0.0036391284031731816,0.0,0.0,0.0
0.004371561121482508,0.00020847619860509895,0.0037932336065374835,0.0,0.0,0.0
0.008425840183298587,0.00017667153533619865,0.004693205210811529,0.0,0.0,0.0
0.011100431936312674,0.0038627032811338166,0.005708445654973642,0.0391875,0.0,0.0
0.014166161993485511,9.598958458037234e-05,0.00407213600889656,0.15675,0.0,0.0
0.010522627273894714,9.996416467136908e-05,0.008147569224471383,0.09875,0.0,0.0
0.005240069508486821,3.6677634982708024e-05,0.005482479373271834,0.443625,0.0,0.0
0.005076457617312157,6.198304747358157e-07,0.0029143635263102524,0.4320625,0.0,0.0
0.004988318205873529,6.288308783938176e-06,0.0031452493029019237,0.1568125,0.0,0.0
0.005107165319015567,5.09357646232618e-07,0.005649163420582115,0.49275,0.0,0.0
0.005123134479362029,2.02056548479595e-06,0.004393262275078949,0.1588125,1.875,1.875
0.005131033562077399,7.499016538169073e-07,0.005042099747609445,0.471,3.0,3.0
0.006789384481763255,0.00011198907848250397,0.008520424500093075,0.03925,3.0,3.0
0.0089372380351858,1.1983246241549969e-06,0.007137824329687483,0.0,3.0,3.0
0.010721271066979914,1.3651346976094904e-06,0.0036177571033381133,0.0,3.0,3.0
0.010142804134590254,6.156807097361051e-05,0.009033303412158779,0.0,3.0,3.0
0.010821214737239905,1.5914633961984945e-06,0.008241613651990134,0.0,3.0,3.0
0.010170111750374373,1.3358371754340742e-06,0.008101948549478594,0.0,3.0,3.0
0.007119309766168257,1.2912819397826075e-06,0.006975596189379643,0.0,3.0,3.0
0.0037958367599202777,1.5977978918474642e-05,0.005361253654741695,0.0,3.0,3.0
0.002650094129425078,3.196540135004164e-05,0.004763559160435399,0.0,3.0,3.0
