Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,0.0004270452731485806,0.003238859234192508,0.0,1.9375,1.9375
0.0027177459334007717,0.0005608826722765422,0.0027443974182592675,0.0,2.5,2.5
0.0024809646194858446,0.0006338875984129691,0.0025453438704478018,0.0,1.5625,1.5625
0.0024809646194858446,0.0007124538194535923,0.0024282876447649514,0.0,1.0,1.0
0.002882537406248412,0.0007597507360402177,0.002237568760068525,0.0,1.0,1.0
0.004371561121482508,0.0007923993664499364,0.0024262235273546508,0.0,1.0,1.0
0.008425840183298587,0.0007596105928993763,0.0030310642359451753,0.0,1.0,1.0
0.011116803771805298,0.005303416557060068,0.004243118726883266,0.019875,1.0,1.0
0.014334037366574626,0.0003158875443294767,0.0030372568539699823,0.1288125,2.25,2.25
0.01057914832582826,0.0005163079740005781,0.006304191983972325,0.2723125,3.0,3.0
0.005311300289072225,0.000503345498373589,0.0035814924913296652,0.37325,3.0,3.0
0.005158890476917082,0.00015997992290363246,0.002093803714747521,0.3550625,3.0,3.0
0.005074126829975244,0.00011807059584347706,0.0020619260846694823,0.1323125,3.0,3.0
0.00512866505817376,6.27017897892697e-05,0.0048591333573373904,0.54525,3.0,3.0
0.005189598178620493,1.4109007058054812e-05,0.0034933573788187076,0.6395625,3.625,3.625
0.005229965613480303,8.048333159535573e-06,0.0041022875139909,0.433,4.0,4.0
0.006919778174704642,0.00034381396928811505,0.005902407849836506,0.0325625,4.0,4.0
0.0089372380351858,0.0015387060269022913,0.005133135354807671,0.0,4.0,4.0
0.010721271066979914,0.00011787258183407124,0.0027087954395280476,0.0,4.0,4.0
0.010142804134590254,0.00033566412555354386,0.006559874672634368,0.0,4.0,4.0
0.010821214737239905,0.0001598601625540812,0.006250885466325511,0.0,2.125,2.125
0.010170111750374373,0.00014560398160928307,0.00645136798965483,0.0,1.0,1.0
0.007119309766168257,0.0001848517740338152,0.005285757066078819,0.0,1.0,1.0
0.0037958367599202777,0.0002913677993129297,0.0038519507787323545,0.0,1.0,1.0
0.002650094129425078,0.00038518543763199165,0.0033708717499981297,0.0,1.0,1.0
0.002582442325449385,0.00045603521382109633,0.002964165507650596,0.0,1.0,1.0
0.0024809646194858446,0.0004932986685738406,0.0027482786413977438,0.0,0.375,0.375
0.0024809646194858446,0.000542512810252009,0.0025981569690660465,0.0,0.0,0.0
0.002882537406248412,0.000624413034469042,0.0024835475744458563,0.0,0.0,0.0
0.004540690631421741,0.0006027091655075046,0.0029089883198583828,0.0,0.0,0.0
0.010046761581251649,0.0004336256461453876,0.0046836032108652755,0.0,0.0,0.0
0.012881825490389662,0.004902320938840168,0.005567991621218339,0.0215625,0.0,0.0
0.011628567067021353,0.0002562444976352975,0.0030669132519475276,0.08625,1.25,1.25
0.01014990371604894,0.0005901738802421967,0.005352305304459519,0.0803125,2.0,2.0
0.005364327041022499,0.0005026184412914697,0.0034179411961325697,0.2925,2.0,2.0
0.005274028233769561,0.0001434915075036318,0.0020577775671638348,0.024375,2.0,2.0
0.005122071438399631,0.00013552051172632346,0.0020125550499046126,0.111375,2.0,2.0
0.0052281449427241415,5.688925487420137e-05,0.0048255934770089675,0.5694375,2.0,2.0
0.005244721956533213,7.705307888627132e-07,0.0038762187360809257,0.6313125,1.375,1.375
0.005301666405202092,3.044724663077205e-07,0.004615171476666654,0.4350625,1.0,1.0
0.006987929062355003,0.00017133069638943028,0.007142448657935415,0.0328125,1.0,1.0
