Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,1.3955392906851019e-06,0.0060636193744116875,0.0,0.625,0.625
0.0027177459334007717,2.1332867638417482e-06,0.005512433364339651,0.0,1.625,1.625
0.0024809646194858446,4.413280152046328e-06,0.005120071001834312,0.0,1.375,1.375
0.0024809646194858446,1.196646793247093e-05,0.00481895411653483,0.0,1.625,1.625
0.002882537406248412,1.628273604538622e-05,0.004581505502683097,0.0,2.0,2.0
0.004371561121482508,1.4418041478632491e-05,0.004803268254329122,0.0,0.75,0.75
0.008425840183298587,4.2883367637142255e-06,0.0056472246135465575,0.0,0.625,0.625
0.011111202732295539,0.0019709824280129936,0.006313944186403073,0.0,2.25,2.25
0.014204794458750641,1.0547770392339368e-06,0.004183236550612932,0.042375,2.375,2.375
0.010506813757570435,7.548330117589024e-05,0.008808914674349012,0.258,1.375,1.375
0.005284425615124485,1.0460658190066768e-06,0.006783655851603863,0.4795,1.625,1.625
0.005097957356470349,3.937672442238239e-07,0.0034883915718584312,0.6064375,1.375,1.375
0.005009817945031723,5.2884033821647e-07,0.00448590092198153,0.7081875,1.0,1.0
0.005151069216212804,6.253792886834168e-07,0.00577622332676835,0.7641875,1.625,1.625
0.005205722982989137,5.563409233748058e-07,0.005898714980492823,0.7283125,2.625,2.625
0.0052346548727961505,4.299480369701762e-05,0.005699291903861445,0.5959375,3.625,3.625
0.006757467358108757,0.00011524569178977934,0.01023567126051519,0.265375,4.0,4.0
0.0089372380351858,1.2565307764808998e-06,0.008551135639091247,0.0186875,4.0,4.0
0.010721271066979914,1.524060960077301e-06,0.004525883265504037,0.0,4.0,4.0
0.010142804134590254,1.6568754420553604e-05,0.010586327567470027,0.0,3.375,3.375
0.010821214737239905,6.868605591378275e-07,0.009860115992224871,0.0,1.75,1.75
0.010170111750374373,1.5061771182927904e-06,0.009681854828888855,0.0,1.625,1.625
0.007119309766168257,8.200726107687837e-07,0.008470073456523819,0.0,0.75,0.75
0.0037958367599202777,1.1007836858886455e-06,0.0067621136221801175,0.0,0.0,0.0
0.002650094129425078,1.1983576549336803e-06,0.006159298734665102,0.0,0.0,0.0
0.002582442325449385,3.856386828626595e-06,0.005492803809394322,0.0,1.25,1.25
0.0024809646194858446,1.3005584029198768e-05,0.0049682099861884325,0.0,2.625,2.625
0.0024809646194858446,1.8027570541453724e-05,0.004655900228396241,0.0,3.0,3.0
0.002882537406248412,1.7432468212881672e-05,0.004483726905899719,0.0,2.375,2.375
0.004540690631421741,1.4225928034589707e-05,0.004984152508129178,0.0,1.375,1.375
0.010046761581251649,1.708802615472106e-06,0.006673078672067829,0.0,2.875,2.875
0.012876224450879898,0.0018366206163895884,0.00739658226285978,0.0,2.125,2.125
0.011518753971731183,2.0437033001114e-06,0.0031939864689725776,0.039375,3.5,3.5
0.010059429711078222,7.020381419889342e-05,0.007800067762580109,0.2349375,1.875,1.875
0.005348280058664945,6.518909951991847e-07,0.006717247489363904,0.429375,0.0,0.0
0.005202812175810279,1.0626565731509651e-06,0.0035787738844305283,0.5826875,1.25,1.25
0.00510100006055576,6.893007379779843e-07,0.004472256362943017,0.7043125,2.0,2.0
0.005289078063170875,3.2575262288662263e-07,0.005855773601178898,0.7641875,1.375,1.375
0.005381010988187978,5.323723842815959e-07,0.005943852784290949,0.7294375,2.25,2.25
0.005455359047535689,0.00012934450375791522,0.005667629038616339,0.599375,8.0,8.0
0.006940120600365134,9.037910733866626e-05,0.010447270853018343,0.273,9.75,9.75
0.00933302262186616,1.214410395763788e-06,0.00893278315047178,0.0193125,8.375,8.375
0.010309895396238593,1.4744712473610612e-06,0.004363225523340723,0.0,7.375,7.375
0.009900557973788167,1.6970151199676343e-05,0.010478558343283758,0.0,5.125,5.125
0.010821214737239905,1.6954416254561067e-06,0.00983756907091002,0.0,4.625,4.625
0.009865678632483749,9.61493692594398e-07,0.009945983004854162,0.0,3.125,3.125
0.006645747138338401,1.234691795326794e-06,0.008646163273668362,0.0,2.0,2.0
0.0035590554460053496,1.2570948847038078e-06,0.0068106544209441035,0.0,2.0,2.0
0.002650094129425078,1.2560544064456246e-06,0.00604421813975529,0.0,2.0,2.0
0.002582442325449385,1.3809167483781333e-06,0.00551701831981453,0.0,2.0,2.0
