Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,1.614973840202837e-06,0.006653538945063139,0.0,1.9375,1.9375
0.0027177459334007717,1.7534025287063006e-06,0.006048483542020853,0.0,2.5,2.5
0.0024809646194858446,2.1997546303477544e-07,0.005727498067569141,0.0,0.9375,0.9375
0.0024809646194858446,1.0643621488651224e-06,0.005468217158256159,0.0,0.0,0.0
0.002882537406248412,1.3089631753882217e-06,0.005217588972212313,0.0,0.0,0.0
0.004371561121482508,1.2548444920994318e-06,0.0052907585033439095,0.0,0.0,0.0
0.008425840183298587,1.211875986260341e-06,0.006027861032981791,0.0,0.0,0.0
0.011098852445167194,0.0016128727906258827,0.006862620969896023,0.0495,0.0,0.0
0.014153525344573417,1.4526468736199453e-06,0.004628613038879174,0.198,0.625,0.625
0.010508946783579777,0.00010997321113366695,0.009159671961258008,0.12075,1.0,1.0
0.005245444443276369,9.263089907624572e-07,0.007428526762469239,0.56625,1.0,1.0
0.005097957356470349,5.192598974163442e-07,0.0038567830500301063,0.769,1.0,1.0
0.004993693140663077,3.8593000179449665e-07,0.0047361576743913955,0.59875,1.0,1.0
0.005095963239996045,7.42224503956732e-06,0.005336717056666846,0.1895625,1.0,1.0
0.005123290123384211,3.5476153111496225e-07,0.006556134751552088,0.7096875,1.0,1.0
0.005152985510676017,0.00020401138965736815,0.006820003200778854,0.6903125,1.0,1.0
0.006632040115285881,0.0001063403673501884,0.011969829367629838,0.4633125,1.0,1.0
0.008918855425511036,1.1340596343716444e-06,0.010276132215894612,0.034875,1.0,1.0
0.010721271066979914,1.3538640706641077e-06,0.005197525431408404,0.0,1.0,1.0
0.010142804134590254,4.185154342180702e-05,0.01161318403632648,0.0,1.0,1.0
0.010821214737239905,1.8611884028927462e-06,0.010880710123262353,0.0,1.0,1.0
0.010170111750374373,1.441281928492839e-06,0.01072984499926323,0.0,1.0,1.0
0.007119309766168257,1.362731058436452e-06,0.009327053714831812,0.0,1.0,1.0
0.0037958367599202777,1.2956797090319616e-06,0.007450889584753204,0.0,1.0,1.0
0.002650094129425078,1.3090234158677075e-06,0.006740885819771442,0.0,1.0,1.0
0.002582442325449385,1.461039357795866e-06,0.006133855355177856,0.0,1.0,1.0
0.0024809646194858446,7.449084104112169e-07,0.005742943751714156,0.0,0.375,0.375
0.0024809646194858446,1.2387889963805361e-06,0.00544084769187915,0.0,0.0,0.0
0.002882537406248412,1.3233766160442714e-06,0.005191699349259261,0.0,0.0,0.0
0.004540690631421741,1.248981866436224e-06,0.0055902070155739595,0.0,0.0,0.0
0.010046761581251649,1.2005854789211585e-06,0.0072818164303598025,0.0,0.0,0.0
0.012861863389569416,0.0015131066098782,0.008083195385463676,0.0331875,0.0,0.0
0.011437339272682747,1.126105589218457e-06,0.003574267834883412,0.13275,0.0,0.0
0.010071904121995625,9.822688037083224e-05,0.008485971468837731,0.080625,0.0,0.0
0.005298549017237733,9.83846398510668e-07,0.007121967029687342,0.27825,0.0,0.0
0.005191906662209,7.646847062593954e-07,0.0032124433179579357,0.0231875,0.0,0.0
0.0050682982423780444,2.5847682470342e-06,0.0034263059956102008,0.0,0.0,0.0
0.0052120201383554976,7.400183284131524e-07,0.0045371902713058285,0.1059375,0.0,0.0
0.0052120201383554976,6.52738618440723e-07,0.005640748047306933,0.558375,1.25,1.25
0.0051701103576325645,0.0001734430484151844,0.006465872591700059,0.6791875,2.0,2.0
0.0066645148392532995,9.053605047251449e-05,0.012062103005126359,0.466375,2.0,2.0
0.009305674812074227,1.130459079109723e-06,0.010525229910069756,0.035125,2.0,2.0
0.010309895396238593,1.4068949669180088e-06,0.005084134841824281,0.0,2.0,2.0
0.009900557973788167,8.132569582359229e-05,0.011451787671228564,0.0,2.0,2.0
0.010821214737239905,1.3966754177784082e-06,0.010763315059167106,0.0,1.375,1.375
0.009865678632483749,1.3689292453573046e-06,0.010729777185914832,0.0,1.0,1.0
0.006645747138338401,1.3336505045037657e-06,0.009197629386800061,0.0,1.0,1.0
0.0035590554460053496,1.2802093679967708e-06,0.007352603408143942,0.0,1.0,1.0
0.002650094129425078,1.2935252156819516e-06,0.006533967880281129,0.0,1.0,1.0
0.002582442325449385,1.4289161759282766e-06,0.0059706367246182435,0.0,1.0,1.0
0.0024809646194858446,7.649041544288888e-07,0.005590866206472036,0.0,0.375,0.375
0.0024809646194858446,1.2321451502798975e-06,0.005286967361883488,0.0,0.0,0.0
0.002882537406248412,1.3131246085435697e-06,0.005051468657544285,0.0,0.0,0.0
0.004540690631421741,1.2371598437574644e-06,0.00547380907515787,0.0,0.0,0.0
0.010046761581251649,1.1924491177435196e-06,0.007128998382814248,0.0,0.0,0.0
0.012861863389569416,0.001279322405272028,0.008013994567825804,0.0395625,0.0,0.0
0.01142470921774316,1.071440925598091e-06,0.0035723358839125623,0.2986875,0.0,0.0
0.009961669641831145,0.00010636915295710729,0.009628487244693153,0.657625,0.0,0.0
0.0052873469382182115,8.637048085191109e-07,0.007910297071468522,0.3775625,0.0,0.0
0.005181312436652086,6.347181867646238e-07,0.003462689362429867,0.1359375,0.0,0.0
0.0050682982423780444,6.388866466159091e-07,0.004579749400410119,0.4335,0.0,0.0
0.0052120201383554976,1.6606454843974435e-05,0.005296474983275642,0.036125,0.0,0.0
0.005217317251133955,1.2466206653445185e-06,0.005533864172062272,0.0,1.25,1.25
0.00521024231459808,0.0003149394455808809,0.005621146177384847,0.0,2.0,2.0
0.0067377018047874385,0.00013071195492478534,0.011260457851331169,0.0,2.0,2.0
0.009294041450018045,1.1753043948476962e-06,0.01037904455774704,0.0,2.0,2.0
0.010309895396238593,1.3604305860801614e-06,0.005025737642018505,0.0,2.0,2.0
0.009900557973788167,8.633010705256626e-05,0.011353559768455956,0.0,2.0,2.0
0.010821214737239905,1.3447976446842552e-06,0.010693117382213967,0.0,1.375,1.375
0.009865678632483749,1.3388427806968792e-06,0.010742759800682827,0.0,1.0,1.0
0.006645747138338401,1.3232961830271672e-06,0.009267124665412624,0.0,1.0,1.0
0.0035590554460053496,1.2712465698170216e-06,0.007467046402940979,0.0,1.0,1.0
0.002650094129425078,1.2857509447573709e-06,0.006639026976212573,0.0,1.0,1.0
0.002582442325449385,1.422444270430278e-06,0.006075585202580963,0.0,1.0,1.0
0.0024809646194858446,8.01417153942877e-07,0.005697656347012161,0.0,0.375,0.375
0.0024809646194858446,1.2353119104077143e-06,0.005401940879237879,0.0,0.0,0.0
0.002882537406248412,1.3220560536523352e-06,0.005169312384666839,0.0,0.0,0.0
0.004540690631421741,1.2546885430713135e-06,0.005558073593077182,0.0,0.0,0.0
0.010046761581251649,1.2082615151454955e-06,0.007179925636542443,0.0,0.0,0.0
0.012865453654897038,0.001228504446616505,0.008092626716809478,0.0376875,0.0,0.0
