Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,0.0004921768319520474,0.0025836783871829912,0.0,1.625,1.625
0.0027177459334007717,0.0005832425085340666,0.002291822722014075,0.0,2.0,2.0
0.0024809646194858446,0.0006627741684345095,0.0021546022137648078,0.0,1.375,1.375
0.0024809646194858446,0.0007825660857105554,0.0019685617272407023,0.0,1.625,1.625
0.002882537406248412,0.0008693455537562574,0.0018205270045182464,0.0,2.0,2.0
0.004371561121482508,0.0008679226642471333,0.002142785593335794,0.0,1.375,1.375
0.008425840183298587,0.0006864047110099856,0.0028767672744763146,0.0,0.375,0.375
0.011116803771805298,0.0050336378687624445,0.004099974197377222,0.0,0.0,0.0
0.014393932951849289,0.00029308541892217863,0.0030114324945815876,0.0028125,0.0,0.0
0.010698740127586013,0.0004888842250023274,0.006016113993110637,0.0135,0.0,0.0
0.005397117309545951,0.0006573757350831725,0.0028186945222251833,0.012,1.25,1.25
0.005232233086473405,0.0002861460541495423,0.002015887415406183,0.013875,2.0,2.0
0.0050802119688712335,0.00026315046200727394,0.002010154438197058,0.0201875,1.375,1.375
0.00522001913187152,0.00024934511358489143,0.005082299380367791,0.0029375,1.625,1.625
0.005199394809450913,0.0002561065763372757,0.0026225775042359257,0.00525,2.0,2.0
0.00524779376214883,0.0002508642359944805,0.0036975800406552854,0.0004375,2.0,2.0
0.006801815167911269,0.0008496452840693622,0.0038910056337107058,0.0,2.0,2.0
0.0089372380351858,0.0027860777916570785,0.003940703419626263,0.0,0.75,0.75
0.010721271066979914,0.00023770434368274466,0.0022599574848968973,0.0,1.25,1.25
0.010142804134590254,0.00042029842639972894,0.005298190428914511,0.0,1.375,1.375
0.010821214737239905,0.00027734290031065944,0.0050175435302502,0.0,1.625,1.625
0.010170111750374373,0.00025391491597434444,0.005312297571513886,0.0,1.375,1.375
0.007119309766168257,0.00024329723204638917,0.004385471843815424,0.0,0.375,0.375
0.0037958367599202777,0.0003788400956061699,0.003046035523693666,0.0,0.625,0.625
0.002650094129425078,0.0005233191053680454,0.002561686279519823,0.0,1.625,1.625
0.002582442325449385,0.0006516981090059216,0.0022564101132669873,0.0,2.0,2.0
0.0024809646194858446,0.0006521535903713628,0.0021906857442579083,0.0,0.75,0.75
0.0024809646194858446,0.0006723618102671345,0.0021307249318379988,0.0,0.0,0.0
0.002882537406248412,0.0008024976179708722,0.0019016200688796794,0.0,1.25,1.25
0.004540690631421741,0.0007995809797096224,0.0023129913418390795,0.0,2.0,2.0
0.010046761581251649,0.0005037132519880279,0.0041421734799894,0.0,2.0,2.0
0.012881825490389662,0.004076777608723764,0.0049647535096999105,0.0,2.0,2.0
0.011705039666105085,0.00030563039196928585,0.002893888447227126,0.0,2.0,2.0
0.010383863425428954,0.0006519202751485817,0.004684806001286255,0.0,2.625,2.625
0.005657851673017228,0.00096773224564013,0.0025203017624533196,0.0,3.0,3.0
0.005381656281445845,0.00031147447705005035,0.0019781813905502517,0.0,2.375,2.375
0.005137974996431639,0.0002910229436989684,0.001959513299950892,0.027375,2.0,2.0
0.005223222217375019,0.0002277079282661887,0.004655248354843741,0.1981875,2.625,2.625
0.005217395073145046,0.00016786918763143246,0.0028412969792103436,0.4698125,4.25,4.25
0.005214014254829802,0.00010962602500474855,0.003525789242846375,0.5106875,5.625,5.625
0.006775566288759854,0.0004034219140015832,0.005643234314306854,0.2648125,5.375,5.375
0.009321820542846637,0.0015092150594393262,0.005076164634707698,0.019125,5.0,5.0
0.010309895396238593,0.00016177252699317815,0.0024502149309961647,0.0,5.625,5.625
0.009900557973788167,0.0003742044208237018,0.005975350457454877,0.0,6.0,6.0
0.010821214737239905,0.0002480150719127464,0.005535213012773747,0.0,6.0,6.0
0.009865678632483749,0.00024108467772337302,0.005712324600960852,0.0,5.375,5.375
0.006645747138338401,0.00028013265427427006,0.004475739002226944,0.0,5.0,5.0
0.0035590554460053496,0.0004002557619577102,0.0032248992580110915,0.0,4.375,4.375
0.002650094129425078,0.0005723379663765618,0.0026013990994505176,0.0,5.25,5.25
0.002582442325449385,0.0007726922855768164,0.0021696478547257466,0.0,6.625,6.625
0.0024809646194858446,0.000966370303687149,0.0018886777599978366,0.0,7.625,7.625
0.0024809646194858446,0.0011321850824944643,0.0016336434635125287,0.0,8.625,8.625
0.002882537406248412,0.0012829068275785787,0.0014831391897822512,0.0,9.0,9.0
0.004540690631421741,0.0012378539539551487,0.00191169490642071,0.0,8.375,8.375
0.010046761581251649,0.0007865255245015391,0.0037878165698166993,0.0,5.5,5.5
0.012881825490389662,0.004517477408408196,0.004706758317058218,0.0174375,4.625,4.625
0.011616831803434929,0.0003715198067248536,0.002828811165246904,0.1425,3.75,3.75
0.010137878361456578,0.0007422033666574729,0.005215977486947173,0.4145625,4.25,4.25
0.005397106681211305,0.0008144363089506446,0.003368744504882817,0.6394375,5.625,5.625
0.00526912023104656,0.00026091178092903174,0.002142534795152712,0.7601875,6.0,6.0
0.00510100006055576,0.00021105094917837666,0.0025203011079400085,0.76675,6.0,6.0
0.005255924035552736,0.00012007395719921192,0.005847020174642997,0.7515625,5.375,5.375
0.005283703128381326,6.598723419628472e-05,0.003705148183996656,0.7103125,5.0,5.0
0.005307119162002732,2.8104067419884343e-05,0.004783184548341441,0.5845,3.75,3.75
0.006838457416578169,0.00047223521092251827,0.006766768705774609,0.277,3.0,3.0
0.00933302262186616,0.002257684351350098,0.005794367024781086,0.01975,3.0,3.0
0.010309895396238593,0.00013981509587796876,0.002861553328367139,0.0,3.0,3.0
0.009900557973788167,0.00038711010115041777,0.006742335316610029,0.0,2.375,2.375
0.010821214737239905,0.00020786859377654564,0.006346139604134781,0.0,1.375,1.375
0.009865678632483749,0.00018640618905805124,0.006644578828302189,0.0,0.375,0.375
0.006645747138338401,0.0002197931763981984,0.0053911104284352545,0.0,0.0,0.0
