Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,4.824638730447956e-05,0.004624218568271395,0.0,2.3125,2.3125
0.0027177459334007717,6.0065192648694e-05,0.0041789578358241136,0.0,2.5,2.5
0.0024809646194858446,6.663649404536787e-05,0.0039108502152393225,0.0,2.1875,2.1875
0.0024809646194858446,7.332125440073978e-05,0.003741919946946893,0.0,2.0,2.0
0.002882537406248412,7.664500740389329e-05,0.003639534190477953,0.0,2.0,2.0
0.004371561121482508,8.316358295928358e-05,0.003879596793000001,0.0,2.0,2.0
0.008425840183298587,7.436663374287034e-05,0.004774324983716541,0.0,2.0,2.0
0.011116803771805298,0.0018138914627581625,0.005587589336170487,0.019875,2.0,2.0
0.014219609680864317,2.270833276015997e-05,0.003629018749890264,0.116625,2.0,2.0
0.010501847307451923,0.00011773963591750876,0.008103698593996258,0.2044375,2.0,2.0
0.005234694573697273,6.759524285826165e-06,0.005776595815823576,0.2683125,2.0,2.0
0.005093034631121227,6.585793866010103e-07,0.002822837612769905,0.2511875,2.0,2.0
0.005043229967315879,1.6847831684697392e-05,0.002803049919530433,0.0195625,2.0,2.0
0.005144930783938465,7.901112298215645e-07,0.004476140548914031,0.078375,2.0,2.0
0.0051125402538051146,7.560300841283738e-07,0.004292922569069483,0.3135,2.0,2.0
0.00524779376214883,9.850058809799615e-07,0.004592889552139145,0.026125,2.0,2.0
0.006812530940248665,0.00011957880695025592,0.008093136426086677,0.0,2.0,2.0
0.0089372380351858,0.0005371866373494173,0.006926484632116288,0.0,2.0,2.0
0.010721271066979914,1.3602538323521562e-06,0.0034558320881542086,0.0,2.0,2.0
0.010142804134590254,5.8466715060653944e-05,0.008595807982534079,0.0,2.0,2.0
0.010821214737239905,1.3803085170650786e-06,0.007832223421356125,0.0,2.0,2.0
0.010170111750374373,1.2291893604432068e-06,0.00778660505176281,0.0,2.0,2.0
0.007119309766168257,1.2278331037487232e-06,0.006778218775714047,0.0,2.0,2.0
0.0037958367599202777,2.2148726217755855e-05,0.005213704141923295,0.0,2.0,2.0
0.002650094129425078,5.785407812817794e-05,0.004652954151015128,0.0,2.0,2.0
0.002582442325449385,9.368149518395886e-05,0.004230272038853863,0.0,2.0,2.0
0.0024809646194858446,0.0001189981921316013,0.0039051079626556094,0.0,2.0,2.0
0.0024809646194858446,0.0001446616066880594,0.003587630038205798,0.0,2.0,2.0
0.002882537406248412,0.00017327182370671142,0.0033731821415653703,0.0,2.0,2.0
0.004540690631421741,0.000202563364208477,0.003837812237338065,0.0,2.0,2.0
0.010046761581251649,0.0001418269485661815,0.005979489090636856,0.0,2.0,2.0
0.012881825490389662,0.0030231000694690563,0.006584694003896934,0.023625,2.0,2.0
0.011541310620677026,7.9712078109903e-05,0.0032300254213413287,0.0945,1.375,1.375
0.010160473591452043,0.00020280021176492094,0.0066518392595417055,0.007875,1.0,1.0
0.0054240669822749775,8.832636323253905e-05,0.0040996645208269695,0.0,1.0,1.0
0.00524331852020513,1.2993639792686223e-05,0.0022844159599775217,0.078,1.0,1.0
0.0050682982423780444,1.224696853963471e-05,0.002670689953571034,0.312,1.0,1.0
0.005228519330153477,5.835586179474824e-07,0.004903710439428694,0.1180625,1.0,1.0
0.0052120201383554976,8.942231510486944e-07,0.004321927033148996,0.4725,1.625,1.625
0.0051920623062311835,5.080484166399921e-07,0.005259491584618052,0.52475,2.0,2.0
0.006740575800550612,0.00010889057043639652,0.009255503662511825,0.343,2.0,2.0
0.009321820542846637,8.105799420029538e-05,0.007612306703501115,0.0256875,2.0,2.0
0.010309895396238593,1.2911022244282934e-06,0.003583462629202615,0.0,2.0,2.0
0.009900557973788167,3.727841440049333e-05,0.008912378354171678,0.0,2.0,2.0
0.010821214737239905,2.70496208951941e-07,0.008254900759356192,0.0,0.75,0.75
0.009865678632483749,1.0892952507363224e-06,0.008317211641379298,0.0,0.0,0.0
0.006645747138338401,1.1719476945633122e-06,0.007091273507859364,0.0,0.0,0.0
0.0035590554460053496,1.0121639434044444e-05,0.005506925409624414,0.0,0.0,0.0
0.002650094129425078,2.349033999311126e-05,0.0048335056393690725,0.0,0.0,0.0
0.002582442325449385,4.229709961791927e-05,0.004393668408510924,0.0,0.0,0.0
0.0024809646194858446,6.349675653112104e-05,0.004110825937134154,0.0,0.0,0.0
0.0024809646194858446,7.892229600787231e-05,0.0039054109179516385,0.0,0.0,0.0
0.002882537406248412,8.883324394431464e-05,0.0037616708141204338,0.0,0.0,0.0
0.004540690631421741,9.383977215150773e-05,0.004235397003755462,0.0,0.0,0.0
0.010046761581251649,6.567278887558167e-05,0.006033695199126766,0.0,0.0,0.0
0.012881825490389662,0.0017800979597983792,0.0067074727894982375,0.0,0.0,0.0
0.011716241745124607,5.529714066163886e-05,0.002917048304711029,0.0,1.25,1.25
0.010436004683668173,0.00018848771715788507,0.0063600419710345855,0.0,2.0,2.0
0.005772431849634337,0.00013941041639022058,0.004106365080621998,0.0,2.0,2.0
0.005677147217647306,6.927390664454541e-05,0.002280070553392898,0.0,2.0,2.0
0.005516401152238813,0.00010190570452568605,0.0022400360984222425,0.0,2.0,2.0
0.005707854919350717,8.169278439752545e-05,0.004582080943215435,0.0,2.0,2.0
0.005707854919350717,7.977526214642832e-05,0.0032600560384779395,0.0,0.75,0.75
0.005677147217647306,8.202948970370494e-05,0.003947883679996834,0.0,0.0,0.0
0.00707111384993398,0.00036319102625515713,0.006076328679760895,0.0,0.0,0.0
0.00933302262186616,0.0017352281229984817,0.005805572904732442,0.0,0.0,0.0
0.010309895396238593,9.897661954195868e-05,0.002955632216303185,0.0,0.0,0.0
0.009900557973788167,0.0001900939989858659,0.007233753787393214,0.0,0.0,0.0
0.010821214737239905,0.00011046765504951598,0.006620765643766813,0.0,1.25,1.25
0.009865678632483749,0.00010202843360309144,0.006734702489834128,0.0,2.0,2.0
0.006645747138338401,0.000129551272006498,0.005653512706300859,0.0,2.0,2.0
0.0035590554460053496,0.00017411339012689294,0.004190458849551562,0.0,2.0,2.0
0.002650094129425078,0.00022508472510307393,0.0035997042715720257,0.0,2.0,2.0
0.002582442325449385,0.0002621012963523718,0.003261231393841213,0.0,2.0,2.0
0.0024809646194858446,0.0002723352586233959,0.0030531129496425527,0.0,1.375,1.375
0.0024809646194858446,0.00028581304318708325,0.00290738719824626,0.0,1.0,1.0
0.002882537406248412,0.0002916563237287875,0.0027948897187453628,0.0,1.0,1.0
0.004540690631421741,0.00027468774831815036,0.003311711992304979,0.0,1.0,1.0
0.010046761581251649,0.00018306868260042084,0.005466853269946477,0.0,1.0,1.0
0.012881825490389662,0.0028263011964200207,0.006053596749782895,0.0,1.0,1.0
0.011672371945169072,0.00011288552876915399,0.0029811663448767347,0.0,0.375,0.375
0.010277632529106621,0.0002530375200205983,0.006058105371979673,0.0,0.0,0.0
0.005484604518253951,0.0001590262603916082,0.0036407609565437217,0.0,0.0,0.0
0.005373428547931551,5.788644437189359e-05,0.0021853662301954107,0.0,0.0,0.0
0.005243664322112455,4.923119558534643e-05,0.0021902987181247665,0.0,0.0,0.0
0.005401691935581251,3.250870002246491e-05,0.00500437975666921,0.0,0.0,0.0
0.005409433362413419,4.114200233656513e-05,0.003047509706565068,0.0,0.625,0.625
0.005440478903614197,4.866091242810295e-05,0.0036961469380262244,0.0,1.0,1.0
0.006980929935969201,0.00026373462086595913,0.0057518646736844856,0.0,1.0,1.0
0.00933302262186616,0.0010106824647589591,0.005537775657938735,0.0,1.0,1.0
0.010309895396238593,6.99519449803431e-05,0.0027268383184729478,0.0,1.0,1.0
0.009900557973788167,0.0001538562564915793,0.007051386718719164,0.0,1.0,1.0
0.010821214737239905,5.1517836393438654e-05,0.006593311262521492,0.0,0.375,0.375
