Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,5.429532968072765e-05,0.004718654727278031,0.0,1.5625,1.5625
0.0027177459334007717,9.936023686695643e-05,0.004227909427199437,0.0,2.5,2.5
0.0024809646194858446,0.00013157144148578546,0.00380299803973721,0.0,2.8125,2.8125
0.0024809646194858446,0.00016171413025210926,0.003461042009898829,0.0,3.0,3.0
0.002882537406248412,0.00019816714458066706,0.003243082577270071,0.0,3.0,3.0
0.004371561121482508,0.00022972208818623953,0.0033969666218956886,0.0,3.0,3.0
0.008425840183298587,0.00019891027554351138,0.004304445759794742,0.0,3.0,3.0
0.011100431936312674,0.0034471412373455017,0.005334245943769995,0.0515625,3.0,3.0
0.014057477036021575,7.566824693930198e-05,0.004001532417293061,0.3016875,1.125,1.125
0.010398225996733169,6.19089358839698e-05,0.008960305118281534,0.515,0.0,0.0
0.005179136388040088,7.566269084094804e-07,0.006494991231220226,0.4960625,0.0,0.0
0.005092348955647526,6.000545257340547e-07,0.0027583438037374936,0.0386875,0.0,0.0
0.004988318205873529,8.269003466122261e-06,0.0029580300045441124,0.0,0.0,0.0
0.005107165319015567,7.436263248768037e-07,0.005036893441777774,0.0,0.0,0.0
0.005128353770129394,1.9582361758649144e-06,0.0038243680155123643,0.0,1.25,1.25
0.0051593214893190815,1.0931946181219352e-06,0.004259559771664248,0.0,2.0,2.0
0.0066958614623916,0.00012081568026024595,0.007946117924412516,0.0,2.0,2.0
0.008926035956166279,3.539664912462563e-05,0.006947457809685902,0.0,2.0,2.0
0.010721271066979914,1.2939053235343062e-06,0.003374619032309028,0.0,2.0,2.0
0.010142804134590254,2.8782594486209033e-05,0.008704751435542614,0.0,2.0,2.0
0.010821214737239905,2.5439423439303874e-07,0.008014389428130826,0.0,0.75,0.75
0.010170111750374373,1.0877301352374313e-06,0.008008864327196568,0.0,0.0,0.0
0.007119309766168257,1.1764382062835838e-06,0.006998046500569808,0.0,0.0,0.0
0.0037958367599202777,1.1174594892027873e-05,0.005415552184061139,0.0,0.0,0.0
0.002650094129425078,3.325200304344712e-05,0.004822533172368543,0.0,0.0,0.0
0.002582442325449385,6.021101905522424e-05,0.004374491639536548,0.0,0.0,0.0
0.0024809646194858446,9.922870006317455e-05,0.003955578331783043,0.0,1.875,1.875
0.0024809646194858446,0.00011992482811560686,0.0036482530741827218,0.0,3.0,3.0
0.002882537406248412,0.0001284339239293273,0.0034505568627076545,0.0,3.0,3.0
0.004540690631421741,0.00013701406103930905,0.00390737431947418,0.0,3.0,3.0
0.010046761581251649,0.0001026411549551381,0.005840895720325643,0.0,3.0,3.0
0.012881825490389662,0.0021559157720623377,0.006447591405189947,0.0,3.0,3.0
0.011672371945169072,6.687617684651763e-05,0.0028926343599883324,0.0,3.0,3.0
0.010277632529106621,0.00018082764041014573,0.006317372492541006,0.0,3.0,3.0
0.005489901631032407,8.309617841347958e-05,0.004072791811177203,0.0,3.0,3.0
0.005373428547931551,2.710018414446884e-05,0.0022230751593914915,0.0,3.0,3.0
0.005250997264273585,4.322835384861226e-05,0.002235698031445966,0.0,3.0,3.0
0.0054041362496349615,1.5353196233288706e-06,0.0043971962382993515,0.0,3.0,3.0
0.0054041362496349615,8.485238873028192e-07,0.003242438003942506,0.0,3.0,3.0
0.005410255496731894,8.502321718896522e-07,0.00377347592965134,0.0,3.0,3.0
0.00696190860810642,0.00015669694829299817,0.006731659893862,0.0,3.0,3.0
0.00933302262186616,0.00010374841219600766,0.006107409519376607,0.0,3.0,3.0
0.010309895396238593,6.474210883810439e-06,0.0029303374178520367,0.0,3.0,3.0
0.009900557973788167,5.6006220061361405e-05,0.007910731442785437,0.0,3.0,3.0
0.010821214737239905,2.7616413095353337e-07,0.007367365078639248,0.0,1.75,1.75
0.009865678632483749,1.038966501398315e-06,0.007545491563194794,0.0,1.0,1.0
0.006645747138338401,1.121601332500461e-06,0.006412255272870957,0.0,1.0,1.0
0.0035590554460053496,1.6032860029045997e-05,0.004910604219234088,0.0,1.0,1.0
0.002650094129425078,4.1102815859000374e-05,0.0043118450209976835,0.0,1.0,1.0
0.002582442325449385,5.775992794114728e-05,0.00393490844490268,0.0,1.0,1.0
0.0024809646194858446,7.970020747993562e-05,0.003652489681773884,0.0,1.625,1.625
0.0024809646194858446,9.935772696992331e-05,0.0034503511629611523,0.0,2.0,2.0
0.002882537406248412,0.0001162935573886025,0.0033695696602763503,0.0,2.0,2.0
0.004540690631421741,0.00012380665328011443,0.0038680505484874283,0.0,2.0,2.0
0.010046761581251649,9.5332329784629e-05,0.005791161401430923,0.0,2.0,2.0
0.012878235225062038,0.0023556747012091267,0.006419810229454654,0.0178125,2.0,2.0
0.011514825056784743,7.27221897362411e-05,0.002996858335355372,0.07125,2.625,2.625
0.010178887065852217,0.00019116808415014957,0.006300735406855699,0.0059375,3.0,3.0
0.005418925513518704,8.83406494554235e-05,0.004028168905544621,0.051375,3.0,3.0
0.005203264385250705,8.34982193549542e-06,0.0023008182582658298,0.2055,3.0,3.0
0.005125661383553579,2.047219885649452e-05,0.002418252744964758,0.0799375,3.0,3.0
0.0052120201383554976,5.469219870913118e-07,0.004912230934443063,0.31875,3.0,3.0
0.0052120201383554976,7.190853132321297e-07,0.004135241965792564,0.3659375,3.625,3.625
0.005221677859650876,4.984766930643478e-07,0.0047566789202519635,0.3225,4.0,4.0
0.006856441209268878,0.00014374169838156947,0.008303482596967435,0.025,4.0,4.0
0.009321820542846637,1.4478636039283859e-05,0.007133137819933878,0.0,4.0,4.0
0.010309895396238593,1.3401016579438696e-06,0.003381813545778347,0.0,4.0,4.0
0.009900557973788167,6.381916486157301e-05,0.008555081555886723,0.0,4.0,4.0
0.010821214737239905,5.937493966504612e-07,0.007857078904169453,0.0,2.75,2.75
0.009865678632483749,1.1507756415120614e-06,0.007920409175521078,0.0,2.0,2.0
0.006645747138338401,1.1884341053494183e-06,0.006746133989477042,0.0,2.0,2.0
0.0035590554460053496,1.4198086612599497e-05,0.005205637443771353,0.0,2.0,2.0
0.002650094129425078,3.831692794984618e-05,0.004522054772392969,0.0,2.0,2.0
0.002582442325449385,6.0620614109352847e-05,0.004099231535959188,0.0,2.0,2.0
0.0024809646194858446,7.458176318790192e-05,0.0038295739225827053,0.0,2.0,2.0
0.0024809646194858446,8.588031998507758e-05,0.0036392871943294273,0.0,2.0,2.0
0.002882537406248412,9.302135449929507e-05,0.0035286149501384083,0.0,2.0,2.0
0.004540690631421741,9.821098385278e-05,0.004036613555840313,0.0,2.0,2.0
0.010046761581251649,6.641913615592555e-05,0.005830752176260377,0.0,2.0,2.0
0.012881825490389662,0.0017735011052495957,0.0065681934462208545,0.0,2.0,2.0
0.011672371945169072,4.0245155545718685e-05,0.0028578188956298978,0.0,2.0,2.0
0.010266430450087098,0.00012742785133649544,0.006405776221473326,0.0,2.0,2.0
0.005484604518253951,4.5737630548283284e-05,0.004424030609331197,0.0,2.0,2.0
0.005373428547931551,1.4927474303257384e-06,0.0023870640055660523,0.0,2.0,2.0
0.005200886090132705,2.7229004332943058e-05,0.0023718209163982647,0.0,2.0,2.0
0.005364864986780907,7.703928068039394e-07,0.004259176572284397,0.0,2.0,2.0
0.005398839136856504,7.657416623890646e-07,0.003419447694628038,0.0,2.0,2.0
0.005397139135110179,8.238917610001268e-07,0.003806103028613931,0.0,2.0,2.0
0.006956611495327963,0.0001281507508628138,0.00724852628296214,0.0,2.0,2.0
0.00933302262186616,1.1432013161966603e-06,0.006474105225862932,0.0,2.0,2.0
0.010309895396238593,1.195133944043019e-06,0.003188799226561026,0.0,2.0,2.0
0.009900557973788167,7.964176342495634e-05,0.008395938676154449,0.0,2.0,2.0
0.010821214737239905,1.2828515088817409e-06,0.007671992176200222,0.0,2.0,2.0
0.009865678632483749,1.1714192222961212e-06,0.00777864087924294,0.0,2.0,2.0
0.006645747138338401,1.1787270264638283e-06,0.006603439647783852,0.0,2.0,2.0
