Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,0.005879182068678455,0.0006271256552813975,0.0,4.125,4.125
0.0027177459334007717,0.006476489221389989,0.0004138008066784783,0.0,6.125,6.125
0.0024809646194858446,0.007171676120431116,0.00027359653597397676,0.0,7.375,7.375
0.0024809646194858446,0.007247327355583503,0.0002393067872687408,0.0,7.0,7.0
0.002882537406248412,0.007143334605090141,0.00021544422121545602,0.0,6.375,6.375
0.004371561121482508,0.0071351714857252075,0.00020292125909621083,0.0,7.25,7.25
0.008425840183298587,0.007656887759684306,0.0007465323288552823,0.0,8.0,8.0
0.011116803771805298,0.01359881707009822,0.0014423242802973962,0.0,8.0,8.0
0.014418781423942043,0.003783389115594188,0.001699794752378559,0.0,8.625,8.625
0.010888685842938842,0.0068464823096628345,0.0018819288850842743,0.0,9.0,9.0
0.005708577406093874,0.007924683223908366,0.0009215490527942505,0.0,8.375,8.375
0.005572292398307376,0.0041126795626886216,0.0006692442061104522,0.0,8.0,8.0
0.005470027352792866,0.005105623990021193,0.0004871343456210403,0.0,8.0,8.0
0.005603000100010787,0.0052451099833194835,0.002047990162262682,0.0,7.375,7.375
0.005603000100010787,0.005288588118146332,0.0013484896950415543,0.0,7.0,7.0
0.005572292398307376,0.0056688939619780375,0.001990752984611765,0.0,8.25,8.25
0.006967442442622861,0.010025114754636874,0.001454888620629039,0.0,8.375,8.375
0.0089372380351858,0.01493033712675687,0.0013084841285661243,0.0,8.0,8.0
0.010721271066979914,0.003884080107589443,0.0008973770058473408,0.0,8.625,8.625
0.010142804134590254,0.007611013027087294,0.0012054922016781872,0.0,8.375,8.375
0.010821214737239905,0.006049530548037098,0.0011650605587173173,0.0,7.375,7.375
0.010170111750374373,0.005462877852038034,0.0010910873504054969,0.0,7.0,7.0
0.007119309766168257,0.005737620749527709,0.0011478408265127506,0.0,7.0,7.0
0.0037958367599202777,0.006722743871938501,0.0006577876100215389,0.0,6.375,6.375
0.002650094129425078,0.006665749126590467,0.0005243500939443527,0.0,5.375,5.375
0.002582442325449385,0.006746506645521158,0.0003964552692836974,0.0,5.0,5.0
0.0024809646194858446,0.006645457287127168,0.00031964450485019,0.0,4.375,4.375
0.0024809646194858446,0.0066148839229639485,0.00026018772729951976,0.0,4.0,4.0
0.002882537406248412,0.006662856313550883,0.00022568490040917002,0.0,4.0,4.0
0.004540690631421741,0.00604888729448343,0.000485342938743133,0.0,3.375,3.375
0.010046761581251649,0.0053947055282867785,0.001430102238985363,0.0,3.0,3.0
0.012881825490389662,0.012064641862299651,0.001985948972316587,0.0,3.0,3.0
0.011686018338242303,0.003083561368262062,0.0019153099841016682,0.0,3.0,3.0
0.01021040400167083,0.00602616151380878,0.0021109519093852305,0.074625,3.625,3.625
0.005413605873009284,0.005808661467119942,0.0014898175452080413,0.426,4.0,4.0
0.005328915466579168,0.002556356029751594,0.0013536386797416398,0.66875,4.625,4.625
0.005282486607583538,0.0027646877658946065,0.0011522039797835025,0.7038125,5.0,5.0
0.0055349029993131465,0.0027388612874589924,0.0038452608486944447,0.65025,5.0,5.0
0.005584393980734574,0.002650718748411932,0.0020128551354946255,0.4529375,4.375,4.375
0.005661255879311937,0.002681348769024674,0.0027890925848034456,0.040125,3.375,3.375
0.00707111384993398,0.006215436560724591,0.002285208784193403,0.0,3.0,3.0
0.00933302262186616,0.011840784733897576,0.0022150385075774904,0.0,3.0,3.0
0.010309895396238593,0.0020578027616478803,0.0012608056244461634,0.0,3.0,3.0
0.009900557973788167,0.004641926801890454,0.001857197252637322,0.0,3.625,3.625
0.010821214737239905,0.003953899258472942,0.0017024902390195404,0.0,4.0,4.0
0.009865678632483749,0.003872768576422191,0.0016142580196212219,0.0,4.625,4.625
0.006645747138338401,0.004162355122381922,0.0015962806718756812,0.0,4.375,4.375
0.0035590554460053496,0.005155547984736358,0.0009595955198530691,0.0,4.0,4.0
0.002650094129425078,0.00556992496328885,0.0007444971037875874,0.0,4.0,4.0
0.002582442325449385,0.006000545602588915,0.0005386182977063952,0.0,4.625,4.625
0.0024809646194858446,0.00604926902692911,0.0004312003680875192,0.0,4.375,4.375
0.0024809646194858446,0.005987004883984668,0.000358540721008809,0.0,4.0,4.0
0.002882537406248412,0.005798520156811869,0.00032801610327473375,0.0,3.375,3.375
0.004540690631421741,0.005551132719317205,0.0005717428159857586,0.0,3.625,3.625
0.010046761581251649,0.0050506948317198645,0.0016018794721311092,0.0,3.375,3.375
0.012881825490389662,0.011673264889068849,0.002233312949823218,0.0,3.0,3.0
0.011697706723943954,0.0028898499903963148,0.0019730748620515187,0.009,3.625,3.625
0.010171288382838957,0.005473487230336144,0.002312188301670883,0.129375,4.0,4.0
0.005441307143826785,0.005038360812450922,0.0017160292348465367,0.513375,4.0,4.0
0.005367210962953582,0.002172969111825399,0.0014762942376460224,0.7126875,4.625,4.625
0.005299063621392607,0.0023609016404947778,0.001244399223465246,0.707875,5.0,5.0
0.0055349029993131465,0.002341015433503852,0.004116452778797135,0.6518125,5.0,5.0
0.005581949666680863,0.002291041265446891,0.0020671152720931002,0.489,4.375,4.375
0.005661255879311937,0.002255983065151207,0.0029263111802878836,0.172375,3.375,3.375
0.00707111384993398,0.005562541463038627,0.0024617441585075344,0.0,3.0,3.0
0.00933302262186616,0.01117521001876252,0.002426182059342637,0.0,3.0,3.0
0.010309895396238593,0.0017769157050358001,0.0014222880558034889,0.0,3.0,3.0
0.009900557973788167,0.003810563672586908,0.002185182579434397,0.0,3.0,3.0
0.010821214737239905,0.003306327176127168,0.002114910338010206,0.0,3.625,3.625
0.009865678632483749,0.002831961471397116,0.0019761103672440166,0.0,3.375,3.375
0.006645747138338401,0.0031634859542643066,0.0019097891576625187,0.0,3.0,3.0
0.0035590554460053496,0.004120832101774296,0.001197786749242479,0.0,3.0,3.0
0.002650094129425078,0.004545773656320773,0.0009447119011700903,0.0,3.0,3.0
0.002582442325449385,0.005018821740039257,0.0007118935286087087,0.0,3.625,3.625
0.0024809646194858446,0.005127892005112795,0.000590423747908573,0.0,3.375,3.375
0.0024809646194858446,0.0051278969682822745,0.0005070636581806822,0.0,3.0,3.0
0.002882537406248412,0.005219068996502089,0.0004332680497331304,0.0,3.0,3.0
0.004540690631421741,0.004959210863558686,0.0007054394615517246,0.0,3.0,3.0
0.010046761581251649,0.004563817307637552,0.0017023123418837584,0.0,3.0,3.0
0.012881825490389662,0.011620727784863514,0.0022711230370486574,0.0,3.625,3.625
0.011686018338242303,0.002706178586456037,0.002020313942989243,0.0,3.375,3.375
0.010187999843631784,0.005120348188064673,0.0024167068580116945,0.0811875,3.625,3.625
0.005402403793989761,0.00460455368277789,0.001768620332541446,0.457875,3.375,3.375
0.005328915466579168,0.0018335903161657875,0.0015459985961005045,0.6938125,3.625,3.625
0.005260082449544493,0.002128700216682904,0.0015467088594001601,0.70775,4.0,4.0
0.005510993043342946,0.0014418573304854241,0.004860564590782799,0.6539375,1.5,1.5
0.005563414645500212,0.0012563603926345184,0.0025473355318507405,0.492125,0.0,0.0
0.005661255879311937,0.0015642204043771833,0.0033419762472192967,0.1755625,1.25,1.25
0.00707111384993398,0.004683454972820482,0.0027983177978174617,0.0,2.0,2.0
0.00933302262186616,0.010654148524410824,0.002736181903500979,0.0,2.0,2.0
0.010309895396238593,0.0014540847302520561,0.0016626401983647842,0.0,1.375,1.375
0.009900557973788167,0.003106855421093011,0.0026831396855631602,0.0,1.0,1.0
0.010821214737239905,0.0024827712536244387,0.0024193196784596128,0.0,1.0,1.0
0.009865678632483749,0.0023452344627231505,0.0024171728329063767,0.0,1.0,1.0
0.006645747138338401,0.0026584615478229922,0.0021982541779160887,0.0,1.0,1.0
0.0035590554460053496,0.00363217412706271,0.001452040427234041,0.0,1.0,1.0
0.002650094129425078,0.0040253852862730515,0.0011757384388854496,0.0,1.0,1.0
0.002582442325449385,0.004054546183501861,0.0010390978661852547,0.0,0.375,0.375
0.0024809646194858446,0.004289186790840224,0.0008536405795558795,0.0,0.625,0.625
0.0024809646194858446,0.004350736160688765,0.0007923898823910157,0.0,0.375,0.375
0.002882537406248412,0.004315170838812911,0.0007795145718920879,0.0,0.0,0.0
0.004540690631421741,0.003975347827604971,0.00106241103774048,0.0,0.0,0.0
0.010046761581251649,0.0037921779714728946,0.0019702179179449763,0.0,0.625,0.625
