Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,0.0011224289536916972,0.002350725252853709,0.0,1.0,1.0
0.0027177459334007717,0.0013693387626848557,0.002035044523438626,0.0,1.625,1.625
0.0024809646194858446,0.0017401981866324906,0.0019319170469584426,0.0,2.0,2.0
0.0024809646194858446,0.0017060343273331152,0.001699703134736412,0.0,1.375,1.375
0.002882537406248412,0.0017053621535837386,0.0016727029503278187,0.0,0.375,0.375
0.004371561121482508,0.0018391303933049789,0.00176922995079233,0.0,1.25,1.25
0.008425840183298587,0.0020335009111562526,0.002079137243422831,0.0,2.625,2.625
0.011116803771805298,0.00664583142999642,0.0030944464075871683,0.0,2.375,2.375
0.014418781423942043,0.0008242596087464755,0.0025221308991665585,0.0,2.0,2.0
0.010837760291624839,0.0013265591686204585,0.004373272021628817,0.0136875,2.0,2.0
0.005373175078756894,0.0018130896077033583,0.0023954269060825167,0.137625,2.0,2.0
0.0051857651508648225,0.0005257888833138432,0.0020058433456731375,0.4639375,1.375,1.375
0.005102334284118157,0.00046470021571161417,0.00207659196135894,0.6795625,2.25,2.25
0.005303658070873976,0.00038262327945671467,0.005501248509185683,0.740125,2.375,2.375
0.005400841111224557,0.0003343237359570556,0.0029883890645377104,0.713375,2.625,2.625
0.0054127777554635725,0.0002916641060699064,0.004002652085570372,0.6240625,2.375,2.375
0.0068721010065831475,0.0012649535707287504,0.005350164763625465,0.3794375,0.75,0.75
0.00893364776985818,0.00349548207010799,0.004374730189408484,0.0281875,1.25,1.25
0.010721271066979914,0.0003485475463724639,0.002444122658531941,0.0,2.625,2.625
0.010142804134590254,0.0007536210802536151,0.004947898837682832,0.0,3.0,3.0
0.010821214737239905,0.0005078406941423492,0.004841122811411838,0.0,1.75,1.75
0.010170111750374373,0.0004840135673371507,0.005124303882139963,0.0,1.0,1.0
0.007119309766168257,0.0006566853741244754,0.0039390157181146265,0.0,1.625,1.625
0.0037958367599202777,0.0009871746183171919,0.0026348950020488927,0.0,1.375,1.375
0.002650094129425078,0.0012441525330141887,0.0022738646827380614,0.0,1.625,1.625
0.002582442325449385,0.0014332423796579168,0.0020315870509943932,0.0,1.375,1.375
0.0024809646194858446,0.001769507326080825,0.0019492567718064093,0.0,1.625,1.625
0.0024809646194858446,0.001915249834925094,0.0019512565964151054,0.0,0.75,0.75
0.002882537406248412,0.001747317313473674,0.001669676937169033,0.0,0.625,0.625
0.004540690631421741,0.0017030434278747296,0.002028481282935634,0.0,1.0,1.0
0.010046761581251649,0.0014303570536474308,0.0031930862181184017,0.0,2.25,2.25
0.012881825490389662,0.006035503830595843,0.0041295389883805175,0.0,1.75,1.75
0.011716241745124607,0.0007415462734023752,0.002516762046479879,0.0,1.625,1.625
0.010379704197564623,0.0014558373123379495,0.0038959648180334604,0.0135,0.75,0.75
0.005442326635075814,0.001695114183209734,0.002651402287975938,0.1299375,0.625,0.625
0.005290619970204753,0.00045185140557532947,0.002029976754335285,0.429375,1.0,1.0
0.005177605775930711,0.0003787829489193758,0.002095047870339303,0.6504375,1.0,1.0
0.005349028942725665,0.0002873314349269611,0.005296584605815724,0.7388125,1.625,1.625
0.005376730213543166,0.00021125696057846288,0.0031985063353816797,0.7145625,2.0,2.0
0.0054006080841326855,0.00014872095653282826,0.0041699022709378855,0.626375,2.0,2.0
0.006911608954178069,0.0008700121769763075,0.006090094777226008,0.3825625,2.0,2.0
0.00932943235653854,0.0021629831939646116,0.005106713988986797,0.0284375,2.0,2.0
0.010309895396238593,0.00018552162918927592,0.0026940411181477606,0.0,0.75,0.75
0.009900557973788167,0.0004181420885014324,0.006109596080595758,0.0,0.0,0.0
0.010821214737239905,0.0003059012454057464,0.005634910427146933,0.0,1.25,1.25
0.009865678632483749,0.0002730899898996459,0.005864575436637801,0.0,0.75,0.75
0.006645747138338401,0.00031380103677819334,0.004637316166034774,0.0,0.625,0.625
0.0035590554460053496,0.0005595238138672725,0.0032447831098662444,0.0,1.625,1.625
0.002650094129425078,0.0008050366573380753,0.002633112117219428,0.0,2.625,2.625
0.002582442325449385,0.0009149694148441393,0.0023193947785722967,0.0,2.375,2.375
