Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,0.0007836144139988183,0.0023782430311899434,0.0,1.5625,1.5625
0.0027177459334007717,0.0008426736311128697,0.0020822531637368787,0.0,2.5,2.5
0.0024809646194858446,0.0008390993236662174,0.0020307279124758782,0.0,0.9375,0.9375
0.0024809646194858446,0.0008829235585554258,0.0019767370208992226,0.0,0.0,0.0
0.002882537406248412,0.0009971055524243952,0.0018776892078381407,0.0,0.0,0.0
0.004371561121482508,0.0010691228779787928,0.0021034840778973185,0.0,0.0,0.0
0.008425840183298587,0.000871052640635014,0.0027192011570517623,0.0,0.0,0.0
0.011116803771805298,0.004471148224244285,0.003719639704808491,0.0,0.0,0.0
0.014418781423942043,0.0003951255379519784,0.0029481184615624823,0.013875,0.0,0.0
0.010741658511215717,0.000622912974096678,0.005441818842630659,0.08325,0.0,0.0
0.00535077092071785,0.0007491819907660996,0.002766382509457686,0.115625,0.0,0.0
0.005229535931770841,0.00029572360705783056,0.0019115003916698758,0.0540625,0.0,0.0
0.0050048952196826,0.00025085967918688,0.0019162092297899376,0.229875,0.0,0.0
0.005134414380392642,0.00015108250814567587,0.005070832758560721,0.2174375,0.0,0.0
0.005283798576630697,0.00013884030977496595,0.0027526726808549855,0.016875,0.0,0.0
0.005279167954148535,0.00016481966164019778,0.003607031521360595,0.0,0.0,0.0
0.0067740360750826786,0.0007268775590051137,0.004226713135414377,0.0,0.0,0.0
0.008887054784318163,0.0024601037056676926,0.004116709507614211,0.0,0.0,0.0
0.010721271066979914,0.00021864038963676652,0.0023677118094224837,0.0,0.0,0.0
0.010142804134590254,0.0004215857219253469,0.005261690115886071,0.0,0.0,0.0
0.010821214737239905,0.0003134875476894072,0.00505578654376534,0.0,0.0,0.0
0.010170111750374373,0.00031380360034729085,0.005191669882494289,0.0,0.0,0.0
0.007119309766168257,0.0003574383564256061,0.0040848292328353655,0.0,0.0,0.0
0.0037958367599202777,0.000604051726223169,0.002848536652530532,0.0,0.0,0.0
0.002650094129425078,0.0007908316499251534,0.0024955078690165815,0.0,0.0,0.0
0.002582442325449385,0.000982514979010184,0.0022173422028449225,0.0,0.0,0.0
0.0024809646194858446,0.001125073768079145,0.0020452908704664398,0.0,0.0,0.0
0.0024809646194858446,0.0012291238145972667,0.0018858189224494138,0.0,0.0,0.0
0.002882537406248412,0.0013016051694839446,0.001761186630555774,0.0,0.0,0.0
0.004540690631421741,0.0013056735417034556,0.002246747496009049,0.0,0.0,0.0
0.010046761581251649,0.0009346003051115112,0.0037507019893990344,0.0,0.0,0.0
0.012881825490389662,0.005129926008844514,0.004477769352323669,0.0,0.0,0.0
0.011710944632346149,0.0005349708606998706,0.0027598262195322417,0.028125,0.0,0.0
0.010235607486577336,0.001007005952194604,0.004400430047231224,0.1685625,0.0,0.0
0.005380043360720106,0.0010917612703125947,0.0027887724190041657,0.233625,0.0,0.0
0.005318188124731035,0.0003391062744060031,0.002016643012573474,0.0186875,0.0,0.0
0.0051292172314658276,0.0003415890382294578,0.0019782059909327016,0.101625,0.0,0.0
0.0052120201383554976,0.00023026536269968689,0.005234424522202881,0.4065,0.0,0.0
0.005217317251133955,0.0001936884763286738,0.0027699441286141457,0.1565,1.25,1.25
0.005186687371441635,0.00013050973041807778,0.0036941040409217804,0.4905,2.0,2.0
0.006762584374121894,0.0005098594641129877,0.005370337876582642,0.040875,2.0,2.0
0.00925147001284231,0.0010100032938818403,0.004938774553921185,0.0,2.0,2.0
0.010309895396238593,0.00013343197590269374,0.002440429443716214,0.0,2.0,2.0
0.009900557973788167,0.0003427213307876434,0.005961859998315712,0.0,2.0,2.0
0.010821214737239905,0.00019505608871682467,0.0056031922223933805,0.0,2.0,2.0
0.009865678632483749,0.0001974571727945485,0.005758291564153536,0.0,2.0,2.0
0.006645747138338401,0.000247388810380937,0.004590736512122584,0.0,2.0,2.0
0.0035590554460053496,0.00040144683406790444,0.003188535879151981,0.0,2.0,2.0
0.002650094129425078,0.0005568475404848783,0.00267513442716285,0.0,2.0,2.0
0.002582442325449385,0.0007457451723102655,0.0023410604322814696,0.0,2.0,2.0
0.0024809646194858446,0.0008192489401136297,0.0022155097332106355,0.0,0.75,0.75
0.0024809646194858446,0.0009193179904592653,0.0021218625414021167,0.0,0.0,0.0
0.002882537406248412,0.001050523618320973,0.0019836417639551955,0.0,0.0,0.0
0.004540690631421741,0.0011100936244556687,0.0024074327919280784,0.0,0.0,0.0
0.010046761581251649,0.0008354661467851882,0.003918959329085422,0.0,0.0,0.0
0.012881825490389662,0.005456756064641306,0.004658674159231081,0.0,0.0,0.0
0.011710944632346149,0.000516409215412614,0.002790257057926426,0.0238125,0.0,0.0
0.010330072175186928,0.0010758691570696712,0.0045065949516866375,0.1921875,0.0,0.0
0.005476010694145469,0.0010891852626425823,0.0030459207719069864,0.4590625,0.0,0.0
0.0053425618596524,0.0003128715108539468,0.0021509882391583636,0.428875,0.0,0.0
0.00515610603677252,0.0002405560998401884,0.002348760076261549,0.7360625,0.0,0.0
0.0052783281935917786,0.00011309896382075015,0.005622876051226673,0.7579375,0.0,0.0
0.005299827932749971,4.278253741834167e-05,0.0037253625274111983,0.737,0.625,0.625
0.005301822049224274,1.4522646031739053e-05,0.004774062518370588,0.6808125,1.0,1.0
0.006813805160161603,0.0003072154018062423,0.007551968616335804,0.47825,1.0,1.0
0.009311049746863776,0.0007065285523292356,0.006128391599028082,0.0369375,1.0,1.0
0.010309895396238593,5.5610465566563665e-05,0.00300719946051157,0.0,1.0,1.0
0.009900557973788167,0.00027775755775224663,0.00682111419960245,0.0,1.0,1.0
0.010821214737239905,0.00014794825266668262,0.006421975968942619,0.0,0.375,0.375
0.009865678632483749,0.00017051943988687462,0.006520916257509704,0.0,0.0,0.0
0.006645747138338401,0.00023749934585619536,0.005257939553415418,0.0,0.0,0.0
0.0035590554460053496,0.0004248202271574528,0.003801390448608925,0.0,0.0,0.0
0.002650094129425078,0.0005664943380617668,0.003191717255470115,0.0,0.0,0.0
0.002582442325449385,0.0007068011145531943,0.0027930253757414794,0.0,0.0,0.0
0.0024809646194858446,0.0008512215541557612,0.002514272509226721,0.0,0.0,0.0
0.0024809646194858446,0.0009625119913549837,0.0023126300302286386,0.0,0.0,0.0
0.002882537406248412,0.001058111305891322,0.0021650821817852718,0.0,0.0,0.0
0.004540690631421741,0.0010851035229260278,0.0025773731537487316,0.0,0.0,0.0
0.010046761581251649,0.0008047981918555811,0.004122270910814176,0.0,0.0,0.0
0.012881825490389662,0.005386655299274454,0.004848259965009341,0.0,0.0,0.0
0.011710944632346149,0.0004839290454951812,0.0028600359197158967,0.024375,0.0,0.0
0.010322330748354761,0.0009925601147716355,0.004739761281587024,0.2105625,0.0,0.0
0.0054380458604310015,0.000973657201998642,0.003273466888971708,0.5245,0.0,0.0
0.005329523320041776,0.0002577713895939754,0.002187408361043102,0.4374375,0.0,0.0
0.0051234042185948035,0.00019234293084326675,0.0024197284452043256,0.6808125,0.0,0.0
0.005321327671908164,0.00011315416364594465,0.005578456789101486,0.4881875,0.0,0.0
0.005321327671908164,8.189668503554919e-05,0.003426085611552355,0.5391875,0.625,0.625
0.005274495165836109,3.1677916529368854e-05,0.004641379263306685,0.6671875,1.0,1.0
0.006756488335924408,0.0003727773948145696,0.0073184837459826,0.4809375,1.0,1.0
0.009299847667844252,0.0011412194013273218,0.006017314297189844,0.038625,1.0,1.0
0.010309895396238593,7.906413504429862e-05,0.002947598885755829,0.0,1.0,1.0
0.009900557973788167,0.0003106096771566067,0.0066510900888604296,0.0,1.0,1.0
0.010821214737239905,0.00019320100922694483,0.006294808724953652,0.0,0.375,0.375
0.009865678632483749,0.00021610032630906397,0.006407968176001404,0.0,0.0,0.0
0.006645747138338401,0.00027955338462274857,0.005076414641402521,0.0,0.0,0.0
0.0035590554460053496,0.0005010165325945021,0.0036637605738653353,0.0,0.0,0.0
0.002650094129425078,0.0006878417666316143,0.003041953377705749,0.0,0.0,0.0
0.002582442325449385,0.0008881811424263386,0.0026924230888123683,0.0,0.0,0.0
0.0024809646194858446,0.0010418808384464182,0.002414232060869482,0.0,0.0,0.0
0.0024809646194858446,0.0011678975000543796,0.002217151888108533,0.0,0.0,0.0
0.002882537406248412,0.0012664093497867827,0.0020575127407148025,0.0,0.0,0.0
0.004540690631421741,0.0012576266440611126,0.0024751214877180064,0.0,0.0,0.0
0.010046761581251649,0.0008658027225542726,0.004015023352153807,0.0,0.0,0.0
0.012881825490389662,0.00510328410826089,0.004750291963146036,0.0,0.0,0.0
0.01170850031829244,0.0004997034666532955,0.002863445325181603,0.029625,0.0,0.0
0.01024925387965057,0.0009465547524215621,0.004643252785203752,0.1185,0.0,0.0
0.005449304564423188,0.0011624979402977454,0.0027755139046219397,0.0869375,0.0,0.0
0.0051920623062311835,0.00026975240468868415,0.0020572038197978343,0.30825,0.0,0.0
0.005153426345023222,0.00023668758610344856,0.002018523932761031,0.0256875,0.0,0.0
0.005259694153361609,0.00021631066746003317,0.005075548162705519,0.0,0.0,0.0
0.0052332085894693245,0.00019582847096129136,0.00281007411497521,0.1239375,0.0,0.0
0.0051701103576325645,8.586852541168393e-05,0.003934095637389104,0.49575,0.0,0.0
0.006762584374121894,0.0003691290074941394,0.005711874728807553,0.042625,0.0,0.0
0.009208898575666575,0.0014097670691912449,0.005322364707967382,0.00525,0.0,0.0
0.010309895396238593,9.701434574915792e-05,0.002616342033513389,0.0,0.0,0.0
0.009900557973788167,0.00032014806299482916,0.006231358028832898,0.0,0.0,0.0
0.010821214737239905,0.0002000787901434917,0.005858664409262642,0.0,0.0,0.0
0.009865678632483749,0.000216633532126252,0.005977806112077855,0.0,0.0,0.0
0.006645747138338401,0.0002704941025039495,0.00474127735248977,0.0,0.0,0.0
0.0035590554460053496,0.00045605130539986584,0.0033803602495076405,0.0,0.0,0.0
0.0027177459334007717,0.0006013988919771007,0.0028451171968112794,0.0,0.0,0.0
0.0027177459334007717,0.0007313264200048006,0.002528052677992259,0.0,0.0,0.0
0.0024809646194858446,0.0008855077539987696,0.0022893261955561316,0.0,0.0,0.0
0.0024809646194858446,0.0010283146284524036,0.0021215626748428964,0.0,0.0,0.0
0.002882537406248412,0.0011544751871936465,0.001984680116227853,0.0,0.0,0.0
0.004371561121482508,0.0012600140205205753,0.002189041953072506,0.0,0.0,0.0
0.008425840183298587,0.0011828442901992164,0.0026904391766340895,0.0,0.0,0.0
0.011116803771805298,0.005587799156440755,0.0036851498899629124,0.0,0.0,0.0
0.014389243692533438,0.000514571007129497,0.0029247993787734562,0.0645,0.0,0.0
0.010598712585345832,0.0007517058553776955,0.0056772277159686715,0.258,0.0,0.0
0.005389045220053839,0.0009541687001375021,0.0028261540308058782,0.0215,0.0,0.0
0.0051426666534989205,0.0003273492480901188,0.002019358262891993,0.0,0.0,0.0
0.005007152384641375,0.00031117212326274574,0.001968428416855443,0.0,0.0,0.0
0.005128353770129394,0.0002631516157896222,0.005022762950434347,0.0,0.0,0.0
0.0051177595445724795,0.00021476253675806127,0.002667570215110728,0.132,0.0,0.0
0.005065255538292634,8.406507110063826e-05,0.003675106043947086,0.528,0.0,0.0
0.006620991857865696,0.0003448546794893805,0.005212752172989329,0.044,0.0,0.0
0.008816704254313835,0.0012559310333298144,0.0047685485884186056,0.0,0.0,0.0
0.010721271066979914,8.971375183351793e-05,0.002486573712966398,0.0,0.0,0.0
0.010142804134590254,0.0003140371919023466,0.006039232071767729,0.0,0.0,0.0
0.010821214737239905,0.00019963979186056043,0.005644019355655156,0.0,0.0,0.0
0.010170111750374373,0.0002231450904025453,0.0056568951502087034,0.0,0.0,0.0
0.007119309766168257,0.0002788154378113266,0.004513179599266442,0.0,0.0,0.0
0.0037958367599202777,0.00048755443239335226,0.0031689746710846663,0.0,0.0,0.0
0.0027177459334007717,0.0006347455521608668,0.002760378586668671,0.0,0.0,0.0
0.0027177459334007717,0.0007879522339133236,0.002455299705536039,0.0,0.0,0.0
0.0024809646194858446,0.0008909598060518681,0.002216569538363445,0.0,0.0,0.0
0.0024809646194858446,0.0009900358812061404,0.0020655369653736267,0.0,0.0,0.0
0.002882537406248412,0.0010588507455779694,0.0019416597013051883,0.0,0.0,0.0
0.004371561121482508,0.0010933601426586922,0.0021551444787906095,0.0,0.0,0.0
0.008425840183298587,0.0008899996815432846,0.0027575626846439265,0.0,0.0,0.0
0.011116803771805298,0.0046073142805632674,0.003769192164935395,0.0,0.0,0.0
0.014411039997109874,0.00039457893848734044,0.002993655997451309,0.036,0.0,0.0
0.010682991533069548,0.0005833895579326271,0.00571378193502596,0.2128125,0.0,0.0
0.005311300289072225,0.0006394887734882483,0.003195747840000643,0.28725,0.0,0.0
0.005156877175265372,0.00021871814311790418,0.001953759356805936,0.0229375,0.0,0.0
0.004997735295257453,0.00019640316334195254,0.0019115890277123602,0.12225,0.0,0.0
0.005107165319015567,9.226144553056011e-05,0.005062497201303144,0.489,0.0,0.0
0.005112462431794024,4.106242262785847e-05,0.0029475656630160137,0.173125,0.625,0.625
0.005081832552101705,5.0805343364992835e-06,0.0041751835807459356,0.6405,1.0,1.0
0.006536933475971978,0.0001846243488947988,0.0068151775283376535,0.488125,1.0,1.0
0.008817135537350496,0.0007632236403735462,0.005692547565047964,0.037,1.0,1.0
0.010721271066979914,3.376011267364925e-05,0.002823301299019209,0.0,1.0,1.0
0.010142804134590254,0.000238914405541763,0.006692178377688803,0.0,1.0,1.0
0.010821214737239905,0.00017242935898409702,0.005988934969679459,0.0,2.875,2.875
0.010170111750374373,0.0002263316085395484,0.005756542468720139,0.0,4.0,4.0
0.007119309766168257,0.0002945329562693569,0.004468867534149325,0.0,4.0,4.0
0.0037958367599202777,0.0005271220032879707,0.0030985102238310714,0.0,4.0,4.0
0.002650094129425078,0.0007124036014739609,0.00262740250986548,0.0,4.0,4.0
0.002582442325449385,0.0008872728981426225,0.0022860647835785263,0.0,4.0,4.0
0.0024809646194858446,0.0008359421158401218,0.002255431707978565,0.0,1.5,1.5
0.0024809646194858446,0.0008373120377387528,0.002217845287181643,0.0,0.0,0.0
0.002882537406248412,0.000904179689550192,0.00210284416556444,0.0,0.0,0.0
0.004540690631421741,0.0008947538816033144,0.0025618070729782356,0.0,0.0,0.0
0.010046761581251649,0.000553288199842547,0.004226331468834104,0.0,0.0,0.0
0.012881825490389662,0.004422838684132947,0.0049830419592779415,0.0,0.0,0.0
0.01170850031829244,0.00034813293804474097,0.0029380714956651266,0.03375,0.0,0.0
0.0102389903167536,0.0007306104237103935,0.004913567221373382,0.135,0.0,0.0
0.0054964922727471725,0.0009382322725792279,0.0027518868269636168,0.01125,0.0,0.0
0.005280831144479174,0.0002779275459131686,0.00203339008796436,0.1006875,0.0,0.0
0.005057096163358523,0.0001883968662635139,0.0022556751201298774,0.5158125,0.0,0.0
0.005189615980316454,6.020527612756025e-05,0.005930916112583168,0.4858125,0.0,0.0
0.005235652903523035,2.8882297135131765e-05,0.0031048466696462856,0.0376875,0.0,0.0
0.005301455466899781,5.199871899870391e-05,0.004074267290002213,0.0,0.0,0.0
0.006783364340564687,0.0004108355955868873,0.005402701640079508,0.0,0.0,0.0
0.00925147001284231,0.002030540431382093,0.005189270222560482,0.0,0.0,0.0
0.010309895396238593,0.00013138017461822378,0.002618035174856916,0.0,0.0,0.0
0.009900557973788167,0.0003422460160335924,0.006153454225344855,0.0,0.0,0.0
0.010821214737239905,0.0002577030719555149,0.0055996479050101815,0.0,1.875,1.875
0.009865678632483749,0.00030246319347283594,0.005546940531209518,0.0,3.0,3.0
0.006645747138338401,0.0004055549170700681,0.004187116109620314,0.0,3.0,3.0
0.0035590554460053496,0.0007305235918046238,0.0028155489941031203,0.0,3.0,3.0
