Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,0.00016109546329522617,0.003965912782734953,0.0,2.6875,2.6875
0.0027177459334007717,0.00019809848853556922,0.0036152818711128153,0.0,2.5,2.5
0.0024809646194858446,0.00023254573850395557,0.0033125747379901733,0.0,2.1875,2.1875
0.0024809646194858446,0.00025857235197415803,0.003074231886331237,0.0,2.0,2.0
0.002882537406248412,0.00028895949955457434,0.0028954950998542135,0.0,2.0,2.0
0.004371561121482508,0.0003284954193929011,0.0030833905859642286,0.0,2.0,2.0
0.008425840183298587,0.00026150765613670824,0.003946741861449894,0.0,2.0,2.0
0.011116803771805298,0.0036919504624685078,0.004990820670784651,0.0170625,2.0,2.0
0.014306866127208641,0.00016112805878711303,0.003430712723777272,0.06825,2.625,2.625
0.010671568888220028,0.00027251119248056086,0.006915325157515946,0.0056875,3.0,3.0
0.005365743117546246,0.00025842217112903,0.003553897508275305,0.0538125,3.0,3.0
0.005136938528318464,9.73684392089419e-05,0.002117527043334699,0.276,3.0,3.0
0.005009817945031723,4.9492951159895536e-05,0.0022539802793298982,0.3276875,3.0,3.0
0.00512866505817376,3.6311826957303373e-06,0.004925617459647694,0.36075,3.0,3.0
0.005151069216212804,1.2026032791783324e-07,0.003665053669121241,0.407375,2.375,2.375
0.005196733763851071,3.145000938696358e-07,0.004492362556186621,0.389,2.0,2.0
0.006884257655043882,0.00019227976206758206,0.007061539675961149,0.030375,2.0,2.0
0.0089372380351858,0.0004718605212258948,0.006045568331408896,0.0,2.0,2.0
0.010721271066979914,8.350520271430678e-06,0.0030913550834800532,0.0,2.0,2.0
0.010142804134590254,0.00011184391617119095,0.007691026236022091,0.0,2.0,2.0
0.010821214737239905,2.9528357954970887e-05,0.006947534157974257,0.0,2.625,2.625
0.010170111750374373,4.4447536781121705e-05,0.006937574438748097,0.0,3.0,3.0
0.007119309766168257,7.901907876159838e-05,0.0059104269415657775,0.0,3.0,3.0
0.0037958367599202777,0.0001313034626891908,0.0044075110897662875,0.0,3.0,3.0
0.002650094129425078,0.00015805863987383207,0.0038881002772594756,0.0,3.0,3.0
0.002582442325449385,0.00017649160961543878,0.0035226564011546693,0.0,3.0,3.0
0.0024809646194858446,0.000248153232540265,0.0030273826394091844,0.0,6.75,6.75
0.0024809646194858446,0.00029240243326793063,0.002712354328125958,0.0,9.0,9.0
0.002882537406248412,0.0003045229659353548,0.002588075269032072,0.0,9.0,9.0
0.004540690631421741,0.00030233495699480986,0.003046000491150608,0.0,9.0,9.0
0.010046761581251649,0.00022694297662908232,0.00489610399586661,0.0,9.0,9.0
0.012869043920224657,0.002259119040247928,0.0055726490774571265,0.0478125,9.0,9.0
0.011447656307436998,0.000115349887624628,0.0027179054675717765,0.19125,5.875,5.875
0.010143643736994121,0.00023868145895162223,0.006029159943000168,0.0159375,4.0,4.0
0.005426997603010814,0.00012593608056627993,0.0037959741947413378,0.0,4.0,4.0
0.005241404237602937,4.58402277892047e-05,0.0020775680273832312,0.0,4.0,4.0
0.005077715331761968,4.800745432724125e-05,0.002227846188009019,0.1393125,4.0,4.0
0.00517841390129693,4.838190585214585e-07,0.004953962761412932,0.55725,4.0,4.0
0.0053168359589610414,2.3801707408099926e-07,0.00380494458229273,0.0464375,3.375,3.375
0.005378803482721099,6.864336387156547e-07,0.004145903138459021,0.0,3.0,3.0
