Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,0.00119260353147547,0.0023446514617465196,0.0,0.75,0.75
0.0027177459334007717,0.001972340970530543,0.0017131078585835055,0.0,6.25,6.25
0.0024809646194858446,0.0026044986941864442,0.0013742430377204887,0.0,8.75,8.75
0.0024809646194858446,0.0028903831392675062,0.0010093074996432745,0.0,9.25,9.25
0.002882537406248412,0.0023356443498863343,0.0012181491797312346,0.0,4.375,4.375
0.004371561121482508,0.002694554006181659,0.0011676628373908302,0.0,6.625,6.625
0.008425840183298587,0.0032411436845877083,0.0014793408263935929,0.0,9.375,9.375
0.011116803771805298,0.007495020827980784,0.002490282246277111,0.00925,7.75,7.75
0.014340759302157762,0.001182041105848455,0.0023258370178761987,0.1250625,5.75,5.75
0.01060203879054943,0.0015499949936194637,0.004495173474817907,0.394625,5.0,5.0
0.005366858474729411,0.001966168826473298,0.002548271389058911,0.5991875,6.875,6.875
0.0051969672298843445,0.0007198661202381648,0.0017920946934937287,0.695375,7.375,7.375
0.005097625739426197,0.0006311952344680278,0.001998834467542979,0.7511875,7.0,7.0
0.0052164728525682345,0.0005306169374630205,0.005162213716201357,0.7390625,6.375,6.375
0.005238877010607278,0.0003727726390821709,0.003114878536866702,0.6930625,3.5,3.5
0.005252369771519348,0.0003415541898249011,0.003944884833689582,0.548875,3.875,3.875
0.006830675520681323,0.0017218830934701537,0.004994508923135524,0.2205,5.625,5.625
0.0089372380351858,0.003952816181116462,0.004014187072779719,0.0151875,5.375,5.375
0.010721271066979914,0.0004796561204968783,0.0023075737772581813,0.0,5.0,5.0
0.010142804134590254,0.0009354721770040142,0.0048043474586821925,0.0,3.75,3.75
0.010821214737239905,0.0006079005478378931,0.0048134477823384226,0.0,1.75,1.75
0.010170111750374373,0.0006229680207818292,0.004970925006186662,0.0,1.625,1.625
0.007119309766168257,0.0007566120076002511,0.003925115582430246,0.0,1.375,1.375
