Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,0.000386617239084338,0.00336658997224667,0.0,2.6875,2.6875
0.0027177459334007717,0.0004355035363004783,0.0030243906892549145,0.0,2.5,2.5
0.0024809646194858446,0.0004834863050015231,0.0027244610354975004,0.0,2.8125,2.8125
0.0024809646194858446,0.0005377920966015669,0.002511338507738024,0.0,3.0,3.0
0.002882537406248412,0.0006008428110216683,0.0023669293104208147,0.0,3.0,3.0
0.004371561121482508,0.0006794005175203881,0.002537657498767435,0.0,3.0,3.0
0.008425840183298587,0.0005675973998243332,0.003172031181262118,0.0,3.0,3.0
0.011116803771805298,0.003462030585163395,0.0040609819967250054,0.0,3.0,3.0
0.014418781423942043,0.00027243741088304595,0.003024671816883887,0.005125,1.125,1.125
0.010859755964992846,0.00044863417348318686,0.005757049440317768,0.0699375,0.0,0.0
0.005511640861190395,0.000576201445211038,0.003341927240918862,0.288875,0.0,0.0
0.00521000576949497,0.0001611162833354614,0.0021011947211298926,0.6029375,0.0,0.0
0.005107495038250546,0.00012119896891869323,0.0021510114155367365,0.4766875,0.0,0.0
0.00512866505817376,2.244619828004925e-05,0.005187326425319177,0.7035625,0.0,0.0
0.005167646230021874,1.0877961644872587e-06,0.0039260013803518855,0.558625,0.625,0.625
0.005097957356470349,6.960940517849997e-07,0.00517454392964227,0.7370625,1.0,1.0
0.006542838442213044,0.00015324228837610313,0.008143517768854565,0.7005,1.0,1.0
0.008739092729935213,0.0005157630608874876,0.007252152720112668,0.4965,1.0,1.0
0.010701240466662964,1.145097091465934e-06,0.0036687277073241204,0.037625,1.0,1.0
0.010142804134590254,0.0001334894844035523,0.007517146187093143,0.0,1.0,1.0
0.010821214737239905,0.00010079475923867201,0.006798966322840396,0.0,2.25,2.25
0.010170111750374373,0.00014218335545452336,0.006582115151558722,0.0,3.0,3.0
0.007119309766168257,0.0001968721256460253,0.005451630709894088,0.0,3.0,3.0
0.0037958367599202777,0.0003115461170413995,0.003872487676982242,0.0,3.0,3.0
0.002650094129425078,0.0004054242623970244,0.0033364906982067087,0.0,3.0,3.0
0.002582442325449385,0.0004857233945546239,0.0029517274953890483,0.0,3.0,3.0
0.0024809646194858446,0.0005533589933026204,0.0026664116629359904,0.0,3.0,3.0
0.0024809646194858446,0.0006185435407172721,0.0024431184595269397,0.0,3.0,3.0
0.002882537406248412,0.0006864706051485432,0.002294653009083097,0.0,3.0,3.0
0.004540690631421741,0.0007076100548138879,0.002702741870365939,0.0,3.0,3.0
0.010046761581251649,0.0004392401332023669,0.0044285111447963646,0.0,3.0,3.0
0.012881825490389662,0.00336868211204549,0.005025590389891319,0.0,3.0,3.0
0.011716241745124607,0.0002772608285515611,0.00273521606337194,0.011125,1.125,1.125
