Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0027177459334007717,0.00010054222305170375,0.004610180038244855,0.0,0.375,0.375
0.0027177459334007717,0.00012232651142109107,0.004288637886600824,0.0,0.0,0.0
0.0024809646194858446,0.0001706590220012049,0.003896801993470775,0.0,0.0,0.0
0.0024809646194858446,0.00022413548812805177,0.0035781705328844873,0.0,0.0,0.0
0.002882537406248412,0.00026102817812855103,0.003354161039339075,0.0,0.0,0.0
0.004371561121482508,0.00029968794522824206,0.003449416511187979,0.0,0.625,0.625
0.008425840183298587,0.0002489068612269723,0.0042227546078016705,0.0,1.625,1.625
0.011116803771805298,0.003764248041513893,0.005269734678864301,0.0,1.375,1.375
0.014286629092420644,0.00013158575180588448,0.0036595268903792414,0.0285,1.0,1.0
0.010525227231970606,0.00019864698141341765,0.007568123529482578,0.1783125,2.25,2.25
0.005295175484703579,0.000117131062857351,0.0045288299656912456,0.3726875,2.375,2.375
0.0051427656725484385,9.834455378998784e-06,0.002497151690549512,0.5910625,2.0,2.0
0.005076126000268004,6.914668530977789e-06,0.0032184774586786835,0.7616875,2.0,2.0
0.0052600654617211045,9.176810159732655e-07,0.0056432647590267246,0.7553125,2.625,2.625
0.005289802561921279,4.774536433048034e-07,0.004720585363930111,0.7025625,3.0,3.0
0.005320280821313456,5.673595428771515e-07,0.005103991884039616,0.5035,3.0,3.0
0.006930571769053127,0.00014121122883802327,0.007792674097954342,0.0448125,2.375,2.375
0.0089372380351858,0.0004770153951855957,0.006699986367968585,0.0,1.375,1.375
0.010721271066979914,8.237411456242935e-07,0.003552243497885578,0.0,0.375,0.375
0.010142804134590254,6.627532261689874e-05,0.008404175640161294,0.0,0.625,0.625
0.010821214737239905,7.231425247259468e-07,0.00771726957046667,0.0,0.375,0.375
0.010170111750374373,1.1539528538094707e-06,0.007713490364767941,0.0,0.0,0.0
0.007119309766168257,8.882006548929187e-06,0.006748989926814558,0.0,0.0,0.0
0.0037958367599202777,7.450920029231118e-05,0.0051478948674419005,0.0,0.625,0.625
0.002650094129425078,0.00010581785983775072,0.004625293092412066,0.0,0.375,0.375
0.002582442325449385,0.00013120718553138075,0.004218076920226426,0.0,0.0,0.0
0.0024809646194858446,0.0001955435782822712,0.0037328626429097007,0.0,1.25,1.25
0.0024809646194858446,0.00020988592346108547,0.003502291570838016,0.0,0.75,0.75
0.002882537406248412,0.00022068764823913377,0.0033813484237295885,0.0,0.0,0.0
0.004540690631421741,0.0002270922517386746,0.003835630446642105,0.0,0.0,0.0
0.010046761581251649,0.00016687621629114723,0.005982516155760201,0.0,0.0,0.0
0.012881825490389662,0.0032561187616152436,0.006479679433361123,0.0,0.625,0.625
0.011591222986972767,0.00010785504224492658,0.00327487600057501,0.007125,0.375,0.375
0.010079723370838886,0.00024865477990437834,0.006525660658714845,0.0770625,1.25,1.25
0.0053696241538009545,0.0001180636956971514,0.004185736753566567,0.2601875,2.625,2.625
0.005203264385250705,1.0330492224695398e-05,0.0023158904690309167,0.2704375,2.375,2.375
0.005057096163358523,1.720060615969224e-05,0.0027186199222258,0.161625,1.375,1.375
0.005244721956533213,3.750826007898188e-07,0.005373975475194352,0.697125,1.0,1.0
0.005283703128381326,7.120257598362027e-07,0.005037882999150937,0.7030625,1.625,1.625
0.005295761438961028,1.9668475400678158e-07,0.005523489846613012,0.504125,1.375,1.375
0.006873504529760077,0.00010878582918037308,0.009049075952103414,0.03825,1.0,1.0
0.00933302262186616,1.7298449664981126e-05,0.007622902308892462,0.0,0.375,0.375
0.010309895396238593,1.158434406582929e-06,0.0037732049252570555,0.0,0.0,0.0
0.009900557973788167,4.3735548971069924e-05,0.009091045664754866,0.0,0.0,0.0
0.010821214737239905,1.3237207379667577e-06,0.008376582372413403,0.0,0.0,0.0
0.009865678632483749,1.2056787028620637e-06,0.008422375321085765,0.0,0.0,0.0
0.006645747138338401,1.1991213681224419e-06,0.00719001612027632,0.0,0.0,0.0
0.0035590554460053496,1.1267024099318685e-05,0.005578499308233457,0.0,0.0,0.0
0.002650094129425078,2.859188303242853e-05,0.004812581224876638,0.0,1.25,1.25
0.002582442325449385,3.168844373634433e-05,0.004406806115579363,0.0,0.75,0.75
0.0024809646194858446,5.383994032978456e-05,0.004067367255057768,0.0,1.25,1.25
0.0024809646194858446,6.984118972140577e-05,0.0038302545717868613,0.0,2.0,2.0
0.002882537406248412,6.968809136015515e-05,0.003732366285770726,0.0,1.375,1.375
0.004540690631421741,6.400834875624142e-05,0.004250870827137595,0.0,0.375,0.375
0.010046761581251649,4.212262849996589e-05,0.0058950334607516764,0.0,1.25,1.25
0.012881825490389662,0.00127056577202297,0.006727530524121473,0.0,0.75,0.75
0.011705039666105085,1.7501881905979753e-05,0.0027130469031261596,0.0,1.25,1.25
