Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0015418095824793448,7.428748565119133e-05,0.0,1.9375,1.9375
0.0020774612108718305,0.0017304396457644934,0.0002496030665406478,0.0,2.5,2.5
0.0020774612108718305,0.0011778825501140146,0.00014924374677794354,0.0,1.5625,1.5625
0.0020774612108718305,0.0018757109005011572,0.0002110230281622238,0.0,1.0,1.0
0.0020774612108718305,0.0017952436887036394,0.0001964308816677743,0.0,1.0,1.0
0.0020774612108718305,0.0013813280661194973,0.0001282507461981064,0.0,1.0,1.0
0.0026362062130318516,0.002166683406972386,0.00020064412362974388,0.0,1.0,1.0
0.002669862252850799,0.0018814753047025278,0.00019750845758485777,0.019875,1.0,1.0
0.0026248096969656155,0.001316108659269368,0.00013295116202957844,0.1288125,2.25,2.25
0.0025989299871141828,0.002008471038128144,0.0002650133401069457,0.2723125,3.0,3.0
0.002595856020041935,0.0010559625795405413,0.0001567392108773066,0.37325,3.0,3.0
0.002595856020041935,0.0004292467336983616,8.582565819971364e-05,0.3550625,3.0,3.0
0.002595856020041935,0.0003099921897593064,8.553215639437795e-05,0.1323125,3.0,3.0
0.002595856020041935,0.0,0.0,0.54525,3.0,3.0
0.002595856020041935,0.0,0.0,0.6395625,3.625,3.625
0.002597594019990823,0.0,0.0,0.433,4.0,4.0
0.0026455875055814426,0.0,0.0,0.0325625,4.0,4.0
0.0026740463354171565,0.000247034045420586,0.00013250366927240013,0.0,4.0,4.0
0.002129935230919785,0.00033910008428801234,8.865241373351506e-05,0.0,4.0,4.0
0.0020774612108718305,0.0007292203450171694,9.638523018138768e-05,0.0,4.0,4.0
0.0020774612108718305,0.0006728910072096466,6.700872856039105e-05,0.0,2.125,2.125
0.0020774612108718305,0.0005336821676481666,3.883306228268515e-05,0.0,1.0,1.0
0.0020774612108718305,0.0009783214323125723,5.042454169927508e-05,0.0,1.0,1.0
0.0020774612108718305,0.0009590430209767337,3.961367273263248e-05,0.0,1.0,1.0
0.0026981889375036865,0.0007090417110458822,2.6533134566739243e-05,0.0,1.0,1.0
0.0026981889375036865,0.0012776679767167191,4.084475595576758e-05,0.0,1.0,1.0
0.0026981889375036865,0.001060045523900254,3.287528450584612e-05,0.0,0.375,0.375
0.0026981889375036865,0.0007794755599195775,1.8687820357481093e-05,0.0,0.0,0.0
0.0026981889375036865,0.0013906884285668447,2.647692883227453e-05,0.0,0.0,0.0
0.0026981889375036865,0.008189217248515481,0.0005813887888297075,0.0,0.0,0.0
0.0036803210417198536,0.023185610444005356,0.0002875087586540041,0.0,0.0,0.0
0.007512179392936423,0.024325821612796946,0.0009258426472032952,0.0215625,0.0,0.0
0.01699302622125506,0.014162329942915764,0.001490391626084738,0.08625,1.25,1.25
0.014958967971185035,0.010492261295609744,0.001541160264588496,0.0803125,2.0,2.0
0.014508200109149402,0.005977754342337381,0.001824531124416994,0.2925,2.0,2.0
0.014896401564050444,0.004631860850915704,0.001957998183407711,0.024375,2.0,2.0
0.015097769263003144,0.005387069427876074,0.002030958210710557,0.111375,2.0,2.0
0.015219902776467977,0.002185543248469869,0.004669045603201484,0.5694375,2.0,2.0
0.014508200109149402,0.0016451176962869558,0.006051761267128676,0.6313125,1.375,1.375
0.014523842108689396,0.0014470123294365435,0.0063480643524061004,0.4350625,1.0,1.0
0.015769247946787458,0.0013296150189799599,0.0061526703969483265,0.0328125,1.0,1.0
0.011523479930651651,0.0033856677216128396,0.0029569176527403994,0.0,1.0,1.0
0.006052777786106519,0.003570196259962395,0.0015292589033961603,0.0,1.0,1.0
0.005535175846238467,0.003718814918297269,0.0012687490766506743,0.0,1.0,1.0
0.004801898805203511,0.004238830938505991,0.001196751336282472,0.0,1.0,1.0
0.004543097835269486,0.004523606950592498,0.0010314483566829249,0.0,1.0,1.0
0.0038098207942345278,0.0,0.0,0.0,1.0,1.0
0.0034431822737170494,0.0,0.0,0.0,1.0,1.0
0.002750662957551641,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.625,1.625
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0010995451607749387,0.0004311749169373304,0.0,2.0,2.0
0.0036803210417198536,0.008224454090559271,0.0018130183038301754,0.0,2.0,2.0
0.007512179392936423,0.011523277119222856,0.0013256705060878857,0.0279375,2.0,2.0
0.0170096951318296,0.004940294666127347,0.003082358727877176,0.11175,5.125,5.125
0.014958118440727482,0.0035114521238689975,0.0035952478225906963,0.1025,7.0,7.0
0.014508200109149402,0.002114410242446431,0.004914899421824263,0.5135625,7.0,7.0
0.014896401564050444,0.0017367939268482313,0.0055648086701714,0.7345625,7.0,7.0
0.015097769263003144,0.0030848846733793718,0.005536270245014852,0.744625,7.0,7.0
0.015219902776467977,0.001399027946979729,0.007079169149636475,0.7208125,7.0,7.0
0.014508200109149402,0.001215977369979075,0.00696469437388999,0.5548125,8.875,8.875
0.014539484108229389,0.001138851588151721,0.006065362755574292,0.0424375,10.0,10.0
0.015683787482553693,0.0014782387384129406,0.005781466388256334,0.0,10.0,10.0
0.011523479930651651,0.004366341467060785,0.00429480835758743,0.0,10.0,10.0
0.006052777786106519,0.005117020608576813,0.0027731790654431762,0.0,10.0,10.0
0.005535175846238467,0.004788590013276156,0.002411336684417075,0.0,10.0,10.0
0.004801898805203511,0.004839140949941023,0.0022295917961713796,0.0,6.875,6.875
0.004543097835269486,0.004872538388438729,0.0020795713823508486,0.0,5.0,5.0
0.0038098207942345278,0.0,0.0,0.0,5.0,5.0
0.0034431822737170494,0.0,0.0,0.0,5.0,5.0
0.002750662957551641,0.0,0.0,0.0,5.0,5.0
0.0026981889375036865,0.0,0.0,0.0,5.0,5.0
0.0026981889375036865,0.0,0.0,0.0,5.0,5.0
