Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0,0.0,0.0,0.625,0.625
0.0020774612108718305,0.0,0.0,0.0,1.625,1.625
0.0020774612108718305,0.0,0.0,0.0,1.375,1.375
0.0020774612108718305,0.0,0.0,0.0,1.625,1.625
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,0.75,0.75
0.0026362062130318516,0.0,0.0,0.0,0.625,0.625
0.0026579747122759782,0.0,0.0,0.0,2.25,2.25
0.0026020690652904144,0.0,0.0,0.042375,2.375,2.375
0.002595856020041935,0.0,0.0,0.258,1.375,1.375
0.002595856020041935,0.0,0.0,0.4795,1.625,1.625
0.002595856020041935,0.0,0.0,0.6064375,1.375,1.375
0.002595856020041935,0.00010427002146300985,0.002406999165669051,0.7081875,1.0,1.0
0.002595856020041935,7.612129665446981e-05,0.0062718388500254425,0.7641875,1.625,1.625
0.002595856020041935,4.79697583172126e-05,0.006845714859983171,0.7283125,2.625,2.625
0.002596725020016379,3.9935288178858905e-05,0.005718180922801178,0.5959375,3.625,3.625
0.002610901044941219,0.0,0.0,0.265375,4.0,4.0
0.0026713205694809563,0.0,0.0,0.0186875,4.0,4.0
0.002129935230919785,0.0,0.0,0.0,4.0,4.0
0.0020774612108718305,0.0,0.0,0.0,3.375,3.375
0.0020774612108718305,0.0,0.0,0.0,1.75,1.75
0.0020774612108718305,0.0,0.0,0.0,1.625,1.625
0.0020774612108718305,0.0,0.0,0.0,0.75,0.75
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,1.25,1.25
0.0026981889375036865,0.0,0.0,0.0,2.625,2.625
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,2.375,2.375
0.0026981889375036865,0.0,0.0,0.0,1.375,1.375
0.0036803210417198536,0.0006102379483013085,0.0050159536765397115,0.0,2.875,2.875
0.007458149515005972,0.002878908005895587,0.003703906927133699,0.0,2.125,2.125
0.01676440499964923,0.001139077541018115,0.006364041781842707,0.039375,3.5,3.5
0.014896401564050444,0.0005299623948385021,0.007465661166181838,0.2349375,1.875,1.875
0.014508200109149402,0.0004317036580146878,0.008327207250757621,0.429375,0.0,0.0
0.014896401564050444,0.00036295531397018333,0.010268423224588683,0.5826875,1.25,1.25
0.015097769263003144,0.0001935736884566491,0.011762145784498296,0.7043125,2.0,2.0
0.015219902776467977,0.00028746688842917143,0.013971532137552154,0.7641875,1.375,1.375
0.014508200109149402,0.00022693953506919116,0.01454016853110527,0.7294375,2.25,2.25
0.014616962324604037,0.00014829203215360553,0.01418703304055806,0.599375,8.0,8.0
0.015675824744537575,6.625572163464976e-05,0.012879832327015296,0.273,9.75,9.75
0.011523479930651651,2.9384107923539743e-07,0.011383580958861494,0.0193125,8.375,8.375
0.006052777786106519,0.0,0.009576437568010975,0.0,7.375,7.375
0.005535175846238467,0.0,0.008689960970781358,0.0,5.125,5.125
0.004801898805203511,0.0,0.007972027914246404,0.0,4.625,4.625
0.004543097835269486,1.7501245392123363e-05,0.007222218045878577,0.0,3.125,3.125
0.0038098207942345278,0.0,0.0,0.0,2.0,2.0
0.0034431822737170494,0.0,0.0,0.0,2.0,2.0
0.002750662957551641,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,0.75,0.75
0.0026981889375036865,0.0,0.0,0.0,1.25,1.25
0.0026981889375036865,0.0,0.0,0.0,1.375,1.375
0.0036803210417198536,0.00033045743023713816,0.006132316236847389,0.0055,2.25,2.25
0.007345521526595064,0.002029205840788968,0.004577346173602506,0.033,2.375,2.375
0.017216470850032153,0.000861590316475388,0.00755082291363488,0.00275,2.0,2.0
0.01569003959691121,0.0003755971628219558,0.007704693005204818,0.0594375,2.0,2.0
0.014508200109149402,0.00031985294739958253,0.008654273091528006,0.334875,2.0,2.0
0.014896401564050444,0.00018988946424448693,0.010792383832256142,0.5294375,0.75,0.75
0.015097769263003144,2.092301196891641e-05,0.012276657176511725,0.651125,1.25,1.25
0.015219902776467977,0.00010346909022926888,0.014618466704766221,0.716875,3.25,3.25
0.014508200109149402,9.148919938774457e-05,0.015361981750596219,0.7266875,3.375,3.375
0.014523842108689396,2.8540653295750424e-05,0.015337717091512267,0.60225,4.875,4.875
0.015315380001718384,0.0,0.013670404689447182,0.2813125,4.75,4.75
0.011486961765414907,1.502620812868291e-05,0.011279482696014075,0.02,3.375,3.375
0.006052777786106519,0.0,0.009229046286339743,0.0,3.625,3.625
0.005535175846238467,0.0,0.008338336699164263,0.0,2.125,2.125
0.004801898805203511,0.0,0.007694037044961821,0.0,2.25,2.25
0.004543097835269486,2.790864138336909e-05,0.007117422588160464,0.0,2.375,2.375
0.0038098207942345278,0.0,0.0,0.0,2.0,2.0
0.0034431822737170494,0.0,0.0,0.0,3.25,3.25
0.002750662957551641,0.0,0.0,0.0,4.0,4.0
0.0026981889375036865,0.0,0.0,0.0,4.0,4.0
0.0026981889375036865,0.0,0.0,0.0,2.125,2.125
0.0026981889375036865,0.0,0.0,0.0,1.625,1.625
0.0026981889375036865,0.0,0.0,0.0,2.625,2.625
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0036803210417198536,0.00031250174200781426,0.006376001088367682,0.0,3.0,3.0
0.007468778775700348,0.0018905076499033879,0.004836806882830641,0.0,3.0,3.0
0.01676440499964923,0.0007507992569384136,0.008010088027063086,0.0376875,1.75,1.75
0.014896401564050444,0.00030145791551415096,0.008459403128181553,0.225375,1.625,1.625
0.014508200109149402,0.00021423328825103034,0.009271446254119853,0.4168125,2.0,2.0
0.014896401564050444,0.00010627176489163427,0.011491900086395411,0.5765,2.0,2.0
0.015097769263003144,5.886095858525808e-06,0.012861893432727388,0.69525,1.375,1.375
0.015219902776467977,5.216490696857425e-05,0.014983283199029305,0.764375,2.25,2.25
0.014508200109149402,4.268060491566722e-05,0.015570790910087026,0.7308125,3.0,3.0
0.01452905610853606,7.464392975290278e-07,0.015842386936528258,0.605625,3.625,3.625
0.015430645700852723,0.0,0.014325768351297103,0.2889375,6.5,6.5
