Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0016882315283306415,9.061347294150177e-05,0.0,1.5625,1.5625
0.0020774612108718305,0.0022763901874182247,0.00013369432214305915,0.0,2.5,2.5
0.0020774612108718305,0.001781605386200464,0.00019216096369317572,0.0,0.9375,0.9375
0.0020774612108718305,0.002215725589563201,0.00013485442082012693,0.0,0.0,0.0
0.0020774612108718305,0.0019630270228920893,7.235178097864562e-05,0.0,0.0,0.0
0.0020774612108718305,0.0017541732083011367,0.00010397776200666753,0.0,0.0,0.0
0.0026362062130318516,0.0029184088430187624,0.00019414478906835971,0.0,0.0,0.0
0.0026740463354171565,0.002718516117283828,0.00012692971991661115,0.0,0.0,0.0
0.0026583168362096965,0.0023408153698472,0.00018707594962287538,0.03375,0.625,0.625
0.00260584770831791,0.002481949856455354,0.0002082847681751684,0.1944375,1.0,1.0
0.002595856020041935,0.0014485793403512446,0.00019885562793120514,0.326625,1.0,1.0
0.002595856020041935,0.0005782319385671784,5.4370049206084224e-05,0.4221875,1.0,1.0
0.002595856020041935,0.0005380160733052513,0.0001431839025044024,0.393375,1.0,1.0
0.002595856020041935,0.0002332672229145232,8.200543482823257e-05,0.030625,1.0,1.0
0.002595856020041935,4.633855763555554e-05,3.3175273680348105e-05,0.1250625,0.375,0.375
0.002595856020041935,0.0,0.0,0.50025,0.0,0.0
0.0025977063124996216,0.0,0.0,0.0416875,0.0,0.0
0.0026334328026224874,0.0,0.0,0.0,0.0,0.0
0.002129935230919785,0.00021373366722925809,7.199463649220508e-05,0.0,0.0,0.0
0.0020774612108718305,0.00033212194669862406,4.8681123304806825e-05,0.0,0.0,0.0
0.0020774612108718305,0.0007275223971810796,4.539465825762043e-05,0.0,0.0,0.0
0.0020774612108718305,0.0008272593803885517,2.8871663390570374e-05,0.0,0.0,0.0
0.0020774612108718305,0.0006783288312572825,1.2747828409790019e-05,0.0,0.0,0.0
0.0020774612108718305,0.001328785934532743,1.3724990376419168e-05,0.0,0.0,0.0
0.0026981889375036865,0.001224659827486777,1.024574625286676e-05,0.0,0.0,0.0
0.0026981889375036865,0.0009455749270416306,5.442302921598374e-06,0.0,0.0,0.0
0.0026981889375036865,0.001758057952571351,8.876762004575999e-05,0.0,0.0,0.0
0.0026981889375036865,0.0016766318372147576,0.00013335792139279354,0.0,0.0,0.0
0.0026981889375036865,0.0013305323003941758,0.0001281504158440503,0.0,0.0,0.0
0.0026981889375036865,0.009605312222280109,0.0007505778041248505,0.0,0.0,0.0
0.0036803210417198536,0.025108810994022797,0.00018922543168231308,0.0,0.0,0.0
