Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0,0.0,0.0,1.9375,1.9375
0.0020774612108718305,0.0,0.0,0.0,2.5,2.5
0.0020774612108718305,0.0,0.0,0.0,0.9375,0.9375
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0026362062130318516,0.0,0.0,0.0,0.0,0.0
0.0026541045798956116,0.0,0.0,0.0495,0.0,0.0
0.002605315585869861,0.0,0.0,0.198,0.625,0.625
0.002595856020041935,0.0,0.0,0.12075,1.0,1.0
0.002595856020041935,0.0,0.0,0.56625,1.0,1.0
0.002595856020041935,9.817051615995351e-05,0.0024648817990308458,0.769,1.0,1.0
0.002595856020041935,8.464899597147076e-05,0.006200885914028096,0.59875,1.0,1.0
0.002595856020041935,2.3657847346087465e-05,0.00471483335615307,0.1895625,1.0,1.0
0.002595856020041935,4.662579819348889e-05,0.008093806315192234,0.7096875,1.0,1.0
0.002595856020041935,2.6670611739470163e-05,0.006932924348059696,0.6903125,1.0,1.0
0.0025979308975172186,2.0993789494190354e-05,0.007881864440262273,0.4633125,1.0,1.0
0.002661883699008501,0.0,0.0019120756748649314,0.034875,1.0,1.0
0.002129935230919785,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,0.375,0.375
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0036803210417198536,0.00028154562148107246,0.006639128890307209,0.0,0.0,0.0
0.007435566790218804,0.001651636916648574,0.005278200655248598,0.0331875,0.0,0.0
0.016703858531818525,0.0006979656092710416,0.00818816021181434,0.13275,0.0,0.0
0.014896401564050444,0.0002871646174751642,0.008280653894106982,0.080625,0.0,0.0
0.014508200109149402,0.00023389640115876561,0.008839587594523203,0.27825,0.0,0.0
0.014896401564050444,0.00010278263401029117,0.009655710617185023,0.0231875,0.0,0.0
0.015097769263003144,0.0002083289775890356,0.010252594239643703,0.0,0.0,0.0
0.015219902776467977,2.8220284572612586e-05,0.011801511588933748,0.1059375,0.0,0.0
0.014508200109149402,4.492747053418352e-05,0.014455274000559544,0.558375,1.25,1.25
0.014508200109149402,7.080971613666483e-06,0.0174760425998073,0.6791875,2.0,2.0
0.015106144291040954,0.0,0.01729559482048707,0.466375,2.0,2.0
0.011279655646911455,0.0,0.012794500390120943,0.035125,2.0,2.0
0.006052777786106519,0.0,0.010722856388292354,0.0,2.0,2.0
0.005535175846238467,0.0,0.009566099019574193,0.0,2.0,2.0
0.004801898805203511,0.0,0.008643048008762463,0.0,1.375,1.375
0.004543097835269486,0.0,0.007888814542886764,0.0,1.0,1.0
0.0038098207942345278,0.0,0.0,0.0,1.0,1.0
0.0034431822737170494,0.0,0.0,0.0,1.0,1.0
0.002750662957551641,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,0.375,0.375
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0036803210417198536,0.00023614410247807698,0.007010355037662827,0.0,0.0,0.0
0.0074212329626833495,0.0014278153574592812,0.0059119985622265525,0.0395625,0.0,0.0
0.016679810328085368,0.0005990996319115051,0.008869137814061968,0.2986875,0.0,0.0
