Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0007947331832230779,1.3879735463746895e-06,0.0,3.25,3.25
0.0020774612108718305,0.0015343660756741136,9.371631372050444e-05,0.0,2.75,2.75
0.0020774612108718305,0.0016748320895125415,5.810095838976348e-05,0.0,2.625,2.625
0.0020774612108718305,0.0013571760001965224,9.399510472355644e-05,0.0,3.625,3.625
0.0020774612108718305,0.0021825004638762503,0.00013467251478726256,0.0,3.375,3.375
0.0020774612108718305,0.001845738737317333,0.00013428468537809193,0.0,3.0,3.0
0.0026362062130318516,0.001251573111283358,7.944465922903297e-05,0.0,2.375,2.375
0.0026740463354171565,0.0019532516857400637,0.00011078615176288299,0.0,2.625,2.625
0.0026740463354171565,0.0016890731156811209,0.0001297097349505987,0.0,2.375,2.375
0.002669268453653868,0.0013075273471338117,6.237102953465938e-05,0.0,2.625,2.625
0.002635890432755859,0.0015925379169531122,8.061563380661745e-05,0.0,3.0,3.0
0.0026048827647273233,0.0009350115567167714,0.0,0.0,2.375,2.375
0.002597097639087382,0.0005642149334209419,2.2525208571421366e-06,0.0,2.625,2.625
0.0026002953753579256,0.0007986572877827965,6.083144440132455e-06,0.0,3.0,3.0
0.002602807931447189,0.0005929093679559219,1.1104300682336382e-05,0.0,2.375,2.375
0.0026053677205022737,0.000383719578577301,9.949635371197477e-06,0.0,1.375,1.375
0.0026169266958716397,0.0003639913931672224,6.2937945724463965e-06,0.0,1.625,1.625
0.0026519856237584225,0.000720152362809005,1.8522318458529465e-05,0.0,2.0,2.0
0.002129935230919785,0.0007833208233839423,4.295441335251505e-06,0.0,2.0,2.0
0.0020774612108718305,0.0006177743656236954,1.1284134888718513e-06,0.0,2.0,2.0
0.0020774612108718305,0.001065195300001513,9.350140965885683e-07,0.0,3.25,3.25
0.0020774612108718305,0.000986098807821491,0.0,0.0,3.375,3.375
0.0020774612108718305,0.0006951201122036954,0.0,0.0,2.375,2.375
0.0020774612108718305,0.0011128490698452628,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0009599113463001014,0.0,0.0,2.625,2.625
0.0026981889375036865,0.0006655838829876889,0.0,0.0,2.375,2.375
0.0026981889375036865,0.001062568233767367,0.0,0.0,2.625,2.625
0.0026981889375036865,0.0012930445153518564,7.831537324579232e-05,0.0,3.0,3.0
0.0026981889375036865,0.0006993286561401727,0.0,0.0,2.375,2.375
0.0026981889375036865,0.0010912473876429503,0.0,0.0,2.625,2.625
0.0036803210417198536,0.018274886671532282,0.0004049716167810736,0.0,3.625,3.625
