Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0,0.0,0.0,2.3125,2.3125
0.0020774612108718305,0.0,0.0,0.0,2.5,2.5
0.0020774612108718305,0.0,0.0,0.0,0.9375,0.9375
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0026362062130318516,0.0,0.0,0.0,0.0,0.0
0.0026707883641868034,0.0,0.0,0.018,0.0,0.0
0.002625988942764012,0.0,0.0,0.1336875,0.625,0.625
0.002602365249647781,0.0,0.0,0.3208125,1.0,1.0
0.002595856020041935,0.0,0.0,0.3981875,1.0,1.0
0.002595856020041935,0.0,0.0,0.5390625,1.0,1.0
0.002595856020041935,0.0,0.0,0.51925,1.0,1.0
0.002595856020041935,0.0,0.0,0.565625,1.0,1.0
0.002595856020041935,0.0,0.0,0.60675,1.0,1.0
0.002596725020016379,0.0,0.0,0.478,1.0,1.0
0.002614576849603776,0.0,0.0,0.036625,1.0,1.0
0.0026740463354171565,0.0,0.0,0.0,1.0,1.0
0.002129935230919785,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,1.625,1.625
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,1.375,1.375
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0015629400279793578,0.00038736624024649933,0.0,1.0,1.0
0.0036803210417198536,0.009754774316626955,0.0017005625663340422,0.0,1.0,1.0
0.007515778867829024,0.01279860473093822,0.0012596105642891553,0.015375,1.0,1.0
0.01709466899906071,0.005347097127122392,0.0027116861227867127,0.0615,0.375,0.375
0.01500589317429233,0.003494897175488955,0.0031825223300219942,0.005125,0.0,0.0
0.01451777831321428,0.0021791413886195848,0.004002200962048374,0.0695625,0.0,0.0
0.014896401564050444,0.0013112230037483196,0.005764566988816913,0.3575625,0.0,0.0
0.015097769263003144,0.00209157953365686,0.006094650744825472,0.428,0.0,0.0
0.015219902776467977,0.0010227355351398089,0.007837839230647918,0.3766875,0.0,0.0
0.014508200109149402,0.0008026491440881296,0.007657665409883496,0.1394375,1.25,1.25
0.014523842108689396,0.0008526209181896903,0.00847963195265969,0.441,2.0,2.0
0.015476457740020376,0.0007543271197722384,0.008698437532565073,0.03675,2.0,2.0
0.011523479930651651,0.001597855127610592,0.006133977269119575,0.0,2.0,2.0
0.006052777786106519,0.0005194962079394461,0.0035857255139390225,0.0,2.0,2.0
0.005535175846238467,0.0008484041352917726,0.00297424999963889,0.0,2.0,2.0
0.004801898805203511,0.0012501480577734477,0.0026302872237253558,0.0,1.375,1.375
0.004543097835269486,0.0014392613027851791,0.002473311794931546,0.0,1.0,1.0
0.0038098207942345278,0.0,0.0,0.0,1.0,1.0
0.0034431822737170494,0.0,0.0,0.0,1.0,1.0
0.002750662957551641,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0036803210417198536,0.004352049627163891,0.002436592348909715,0.0,1.0,1.0
0.007515778867829024,0.007537524085847435,0.0021257159985260117,0.015375,1.0,1.0
0.016981571575698077,0.0027220339795919024,0.004375587083726549,0.102,1.625,1.625
0.014934392308652138,0.0013788869383985396,0.005311210770538249,0.167125,2.0,2.0
0.01452735651727916,0.0010362630251555308,0.005469458948576156,0.0823125,2.0,2.0
0.014896401564050444,0.0008921435151810277,0.007107574011710334,0.27525,2.0,2.0
0.015097769263003144,0.0019445496270986162,0.006635706386183375,0.0229375,2.0,2.0
0.015219902776467977,0.0007304484120307598,0.007532680846289035,0.094875,2.0,2.0
0.014508200109149402,0.0007274774642597558,0.00795771220049965,0.3795,5.75,5.75
0.014557147372927758,0.0005334744088474629,0.007390268252886742,0.031625,8.0,8.0
0.015543671885649627,0.000626718796018644,0.007055542394403809,0.0,8.0,8.0
0.011523479930651651,0.002366856763684376,0.004781158834518366,0.0,8.0,8.0
0.006052777786106519,0.002906762479800221,0.003434367326812106,0.0,8.0,8.0
0.005535175846238467,0.002899427359124522,0.0030597848337017074,0.0,8.0,8.0
0.004801898805203511,0.0033444781441617165,0.0028113965956527817,0.0,6.125,6.125
0.004543097835269486,0.0036466003618695337,0.0026629043381566557,0.0,5.0,5.0
0.0038098207942345278,0.0,0.0,0.0,5.0,5.0
0.0034431822737170494,0.0,0.0,0.0,5.0,5.0
0.002750662957551641,0.0,0.0,0.0,5.0,5.0
0.0026981889375036865,0.0,0.0,0.0,5.0,5.0
0.0026981889375036865,0.0,0.0,0.0,3.125,3.125
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0012898123813392304,0.0005018604921959043,0.0,2.0,2.0
0.0036803210417198536,0.007635739999081089,0.0022537306690808712,0.0,2.0,2.0
0.007515778867829024,0.010115735151556423,0.002219856129981448,0.0225,2.0,2.0
0.01697738461947141,0.004745030216364724,0.0040942966016384265,0.2191875,4.5,4.5
0.014901615431311658,0.0022145110634749533,0.005429503328145489,0.6054375,6.0,6.0
0.014508200109149402,0.0014287929722752173,0.0057806375731700565,0.3678125,6.0,6.0
0.014896401564050444,0.0011281783722082057,0.005844569499131413,0.0270625,6.0,6.0
0.015097769263003144,0.002249576159727497,0.005855792954018892,0.1235625,6.0,6.0
0.015219902776467977,0.0009708232540872371,0.007756124032345041,0.6260625,6.0,6.0
0.014508200109149402,0.0007863991748340338,0.008442908725351007,0.5684375,4.75,4.75
0.014523842108689396,0.0005203088819747022,0.00800452346860737,0.082,4.0,4.0
0.015376954341471728,0.0005669053632713342,0.00822227705759078,0.15225,4.0,4.0
0.011523479930651651,0.0017681899337250848,0.00583783723837745,0.0,4.0,4.0
0.006052777786106519,0.0013746085569718487,0.0038268186811233145,0.0,4.0,4.0
0.005535175846238467,0.0012549998693841143,0.003397185259384714,0.0,4.0,4.0
0.004801898805203511,0.0018622733214447278,0.0030520445535848987,0.0,6.5,6.5
0.004543097835269486,0.002380157928785281,0.0028570940369026993,0.0,8.0,8.0
0.0038098207942345278,0.0,0.0,0.0,8.0,8.0
0.0034431822737170494,0.0,0.0,0.0,8.0,8.0
0.002750662957551641,0.0,0.0,0.0,8.0,8.0
0.0026981889375036865,0.0,0.0,0.0,8.0,8.0
0.0026981889375036865,0.0,0.0,0.0,4.875,4.875
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0036803210417198536,0.005008630927332519,0.0025397243635600654,0.0,3.0,3.0
0.007524528270533341,0.007921571264949074,0.0023024493468500715,0.0135,3.0,3.0
0.017185884738061118,0.0030805960328009682,0.004364846898693558,0.13275,4.25,4.25
0.014997926095172018,0.0014677687330312203,0.005756272154545537,0.4288125,5.0,5.0
0.014508200109149402,0.0010831344536883123,0.006684323061791926,0.5960625,5.0,5.0
0.014896401564050444,0.0009320968582032539,0.007976766925654724,0.632875,5.0,5.0
0.015097769263003144,0.0016144519648960138,0.0073266726722256165,0.3816875,5.0,5.0
0.015219902776467977,0.0005979708218676694,0.008680342446976536,0.4450625,5.0,5.0
0.014508200109149402,0.0007094229819639329,0.009908075984619354,0.664375,4.375,4.375
0.014539484108229389,0.0005986941438996486,0.009796106487374083,0.5315,4.0,4.0
0.015522485103821586,0.0004908313173728696,0.009346635991875872,0.193375,4.0,4.0
0.011523479930651651,0.0013317625052427732,0.007415505811541553,0.0,4.0,4.0
0.006052777786106519,0.0001157872530252389,0.005134466537608243,0.0,4.0,4.0
0.005535175846238467,0.00033751394491059476,0.0045785237427578155,0.0,4.0,4.0
0.004801898805203511,0.0005893951345910447,0.004096865641071456,0.0,3.375,3.375
0.004543097835269486,0.0008439348413337873,0.0037279887339727404,0.0,3.0,3.0
0.0038098207942345278,0.0,0.0,0.0,3.0,3.0
0.0034431822737170494,0.0,0.0,0.0,3.0,3.0
0.002750662957551641,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,1.125,1.125
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0036803210417198536,0.00386619232342891,0.003288820660488737,0.0,0.0,0.0
