Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.002800609101689433,9.0506792846618e-05,0.0,1.625,1.625
0.0020774612108718305,0.0022171182233052373,0.00010875729929663594,0.0,2.0,2.0
0.0020774612108718305,0.0016558752913154258,7.04350096755532e-05,0.0,1.375,1.375
0.0020774612108718305,0.0028603553532359992,0.00010444227875168193,0.0,1.625,1.625
0.0020774612108718305,0.002921263413379949,0.0001141142974939297,0.0,2.0,2.0
0.0020774612108718305,0.0021110798972009334,8.07771028598349e-05,0.0,1.375,1.375
0.0026362062130318516,0.0026960736284337805,0.0001095426835136683,0.0,0.375,0.375
0.0026740463354171565,0.002358820807167612,0.0001108917198386867,0.0,0.0,0.0
0.0026544350446664677,0.0016742025549675765,7.445320251370386e-05,0.0028125,0.0,0.0
0.0026022475708067537,0.002471648082935478,0.0001226166261673636,0.0135,0.0,0.0
0.002596388142489984,0.001914321359365396,0.00012483558047434427,0.012,1.25,1.25
0.002595856020041935,0.0012014653950977142,8.728483365407168e-05,0.013875,2.0,2.0
0.002595856020041935,0.0010057992399906271,2.654654891973673e-06,0.0201875,1.375,1.375
0.002595856020041935,0.0006495478768427202,2.3563222685068214e-06,0.0029375,1.625,1.625
0.002595856020041935,0.00040942410736921994,3.7949849065165535e-06,0.00525,2.0,2.0
0.002596725020016379,0.0006711899913972687,1.0588116450311529e-05,0.0004375,2.0,2.0
0.002604972383978225,0.0006625753787413139,1.1600373679378821e-05,0.0,2.0,2.0
0.002667650799338874,0.000802038491607031,9.89926312179008e-05,0.0,0.75,0.75
0.002129935230919785,0.0018231537315178867,8.945242977397727e-05,0.0,1.25,1.25
0.0020774612108718305,0.002234926355583333,0.00012174358322245518,0.0,1.375,1.375
0.0020774612108718305,0.0019171571227866156,0.00011752977603736494,0.0,1.625,1.625
0.0020774612108718305,0.0024144286859923932,8.005269987023666e-05,0.0,1.375,1.375
0.0020774612108718305,0.0024441716357699555,0.0001160823732848328,0.0,0.375,0.375
0.0020774612108718305,0.0019788750981604426,0.00011423650036277622,0.0,0.625,0.625
0.0026981889375036865,0.0024363153370874236,7.724649374069434e-05,0.0,1.625,1.625
0.0026981889375036865,0.002856653760610683,0.00011809160780971967,0.0,2.0,2.0
0.0026981889375036865,0.0020221765246235365,0.00011759933905609857,0.0,0.75,0.75
0.0026981889375036865,0.0023861901191204607,8.35447806938697e-05,0.0,0.0,0.0
0.0026981889375036865,0.00288799995179947,0.00011750821407187461,0.0,1.25,1.25
0.0026981889375036865,0.009687348941249915,0.0006318026948658787,0.0,2.0,2.0
0.0036803210417198536,0.02590642431418868,6.43323282687769e-05,0.0,2.0,2.0
0.007540883363227168,0.02619067525872021,0.0005230152298830043,0.0,2.0,2.0
0.017900031673636407,0.017417824520884997,0.0014285778415136776,0.0,2.0,2.0
0.015552512587201115,0.013913337636257489,0.0014593967897195386,0.0,2.625,2.625
0.014885568327511658,0.011632147497700217,0.0014604770479184034,0.0,3.0,3.0
0.014921621369898969,0.009201598397481412,0.001520899820009798,0.0,2.375,2.375
0.015097769263003144,0.008598951274059321,0.0015943940107828996,0.027375,2.0,2.0
0.015219902776467977,0.0038496177025535545,0.002363670842633228,0.1981875,2.625,2.625
0.014508200109149402,0.00243482096035076,0.00398040434903548,0.4698125,4.25,4.25
0.014508200109149402,0.0021097354641832484,0.005032203648647398,0.5106875,5.625,5.625
0.015169740293709013,0.00197937824931107,0.005447738410775827,0.2648125,5.375,5.375
0.011430493169013331,0.00441564314158495,0.002115076424543436,0.019125,5.0,5.0
0.006052777786106519,0.0059257613794348974,0.0014111172858576623,0.0,5.625,5.625
0.005535175846238467,0.005959504678052778,0.0011704716273646702,0.0,6.0,6.0
0.004801898805203511,0.006483409551043777,0.00102308169300306,0.0,6.0,6.0
0.004543097835269486,0.006711865627055033,0.0007597362816289403,0.0,5.375,5.375
0.0038098207942345278,0.0,0.0,0.0,5.0,5.0
0.0034431822737170494,0.0,0.0,0.0,4.375,4.375
0.002750662957551641,0.0,0.0,0.0,5.25,5.25
0.0026981889375036865,0.0,0.0,0.0,6.625,6.625
0.0026981889375036865,0.0,0.0,0.0,7.625,7.625
0.0026981889375036865,0.0,0.0,0.0,8.625,8.625
0.0026981889375036865,0.0,0.0,0.0,9.0,9.0
0.0026981889375036865,0.004737768351713048,0.0007775527536769981,0.0,8.375,8.375
0.0036803210417198536,0.013114829999902128,0.0011231920943423838,0.0,5.5,5.5
0.007513757602670652,0.015099767883374252,0.0011901220985596087,0.0174375,4.625,4.625
0.01705269552096243,0.007027686201079085,0.002514980068923774,0.1425,3.75,3.75
0.01493928410425554,0.003917043650316221,0.003587034952600556,0.4145625,4.25,4.25
0.014508200109149402,0.002711956671762686,0.0048245245242122,0.6394375,5.625,5.625
0.014896401564050444,0.00210195770362269,0.00531626208962799,0.7601875,6.0,6.0
0.015097769263003144,0.003099588436212275,0.0052641284863232845,0.76675,6.0,6.0
0.015219902776467977,0.0014677435762187566,0.00705731494181918,0.7515625,5.375,5.375
0.014508200109149402,0.0011748179558223968,0.007464244124987632,0.7103125,5.0,5.0
0.014513414108996068,0.0010756783222002494,0.0075375634142281905,0.5845,3.75,3.75
0.015227355771347286,0.0010240278155757327,0.007555120747619185,0.277,3.0,3.0
0.01144312222917628,0.0023884901263024616,0.0054545766682872416,0.01975,3.0,3.0
0.006052777786106519,0.002393476250633134,0.003220434835758225,0.0,3.0,3.0
0.005535175846238467,0.002320099691401191,0.0024767799883225953,0.0,2.375,2.375
0.004801898805203511,0.002803769188583215,0.0021682980648612946,0.0,1.375,1.375
0.004543097835269486,0.003047101863251235,0.002041244423409392,0.0,0.375,0.375
0.0038098207942345278,0.0,0.0,0.0,0.0,0.0
0.0034431822737170494,0.0,0.0,0.0,1.875,1.875
0.002750662957551641,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,4.25,4.25
0.0026981889375036865,0.0,0.0,0.0,4.375,4.375
0.0026981889375036865,0.0,0.0,0.0,3.375,3.375
0.0026981889375036865,0.0013418151333866267,0.00046145257208876406,0.0,3.0,3.0
0.0036803210417198536,0.008086105129584503,0.0020006161579099384,0.0,3.0,3.0
0.007532400975371333,0.010733050414263758,0.001704609768871013,0.0043125,1.75,1.75
0.01726655568912405,0.005365648877639442,0.003547989150404968,0.0541875,0.375,0.375
0.014958967971185035,0.0031493114023028092,0.0040611949272144395,0.2241875,1.875,1.875
0.014508200109149402,0.0018102235298036549,0.005056826920212735,0.422375,2.375,2.375
0.014896401564050444,0.0012952840010763752,0.0060986609002985125,0.6056875,2.0,2.0
0.015097769263003144,0.0023161621823118675,0.006362414566306473,0.740375,3.25,3.25
0.015219902776467977,0.0010511858942373804,0.008494150247382242,0.7505,4.0,4.0
0.014508200109149402,0.0008634747024574378,0.008747657110088451,0.7114375,4.625,4.625
0.014508200109149402,0.000781589828082444,0.00859131091397455,0.5883125,5.0,5.0
0.015217777567282409,0.0007120231219966242,0.008304869005498709,0.286125,4.375,4.375
0.011430493169013331,0.0017998309199540815,0.006084975365394444,0.0205,3.375,3.375
0.006052777786106519,0.0015627065806032763,0.004086630399559195,0.0,3.0,3.0
0.005535175846238467,0.0014700204335246266,0.0034411396172997306,0.0,3.0,3.0
0.004801898805203511,0.0021319004110714325,0.0029789034076932756,0.0,2.375,2.375
0.004543097835269486,0.0024448066348479558,0.0027673691223038623,0.0,0.75,0.75
0.0038098207942345278,0.0,0.0,0.0,0.625,0.625
0.0034431822737170494,0.0,0.0,0.0,2.25,2.25
0.002750662957551641,0.0,0.0,0.0,2.375,2.375
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,1.375,1.375
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.000899943237368249,0.0005149103409774123,0.0,0.375,0.375
0.0036803210417198536,0.006816506590476551,0.002336989133551895,0.0,0.0,0.0
0.007524528270533341,0.009729199444491906,0.0023040871940097087,0.0065625,0.0,0.0
0.0171480497302774,0.004948506769911411,0.0038980713422859907,0.066,0.0,0.0
0.014938112502140171,0.0025510764145383817,0.0045251527367286114,0.2459375,0.0,0.0
0.014508200109149402,0.0014892533029660013,0.005498082484328461,0.4570625,1.875,1.875
0.014896401564050444,0.0010956183666406684,0.006618196877374971,0.5699375,2.375,2.375
0.015097769263003144,0.0020423258649709926,0.00683587884577242,0.6535,2.0,2.0
0.015219902776467977,0.000824973756831949,0.009018769042971858,0.675875,2.0,2.0
0.014508200109149402,0.0006541882650053101,0.009135619179374084,0.6121875,2.625,2.625
0.014508200109149402,0.0005751730950225103,0.008819491259534951,0.4629375,3.625,3.625
0.015169740293709013,0.0005613903877387013,0.008753952605628251,0.282,3.375,3.375
0.011430493169013331,0.0015429102798414096,0.006488615998939346,0.021,3.0,3.0
0.006052777786106519,0.0014281159297900334,0.004364181697234183,0.0,3.0,3.0
0.005535175846238467,0.0012888610522312112,0.003743855200505161,0.0,2.375,2.375
0.004801898805203511,0.0017249217818042953,0.0034241598505971786,0.0,1.375,1.375
0.004543097835269486,0.002156925915512816,0.0031499578470561506,0.0,1.625,1.625
0.0038098207942345278,0.0,0.0,0.0,0.75,0.75
0.0034431822737170494,0.0,0.0,0.0,0.0,0.0
0.002750662957551641,0.0,0.0,0.0,1.25,1.25
0.0026981889375036865,0.0,0.0,0.0,0.75,0.75
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.625,0.625
0.0026981889375036865,0.0,0.0,0.0,0.375,0.375
0.0026981889375036865,0.0,0.0,0.0,0.625,0.625
0.0036803210417198536,0.005882564412362239,0.002731848665393044,0.0,1.0,1.0
0.007540883363227168,0.008711965101903111,0.0024063129207315724,0.00225,0.375,0.375
0.017405439237601468,0.004417143806188228,0.004109757109168976,0.0350625,0.0,0.0
0.014968546175249913,0.002399935526763217,0.004514731005534355,0.156,0.0,0.0
0.014508200109149402,0.0013512564750972603,0.005502238395812471,0.303625,0.625,0.625
0.014896401564050444,0.0009241041826051675,0.006804812127906157,0.486125,1.625,1.625
0.015097769263003144,0.00190511818065461,0.006837254289098103,0.551,3.25,3.25
0.015219902776467977,0.0007163957473747202,0.008834046164750258,0.5359375,2.75,2.75
0.014508200109149402,0.0005664893313522738,0.009179031774961923,0.55525,2.625,2.625
0.014508200109149402,0.0005406101041911363,0.009321282770176626,0.523125,2.375,2.375
0.015156119559327393,0.00047496948854431573,0.00907811682052587,0.2940625,2.625,2.625
0.011415864569814284,0.0014325750384137804,0.006764206215612379,0.0215625,3.0,3.0
0.006052777786106519,0.001296881682861649,0.004622630592078802,0.0,3.0,3.0
0.005535175846238467,0.0011609957191977597,0.003931104371533397,0.0,3.0,3.0
0.004801898805203511,0.0015877637001418098,0.0035968063127550915,0.0,1.75,1.75
0.004543097835269486,0.0020337103907375714,0.003402748249258163,0.0,1.625,1.625
0.0038098207942345278,0.0,0.0,0.0,0.75,0.75
0.0034431822737170494,0.0,0.0,0.0,0.625,0.625
0.002129935230919785,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,0.375,0.375
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.625,0.625
0.0020774612108718305,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,0.375,0.375
0.0036803210417198536,0.005459625502213383,0.0027766037087531017,0.0,0.0,0.0
0.0048421972113520196,0.007790877950274354,0.0022083186361071,0.0043125,0.625,0.625
0.00671283567900486,0.0052553141150309245,0.0022337951380518328,0.0350625,0.375,0.375
0.0069591222182398,0.0035107299622728167,0.0024590029148887126,0.105125,0.0,0.0
0.006740973287056123,0.0019968586051795686,0.0030114896754688284,0.1814375,0.0,0.0
0.007193874984440668,0.0012804976329955798,0.0036864848964239844,0.26,1.25,1.25
0.004916025491630032,0.0010278367804479613,0.0035245370793256336,0.37,1.375,1.375
0.00439842355176198,0.0005396674129785791,0.0038910943388510244,0.4881875,2.25,2.25
0.004074922339344448,0.000329188428739557,0.0045838900160472705,0.563625,2.375,2.375
0.0038161213694104224,0.00024549929252746,0.004876886011865241,0.53825,1.375,1.375
0.0038917578231983333,0.0004261160409281335,0.004794635158138627,0.301875,2.25,2.25
0.003051486254234459,7.125549011790264e-07,0.0058824071647032876,0.022125,2.375,2.375
0.0026740463354171565,0.0,0.0,0.0,2.0,2.0
0.002129935230919785,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,0.75,0.75
0.0020774612108718305,0.0,0.0,0.0,1.25,1.25
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,1.375,1.375
0.0020774612108718305,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,0.375,0.375
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,1.25,1.25
0.0020774612108718305,0.0,0.0,0.0,0.75,0.75
0.0026362062130318516,0.0,0.0,0.0,0.0,0.0
0.0026740463354171565,0.0,0.0,0.0020625,0.625,0.625
0.0026404218672618127,0.0,0.0,0.0178125,1.625,1.625
0.0025998640539974614,0.0,0.0,0.068,1.375,1.375
0.002595856020041935,0.0,0.0,0.168,1.0,1.0
0.002595856020041935,0.0,0.0,0.263,1.625,1.625
0.002595856020041935,0.0,0.0,0.3175,2.625,2.625
0.002595856020041935,0.0,0.0,0.348,3.0,3.0
0.002595856020041935,0.0,0.0,0.345875,3.625,3.625
0.002595856020041935,0.0,0.0,0.2694375,2.75,2.75
0.002598575312474066,0.0,0.0,0.1733125,2.0,2.0
0.00266328479933342,0.0,0.0,0.013,2.625,2.625
0.002129935230919785,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,2.375,2.375
0.0020774612108718305,0.0,0.0,0.0,1.375,1.375
0.0020774612108718305,0.0,0.0,0.0,1.625,1.625
0.0020774612108718305,0.0,0.0,0.0,0.75,0.75
0.0026981889375036865,0.0,0.0,0.0,0.625,0.625
0.0026981889375036865,0.0,0.0,0.0,0.375,0.375
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.625,0.625
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0008882336745258818,0.0002526826317954883,0.0,1.0,1.0
0.0036803210417198536,0.008909366117568188,0.001788386567125803,0.0,2.875,2.875
0.007540883363227168,0.011974136109761646,0.0013257262416966115,0.0,4.625,4.625
0.017272613828961603,0.005131103220291964,0.002815616033751757,0.00675,5.0,5.0
0.014962160705873329,0.0029478118604937,0.0034641125958101,0.0635625,3.75,3.75
0.014508200109149402,0.001596126903327247,0.0047632402502881905,0.2056875,3.625,3.625
0.014896401564050444,0.0011557185617308678,0.0057698916813951435,0.309375,3.375,3.375
0.015097769263003144,0.002131299443363418,0.005872746951567047,0.371375,4.25,4.25
0.015219902776467977,0.0009732388329043001,0.007439789950897405,0.4139375,5.0,5.0
