Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0,0.0,0.0,2.3125,2.3125
0.0020774612108718305,0.0,0.0,0.0,2.5,2.5
0.0020774612108718305,0.0,0.0,0.0,2.1875,2.1875
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0026362062130318516,0.0,0.0,0.0,2.0,2.0
0.002659802077393261,0.0,0.0,0.019875,2.0,2.0
0.0026068860440483245,0.0,0.0,0.116625,2.0,2.0
0.0025959683051848753,0.0,0.0,0.2044375,2.0,2.0
0.002595856020041935,0.0,0.0,0.2683125,2.0,2.0
0.002595856020041935,0.0,0.0,0.2511875,2.0,2.0
0.002595856020041935,0.0,0.0,0.0195625,2.0,2.0
0.002595856020041935,0.0,0.0,0.078375,2.0,2.0
0.002595856020041935,0.0,0.0,0.3135,2.0,2.0
0.002597014686674527,0.0,0.0,0.026125,2.0,2.0
0.002606243321022041,0.0,0.0,0.0,2.0,2.0
0.0026660105652696196,0.0,0.0,0.0,2.0,2.0
0.002129935230919785,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0010076754526142236,0.00043535082470088954,0.0,2.0,2.0
0.0036803210417198536,0.007260872043382444,0.0018782506715019276,0.0,2.0,2.0
0.007454744060031002,0.010231291909976525,0.00136616214927388,0.023625,2.0,2.0
0.01681669381292895,0.003784355303523362,0.003274687519344237,0.0945,1.375,1.375
0.01493928410425554,0.002447163164376523,0.003827751385120073,0.007875,1.0,1.0
0.014508200109149402,0.001618920084481591,0.004406898904334923,0.0,1.0,1.0
0.014896401564050444,0.0010964576321855905,0.005432504935139645,0.078,1.0,1.0
0.015097769263003144,0.0019793147971150977,0.006295378485153598,0.312,1.0,1.0
0.015219902776467977,0.0008063047435501096,0.00748299302629088,0.1180625,1.0,1.0
0.014508200109149402,0.0008470576540272919,0.008047017141035421,0.4725,1.625,1.625
0.014508200109149402,0.0009047084583938894,0.00888919776204305,0.52475,2.0,2.0
0.015127850086056065,0.0008438680571115104,0.00918441780303634,0.343,2.0,2.0
0.0114018535665651,0.0013836354989597878,0.007287700686407899,0.0256875,2.0,2.0
0.006052777786106519,0.00013455560901255636,0.004840007295179508,0.0,2.0,2.0
0.005535175846238467,0.00023935821315755168,0.003939879112073203,0.0,2.0,2.0
0.004801898805203511,0.0003929032775963808,0.0033632602045058227,0.0,0.75,0.75
0.004543097835269486,0.0005463832710702344,0.0030469556749623664,0.0,0.0,0.0
0.0038098207942345278,0.0,0.0,0.0,0.0,0.0
0.0034431822737170494,0.0,0.0,0.0,0.0,0.0
0.002750662957551641,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0036803210417198536,0.0013520819404998106,0.004082600854468122,0.0,0.0,0.0
0.007540883363227168,0.004731227751023101,0.00248803823809986,0.0,0.0,0.0
0.0179860335453756,0.0016704228517416579,0.005164310504425786,0.0,1.25,1.25
0.016303827240804432,0.0010853795725826198,0.005345793903265149,0.0,2.0,2.0
0.015675174489724678,0.0009553868938062851,0.005512410187030106,0.0,2.0,2.0
0.015959819753847675,0.0009266025791813252,0.006060465375681893,0.0,2.0,2.0
0.01616118745280037,0.001844273461450619,0.0058745550252907956,0.0,2.0,2.0
0.016283320966265204,0.0010179078712491282,0.0067671063786859395,0.0,2.0,2.0
0.015571618298946632,0.0007386962958041531,0.006570780878868471,0.0,0.75,0.75
0.015915625785903394,0.0007040672428415314,0.006735022952972516,0.0,0.0,0.0
0.01649792796825495,0.0007906386480271037,0.007061846970319321,0.0,0.0,0.0
0.011523479930651651,0.0018010673057098467,0.0049626526643421895,0.0,0.0,0.0
0.006052777786106519,0.0019205169974507265,0.0035061491325024995,0.0,0.0,0.0
0.005535175846238467,0.0016213657707748116,0.00318296563212865,0.0,0.0,0.0
0.004801898805203511,0.0020206946383581033,0.0029605700827966697,0.0,1.25,1.25
0.004543097835269486,0.0023002438886714385,0.0028261061346459963,0.0,2.0,2.0
0.0038098207942345278,0.0,0.0,0.0,2.0,2.0
0.0034431822737170494,0.0,0.0,0.0,2.0,2.0
0.002750662957551641,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,1.375,1.375
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0036803210417198536,0.0026870075776424507,0.003614363168947222,0.0,1.0,1.0
0.007540883363227168,0.0063980735643895635,0.0023490806482994093,0.0,1.0,1.0
0.017385651534995307,0.0025661831275200207,0.004512426701868415,0.0,0.375,0.375
0.015051969377283855,0.0015168210020272705,0.004825877528902387,0.0,0.0,0.0
0.01455225425146987,0.0010912018625991115,0.005258942014382601,0.0,0.0,0.0
0.014896401564050444,0.0009418245133931746,0.006109986384539501,0.0,0.0,0.0
0.015097769263003144,0.0017207966515293772,0.006167015834220533,0.0,0.0,0.0
0.015219902776467977,0.0010173463157994488,0.007040447005994573,0.0,0.0,0.0
0.014522992313060945,0.0006492406704285695,0.006786726009759645,0.0,0.625,0.625
0.014579174841844334,0.0005996812329990169,0.006835209492174956,0.0,1.0,1.0
0.015513804739062793,0.0006166151854630198,0.007272480823305775,0.0,1.0,1.0
0.011484962226378813,0.0014657275178518992,0.0053938246878610105,0.0,1.0,1.0
0.006052777786106519,0.001095481534087378,0.0036512484414459524,0.0,1.0,1.0
0.005535175846238467,0.0008616462523288775,0.0033279934661697964,0.0,1.0,1.0
0.004801898805203511,0.0011244244899897189,0.003115680703334061,0.0,0.375,0.375
0.004543097835269486,0.0013103377654621643,0.002987566148582726,0.0,0.0,0.0
0.0038098207942345278,0.0,0.0,0.0,0.0,0.0
0.0034431822737170494,0.0,0.0,0.0,0.0,0.0
0.002750662957551641,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,1.875,1.875
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0036803210417198536,0.003930591662435406,0.0031325093531053396,0.0,3.0,3.0
0.007451551325342711,0.006495925426483062,0.002406483216658604,0.037875,3.0,3.0
0.01686010063763846,0.002431543309644077,0.005045557203420916,0.2415,2.375,2.375
0.014915235900522386,0.001179472302208831,0.006164076742628993,0.491125,2.0,2.0
0.014508200109149402,0.0008657650336534464,0.007008318133987059,0.612,2.0,2.0
0.014896401564050444,0.0007237776292037859,0.008249937889513509,0.6179375,2.0,2.0
0.015097769263003144,0.0015021981688278423,0.009000917325326025,0.75375,2.0,2.0
0.015219902776467977,0.0005592959083014017,0.0102642651434223,0.5768125,2.0,2.0
0.014508200109149402,0.0004166950933581316,0.009063483920244149,0.170375,2.0,2.0
0.014508200109149402,0.000493555077851129,0.009756128635348443,0.5055,2.0,2.0
0.01516820516174184,0.0003524629583591867,0.009310743499272092,0.042125,2.0,2.0
0.01144312222917628,0.0010862509005456432,0.00766815369410437,0.0,2.0,2.0
0.006052777786106519,0.0003486927675691426,0.005225445728620413,0.0,2.0,2.0
0.005535175846238467,0.000256478308542447,0.004639728367516422,0.0,2.0,2.0
0.004801898805203511,0.0004730465075071421,0.004226176536761732,0.0,0.75,0.75
0.004543097835269486,0.0006868504346591775,0.003927289428550181,0.0,0.0,0.0
0.0038098207942345278,0.0,0.0,0.0,0.0,0.0
0.0034431822737170494,0.0,0.0,0.0,0.0,0.0
0.002750662957551641,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,1.25,1.25
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0036803210417198536,0.0025205205912253973,0.003630440501520709,0.0,2.0,2.0
0.007540883363227168,0.0051388839688135835,0.002844006895391777,0.0,2.0,2.0
