Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0,0.0,0.0,1.5625,1.5625
0.0020774612108718305,0.0,0.0,0.0,2.5,2.5
0.0020774612108718305,0.0,0.0,0.0,2.8125,2.8125
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0026362062130318516,0.0,0.0,0.0,3.0,3.0
0.002652333099043144,0.0,0.0,0.0515625,3.0,3.0
0.002597706260938614,0.0,0.0,0.3016875,1.125,1.125
0.002595856020041935,0.0,0.0,0.515,0.0,0.0
0.002595856020041935,0.0,0.0,0.4960625,0.0,0.0
0.002595856020041935,0.0,0.0,0.0386875,0.0,0.0
0.002595856020041935,0.0,0.0,0.0,0.0,0.0
0.002595856020041935,0.0,0.0,0.0,0.0,0.0
0.002595856020041935,0.0,0.0,0.0,1.25,1.25
0.002595856020041935,0.0,0.0,0.0,2.0,2.0
0.0025982677750436135,0.0,0.0,0.0,2.0,2.0
0.002655950487389902,0.0,0.0,0.0,2.0,2.0
0.002129935230919785,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,0.75,0.75
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,1.875,1.875
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0036803210417198536,0.004827803416687381,0.002523527725574971,0.0,3.0,3.0
0.007540883363227168,0.009084883653886405,0.0015175656598519413,0.0,3.0,3.0
0.017385651534995307,0.0033143738043022613,0.003369703413893577,0.0,3.0,3.0
0.015056011907600603,0.002077365494884372,0.00407648196402222,0.0,3.0,3.0
0.014549061516781576,0.0014385660815059934,0.00450411501276271,0.0,3.0,3.0
0.014896401564050444,0.0010797109152030262,0.00508550074289573,0.0,3.0,3.0
0.015097769263003144,0.0019572754836533245,0.005248923088406799,0.0,3.0,3.0
0.015219902776467977,0.0010036388217951754,0.0064039676180455305,0.0,3.0,3.0
0.014511392843837694,0.0007803006014467926,0.006344374585198747,0.0,3.0,3.0
0.014566725576992635,0.0007268192882760017,0.0065923656585223644,0.0,3.0,3.0
0.015385385200870913,0.0007473017838655692,0.007083818505338734,0.0,3.0,3.0
0.011464194904285218,0.0016097808054340512,0.005022629899945729,0.0,3.0,3.0
0.006052777786106519,0.0009904656694744338,0.0031451735078722983,0.0,3.0,3.0
0.005535175846238467,0.0008265020947941298,0.0027469572386373308,0.0,3.0,3.0
0.004801898805203511,0.0010410253306146428,0.002584764040190704,0.0,1.75,1.75
