Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.012076181122093892,0.00030798832922393493,0.0,4.125,4.125
0.0020774612108718305,0.01192586754320327,0.000321110355476415,0.0,6.125,6.125
0.0020774612108718305,0.008612545420218533,0.00021038377478191654,0.0,7.375,7.375
0.0020774612108718305,0.013745374990456385,0.00031728469505964914,0.0,7.0,7.0
0.0020774612108718305,0.01291961120771668,0.00031229748796087863,0.0,6.375,6.375
0.0020774612108718305,0.008796005587652218,0.00020918144065551462,0.0,7.25,7.25
0.0026362062130318516,0.01559374488911376,0.00033024038642861804,0.0,8.0,8.0
0.0026740463354171565,0.01497483891007384,0.00033074988598255975,0.0,8.0,8.0
0.0026740463354171565,0.010933584365848268,0.0002299092841597421,0.0,8.625,8.625
0.0026740463354171565,0.017797195769564105,0.00034927802595519525,0.0,9.0,9.0
0.0026740463354171565,0.016784081518587814,0.0003462773719289059,0.0,8.375,8.375
0.0026740463354171565,0.01069794450185616,0.00023905726866102538,0.0,8.0,8.0
0.0026740463354171565,0.015562672492907699,0.00035294285596892483,0.0,8.0,8.0
0.0026740463354171565,0.014470606920278926,0.00034344852948227383,0.0,7.375,7.375
0.0026740463354171565,0.009751077782898465,0.00023122042118682787,0.0,7.0,7.0
0.0026740463354171565,0.016060126850584718,0.0003631884856162366,0.0,8.25,8.25
0.0026740463354171565,0.016683058597477395,0.0003661563953754209,0.0,8.375,8.375
0.0026740463354171565,0.010749388666248659,0.00024643538894286157,0.0,8.0,8.0
0.002129935230919785,0.01721840977113265,0.0003721922735925865,0.0,8.625,8.625
0.0020774612108718305,0.017194556744905463,0.00036350942899377456,0.0,8.375,8.375
0.0020774612108718305,0.010862327688907637,0.0002439604533347326,0.0,7.375,7.375
0.0020774612108718305,0.015617734543725819,0.00036080933054900545,0.0,7.0,7.0
0.0020774612108718305,0.015020342497414524,0.00035617473927029164,0.0,7.0,7.0
0.0020774612108718305,0.010047373748232453,0.00023723146462253548,0.0,6.375,6.375
0.0026981889375036865,0.014535527450909535,0.00036534610244693853,0.0,5.375,5.375
0.0026981889375036865,0.014090443735134524,0.0003743855748731008,0.0,5.0,5.0
0.0026981889375036865,0.009500103633092404,0.0002554158139180068,0.0,4.375,4.375
0.0026981889375036865,0.013589659300191098,0.00037604368694470257,0.0,4.0,4.0
0.0026981889375036865,0.013123019746834426,0.0003718554154560931,0.0,4.0,4.0
0.0026981889375036865,0.017088507649435924,0.0002497520196358036,0.0,3.375,3.375
0.0036803210417198536,0.04109963912620589,1.4963860470044745e-05,0.0,3.0,3.0
0.007540883363227168,0.03975733701011159,2.5941797090847775e-05,0.0,3.0,3.0
0.01765374284622802,0.030947553489209932,0.001288823621771764,0.0,3.0,3.0
0.01499025157250868,0.02627726478868537,0.0012990504072442084,0.074625,3.625,3.625
0.014511392843837697,0.020592419793454237,0.0013006640471826573,0.426,4.0,4.0
0.014896401564050444,0.016184852381334058,0.0014434004648946443,0.66875,4.625,4.625
0.015122989466608014,0.01670668478680614,0.001674464635951737,0.7038125,5.0,5.0
0.015485760704133388,0.012456979342528427,0.0018288578745898718,0.65025,5.0,5.0
0.01515327841275932,0.010691397295110039,0.0015444372103145165,0.4529375,4.375,4.375
0.01573969981315396,0.011948379166550364,0.0015223293684312321,0.040125,3.375,3.375
0.01649792796825495,0.012247521820919522,0.0015918477590313679,0.0,3.0,3.0
0.011523479930651651,0.016995053588947855,0.0015807845691145745,0.0,3.0,3.0
0.006052777786106519,0.018349859436886974,0.001220829258271086,0.0,3.0,3.0
0.005535175846238467,0.017672195720366754,0.0005467497156891855,0.0,3.625,3.625
0.004801898805203511,0.017577371328715233,0.0004404303901651501,0.0,4.0,4.0
0.004543097835269486,0.017525459531564744,0.00026233853021711374,0.0,4.625,4.625
0.0038098207942345278,0.0,0.0,0.0,4.375,4.375
0.0034431822737170494,0.0018972614713346856,0.0004811263344775652,0.0,4.0,4.0
0.002750662957551641,0.0029963658916816027,0.0006378676389923805,0.0,4.0,4.0
0.0026981889375036865,0.002403728304682319,0.0003694700565264487,0.0,4.625,4.625
0.0026981889375036865,0.0043507017592564175,0.0005162397466193805,0.0,4.375,4.375
0.0026981889375036865,0.004346288320755443,0.0007805036947975253,0.0,4.0,4.0
0.0026981889375036865,0.0028523461136130512,0.00044021447851079953,0.0,3.375,3.375
0.0026981889375036865,0.01372709859005497,0.0009692892090560746,0.0,3.625,3.625
0.0036803210417198536,0.026335897266565215,0.00028911495667465186,0.0,3.375,3.375
0.007540883363227168,0.027219239864859815,0.0010172349032192627,0.0,3.0,3.0
0.01753192721842737,0.017968884833774183,0.0014958656381289382,0.009,3.625,3.625
0.014968546175249913,0.014576683595697327,0.001724063198193539,0.129375,4.0,4.0
0.014511392843837697,0.010023022441970307,0.002067099841178541,0.513375,4.0,4.0
0.014896401564050444,0.007943357069005414,0.002956293040687293,0.7126875,4.625,4.625
0.015132245996771423,0.009552262764496465,0.0028476796056718825,0.707875,5.0,5.0
0.01548895343882168,0.006760880840917265,0.0038224627141873104,0.6518125,5.0,5.0
0.015110276930152959,0.005686059175910682,0.0038454135905433106,0.489,4.375,4.375
0.01573969981315396,0.006245693671624765,0.0033502776769958166,0.172375,3.375,3.375
0.01649792796825495,0.007455260531194019,0.0033860164070537804,0.0,3.0,3.0
0.011523479930651651,0.011277391717798464,0.0022052099393373745,0.0,3.0,3.0
0.006052777786106519,0.012588413674044115,0.0014177596196246524,0.0,3.0,3.0
0.005535175846238467,0.011727928919595001,0.0011733513314776036,0.0,3.0,3.0
0.004801898805203511,0.012054842299708643,0.001041589723425331,0.0,3.625,3.625
0.004543097835269486,0.012094402682739078,0.0007709796533666116,0.0,3.375,3.375
0.0038098207942345278,0.0,0.0,0.0,3.0,3.0
0.0034431822737170494,0.0,0.0,0.0,3.0,3.0
0.002750662957551641,0.0008025295697576929,0.00023548649710652936,0.0,3.0,3.0
0.0026981889375036865,0.0017521081342129115,0.0003084139337178941,0.0,3.625,3.625
0.0026981889375036865,0.0017926729143732567,0.00026915016501790484,0.0,3.375,3.375
0.0026981889375036865,0.0021313524840467423,0.0007586276520105517,0.0,3.0,3.0
0.0026981889375036865,0.0032200230098125104,0.00077447620642568,0.0,3.0,3.0
0.0026981889375036865,0.009453710069039608,0.0010531629252323517,0.0,3.0,3.0
0.0036803210417198536,0.021766389943824623,0.0007537771147001489,0.0,3.0,3.0
0.007540883363227168,0.023472313078709842,0.0011748129252084482,0.0,3.625,3.625
0.01765374284622802,0.015322233240243687,0.0023108106226062174,0.0,3.375,3.375
0.014986209307362832,0.012507529883518805,0.0024788723989101666,0.0811875,3.625,3.625
0.014511392843837697,0.008276770105811454,0.002723481793466721,0.457875,3.375,3.375
0.014896401564050444,0.006562243696407547,0.003716226567160914,0.6938125,3.625,3.625
0.015116603997231429,0.008133814792385393,0.0037254842149024555,0.70775,4.0,4.0
0.015398106898746761,0.00508837962710392,0.004589494011309257,0.6539375,1.5,1.5
0.015040520111974553,0.003869750757249673,0.004769865212409847,0.492125,0.0,0.0
0.01573969981315396,0.0046479098041854305,0.004043491033987428,0.1755625,1.25,1.25
0.01649792796825495,0.006114292156960085,0.004038691945160887,0.0,2.0,2.0
0.011523479930651651,0.009635462439752468,0.0027943738613865426,0.0,2.0,2.0
0.006052777786106519,0.011021153589581976,0.0018639104052220218,0.0,1.375,1.375
0.005535175846238467,0.010296694885672485,0.0015700544411288598,0.0,1.0,1.0
0.004801898805203511,0.01072870528804892,0.0014716327572910786,0.0,1.0,1.0
0.004543097835269486,0.011052273786794548,0.001253430825758517,0.0,1.0,1.0
0.0038098207942345278,0.0,0.0,0.0,1.0,1.0
0.0034431822737170494,0.0,0.0,0.0,1.0,1.0
0.002750662957551641,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0011022229623476563,0.000342017932699137,0.0,0.375,0.375
0.0026981889375036865,0.0013454609247062533,0.00030433221540372593,0.0,0.625,0.625
0.0026981889375036865,0.0010297802160524887,0.00019124291228398582,0.0,0.375,0.375
0.0026981889375036865,0.0015428641674384194,0.0002603176676018641,0.0,0.0,0.0
0.0026981889375036865,0.007085584130994162,0.001380452047015536,0.0,0.0,0.0
0.0036803210417198536,0.01947502713516974,0.0012128455043761053,0.0,0.625,0.625
0.007540883363227168,0.021695590147713655,0.0012091625192511756,0.0,1.625,1.625
0.017900031673636407,0.01431586885962141,0.0024978160082773553,0.0,2.0,2.0
0.015240346371285768,0.012015883078850768,0.0025641645505104413,0.0,1.375,1.375
0.014554597455700606,0.010032754309107623,0.002687080075184577,0.0444375,1.625,1.625
0.014899594298738736,0.007612903578181904,0.0031369876590326366,0.298125,2.625,2.625
0.015097769263003144,0.008067489854335698,0.0036442657447198433,0.622875,3.625,3.625
0.015219902776467977,0.0054758755525182844,0.004707390833689247,0.6508125,4.625,4.625
0.01453863431260094,0.004399242380359217,0.0048167921707759544,0.4599375,4.375,4.375
0.01452788463900614,0.003929557557759024,0.005590906833255498,0.0348125,3.375,3.375
0.01649792796825495,0.004831685175543365,0.004798355932153352,0.0,3.0,3.0
0.011523479930651651,0.008397708756748777,0.0031999943921147897,0.0,2.375,2.375
0.006052777786106519,0.009785749568354735,0.0021163508281242514,0.0,2.0,2.0
0.005535175846238467,0.009206051109053365,0.0017928060600675582,0.0,2.0,2.0
0.004801898805203511,0.009844611771697221,0.0016528608406524404,0.0,2.625,2.625
0.004543097835269486,0.01014449816935413,0.0014945173726581757,0.0,2.375,2.375
0.0038098207942345278,0.0,0.0,0.0,2.0,2.0
0.0034431822737170494,0.0,0.0,0.0,2.0,2.0
0.002750662957551641,0.0003652050197503029,0.0001307260496802359,0.0,2.0,2.0
0.0026981889375036865,0.0008696300214630966,0.0003522430250445383,0.0,0.75,0.75
0.0026981889375036865,0.0005572077812668774,0.00015499065991903473,0.0,0.0,0.0
0.0026981889375036865,0.0012907235878036678,0.00030791179910527854,0.0,0.0,0.0
0.0026981889375036865,0.0015381730840005887,0.0002805721763056068,0.0,0.625,0.625
0.0026981889375036865,0.005942322503564428,0.0015392376271701417,0.0,0.375,0.375
0.0036803210417198536,0.0187536485601628,0.0014003851898357902,0.0,0.0,0.0
0.007540883363227168,0.020732382018065165,0.00127701372239909,0.0,0.0,0.0
0.017757407584909235,0.01361601758466781,0.0025301098520712664,0.0,0.0,0.0
0.015093798164301318,0.011515197877212157,0.0025952035310783843,0.028125,0.0,0.0
0.01453054925196745,0.00844621218739394,0.002824597016589859,0.199125,0.0,0.0
0.014896401564050444,0.006444954146357681,0.0037077504487084425,0.4831875,1.25,1.25
0.015097769263003144,0.00758799936054375,0.004007469362678654,0.6650625,2.0,2.0
0.015297380992842616,0.004826932524537709,0.0049254816596062245,0.655375,1.375,1.375
0.015022623124766335,0.0038746675076311286,0.004867994054694341,0.5,1.625,1.625
0.01573969981315396,0.004231719589267466,0.004344124820430316,0.1828125,1.375,1.375
0.01649792796825495,0.004999930034087002,0.004290707889669587,0.0,0.375,0.375
0.011523479930651651,0.008253917625640587,0.0031937932765577453,0.0,0.0,0.0
0.006052777786106519,0.00952384054275531,0.0022275168676629186,0.0,0.0,0.0
0.005535175846238467,0.008809058429180266,0.0018699213062828277,0.0,0.0,0.0
0.004801898805203511,0.009299959695346707,0.001726068639557038,0.0,0.0,0.0
0.004543097835269486,0.00968062890350454,0.0015808967771471678,0.0,0.0,0.0
0.0038098207942345278,0.0,0.0,0.0,0.0,0.0
0.0034431822737170494,0.0,0.0,0.0,0.0,0.0
0.002129935230919785,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.00040247471545692737,0.00010857016114873356,0.0,0.0,0.0
0.0020774612108718305,0.001226295828073222,0.00029730592187534374,0.0,0.625,0.625
0.0020774612108718305,0.0008885234380087397,0.00018413386644038272,0.0,1.0,1.0
0.0020774612108718305,0.006276926084808588,0.0016821638201498109,0.0,1.0,1.0
0.0036803210417198536,0.016087996426873197,0.0015020016110070707,0.0,2.25,2.25
0.004845024673970631,0.01876318060844285,0.0009666665545581948,0.0,2.375,2.375
0.006922646918793695,0.01400712886285006,0.0013213088196139314,0.0,2.0,2.0
0.007137363513532524,0.012337207555897357,0.0014558287063977965,0.0,0.75,0.75
0.006749379889005631,0.010668485016595763,0.00149459308399838,0.0,0.625,0.625
0.007193874984440668,0.008445031320503964,0.0016037522399083251,0.1239375,1.0,1.0
0.004916025491630032,0.0071626765262076016,0.0020797805199704936,0.622875,1.625,1.625
0.004414280465274148,0.006162449965963514,0.002206986048350661,0.65575,2.0,2.0
0.004157653893666796,0.005700091510959163,0.0016987957256651377,0.504,2.0,2.0
0.004021371320077849,0.006887084397214941,0.0008540025234696245,0.1868125,2.0,2.0
0.004115392558019593,0.008779673928449043,0.0007624597584051352,0.0,2.0,2.0
0.0030622477903181956,0.00040782909174362313,0.004345651855972584,0.0,1.375,1.375
0.0026740463354171565,0.0,0.0,0.0,0.375,0.375
0.002129935230919785,0.0,0.0,0.0,0.625,0.625
0.0020774612108718305,0.0003885097889588174,0.00011180777463443344,0.0,1.625,1.625
0.0020774612108718305,0.001217503626391438,0.00030020801874496836,0.0,2.0,2.0
0.0020774612108718305,0.000974503502237806,0.00018207602261918185,0.0,2.0,2.0
0.0020774612108718305,0.001847866606265851,0.0002566894619805941,0.0,2.0,2.0
0.0020774612108718305,0.0023894964654962345,0.0005452064283778935,0.0,2.625,2.625
0.0020774612108718305,0.0017691605298696847,0.0005194051198828214,0.0,3.0,3.0
0.0020774612108718305,0.002924998565818959,0.0007322852235531424,0.0,2.375,2.375
0.0020774612108718305,0.0028883378653648435,0.0006636744758005854,0.0,2.625,2.625
0.0020774612108718305,0.002426713762586685,0.00042789697091546655,0.0,2.375,2.375
0.0020774612108718305,0.004489867855651275,0.000980095427383826,0.0,2.0,2.0
0.0026362062130318516,0.0036306579552826293,0.0009110230153989174,0.0,2.625,2.625
0.0026740463354171565,0.002997873139227412,0.0007231373571575954,0.0,3.0,3.0
0.0026555857410200693,0.004304320589968264,0.0007031202234592951,0.0,2.375,2.375
0.0026015369502082235,0.003368595981769099,0.00045192128613068044,0.040125,2.0,2.0
0.0025965655166393328,0.0017127033707246616,0.0002986411197035239,0.2415,2.0,2.0
0.002595856020041935,0.0023768571315715943,0.0005405257288688931,0.455875,2.625,2.625
0.002595856020041935,0.00221887290564037,0.000691838467310225,0.6285,3.625,3.625
