Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0017313602650595005,0.00016337259696415355,0.0,3.375,3.375
0.0020774612108718305,0.0018146083323431008,0.00019292575689050046,0.0,3.625,3.625
0.0020774612108718305,0.0011684765356639046,0.0001415336681471675,0.0,3.375,3.375
0.0020774612108718305,0.0019247601714981293,0.00014032256980923575,0.0,3.0,3.0
0.0020774612108718305,0.001622850989839208,0.00019401817397801018,0.0,3.0,3.0
0.0020774612108718305,0.001192379208440833,0.00012975080598077605,0.0,2.375,2.375
0.0026362062130318516,0.0017285903290605918,0.00011841395511321438,0.0,2.0,2.0
0.0026740463354171565,0.0016307976165264601,0.00014494262781650468,0.0,2.0,2.0
0.0026579747122759782,0.0010487463168190562,0.00011606143105045337,0.0,1.375,1.375
0.0026017615352258204,0.001121255423188608,1.0188954844846583e-05,0.007125,1.625,1.625
0.002596210768340634,0.0007636012034421008,1.944241270212082e-05,0.061875,2.625,2.625
0.002595856020041935,0.0004027868792029761,3.709616263438192e-05,0.1919375,4.875,4.875
0.002595856020041935,0.0006310866913070296,0.00011752294652501444,0.3128125,6.625,6.625
0.002595856020041935,0.00030780342176667784,0.000159818476362274,0.4454375,5.75,5.75
0.002595856020041935,0.0,0.0,0.574625,5.0,5.0
0.002606774073736422,0.00010663646443844183,3.899130253356937e-05,0.36225,5.0,5.0
0.00266514164814128,0.0003283806374067631,0.00017678767308923935,0.0269375,4.375,4.375
0.0026740463354171565,0.00034807921842371753,7.766341630739987e-05,0.0,4.0,4.0
0.002129935230919785,0.00041128119545191707,5.402700115259283e-05,0.0,2.75,2.75
0.0020774612108718305,0.0007022466259497123,5.749969155590472e-05,0.0,0.75,0.75
0.0020774612108718305,0.0007986681870050127,4.2789284584397477e-05,0.0,1.25,1.25
0.0020774612108718305,0.0006578839138769504,2.3048941098513002e-05,0.0,2.625,2.625
0.0020774612108718305,0.0010523410012026231,3.149431914736341e-05,0.0,1.125,1.125
0.0020774612108718305,0.0010306329349543358,2.193010518369145e-05,0.0,2.5,2.5
0.0026981889375036865,0.0009151174360015558,4.03805227704069e-05,0.0,3.375,3.375
0.0026981889375036865,0.0015895262370861786,0.0001270994334312049,0.0,3.625,3.625
0.0026981889375036865,0.0017182290156007546,0.00021488887709486898,0.0,4.625,4.625
0.0026981889375036865,0.0011532605885050601,0.00013040518464798787,0.0,5.0,5.0
0.0026981889375036865,0.0016661619418180964,0.00013799623005712684,0.0,4.375,4.375
0.0026981889375036865,0.0015577984075680477,0.00015688116659993222,0.0,4.625,4.625
0.0036803210417198536,0.019009997252391962,0.0005650934098977102,0.0,6.25,6.25
0.007540883363227168,0.02524799125089997,0.0008746489510992548,0.0,6.375,6.375
0.017900031673636407,0.013835695396025133,0.0015012691104871244,0.0,6.0,6.0
0.015218318902369186,0.010253947317850625,0.0015571381908483404,0.0,6.0,6.0
0.014519799445787206,0.00736364884793918,0.0015414727592891824,0.0189375,5.375,5.375
0.014896401564050444,0.004754145164078705,0.001843050009175636,0.123,5.625,5.625
0.015097769263003144,0.00578734926488196,0.0021267272976058806,0.2759375,6.625,6.625
0.015219902776467977,0.0025093201358360674,0.00424487526622685,0.460875,6.375,6.375
0.014513414108996068,0.002184966883710205,0.005468790193731124,0.5993125,6.625,6.625
0.014731056554208454,0.0019705839212951787,0.005761662941568191,0.368625,5.75,5.75
0.016363975075847456,0.0019231157849245544,0.004984602624734786,0.0273125,5.0,5.0
0.011523479930651651,0.005039711838737886,0.0021245552504669165,0.0,4.375,4.375
0.006052777786106519,0.005381241178764242,0.0014509862765888612,0.0,2.75,2.75
0.005535175846238467,0.004967660324880615,0.001214252613880333,0.0,2.0,2.0
0.004801898805203511,0.005306133975607708,0.0011589138916370447,0.0,2.625,2.625
0.004543097835269486,0.005368804135350943,0.000900380677913386,0.0,2.375,2.375
0.0038098207942345278,0.0,0.0,0.0,1.375,1.375
0.0034431822737170494,0.0,0.0,0.0,1.625,1.625
0.002750662957551641,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.625,2.625
0.0026981889375036865,0.0,0.0,0.0,1.125,1.125
0.0026981889375036865,0.000999071825280517,0.0003946831860041848,0.0,1.875,1.875
0.0036803210417198536,0.008202692437503519,0.00162110955232762,0.0,3.625,3.625
0.007540883363227168,0.012054423144366328,0.0013378694068105098,0.0001875,3.375,3.375
0.017638099355458146,0.004989920141678698,0.0030203175590481964,0.005625,2.375,2.375
0.015085830157082867,0.003241204560264164,0.003483094491817909,0.0244375,2.0,2.0
0.01451777831321428,0.002116275538009986,0.003930486227373345,0.021125,2.625,2.625
0.014896401564050444,0.0016981439414752034,0.004225439988731224,0.001625,2.375,2.375
0.015097769263003144,0.0030080157630566428,0.004473105776269567,0.0,3.25,3.25
0.015219902776467977,0.0012415683623074867,0.006026735915290376,0.0,5.875,5.875
0.014508200109149402,0.0009660682707651607,0.006165915603132727,0.082875,6.375,6.375
0.014544698108076055,0.0010188625717772474,0.006514152388891299,0.3315,6.625,6.625
0.016006381300406023,0.0012611427197031424,0.006519927433814682,0.027625,8.25,8.25
0.011523479930651651,0.004097265868671738,0.004161740142598967,0.0,8.375,8.375
0.006052777786106519,0.004893029593191752,0.0027079751500747535,0.0,8.625,8.625
0.005535175846238467,0.004747073609353993,0.002292280439498159,0.0,9.625,9.625
0.004801898805203511,0.005488101776745713,0.002005245423786841,0.0,10.625,10.625
0.004543097835269486,0.005847763780942334,0.001845189698651106,0.0,10.375,10.375
0.0038098207942345278,0.0,0.0,0.0,9.375,9.375
0.0034431822737170494,0.0,0.0,0.0,9.0,9.0
0.002750662957551641,0.0,0.0,0.0,7.125,7.125
0.0026981889375036865,0.0,0.0,0.0,6.0,6.0
0.0026981889375036865,0.0,0.0,0.0,7.25,7.25
