Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0036843487398451643,0.00010635017761235624,0.0,1.0,1.0
0.0020774612108718305,0.0031527365419786665,0.00010842012035747038,0.0,1.625,1.625
0.0020774612108718305,0.0027586819074655908,8.102815782571857e-05,0.0,2.0,2.0
0.0020774612108718305,0.004678782826997101,0.00012337278753215167,0.0,1.375,1.375
0.0020774612108718305,0.0035979442532500026,0.0001129992502219922,0.0,0.375,0.375
0.0020774612108718305,0.002917215412505207,7.640343211837143e-05,0.0,1.25,1.25
0.0026362062130318516,0.004842982785646628,0.00010858525247162343,0.0,2.625,2.625
0.0026740463354171565,0.004222864216892103,0.00010571059946416207,0.0,2.375,2.375
0.0026740463354171565,0.0030375862240250772,7.053426507245033e-05,0.0,2.0,2.0
0.00264699492108408,0.0048507376208698355,0.00010627495609593363,0.0136875,2.0,2.0
0.002598415757536012,0.003968441764717718,0.00011603716028531584,0.137625,2.0,2.0
0.002595856020041935,0.001891769433571605,0.0001141491761727142,0.4639375,1.375,1.375
0.002595856020041935,0.002455215968988657,0.0003377913618217812,0.6795625,2.25,2.25
0.002595856020041935,0.001684442415363964,0.00043511686042624543,0.740125,2.375,2.375
0.0026010293653705254,0.0009655693223227573,0.0003409640406730929,0.713375,2.625,2.625
0.002617919134004391,0.0013896126345241714,0.0005614833018452904,0.6240625,2.375,2.375
0.0026349516748061727,0.0010216102378131633,0.0005106190699466814,0.3794375,0.75,0.75
0.002670788447032908,0.000858714252640285,0.00021739945346107943,0.0281875,1.25,1.25
0.002129935230919785,0.0022737526385252804,0.00018708462230067303,0.0,2.625,2.625
0.0020774612108718305,0.0023511809819722895,0.00012557797232077425,0.0,3.0,3.0
0.0020774612108718305,0.0017503661291960184,7.747773169399199e-05,0.0,1.75,1.75
0.0020774612108718305,0.0028492490253319218,0.00011454731346428495,0.0,1.0,1.0
0.0020774612108718305,0.002887148835563278,0.00011019580140506016,0.0,1.625,1.625
0.0020774612108718305,0.0021381748170647996,7.257106587004247e-05,0.0,1.375,1.375
0.0026981889375036865,0.0034759052007283576,0.00011509948961940119,0.0,1.625,1.625
0.0026981889375036865,0.0031294021729271816,0.00011409052301842385,0.0,1.375,1.375
0.0026981889375036865,0.002618096645543975,8.789352993830226e-05,0.0,1.625,1.625
0.0026981889375036865,0.003828372856689562,0.00011599794756379832,0.0,0.75,0.75
0.0026981889375036865,0.0033349390697342577,0.00010935045320209108,0.0,0.625,0.625
