Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0008366580247857784,6.500248485072859e-05,0.0,0.75,0.75
0.0020774612108718305,0.0007151202154321619,8.449309212460684e-05,0.0,1.25,1.25
0.0020774612108718305,0.000517834469355252,5.5297786999078213e-05,0.0,2.625,2.625
0.0020774612108718305,0.0009540970240875538,8.227296098856001e-05,0.0,4.875,4.875
0.0020774612108718305,0.0008493071373261422,7.653857497351927e-05,0.0,4.75,4.75
0.0020774612108718305,0.00060326800481771,4.9080996811591986e-05,0.0,4.0,4.0
0.0026362062130318516,0.0009209099931578606,8.216838319040846e-05,0.0,2.125,2.125
0.0026740463354171565,0.0007293835605103947,8.39592016242e-05,0.006375,0.375,0.375
0.0026522522964750736,0.0005275438656802589,5.5386149566084095e-05,0.03825,0.625,0.625
0.0026323807678608484,0.0010090698964751654,8.204762524987948e-05,0.0031875,1.625,1.625
0.0025977892428149015,0.0007074645590080253,8.34117310953925e-05,0.0433125,2.0,2.0
0.002595856020041935,0.0002859078445720853,0.00010913987342212858,0.2679375,2.625,2.625
0.002595856020041935,0.0,0.0,0.53625,3.0,3.0
0.002595856020041935,0.0,0.0,0.7421875,3.0,3.0
0.002595856020041935,0.0,0.0,0.728125,2.375,2.375
0.002601141657879324,0.0,0.0,0.64275,3.25,3.25
0.0026236577898336483,0.0,0.0,0.3978125,3.375,3.375
0.0026680626810967082,0.0,0.0,0.029625,3.0,3.0
0.002129935230919785,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.00046088471726497506,0.00022311227192217442,0.0,3.0,3.0
0.0020774612108718305,0.0005291791096213447,0.00016573634082387348,0.0,2.375,2.375
0.0020774612108718305,0.0004422691975987392,9.329252578308681e-05,0.0,2.0,2.0
0.0020774612108718305,0.0008182457155925309,0.00011842757251358334,0.0,2.0,2.0
0.0020774612108718305,0.0008194166798258477,9.65697269359831e-05,0.0,2.0,2.0
0.0026981889375036865,0.000622030271916125,6.290510988478108e-05,0.0,2.0,2.0
0.0026981889375036865,0.0010724911198528996,9.081431102024594e-05,0.0,2.0,2.0
0.0026981889375036865,0.0009805685281324738,8.333288047939203e-05,0.0,1.375,1.375
0.0026981889375036865,0.0006716746558734452,5.2287223127573454e-05,0.0,0.375,0.375
0.0026981889375036865,0.0013004690824516424,7.704862562017533e-05,0.0,1.25,1.25
0.0026981889375036865,0.006906571265644573,0.00080540814302659,0.0,0.75,0.75
0.0036803210417198536,0.020382426211253926,0.0005500382120633402,0.0,0.0,0.0
0.007540883363227168,0.022095966402306225,0.0010797036418215633,0.0025,0.625,0.625
0.01774333981229889,0.012838521299156212,0.0015185158508122761,0.0155625,1.0,1.0
0.015783465483660008,0.010101894436729588,0.0016576136988654725,0.0035,0.375,0.375
0.014598007985047241,0.008045909825245707,0.0018779541866212864,0.0001875,0.0,0.0
0.014896401564050444,0.005922653773277049,0.0021314803648399007,0.00675,0.0,0.0
0.015097769263003144,0.005770975894091715,0.0019830408665313113,0.0493125,0.0,0.0
0.015219902776467977,0.0031891400813264473,0.003367329685482644,0.1348125,1.25,1.25
0.014508200109149402,0.002044251035025761,0.004385994220538455,0.2590625,1.375,1.375
0.014508200109149402,0.00170554504086279,0.00543612317196799,0.4175625,1.0,1.0
0.01513742829012094,0.0016403763470033918,0.006022591654260117,0.384625,1.0,1.0
0.011392593060690355,0.0035587909175371396,0.003197084757858922,0.029875,1.0,1.0
0.006052777786106519,0.004562331231972921,0.0015931697068040452,0.0,0.375,0.375
0.005535175846238467,0.004536294239098484,0.0013396256676428925,0.0,0.0,0.0
0.004801898805203511,0.005278459598845668,0.0012560874132552925,0.0,1.25,1.25
0.004543097835269486,0.005345094821245035,0.001082112340570936,0.0,0.75,0.75
0.0038098207942345278,0.0,0.0,0.0,1.25,1.25
0.0034431822737170494,0.0,0.0,0.0,2.0,2.0
0.002750662957551641,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,0.75,0.75
0.0026981889375036865,0.0,0.0,0.0,1.25,1.25
