Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.00034249023500354953,9.884384058181833e-05,0.0,2.6875,2.6875
0.0020774612108718305,0.0003499154293419412,8.764955087879907e-05,0.0,2.5,2.5
0.0020774612108718305,0.0006289857334859546,0.0001235863032016866,0.0,2.1875,2.1875
0.0020774612108718305,0.0006212231978902564,0.00011662092686073803,0.0,2.0,2.0
0.0020774612108718305,0.0005042857540905734,7.536527541049699e-05,0.0,2.0,2.0
0.0020774612108718305,0.0009246873594734828,0.00010818879336623043,0.0,2.0,2.0
0.0026362062130318516,0.0008356560858593503,0.0001094715279612209,0.0,2.0,2.0
0.002668062515404499,0.0006319981424241324,7.332149963114285e-05,0.0170625,2.0,2.0
0.002618010283978035,0.0009282444277582177,0.00010984451932993282,0.06825,2.625,2.625
0.0026006679502337793,0.0007601647856098077,0.00010832785265237157,0.0056875,3.0,3.0
0.002596388142489984,0.00042794626540107233,7.637170043329176e-05,0.0538125,3.0,3.0
0.002595856020041935,0.0,0.0,0.276,3.0,3.0
0.002595856020041935,0.0,0.0,0.3276875,3.0,3.0
0.002595856020041935,0.0,0.0,0.36075,3.0,3.0
0.002595856020041935,0.0,0.0,0.407375,2.375,2.375
0.002596725020016379,0.0,0.0,0.389,2.0,2.0
0.0026272146406935543,0.0,0.0,0.030375,2.0,2.0
0.0026740463354171565,0.0,0.0,0.0,2.0,2.0
0.002129935230919785,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.0,2.0
0.0020774612108718305,0.0,0.0,0.0,2.625,2.625
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.00020321937628057734,5.259274797646244e-05,0.0,3.0,3.0
0.0026981889375036865,0.00011617483637446726,4.8858281048695315e-05,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.00042890070970168833,9.127052030171533e-05,0.0,6.75,6.75
0.0026981889375036865,0.00046895171790979975,9.002356428845678e-05,0.0,9.0,9.0
0.0026981889375036865,0.0007901178172772043,0.00013463842128634895,0.0,9.0,9.0
0.0026981889375036865,0.0007342051782664077,0.00012909924268515128,0.0,9.0,9.0
0.0036803210417198536,0.013866242650559567,0.0011269841910811237,0.0,9.0,9.0
0.007437588055377176,0.01938854522345665,0.0011298704908745034,0.0478125,9.0,9.0
0.016673484788114392,0.007460787352138294,0.0018004312763189529,0.19125,5.875,5.875
0.01493928410425554,0.0051195125318284395,0.002154837927778307,0.0159375,4.0,4.0
0.014508200109149402,0.003549055019925116,0.002502167543763621,0.0,4.0,4.0
0.014896401564050444,0.002319484436858018,0.0031390369526686367,0.0,4.0,4.0
0.015097769263003144,0.0032166683713631336,0.0031648648240620433,0.1393125,4.0,4.0
0.015219902776467977,0.001586805466738673,0.006590553877894785,0.55725,4.0,4.0
0.014508200109149402,0.0012282232060834024,0.006433122218972198,0.0464375,3.375,3.375
0.014539484108229389,0.001049089336977638,0.006229081620792174,0.0,3.0,3.0
0.015485714270183784,0.0011154750573899844,0.0064445201003973,0.0,3.0,3.0
0.011523479930651651,0.0027662241326017697,0.0034956644523506616,0.0,3.0,3.0
0.006052777786106519,0.0023425716584346834,0.001816309200484963,0.0,3.0,3.0
0.005535175846238467,0.002546097410207821,0.0015640775731878519,0.0,3.0,3.0
0.004801898805203511,0.00302376573240191,0.001470103082330231,0.0,3.0,3.0
0.004543097835269486,0.0032559665356078726,0.0014027832040631888,0.0,3.0,3.0
0.0038098207942345278,0.0,0.0,0.0,3.0,3.0
0.0034431822737170494,0.0,0.0,0.0,3.0,3.0
0.002750662957551641,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,2.375,2.375
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0036803210417198536,0.0062496279544693376,0.0018904865651208668,0.0,2.0,2.0
0.007479533644074896,0.009774409532947706,0.0014805572025737546,0.0144375,2.0,2.0
0.016826356380912694,0.003601267096457216,0.003569351023229788,0.0856875,2.625,2.625
0.014924814104587262,0.0018853531870754781,0.004358175800085243,0.1165625,3.0,3.0
0.014544169721178174,0.0016582831592888876,0.004293368411519426,0.0093125,3.0,3.0
0.014896401564050444,0.0014084635635008824,0.004716317434084348,0.0,3.0,3.0
0.015097769263003144,0.002551102765158526,0.004796214653312004,0.0,3.0,3.0
0.015219902776467977,0.0013509120273758756,0.005965962020691912,0.0601875,3.0,3.0
0.014508200109149402,0.0009360442849595898,0.006971987968826021,0.314625,4.25,4.25
0.014523842108689396,0.0008993029358749592,0.007350008169291405,0.3155625,5.0,5.0
0.01576615736194629,0.0008219386787950431,0.007064276133062447,0.024625,5.0,5.0
0.011523479930651651,0.0025431881648128912,0.004546574243137925,0.0,5.0,5.0
0.006052777786106519,0.0030563439909181015,0.0029913055799359726,0.0,5.0,5.0
0.005535175846238467,0.002963125662838843,0.0025856991692617165,0.0,5.0,5.0
0.004801898805203511,0.0034906985740223813,0.0023930482164394714,0.0,5.625,5.625
0.004543097835269486,0.0038787675813140832,0.0022851212592947447,0.0,6.0,6.0
0.0038098207942345278,0.0,0.0,0.0,6.0,6.0
0.0034431822737170494,0.0,0.0,0.0,6.0,6.0
0.002750662957551641,0.0,0.0,0.0,6.0,6.0
0.0026981889375036865,0.0,0.0,0.0,6.0,6.0
0.0026981889375036865,0.0,0.0,0.0,3.5,3.5
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0016816889476934365,0.0004526733849470741,0.0,2.0,2.0
0.0036803210417198536,0.009485706708077822,0.002006336309129418,0.0,2.0,2.0
0.0074997664433045595,0.011834107063721495,0.0017846620098453299,0.022125,2.0,2.0
0.017079026999520713,0.005778225632747445,0.0035614131686812897,0.1753125,2.0,2.0
0.01493928410425554,0.0030211784762139058,0.0046451372372157615,0.470125,2.0,2.0
0.014508200109149402,0.0018584466582195784,0.0054167963215464585,0.6285625,2.0,2.0
0.014896401564050444,0.0014014767356980299,0.0062463554057314895,0.731875,2.0,2.0
0.015097769263003144,0.0024271902441314456,0.006252673855005144,0.70025,2.0,2.0
0.015219902776467977,0.0008981390774556844,0.0073062658221762075,0.5105625,2.0,2.0
0.014508200109149402,0.0008770658088721397,0.007839105325957578,0.6619375,4.5,4.5
0.014609727059598999,0.0008180099302040202,0.007657402633296775,0.47825,6.0,6.0
0.01603724068022473,0.0007105370892745681,0.00737727800849802,0.0369375,6.0,6.0
0.011523479930651651,0.00245985412684777,0.0052191147075216285,0.0,6.0,6.0
0.006052777786106519,0.002544315881311681,0.0035460165596360523,0.0,6.0,6.0
0.005535175846238467,0.002411530771343099,0.0030003570245569562,0.0,6.0,6.0
0.004801898805203511,0.0027468180614351606,0.0027337634146728986,0.0,4.75,4.75
0.004543097835269486,0.0030738328042617924,0.002606378419375337,0.0,4.0,4.0
0.0038098207942345278,0.0,0.0,0.0,4.0,4.0
0.0034431822737170494,0.0,0.0,0.0,4.0,4.0
0.002750662957551641,0.0,0.0,0.0,4.0,4.0
0.0026981889375036865,0.0,0.0,0.0,4.0,4.0
0.0026981889375036865,0.0,0.0,0.0,4.625,4.625
0.0026981889375036865,0.0,0.0,0.0,5.0,5.0
0.0026981889375036865,0.0,0.0,0.0,5.0,5.0
0.0026981889375036865,0.0012869263885389452,0.0005060406432563509,0.0,5.0,5.0
