Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0,0.0,0.0,2.6875,2.6875
0.0020774612108718305,0.0,0.0,0.0,2.5,2.5
0.0020774612108718305,0.0,0.0,0.0,2.8125,2.8125
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0026362062130318516,0.0,0.0,0.003375,3.0,3.0
0.0026476945098223067,0.0,0.0,0.02025,3.0,3.0
0.002603116570781198,0.0,0.0,0.056625,1.125,1.125
0.002595856020041935,0.0,0.0,0.288375,0.0,0.0
0.002595856020041935,0.0,0.0,0.3723125,0.0,0.0
0.002595856020041935,0.0,0.0,0.429,0.0,0.0
0.002595856020041935,0.0,0.0,0.379,0.0,0.0
0.002595856020041935,0.0,0.0,0.029375,0.0,0.0
0.002595856020041935,0.0,0.0,0.1078125,1.875,1.875
0.0025963702717176794,0.0,0.0,0.43125,3.0,3.0
0.0026226517995920403,0.0,0.0,0.0359375,3.0,3.0
0.0026740463354171565,0.0,0.0,0.0,3.0,3.0
0.002129935230919785,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0020774612108718305,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0007251814581896523,0.0002850366648512434,0.0,3.0,3.0
0.0036803210417198536,0.007688852764079543,0.0018347586178996454,0.004125,3.0,3.0
0.007359027049846587,0.010297060426278197,0.0013374801609393476,0.0920625,3.0,3.0
0.016684174664889032,0.003206904977934879,0.0040079386838567,0.3361875,2.375,2.375
0.014896401564050444,0.0016129066667748325,0.005299946502854156,0.3629375,2.0,2.0
0.014508200109149402,0.0011238009601477104,0.006010634583657176,0.345625,2.0,2.0
0.014896401564050444,0.0008904981751404775,0.006579170288930408,0.1306875,2.0,2.0
0.015097769263003144,0.0011637712589922212,0.007245280023520172,0.5565,2.0,2.0
0.015219902776467977,0.0010458710715840161,0.010169074991925077,0.7245625,2.0,2.0
0.014508200109149402,0.0009237870696069487,0.010533845357538511,0.53925,3.25,3.25
0.014533098638852805,0.0006610765722075642,0.009500976542969221,0.041,4.0,4.0
0.015798023420779173,0.0005552684890914886,0.009509005209355945,0.0,4.0,4.0
0.011523479930651651,0.0008469878027147417,0.0073853382744312164,0.0,4.0,4.0
0.006052777786106519,2.8150995448375842e-05,0.005293162938859026,0.0,4.0,4.0
0.005535175846238467,0.0001369130111319853,0.004397805027498892,0.0,4.0,4.0
0.004801898805203511,0.00027961073276166045,0.003705512787094832,0.0,3.375,3.375
0.004543097835269486,0.0004267228643193449,0.003212956209928453,0.0,3.0,3.0
0.0038098207942345278,0.0,0.0,0.0,3.0,3.0
0.0034431822737170494,0.0,0.0,0.0,3.0,3.0
0.002750662957551641,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,4.25,4.25
0.0026981889375036865,0.0,0.0,0.0,5.0,5.0
0.0026981889375036865,0.0,0.0,0.0,5.0,5.0
0.0026981889375036865,0.0,0.0,0.0,5.0,5.0
0.0036803210417198536,0.002106152361387536,0.003748209315215124,0.006125,5.0,5.0
0.007345892448656162,0.005373516552149856,0.002391817944191171,0.03675,5.0,5.0
0.016656816275296197,0.0017879906305760013,0.005259688982907524,0.0938125,3.75,3.75
0.014896401564050444,0.000897462590850099,0.006950793567575722,0.363,3.0,3.0
0.014508200109149402,0.0006337457414393995,0.007396508926975554,0.1609375,3.0,3.0
0.014896401564050444,0.0007805443425606352,0.009003370231717205,0.52275,3.0,3.0
0.015097769263003144,0.0010753533395994738,0.008665731611398936,0.0435625,3.0,3.0
0.015219902776467977,0.0005000115891115646,0.009135039738604663,0.1335,3.0,3.0
0.014508200109149402,0.0006440091302283928,0.010109111178380063,0.534,4.25,4.25
0.014525863373847767,0.00044117395456024427,0.009100346066963277,0.0445,5.0,5.0
0.015629186663309532,0.00031691924627283864,0.009002687001504648,0.0,5.0,5.0
0.011523479930651651,0.0011864530269683335,0.007218443882701584,0.0,5.0,5.0
0.006052777786106519,0.000670532495061156,0.004727904230740251,0.0,5.0,5.0
0.005535175846238467,0.00048465703494151544,0.0040899564799562515,0.0,5.0,5.0
0.004801898805203511,0.0006834317069156433,0.0037726385305923552,0.0,3.75,3.75
0.004543097835269486,0.0008549150463886322,0.003597418775755556,0.0,3.0,3.0
0.0038098207942345278,0.0,0.0,0.0,3.0,3.0
0.0034431822737170494,0.0,0.0,0.0,3.0,3.0
0.002750662957551641,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,2.375,2.375
