Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0034248221616634813,0.0001126901057749245,0.0,0.75,0.75
0.0020774612108718305,0.004211358941416838,0.00012134058523757985,0.0,6.25,6.25
0.0020774612108718305,0.00357999730632816,7.523425560837983e-05,0.0,8.75,8.75
0.0020774612108718305,0.006946910770870464,0.00041790630011582505,0.0,9.25,9.25
0.0020774612108718305,0.005569483800197597,0.00010646522010807794,0.0,4.375,4.375
0.0020774612108718305,0.003979293292704603,0.0002346754405802247,0.0,6.625,6.625
0.0026362062130318516,0.008597755610049922,0.0005877618182104215,0.0,9.375,9.375
0.0026731202240811527,0.00762191592510451,0.00042161030425748953,0.00925,7.75,7.75
0.0026327944837684783,0.004412679987393592,0.0003840041482745823,0.1250625,5.75,5.75
0.002602589819933661,0.00447459357853245,0.00012250383675699598,0.394625,5.0,5.0
0.002596145679334225,0.003586155445196112,0.00017157618794446213,0.5991875,6.875,6.875
0.002595856020041935,0.002188365316300762,0.0001810615856368857,0.695375,7.375,7.375
0.002595856020041935,0.0030052590841520093,0.0003957520415637754,0.7511875,7.0,7.0
0.002595856020041935,0.0020383891221292414,0.0004942088450240301,0.7390625,6.375,6.375
0.002595856020041935,0.0008060683847115185,0.0003823321500420013,0.6930625,3.5,3.5
0.0025978836866489712,0.0010419180032849517,0.0005076823879788439,0.548875,3.875,3.875
0.0026185429697954347,0.0014210968295464126,0.00047721116367138255,0.2205,5.625,5.625
0.0026713205694809563,0.0013669970259893398,0.00026974327069648435,0.0151875,5.375,5.375
0.002129935230919785,0.0023201455291402395,0.00012729642143183108,0.0,5.0,5.0
0.0020774612108718305,0.002945715436783973,0.00014233795128631388,0.0,3.75,3.75
0.0020774612108718305,0.0022068024506612474,0.00012997182070866717,0.0,1.75,1.75
0.0020774612108718305,0.0031034836599695315,8.799373404875629e-05,0.0,1.625,1.625
0.0020774612108718305,0.00354260933680212,0.00012221847676312011,0.0,1.375,1.375
0.0020774612108718305,0.0028731635466382496,0.00011905342323723955,0.0,1.625,1.625
0.0026981889375036865,0.003387308181551456,8.339491693675772e-05,0.0,0.75,0.75
0.0026981889375036865,0.0035463644873541243,0.00012592550619463619,0.0,0.0,0.0
0.0026981889375036865,0.002960406302972215,0.0001242651571887986,0.0,0.625,0.625
0.0026981889375036865,0.004097082628844988,8.560112154316177e-05,0.0,1.625,1.625
0.0026981889375036865,0.004917660121750115,0.00012270033677218466,0.0,2.0,2.0
0.0026981889375036865,0.011823758408366343,0.0006074579824085864,0.0,2.0,2.0
0.0036803210417198536,0.029581073046184864,6.275313443717624e-05,0.0,0.75,0.75
0.007540883363227168,0.029944315694612585,0.000465081660747492,0.0,1.25,1.25
0.01755270202896963,0.020197471881242064,0.0014179695836138554,0.0110625,2.0,2.0
0.015029209298739313,0.015692503030710885,0.0014424491760564886,0.08325,1.375,1.375
0.014522992180475498,0.011423174392359499,0.0014489300932719208,0.2159375,1.625,1.625
0.014896401564050444,0.00803390642202606,0.0016081421464946338,0.306625,2.0,2.0
0.015097769263003144,0.00869837177869833,0.002042680143756828,0.379125,0.75,0.75
0.015219902776467977,0.004160468975512806,0.0027265133845429924,0.470625,1.25,1.25
0.014508200109149402,0.002920492990735071,0.003778922712070523,0.5556875,1.375,1.375
0.014513414108996068,0.002546839142364774,0.004801450993308378,0.506125,1.0,1.0
0.015253603979460247,0.0024014463211611227,0.004868011956843616,0.1611875,1.0,1.0
0.011472333166215858,0.005914908052433116,0.001832658877919802,0.010375,1.625,1.625
0.006052777786106519,0.00738948387672106,0.001387057008991901,0.0,2.625,2.625
0.005535175846238467,0.007179291303307166,0.0011586980003473353,0.0,2.375,2.375
0.004801898805203511,0.00739464288934555,0.0009780937309125733,0.0,0.75,0.75
0.004543097835269486,0.007576306440855236,0.0007311696969563037,0.0,1.25,1.25
0.0038098207942345278,0.0,0.0,0.0,2.0,2.0
0.0034431822737170494,0.0,0.0,0.0,2.0,2.0
0.002750662957551641,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.625,2.625
0.0026981889375036865,0.0,0.0,0.0,2.375,2.375
0.0026981889375036865,0.0,0.0,0.0,0.75,0.75
0.0026981889375036865,0.0,0.0,0.0,0.625,0.625
0.0026981889375036865,0.0030513613384570994,0.0008662062598661002,0.0,2.25,2.25
0.0036803210417198536,0.012366506482366459,0.0011940900977006781,0.0,2.375,2.375
0.007540883363227168,0.015430731159859075,0.001212624132780655,0.0,0.75,0.75
0.017766985788974114,0.00800702651650414,0.0024734110087741806,0.0,0.0,0.0
0.015154344234375682,0.0065240509881290655,0.0027988364618595613,0.0,1.25,1.25
0.014591622515670654,0.0053215819358199586,0.00302208471949648,0.0,1.375,1.375
0.014936735512882878,0.003936760135083952,0.003315780534625643,0.0,0.375,0.375
0.015104154732379726,0.004953645386977426,0.0032028989902429844,0.0,1.25,1.25
0.015219902776467977,0.002664643007035978,0.004215165313028984,0.0,2.0,2.0
0.014508200109149402,0.001500693119797797,0.0046287280258971875,0.0,3.25,3.25
0.014508200109149402,0.0013037373494549662,0.00489511623402465,0.0,3.375,3.375
0.015242997373130935,0.0013537233461416176,0.005420389757156088,0.0,3.0,3.0
0.011463072052855816,0.00390931642575802,0.0036940514218665376,0.0,3.625,3.625
0.006052777786106519,0.004407839335815456,0.002180094006979698,0.0,3.375,3.375
0.005535175846238467,0.004142491066669705,0.0017823601428291177,0.0,1.125,1.125
0.004801898805203511,0.004520238509181554,0.0016661976623063685,0.0,0.0,0.0
0.004543097835269486,0.004995879239728191,0.0015916248363628564,0.0,0.0,0.0
0.0038098207942345278,0.0,0.0,0.0,1.25,1.25
0.0034431822737170494,0.0,0.0,0.0,2.0,2.0
0.002750662957551641,0.0,0.0,0.0,2.625,2.625
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,1.75,1.75
0.0026981889375036865,0.0,0.0,0.0,1.625,1.625
0.0026981889375036865,0.0021215871396311867,0.00038274932606453024,0.0,1.375,1.375
0.0036803210417198536,0.011036250619271411,0.0018124864959503785,0.0,2.25,2.25
0.007540883363227168,0.013543764777785445,0.001362998541770995,0.0,2.375,2.375
0.0179860335453756,0.0070480694102755224,0.0029707300275942277,0.0,1.375,1.375
0.015558800638786119,0.00554005665528028,0.003328782719904116,0.0,1.625,1.625
0.014608113913082754,0.004553495870013878,0.0035061117580694077,0.0,1.375,1.375
0.014925136176245076,0.0033705085284902753,0.003738189522219026,0.0886875,5.375,5.375
0.015097769263003144,0.003979101029597992,0.004638461512519487,0.4243125,6.75,6.75
0.015219902776467977,0.0016167512993256672,0.005617879217077444,0.39725,6.0,6.0
0.014508200109149402,0.001216859659251773,0.006050853246125839,0.4565,4.75,4.75
0.014523842108689396,0.0011066334095777665,0.0064247166488984216,0.38175,4.0,4.0
0.015430645700852723,0.0011673316331122416,0.006553061822787142,0.2239375,3.375,3.375
0.011496222271289653,0.003805007693708984,0.0044864440551972236,0.0165625,4.25,4.25
0.006052777786106519,0.004922847063183174,0.0027350794499191207,0.0,6.25,6.25
0.005535175846238467,0.0050000075017983155,0.0023583266131300177,0.0,7.0,7.0
0.004801898805203511,0.0053342807306492445,0.002143570844884109,0.0,4.5,4.5
0.004543097835269486,0.0056610574155992145,0.001975059634493928,0.0,3.625,3.625
0.0038098207942345278,0.0,0.0,0.0,5.875,5.875
0.0034431822737170494,0.0,0.0,0.0,5.125,5.125
0.002750662957551641,0.0,0.0,0.0,4.0,4.0
0.0026981889375036865,0.0,0.0,0.0,4.0,4.0
0.0026981889375036865,0.0,0.0,0.0,4.625,4.625
0.0026981889375036865,0.0,0.0,0.0,3.125,3.125
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.004093185537150126,0.0019989683997780005,0.0,1.375,1.375
0.0036803210417198536,0.013391837555352285,0.0017954603860738168,0.0,1.0,1.0
