Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0019523574232937397,6.369963108471343e-05,0.0,1.5625,1.5625
0.0020774612108718305,0.0024582115688063385,0.00010115925554228801,0.0,2.5,2.5
0.0020774612108718305,0.0019688233221957954,0.00010004760132390224,0.0,2.8125,2.8125
0.0020774612108718305,0.0024329432755930505,6.858324657066684e-05,0.0,3.0,3.0
0.0020774612108718305,0.0026773865819956547,9.434505314718486e-05,0.0,3.0,3.0
0.0020774612108718305,0.002093072277009192,9.338113627098674e-05,0.0,3.0,3.0
0.0026362062130318516,0.0023424798263135043,6.82158753596767e-05,0.0,3.0,3.0
0.0026740463354171565,0.0025884181948242716,0.00010627989852153952,0.0,3.0,3.0
0.0026740463354171565,0.002029794524518456,0.00011200728294806203,0.0,3.0,3.0
0.0026740463354171565,0.0023661637231950873,7.691570843462466e-05,0.0,3.0,3.0
0.0026740463354171565,0.0024896999889055392,0.00010838841641250315,0.0,3.0,3.0
0.0026740463354171565,0.0019615003210442746,0.00011317046027941311,0.0,3.0,3.0
0.0026740463354171565,0.00236806227530891,8.21144344038421e-05,0.0,3.0,3.0
0.0026740463354171565,0.0024416955658921997,0.00011407976108790856,0.0,3.0,3.0
0.0026740463354171565,0.001922441797264488,0.00011386141252724183,0.0,3.625,3.625
0.0026740463354171565,0.002318893222571793,7.831520242081757e-05,0.0,4.0,4.0
0.0026740463354171565,0.0024617043423083413,0.00011011587048919398,0.0,4.0,4.0
0.0026740463354171565,0.0019212227005825397,0.00011483205157312542,0.0,4.0,4.0
0.002129935230919785,0.002414321980767614,7.194063762434126e-05,0.0,4.0,4.0
0.0020774612108718305,0.0026542035361065003,9.76570319659525e-05,0.0,4.0,4.0
0.0020774612108718305,0.0018421867610140812,0.00010050936034524794,0.0,1.5,1.5
0.0020774612108718305,0.0017604845672535467,6.646813947732879e-05,0.0,0.0,0.0
0.0020774612108718305,0.0017253283124446998,6.275078667602828e-05,0.0,0.0,0.0
0.0020774612108718305,0.0014416662785087923,6.626573795239711e-05,0.0,0.0,0.0
0.0026981889375036865,0.0016224505050116591,7.221146170753591e-05,0.0,0.0,0.0
0.0026981889375036865,0.0016397519654423964,6.974453358558246e-05,0.0,0.0,0.0
0.0026981889375036865,0.0013887579416871606,7.404680115339452e-05,0.0,0.0,0.0
0.0026981889375036865,0.001708987149948509,7.467365348218057e-05,0.0,0.0,0.0
0.0026981889375036865,0.0017177775583755745,7.090359225815616e-05,0.0,0.0,0.0
0.0026981889375036865,0.0014452040681312208,7.488819642190598e-05,0.0,0.0,0.0
0.0036803210417198536,0.01889938382065916,0.00032603025522834426,0.0,0.0,0.0
0.007540883363227168,0.023746910357452963,0.0004886140801970874,0.0,0.0,0.0
0.017900031673636407,0.01812317967708283,0.0014288864828278282,0.0,0.0,0.0
0.015446647976725549,0.01363938544449913,0.0014678860328820578,0.0,0.0,0.0
0.014591622383085206,0.010686850331373792,0.0014587107187485186,0.0,0.0,0.0
0.014899594298738736,0.007851680885835474,0.001538866133482639,0.0324375,0.0,0.0
0.015097769263003144,0.0068595201893046935,0.0016841467577558074,0.1659375,0.0,0.0
0.015219902776467977,0.003122280345969727,0.002672299584276764,0.19475,0.0,0.0
0.014508200109149402,0.0020522063052693085,0.0035195589462402046,0.211375,1.25,1.25
0.014508200109149402,0.0017591720232961235,0.004355712834681555,0.234125,2.0,2.0
0.015106144291040954,0.0016443100857691303,0.005035695038926609,0.255875,2.0,2.0
0.010876972579369275,0.0035288043384037486,0.002498230178155267,0.1706875,2.0,2.0
0.006052777786106519,0.004851255637138142,0.001453553602307698,0.0,2.0,2.0
0.005535175846238467,0.0049605821653601135,0.0011708223279310549,0.0,2.0,2.0
0.004801898805203511,0.005309107828240365,0.0010198436234914805,0.0,0.75,0.75
0.004543097835269486,0.005380959290214268,0.0007595838598586212,0.0,0.0,0.0
0.0038098207942345278,0.0,0.0,0.0,0.0,0.0
0.0034431822737170494,0.0,0.0,0.0,0.0,0.0
0.002750662957551641,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,1.25,1.25
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0036803210417198536,0.0066721236733250176,0.001865754248034427,0.0,2.0,2.0
0.007540883363227168,0.011685127710796911,0.0012541961324205046,0.0,2.0,2.0
0.0177847673331465,0.005040284625634299,0.0027938202895532167,0.0,0.75,0.75
0.014991423174624045,0.003161458259686496,0.00338658823751601,0.0,0.0,0.0
0.014508200109149402,0.0017483063404186115,0.004466146501483364,0.1171875,0.0,0.0
0.014896401564050444,0.0012773165321102284,0.006204124680617894,0.46875,0.0,0.0
0.015097769263003144,0.0018518191281852012,0.006365766752808626,0.1849375,0.0,0.0
0.015219902776467977,0.0012384560533739218,0.008926114857833808,0.7265625,0.0,0.0
0.014508200109149402,0.0011848102381515418,0.01009354772693773,0.620875,1.25,1.25
0.014508200109149402,0.0008804381837661512,0.008839889530653863,0.1646875,2.0,2.0
0.015090502291500963,0.0009653448054117628,0.009803106199169836,0.468,2.0,2.0
0.010841148678529507,0.001115850247412593,0.007694945419758434,0.039,2.0,2.0
0.006052777786106519,0.00010247042853418115,0.005378038482399963,0.0,2.0,2.0
0.005535175846238467,0.00011535559976940405,0.004215672044796383,0.0,2.0,2.0
0.004801898805203511,0.0003645136802293819,0.003447563846745197,0.0,0.75,0.75
0.004543097835269486,0.0005988030996255005,0.003023261703223735,0.0,0.0,0.0
0.0038098207942345278,0.0,0.0,0.0,0.0,0.0
0.0034431822737170494,0.0,0.0,0.0,0.0,0.0
0.002750662957551641,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0036803210417198536,0.0017636870495844428,0.0037238882523840315,0.0,0.0,0.0
0.007540883363227168,0.005271201098293939,0.0022864096444616126,0.0,0.0,0.0
0.017815056712931765,0.002067532292132228,0.004745677986207847,0.0,0.0,0.0
0.015076135032188399,0.0012156187976517278,0.005153705034940192,0.0,0.0,0.0
0.014508200109149402,0.0008714028733214076,0.005915173404098378,0.0,0.0,0.0
0.014896401564050444,0.0007387608582413775,0.007207377428996303,0.1059375,0.0,0.0
0.015097769263003144,0.0010159464982685594,0.00818976041607327,0.5415,0.0,0.0
0.015219902776467977,0.0007872306764920183,0.010797440756351844,0.633625,0.0,0.0
0.014508200109149402,0.0007114607084055788,0.01179489656389942,0.5485,1.25,1.25
0.014508200109149402,0.0004900142426367802,0.010011822009470187,0.0424375,2.0,2.0
0.015092523556659332,0.000401701747944138,0.009942391216830195,0.0403125,2.0,2.0
0.010832188825765705,0.0006755077199581833,0.008780226136902278,0.16125,2.0,2.0
0.006052777786106519,6.057095965079588e-07,0.006751065820752158,0.0,2.0,2.0
0.005535175846238467,1.5235821410082658e-05,0.005617856856091754,0.0,2.0,2.0
0.004801898805203511,0.00010561415196604745,0.004869060711147497,0.0,0.75,0.75
0.004543097835269486,0.00023744620264094825,0.004311442937482302,0.0,0.0,0.0
0.0038098207942345278,0.0,0.0,0.0,0.0,0.0
0.0034431822737170494,0.0,0.0,0.0,0.0,0.0
0.002750662957551641,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0036803210417198536,0.0020276986465177184,0.003747366395157187,0.0,0.0,0.0
0.007540883363227168,0.004716753425007366,0.002905730678899971,0.0,0.0,0.0
0.017841388191490053,0.0019970644346766664,0.005194026138128724,0.0,0.0,0.0
0.015050915491510771,0.0010614224443490127,0.005983787003980954,0.0924375,0.0,0.0
0.014508200109149402,0.0008001344974495958,0.0076299757814982,0.36975,0.0,0.0
0.014896401564050444,0.0005097973663121267,0.008175273970798272,0.0308125,0.0,0.0
0.015097769263003144,0.0012051865708827166,0.008169835328917225,0.0,0.0,0.0
0.015219902776467977,0.0003084581555611052,0.00895337130568481,0.0,0.0,0.0
0.014508200109149402,0.0003104581772442194,0.009166470087728624,0.1363125,1.875,1.875
0.014508200109149402,0.000513127512760662,0.011326854393356879,0.54525,3.0,3.0
0.015106144291040954,0.000330782232136156,0.010448536924939715,0.0454375,3.0,3.0
0.010879578050440224,0.0007479079453020331,0.008971035309316922,0.0,3.0,3.0
0.006052777786106519,0.0,0.0070777715868322625,0.0,3.0,3.0
0.005535175846238467,7.504499134628645e-06,0.006106756996802027,0.0,3.0,3.0
