Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.001822000719909434,0.00011085453600382163,0.0,1.9375,1.9375
0.0020774612108718305,0.0015665527404248104,0.0001479452401197065,0.0,2.5,2.5
0.0020774612108718305,0.0012252874959449462,0.00013516514976463277,0.0,2.1875,2.1875
0.0020774612108718305,0.00206744036704126,0.0001941015770011076,0.0,2.0,2.0
0.0020774612108718305,0.0019495854312830603,0.00018539879963537528,0.0,2.0,2.0
0.0020774612108718305,0.0014918030787707142,0.00012180038072651625,0.0,2.0,2.0
0.0026362062130318516,0.00237515259043441,0.00019030553306191223,0.0,2.0,2.0
0.0026648536727847446,0.0020129390082598503,0.00018800840030557895,0.031875,2.0,2.0
0.002615621373470656,0.001081944218958701,0.00013357355584131826,0.1275,1.375,1.375
0.0025981260982437227,0.0014626435611503096,0.00017611558691095532,0.1071875,1.0,1.0
0.002595856020041935,0.0007117671197200499,0.00010666019169920139,0.5026875,1.0,1.0
0.002595856020041935,0.0002679866207729557,0.00012341558586334057,0.4979375,1.0,1.0
0.002595856020041935,0.0,0.0,0.0388125,1.0,1.0
0.002595856020041935,0.0,0.0,0.1273125,1.0,1.0
0.002595856020041935,0.0,0.0,0.50925,1.625,1.625
0.0025977713941401728,0.0,0.0,0.0424375,2.0,2.0
0.0026337875509211866,0.0,0.0,0.0,2.0,2.0
0.0026740463354171565,0.00013107906538706228,5.370448228655977e-05,0.0,2.0,2.0
0.002129935230919785,0.00045703167907707967,0.00011065818005410339,0.0,2.0,2.0
0.0020774612108718305,0.00046397898082814503,4.878727638222106e-05,0.0,2.0,2.0
0.0020774612108718305,0.0008992694142523611,5.83781832063719e-05,0.0,1.375,1.375
0.0020774612108718305,0.0009061239186706663,4.423391766430949e-05,0.0,1.0,1.0
0.0020774612108718305,0.0007232167983004638,2.3599820164469226e-05,0.0,1.0,1.0
0.0020774612108718305,0.0013962331845083803,3.2974811166050176e-05,0.0,1.0,1.0
0.0026981889375036865,0.0011985486207815568,2.883567327409437e-05,0.0,1.0,1.0
0.0026981889375036865,0.0009066385496274523,1.898500021986046e-05,0.0,1.0,1.0
0.0026981889375036865,0.001521084763455677,2.6510863316160858e-05,0.0,1.0,1.0
0.0026981889375036865,0.001521755972302532,0.00013830749683037204,0.0,1.0,1.0
0.0026981889375036865,0.0013747492394583737,0.00010354156926926014,0.0,1.0,1.0
0.0026981889375036865,0.008910160390814074,0.0007450676463008015,0.0,1.0,1.0
0.0036803210417198536,0.024096453591961612,0.00023281613521672213,0.0,1.0,1.0
0.00752133553584505,0.024981822489895323,0.0008620290184995171,0.0099375,1.0,1.0
0.017026222539833914,0.014806153674679167,0.0014799713460929393,0.0616875,1.0,1.0
0.014968546175249913,0.010526608131252795,0.0015307572223977723,0.1210625,1.0,1.0
0.014520971047902573,0.007373014587891571,0.0015275117493849088,0.1273125,1.0,1.0
0.014912365237491907,0.005981138323465452,0.0017313181970792257,0.050875,1.0,1.0
0.015097769263003144,0.005982337162524872,0.001906912479270621,0.2085,1.0,1.0
0.015219902776467977,0.002844744711757466,0.0034294426185118897,0.193625,1.0,1.0
0.014544169986349073,0.002378544127128647,0.0035934305530373753,0.0793125,0.375,0.375
0.014541505373387765,0.001946583917083499,0.004890490152185316,0.25725,0.0,0.0
0.015966978988064633,0.001980060183842743,0.004298066927114909,0.0214375,0.0,0.0
0.011523479930651651,0.00498874892791104,0.0020046181072521747,0.0,0.0,0.0
0.006052777786106519,0.005842193672949532,0.0014325076286274847,0.0,0.0,0.0
0.005535175846238467,0.005560934340128716,0.0011969055708134322,0.0,0.0,0.0
0.004801898805203511,0.005983087225050592,0.0011221672558891825,0.0,0.625,0.625
0.004543097835269486,0.006143242401953909,0.0008566231033936766,0.0,1.0,1.0
0.0038098207942345278,0.0,0.0,0.0,1.0,1.0
0.0034431822737170494,0.0,0.0,0.0,1.0,1.0
0.002750662957551641,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.0,0.0,0.0,1.0,1.0
0.0026981889375036865,0.001657882564328941,0.0004173310862930458,0.0,1.0,1.0
0.0036803210417198536,0.010638624210341065,0.0013947594032285428,0.0,1.0,1.0
0.007502851953359028,0.013607281074876808,0.0012285841011687995,0.0290625,1.0,1.0
0.016918742628554938,0.005559325361097057,0.002874424001175584,0.2323125,2.25,2.25
0.014912043165834091,0.0026029891194065823,0.00492952846437181,0.61325,3.0,3.0
0.014508200109149402,0.0016786253517409107,0.006038625930087624,0.699625,3.0,3.0
0.014896401564050444,0.0012223470395935643,0.006523462698430751,0.4611875,3.0,3.0
0.015097769263003144,0.0022120174264900756,0.006249610530779538,0.1639375,3.0,3.0
0.015219902776467977,0.0010803114995747872,0.007889910156883265,0.5175,3.0,3.0
0.014508200109149402,0.0008303930810506528,0.0073673988754833185,0.043125,3.625,3.625
0.014539484108229389,0.0007352009942586086,0.007089439658437725,0.0,4.0,4.0
0.015677402013177112,0.0008018676028331836,0.007246535304302567,0.0,4.0,4.0
0.011523479930651651,0.0023831481160214284,0.004798726035905313,0.0,4.0,4.0
0.006052777786106519,0.00232346367573986,0.002979192109959066,0.0,4.0,4.0
0.005535175846238467,0.0023610271983456475,0.002543682228624141,0.0,4.0,4.0
0.004801898805203511,0.002878258898633523,0.002342159719173339,0.0,2.75,2.75
0.004543097835269486,0.003260295009660721,0.0021994681905477724,0.0,2.0,2.0
0.0038098207942345278,0.0,0.0,0.0,2.0,2.0
0.0034431822737170494,0.0,0.0,0.0,2.0,2.0
0.002750662957551641,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,0.75,0.75
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0008608322087107041,0.0004561604434764619,0.0,0.0,0.0
0.0036803210417198536,0.007325752987145201,0.002115142350874744,0.0,0.0,0.0
0.0074671206944430316,0.010261880010247674,0.0018635220785180844,0.0358125,0.0,0.0
0.016880956106683324,0.004439601141291523,0.003868734268150675,0.14325,0.0,0.0
0.01493928410425554,0.002901990224110995,0.0038777297236298734,0.0119375,0.0,0.0
0.014508200109149402,0.001932615349631245,0.004358528890524137,0.0,0.0,0.0
0.014896401564050444,0.0012461057763409442,0.00559215649671302,0.141,0.0,0.0
0.015097769263003144,0.002419364134925253,0.007143394189378199,0.70125,0.0,0.0
0.015219902776467977,0.0009904880000344552,0.009466671593172899,0.596,0.0,0.0
0.014508200109149402,0.0006231918975855955,0.00810974277849255,0.04575,1.875,1.875
0.014539484108229389,0.0004913360553112659,0.007665300677775501,0.0,3.0,3.0
