Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0009692066336012325,8.093580562464695e-05,0.0,2.6875,2.6875
0.0020774612108718305,0.0008980269196346937,7.06366159472486e-05,0.0,2.5,2.5
0.0020774612108718305,0.0007013038732240544,4.427978661384102e-05,0.0,2.8125,2.8125
0.0020774612108718305,0.0011979063628531888,6.08331830662538e-05,0.0,3.0,3.0
0.0020774612108718305,0.0011951101358351614,5.089399177917695e-05,0.0,3.0,3.0
0.0020774612108718305,0.001080193883361871,7.094230370812691e-05,0.0,3.0,3.0
0.0026362062130318516,0.0019558217076426168,0.00022996909042113036,0.0,3.0,3.0
0.0026740463354171565,0.001824764522586845,0.00029060384356404794,0.0,3.0,3.0
0.0026740463354171565,0.0012270366813705762,0.00019511914067893722,0.005125,1.125,1.125
0.0026488516262973055,0.0013016838629633925,3.054270382965934e-05,0.0699375,0.0,0.0
0.002608236618825289,0.001020694233267515,5.0922941328516455e-05,0.288875,0.0,0.0
0.002595856020041935,0.0004910508004587678,0.00010946199374096087,0.6029375,0.0,0.0
0.002595856020041935,0.00033357901140115283,0.00012350646729632146,0.4766875,0.0,0.0
0.002595856020041935,0.0,0.0,0.7035625,0.0,0.0
0.002595856020041935,0.0,0.0,0.558625,0.625,0.625
0.002595856020041935,0.0,0.0,0.7370625,1.0,1.0
0.002595856020041935,0.0,0.0,0.7005,1.0,1.0
0.0025988368053844867,0.0,0.0,0.4965,1.0,1.0
0.002119980816291547,0.0,0.0,0.037625,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.00025948097792696107,0.00013434838109360297,0.0,2.25,2.25
0.0020774612108718305,0.0006588751959851905,0.00014931622284248056,0.0,3.0,3.0
0.0020774612108718305,0.0007460719549724571,0.00011341406844904191,0.0,3.0,3.0
0.0020774612108718305,0.0005930157428184579,6.231111352350682e-05,0.0,3.0,3.0
0.0026981889375036865,0.0010042405086273401,8.851610544850823e-05,0.0,3.0,3.0
0.0026981889375036865,0.0009971016432812217,8.046135041121318e-05,0.0,3.0,3.0
0.0026981889375036865,0.0007271147426995553,4.8090778394848817e-05,0.0,3.0,3.0
0.0026981889375036865,0.0012409350097484168,6.604724251848952e-05,0.0,3.0,3.0
0.0026981889375036865,0.0013330955796834272,6.0874975013315345e-05,0.0,3.0,3.0
0.0026981889375036865,0.006108204670332062,0.0009577607441662568,0.0,3.0,3.0
0.0036803210417198536,0.020453578051453467,0.00043172624555186845,0.0,3.0,3.0
0.007540883363227168,0.022766105856228538,0.0010481572102892585,0.0,3.0,3.0
0.0179860335453756,0.013210005000468936,0.001497235290048368,0.011125,1.125,1.125
0.015833652472599033,0.009335936655289586,0.0015998970579236395,0.1498125,0.0,0.0
0.014804026341210528,0.005816587925247032,0.0022359420267577678,0.4600625,0.0,0.0
0.014927684767617739,0.0038702996825996103,0.0033795695452217907,0.6629375,0.0,0.0
0.015097769263003144,0.004542142282557582,0.0030857971413326135,0.77275,0.0,0.0
0.015219902776467977,0.0021377000751594756,0.004836579765566935,0.7828125,0.0,0.0
0.014508200109149402,0.0016774858663142697,0.00550559876340685,0.776125,1.25,1.25
0.014508200109149402,0.0014738511905010643,0.0063047068774697975,0.755375,2.0,2.0
0.015095716291347625,0.0014207532537342967,0.006915741450153753,0.7018125,2.0,2.0
0.010835702867321302,0.0028032487766846063,0.004901093286757846,0.499,2.0,2.0
0.005960254504763649,0.0021076928885742077,0.0025506716233004226,0.0385625,2.0,2.0
0.005535175846238467,0.002980770610233869,0.0016450056810270346,0.0,2.0,2.0
0.004801898805203511,0.003983392114974567,0.0013859107724022545,0.0,2.0,2.0
0.004543097835269486,0.004661029448414398,0.0013202560659091801,0.0,2.0,2.0
0.0038098207942345278,0.0,0.0,0.0,2.0,2.0
0.0034431822737170494,0.0,0.0,0.0,2.0,2.0
0.002750662957551641,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.0,2.0
0.0026981889375036865,0.0,0.0,0.0,2.625,2.625
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.0,0.0,0.0,3.0,3.0
0.0026981889375036865,0.002972371915698319,0.0008675503400285585,0.0,3.0,3.0
0.0036803210417198536,0.01160561822335462,0.0015379580754175395,0.0,3.0,3.0
0.007540883363227168,0.014581678630531473,0.0012231247415515373,0.0,3.0,3.0
