Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0026362062130318516,0.0,0.0,0.0,0.0,0.0
0.0026740463354171565,0.0,0.0,0.00475,0.0,0.0
0.0026470519109485797,0.0,0.0,0.093375,0.0,0.0
0.0026052683897333302,0.0,0.0,0.347375,0.0,0.0
0.002595856020041935,0.0,0.0,0.4855,0.0,0.0
0.002595856020041935,0.0,0.0,0.619125,0.0,0.0
0.002595856020041935,3.798150881676583e-05,0.0020332563498846085,0.5894375,0.625,0.625
0.002595856020041935,7.08904561281406e-05,0.006199992551560146,0.7256875,1.0,1.0
0.002595856020041935,3.514480981049947e-05,0.006517735286853593,0.7705,1.0,1.0
0.002595856020041935,3.440561338466623e-05,0.006281818907775765,0.73925,1.0,1.0
0.002595856020041935,5.600797115091654e-05,0.007879909309309282,0.6325,1.0,1.0
0.0026002581312757154,4.179718641432213e-06,0.005038658272020245,0.3476875,1.0,1.0
0.0021166327930921994,0.0,0.0,0.0254375,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,1.0,1.0
0.0020774612108718305,0.0,0.0,0.0,0.375,0.375
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0020774612108718305,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0026981889375036865,0.0,0.0,0.0,0.0,0.0
0.0036803210417198536,0.00036594733826618404,0.005947939424120135,0.0,0.0,0.0
