Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.011877588153005093,0.0,0.036421956882043985,0.0,1.875,1.875
0.008686822189230744,0.0,0.0,0.0,2.5,2.5
0.010424128198546791,0.0,0.0,0.0,1.625,1.625
0.008495311850007051,0.00547395699880675,0.0002942203295027316,0.0,1.0,1.0
0.01428176089562626,0.0037341618459724633,0.0,0.0,1.0,1.0
0.027783475335404425,0.0038085932075762954,0.013774514103147806,0.0,1.0,1.0
0.031687729697372415,0.0138533491903182,0.019935707359476328,0.0,1.0,1.0
0.03589593559721164,0.04164874482070018,0.019928554572053572,0.014722222222222223,1.0,1.0
0.04232331957106099,0.03844636204851163,0.020688784203150866,0.12333333333333331,2.166666666666667,2.166666666666667
0.04799863737941505,0.01308939368923525,0.021380950553947984,0.2669166666666667,3.0,3.0
0.058845827397179404,0.008007132834412397,0.022520391678355598,0.3695,3.0,3.0
0.06465462650029126,0.008257029650563137,0.02642966058876495,0.36266666666666675,3.0,3.0
0.06078209376488335,0.011731713464901327,0.028696975042297894,0.12991666666666668,3.0,3.0
0.05690956102947542,0.0054735794741356605,0.028383973217411453,0.5311666666666667,3.0,3.0
0.053037028294067506,0.0,0.031543010689792414,0.6403333333333334,3.5833333333333335,3.5833333333333335
0.053037028294067506,0.0,0.03198527058297543,0.4470833333333333,4.0,4.0
0.05910383046453142,0.000906315323365957,0.02596540984764039,0.04341666666666666,4.0,4.0
0.05970449629094162,0.006610360742121104,0.0258263503041557,0.0,4.0,4.0
0.05583196355553369,0.011231014608218707,0.025339984376570528,0.0,4.0,4.0
0.05195943082012576,0.018935418868403442,0.025257617753172562,0.0,4.0,4.0
0.04808689808471783,0.028049247330321127,0.025656216206106378,0.0,2.25,2.25
0.0442143653493099,0.01914324652686252,0.025172876481104854,0.0,1.0,1.0
0.025964772619787885,0.011883562458793863,0.0230000843960871,0.0,1.0,1.0
0.012700783573191429,0.015086084231270695,0.021034123845185927,0.0,1.0,1.0
0.011465990442911926,0.0,0.04144362942904289,0.0,1.0,1.0
0.008686822189230744,0.0,0.0,0.0,1.0,1.0
0.010424128198546791,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667
0.008495311850007051,0.004647887945218471,0.0002640928841352609,0.0,0.0,0.0
0.01428176089562626,0.003717375065800627,0.008835313365894411,0.0,0.0,0.0
0.02906546714617984,0.0017349075772605147,0.01560668600528829,0.0,0.0,0.0
0.03288664267041741,0.011534621803171245,0.020020658117558245,0.0,0.0,0.0
0.03670578288792219,0.03235053587546008,0.020132629032903585,0.01597222222222222,0.0,0.0
0.042932944919634806,0.029836345016058044,0.02142878519059523,0.08625,1.1666666666666667,1.1666666666666667
0.0485815664690373,0.025916531503099246,0.02187410766379978,0.07458333333333333,2.0,2.0
0.06001168557642392,0.00726684954873611,0.022773186612372615,0.2925,2.0,2.0
0.06582048467953577,0.01681984939319413,0.026779747466085607,0.032499999999999994,2.0,2.0
0.06194795194412787,0.019250698734973405,0.028282774458891182,0.099,2.0,2.0
0.05807541920871993,0.006976841126370029,0.02848621654935798,0.5556666666666666,2.0,2.0
0.05420288647331201,0.0,0.03325207050854571,0.63275,1.4166666666666667,1.4166666666666667
0.05420288647331201,0.0,0.034489235698273515,0.44883333333333325,1.0,1.0
0.06109288406396227,0.0,0.028891596720699693,0.04374999999999999,1.0,1.0
0.06217408255150063,0.0023146898130183015,0.026377236132109207,0.0,1.0,1.0
0.05830154981609269,0.013638262472701597,0.02627922939027524,0.0,1.0,1.0
0.05442901708068477,0.019141238632343103,0.026153553294813395,0.0,1.0,1.0
0.050556484345276834,0.023378868754748,0.026470533354968385,0.0,1.0,1.0
0.04668395160986891,0.015217722158086986,0.02595092700752678,0.0,1.0,1.0
0.025964772619787885,0.01031200901983394,0.023611191223327627,0.0,1.0,1.0
0.012700783573191429,0.010298283123095895,0.022040776981138308,0.0,1.0,1.0
0.011465990442911926,0.0,0.044582524230341,0.0,1.0,1.0
0.008686822189230744,0.0,0.0,0.0,1.0,1.0
0.010424128198546791,0.0,0.0,0.0,1.5833333333333333,1.5833333333333333
0.008495311850007051,0.0041719456629953355,9.882050280213789e-05,0.0,2.0,2.0
0.01428176089562626,0.003932615676096344,0.017285233599889083,0.0,2.0,2.0
0.02906546714617984,0.00048223380350021373,0.020422290749583724,0.0,2.0,2.0
0.03288664267041741,0.007781392485221433,0.021649115735907224,0.0,2.0,2.0
0.03670578288792219,0.022219685179098503,0.02064849916292559,0.020694444444444442,2.0,2.0
0.04289290053120746,0.020700864092909606,0.02165160445927585,0.11175,4.916666666666667,4.916666666666667
0.0485815664690373,0.020006953999204855,0.02203442697234704,0.09525,7.0,7.0
0.06001168557642392,0.0063672893114897185,0.02283135818046593,0.49791666666666673,7.0,7.0
0.06582048467953577,0.02011498744893737,0.02666403175099054,0.7293333333333335,7.0,7.0
0.06194795194412787,0.03457631216689688,0.028230498445377724,0.7450833333333334,7.0,7.0
0.05807541920871993,0.02960264131327792,0.028019523693392858,0.72225,7.0,7.0
0.05420288647331201,0.014396031278278026,0.028391488921894144,0.57,8.75,8.75
0.05420288647331201,0.005768026533615022,0.026232539387007887,0.05658333333333332,10.0,10.0
0.060972750898680234,0.014551366405563199,0.025606508845206915,0.0,10.0,10.0
0.06217408255150063,0.027612643438625583,0.025555227873899685,0.0,10.0,10.0
0.05830154981609269,0.047592187036780344,0.025022606596684264,0.0,10.0,10.0
0.05442901708068477,0.04977053643667952,0.024242815711161516,0.0,10.0,10.0
0.050556484345276834,0.050461154222957695,0.024607419148976406,0.0,7.083333333333332,7.083333333333332
0.04668395160986891,0.0327674297156963,0.024326720124910366,0.0,5.0,5.0
0.025964772619787885,0.022178768818778775,0.022500165435053468,0.0,5.0,5.0
0.012700783573191429,0.01924586621096746,0.021035295222578052,0.0,5.0,5.0
0.011465990442911926,0.0,0.03284376169331336,0.0,5.0,5.0
0.008686822189230744,0.0,0.0,0.0,5.0,5.0
0.010424128198546791,0.0,0.0,0.0,5.0,5.0
0.008495311850007051,0.007760055459287565,0.0005758441344795288,0.0,5.0,5.0
0.01428176089562626,0.006173979067807613,0.0,0.0,5.0,5.0
0.02906546714617984,0.004378205534883533,0.014661294302136202,0.0,5.0,5.0
0.03288664267041741,0.015957689357927254,0.019525774168231036,0.0,5.0,5.0
0.03673247914687376,0.042574632670348306,0.019508426517223638,0.03138888888888889,5.0,5.0
0.04289290053120746,0.03946129476953079,0.0208816396110027,0.2593333333333333,3.25,3.25
0.0485815664690373,0.03489523320568795,0.021523819180945553,0.54625,2.0,2.0
0.06001168557642392,0.013229045305416165,0.02240621838498114,0.7243333333333335,2.0,2.0
0.06582048467953577,0.03210762206886927,0.02624279962755612,0.7496666666666665,2.0,2.0
0.06194795194412787,0.04536820355871209,0.027986548001070748,0.746,2.0,2.0
0.05807541920871993,0.03306009993333457,0.02783559635211048,0.72325,2.0,2.0
0.05420288647331201,0.013386321073730317,0.028251248976900265,0.6598333333333334,4.333333333333333,4.333333333333333
0.05420288647331201,0.0020992307041087952,0.026204939611653964,0.4571666666666667,6.0,6.0
0.06151335014244941,0.009439122946191434,0.025646034828566526,0.04449999999999999,6.0,6.0
0.06217408255150063,0.019425516383015328,0.02566120366342676,0.0,6.0,6.0
0.05830154981609269,0.03566671297179001,0.02518456000470271,0.0,6.0,6.0
0.05442901708068477,0.03890508464271879,0.02513674524502545,0.0,6.0,6.0
0.050556484345276834,0.04206729098821582,0.025616901473327656,0.0,3.6666666666666665,3.6666666666666665
0.04668395160986891,0.028647627163564185,0.025272675110810716,0.0,2.0,2.0
0.025964772619787885,0.019957360921985492,0.02290172896454111,0.0,2.0,2.0
0.012700783573191429,0.017736243063017732,0.02135523085618964,0.0,2.0,2.0
0.011465990442911926,0.0,0.03269545349421927,0.0,2.0,2.0
0.008686822189230744,0.0,0.0,0.0,2.0,2.0
0.010424128198546791,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334
0.008495311850007051,0.005390603288538187,0.0002874804783724027,0.0,0.0,0.0
0.01428176089562626,0.003599297828622403,0.002221297327834931,0.0,0.0,0.0
0.02906546714617984,0.0022254450583615443,0.012939317362931906,0.0,0.0,0.0
0.03288664267041741,0.013409131740712465,0.020704004220020063,0.0,0.0,0.0
0.03673247914687376,0.037614574485951874,0.02021936368546565,0.013194444444444444,0.0,0.0
0.043013033696489504,0.03491999587376938,0.021382563269525534,0.10875,0.5833333333333334,0.5833333333333334
0.0485815664690373,0.030117803187822183,0.021886875279071773,0.2841666666666667,1.0,1.0
0.06001168557642392,0.009518089081353234,0.02272432478678818,0.6278333333333332,1.0,1.0
0.06582048467953577,0.02201474177260096,0.026718492543450947,0.7425833333333335,1.0,1.0
0.06194795194412787,0.029226043004226564,0.02820145924379168,0.7019166666666665,1.0,1.0
0.05807541920871993,0.01934572905116668,0.028245854506664694,0.5248333333333334,1.0,1.0
0.05420288647331201,0.004864663036793019,0.02859992381960584,0.6400833333333333,3.9166666666666665,3.9166666666666665
0.05420288647331201,0.0,0.02921736985540653,0.46108333333333323,6.0,6.0
