Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.011877588153005093,0.0002315293397413356,0.01849311362271943,0.0,1.875,1.875
0.008686822189230744,0.0,0.0,0.0,2.5,2.5
0.010424128198546791,0.0,0.0,0.0,2.2083333333333335,2.2083333333333335
0.008495311850007051,0.010739411504001718,0.0006817197430259265,0.0,2.0,2.0
0.01428176089562626,0.008647599378341338,0.0,0.0,2.0,2.0
0.027783475335404425,0.009653721169277468,2.4335829865105186e-05,0.0,2.0,2.0
0.031687729697372415,0.02789254181543059,0.01712051549782979,0.0,2.0,2.0
0.035755780237715924,0.0829242235913831,0.01902490259782687,0.035833333333333335,2.0,2.0
0.04218983827630317,0.07840338561626045,0.019683774246799065,0.22391666666666668,1.4166666666666667,1.4166666666666667
0.04799863737941505,0.03233122066709278,0.020415193619179418,0.38141666666666674,1.0,1.0
0.058845827397179404,0.028039339276173747,0.02143954374195182,0.39808333333333323,1.0,1.0
0.06465462650029126,0.039137796961747524,0.02509637544000078,0.040749999999999995,1.0,1.0
0.06078209376488335,0.059763073957346834,0.027581387783748246,0.10666666666666669,1.0,1.0
0.05690956102947542,0.05467140690014596,0.027093368546196678,0.5591666666666666,1.0,1.0
0.053037028294067506,0.031338287646585444,0.027276619602339628,0.40958333333333324,1.5833333333333333,1.5833333333333333
0.05383124199787655,0.021165150564750015,0.025083076836785855,0.039583333333333325,2.0,2.0
0.05970449629094162,0.03352293009751026,0.024209894661100035,0.0,2.0,2.0
0.05970449629094162,0.04530551994409237,0.024134863052189922,0.0,2.0,2.0
0.05583196355553369,0.056184187888595756,0.023661975384311112,0.0,2.0,2.0
0.05195943082012576,0.07022188134478313,0.023617101612083073,0.0,2.0,2.0
0.04808689808471783,0.0860111405511439,0.024091458688119325,0.0,1.4166666666666667,1.4166666666666667
0.0442143653493099,0.05651546758552928,0.023606489697072835,0.0,1.0,1.0
0.025964772619787885,0.034756125603146094,0.021425222920020384,0.0,1.0,1.0
0.012700783573191429,0.03861741715661969,0.019435822853169006,0.0,1.0,1.0
0.011465990442911926,0.00023311919797882667,0.018829785269820338,0.0,1.0,1.0
0.008686822189230744,0.0,0.0,0.0,1.0,1.0
0.010424128198546791,0.0,0.0,0.0,1.0,1.0
0.008495311850007051,0.010669841888271142,0.0010505154928278362,0.0,1.0,1.0
0.01428176089562626,0.008172184578019914,0.0,0.0,1.0,1.0
0.02906546714617984,0.008098807627645718,1.1383365977551788e-05,0.0,1.0,1.0
0.03288664267041741,0.02664306010197309,0.01796644749089345,0.0,1.0,1.0
0.036598997852115935,0.06985914510264593,0.019501010103052788,0.017999999999999995,1.0,1.0
0.042772767365925425,0.06603384249920503,0.020570449122492073,0.081,1.0,1.0
0.048661655245892,0.06089338958756901,0.02088971482088742,0.04966666666666666,1.0,1.0
0.06001168557642392,0.02780785482152916,0.021622758833839805,0.231,1.0,1.0
0.06582048467953577,0.05603433787267904,0.025782431643186342,0.2905,1.0,1.0
0.06194795194412787,0.07815164050784244,0.027147231297725793,0.26775000000000004,1.0,1.0
0.05807541920871993,0.06448358485310547,0.027132983000749174,0.027083333333333327,1.0,1.0
0.054683419134440164,0.036340836927776066,0.027629291110314216,0.0,1.5833333333333333,1.5833333333333333
0.05594481736990159,0.0175530458315691,0.025409504138210557,0.0,2.0,2.0
0.06217408255150063,0.02705411641362688,0.024722876115216973,0.0,2.0,2.0
0.06217408255150063,0.04285240699237173,0.02475212186203955,0.0,2.0,2.0
0.05830154981609269,0.06675303001966165,0.024358628132161247,0.0,2.0,2.0
0.05442901708068477,0.06725383360808412,0.02442120193699969,0.0,2.0,2.0
0.050556484345276834,0.06820498086774872,0.024892827036905554,0.0,2.0,2.0
0.04668395160986891,0.04574367948265459,0.02445228900944872,0.0,2.0,2.0
0.025964772619787885,0.031253587573689304,0.0221585348429899,0.0,2.0,2.0
0.012700783573191429,0.026461922311030624,0.020649455153009855,0.0,2.0,2.0
0.011465990442911926,0.0,0.03156409334213643,0.0,2.0,2.0
0.008686822189230744,0.0,0.0,0.0,2.0,2.0
0.010424128198546791,0.0,0.0,0.0,2.0,2.0
0.008495311850007051,0.009421406412343777,0.0008078120584620036,0.0,2.0,2.0
0.01428176089562626,0.0070195537497905755,0.0008976843317312465,0.0,2.0,2.0
0.02906546714617984,0.006072773766800311,0.00015170430506093117,0.0,2.0,2.0
0.03288664267041741,0.02268791137189886,0.023568567047099493,0.0,2.0,2.0
0.036545605334212805,0.06167293867816038,0.02034202091313086,0.026666666666666672,2.0,2.0
0.042772767365925425,0.05829838262310423,0.021129210177451535,0.16616666666666668,2.0,2.0
0.0485815664690373,0.05366185985904453,0.021445726056849142,0.2809166666666667,2.0,2.0
0.06001168557642392,0.025249904324264327,0.022102840934812296,0.29233333333333333,2.0,2.0
0.06582048467953577,0.058022273815275034,0.025786110032598838,0.10941666666666665,2.0,2.0
0.06194795194412787,0.08456350744459136,0.027256094585027462,0.4475833333333333,2.0,2.0
0.05807541920871993,0.06968205620010376,0.027379866286923966,0.5245,2.0,2.0
0.05420288647331201,0.036605535838391365,0.02774637185326477,0.40716666666666673,2.0,2.0
0.055464284708773424,0.01658604987297099,0.025719014323222565,0.040249999999999994,2.0,2.0
0.06217408255150063,0.026688456091629127,0.025000170755786325,0.0,2.0,2.0
0.06217408255150063,0.044953357413518504,0.025001741171097037,0.0,2.0,2.0
0.05830154981609269,0.07475522655561653,0.02457359099882965,0.0,2.0,2.0
0.05442901708068477,0.08045950763379853,0.02385344498622898,0.0,2.0,2.0
0.050556484345276834,0.08586391103874123,0.024096604303828255,0.0,2.5833333333333335,2.5833333333333335
0.04668395160986891,0.05934711093358729,0.023663398850723456,0.0,3.0,3.0
0.025964772619787885,0.04051926333148331,0.02180751669198159,0.0,3.0,3.0
0.012700783573191429,0.03296608853681418,0.020342315514490172,0.0,3.0,3.0
0.011465990442911926,0.0,0.021911467116816817,0.0,3.0,3.0
0.008686822189230744,0.0,0.0,0.0,3.0,3.0
0.010424128198546791,0.0,0.0,0.0,3.0,3.0
0.008495311850007051,0.010366389531203016,0.0010307026005295923,0.0,3.0,3.0
0.01428176089562626,0.008185712962867466,0.0,0.0,3.0,3.0
0.02906546714617984,0.0074959115522936935,3.495796736092195e-05,0.0,3.0,3.0
0.03288664267041741,0.02527858275477221,0.017710818901090577,0.0,3.0,3.0
0.036518909075261244,0.06757133461741155,0.0194959223642232,0.04416666666666666,3.0,3.0
0.042772767365925425,0.06384566460995655,0.020593768981596986,0.2940833333333333,3.0,3.0
0.0485815664690373,0.0587182180760627,0.020976134480858062,0.54925,3.0,3.0
0.06001168557642392,0.027236804615922677,0.021740573758049195,0.6090833333333334,3.0,3.0
0.06582048467953577,0.061310280264095816,0.02565762512048332,0.7040833333333335,3.0,3.0
0.06194795194412787,0.0895774657951387,0.027073238885798982,0.5840833333333334,3.0,3.0
0.05807541920871993,0.07582772375774584,0.027067359006569716,0.1395833333333333,3.0,3.0
0.05420288647331201,0.04170961595503344,0.027460905808677095,0.366,3.5833333333333335,3.5833333333333335
0.055764617621978534,0.020936723655691773,0.025168859960969178,0.040666666666666657,4.0,4.0
0.06217408255150063,0.03254415974597779,0.02458083706006334,0.0,4.0,4.0
0.06217408255150063,0.05222188232551171,0.024534816503620906,0.0,4.0,4.0
0.05830154981609269,0.08237124252693133,0.0240975494500759,0.0,4.0,4.0
0.05442901708068477,0.08447593608513451,0.024107914786258202,0.0,4.0,4.0
0.050556484345276834,0.08659595423561398,0.024540071826012325,0.0,4.0,4.0
0.04668395160986891,0.05838258530564873,0.02406584084438975,0.0,4.0,4.0
0.025964772619787885,0.03969180306253851,0.021739643380618134,0.0,4.0,4.0
0.012700783573191429,0.03251544409570656,0.020230695817532146,0.0,4.0,4.0
0.011465990442911926,0.0,0.021860487485152746,0.0,4.0,4.0
0.008686822189230744,0.0,0.0,0.0,4.0,4.0
0.010424128198546791,0.0,0.0,0.0,2.8333333333333335,2.8333333333333335
0.008495311850007051,0.009900744557538466,0.0010041964385093124,0.0,2.0,2.0
0.01428176089562626,0.007619691810863368,0.0,0.0,2.0,2.0
0.02906546714617984,0.007129354736876384,2.2813055747689068e-05,0.0,2.0,2.0
0.03288664267041741,0.02428574318525989,0.017801959887549935,0.0,2.0,2.0
0.036572301593164366,0.06466480512971758,0.019607308659904732,0.0235,2.0,2.0
0.042772767365925425,0.05730532725363429,0.020611810945241015,0.10575,2.5833333333333335,2.5833333333333335
0.04862161085746465,0.04693853061252518,0.021082051302898953,0.06358333333333333,3.0,3.0
0.06001168557642392,0.018625507608293783,0.02184979657376617,0.23325,3.0,3.0
0.06582048467953577,0.041600414483755135,0.02560589287302457,0.02591666666666666,3.0,3.0
0.06194795194412787,0.06390926553492456,0.027379356883164147,0.07699999999999999,3.0,3.0
0.05807541920871993,0.05627507676822535,0.02734061897306207,0.3465,3.0,3.0
0.05444315280387609,0.03480554438256704,0.027819267786547863,0.03849999999999999,2.416666666666667,2.416666666666667
0.055464284708773424,0.0173699792772873,0.02558782658443948,0.0,2.0,2.0
0.06217408255150063,0.027946854563473608,0.02496207434231034,0.0,2.0,2.0
0.06217408255150063,0.04591650134870897,0.02491853598360439,0.0,2.0,2.0
0.05830154981609269,0.07518884025806548,0.02444394691844087,0.0,2.0,2.0
0.05442901708068477,0.08026842512214931,0.02443387848613056,0.0,2.0,2.0
0.050556484345276834,0.08556286257695418,0.024866764619525986,0.0,1.4166666666666667,1.4166666666666667
0.04668395160986891,0.059755366650100755,0.024399028549689686,0.0,1.0,1.0
0.025964772619787885,0.04163964630627026,0.022035465091801505,0.0,1.0,1.0
0.012700783573191429,0.034552125647958724,0.020509366897621402,0.0,1.0,1.0
0.011465990442911926,0.0004046709044122452,0.019717181187387734,0.0,1.0,1.0
0.008686822189230744,0.0,0.0,0.0,1.0,1.0
0.010424128198546791,0.0,0.0,0.0,1.5833333333333333,1.5833333333333333
0.008495311850007051,0.010320771647259341,0.0010124782356054855,0.0,2.0,2.0
0.01428176089562626,0.008501943409038185,0.0,0.0,2.0,2.0
0.02906546714617984,0.007374387927406583,3.5507144214514704e-05,0.0,2.0,2.0
0.03288664267041741,0.02408952843207475,0.01989378161721339,0.0,2.0,2.0
0.036572301593164366,0.06293068426425916,0.020363259340164464,0.026,2.0,2.0
0.042772767365925425,0.056858949484258604,0.021123661434324432,0.117,2.0,2.0
0.0485815664690373,0.04978454036488166,0.02141600555467273,0.06966666666666665,2.0,2.0
0.06001168557642392,0.0214327880710645,0.022135982596338248,0.3215,2.0,2.0
0.06582048467953577,0.0480462217665522,0.026068851771829764,0.40225,2.0,2.0
0.06194795194412787,0.07467537034540515,0.027501008582198096,0.36925,2.0,2.0
0.05807541920871993,0.06804218819497701,0.027572904440662134,0.03733333333333333,2.0,2.0
0.054383086221235076,0.041595437684126914,0.02786458241074367,0.0,3.166666666666667,3.166666666666667
0.055584417874055464,0.02190361684002937,0.025530477138414786,0.0,4.0,4.0
0.06217408255150063,0.03447235923303914,0.024757115092335323,0.0,4.0,4.0
0.06217408255150063,0.05577342042255941,0.024665953530561707,0.0,4.0,4.0
0.05830154981609269,0.08876821269166771,0.024176331077199464,0.0,4.0,4.0
0.05442901708068477,0.09226213266428457,0.02347493029292145,0.0,4.0,4.0
0.050556484345276834,0.09553654799642129,0.02383775884969187,0.0,2.8333333333333335,2.8333333333333335
0.04668395160986891,0.06547763209555983,0.02351883553764086,0.0,2.0,2.0
0.025964772619787885,0.04513385001946515,0.02167464774237182,0.0,2.0,2.0
0.012700783573191429,0.03711288116814171,0.02022573955073213,0.0,2.0,2.0
0.011877588153005093,0.0002779017380793766,0.019217172703047212,0.0,2.0,2.0
0.008686822189230744,0.0,0.0,0.0,2.0,2.0
0.010424128198546791,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334
0.008495311850007051,0.01019104326998287,0.0010048585874253618,0.0,0.0,0.0
0.01428176089562626,0.00793735000581771,0.0,0.0,0.0,0.0
0.027783475335404425,0.00910146871162473,0.0,0.0,0.0,0.0
0.031687729697372415,0.029029682443500692,0.017537742435612565,0.0,0.0,0.0
0.0357758024319296,0.08887331995105846,0.01937475030495301,0.03,0.0,0.0
0.042772767365925425,0.08479929395285128,0.019985744902137902,0.1855,0.5833333333333334,0.5833333333333334
0.0485815664690373,0.06517994170689907,0.020711543688536973,0.24225,1.0,1.0
0.059428756486801654,0.03276523089023592,0.02160969002461467,0.025249999999999988,1.0,1.0
0.06523755558991352,0.05477995975689195,0.02526907959391759,0.0,1.0,1.0
0.0613650228545056,0.06382187457003247,0.02762754566924967,0.0,1.0,1.0
0.057492490119097676,0.05977119323013584,0.027218359973558898,0.08366666666666665,1.0,1.0
0.053619957383689756,0.04624561861177481,0.027311574402896964,0.3765,2.166666666666667,2.166666666666667
0.054420845152236684,0.03459780691533048,0.025229219231750755,0.04183333333333332,3.0,3.0
0.06135088713131429,0.03520019962816722,0.02430095369934489,0.0,3.0,3.0
0.06217408255150063,0.03684251349355819,0.024315255283589982,0.0,3.0,3.0
0.05830154981609269,0.08530590664325646,0.0239494731480185,0.0,3.0,3.0
0.05442901708068477,0.11333628773959423,0.02398517921496172,0.0,3.0,3.0
0.050556484345276834,0.09613369005418322,0.02444173752178781,0.0,1.25,1.25
0.04668395160986891,0.08708580172059144,0.0242196768088604,0.0,0.0,0.0
0.025964772619787885,0.07987051245867284,0.02189285371990314,0.0,0.0,0.0
0.012700783573191429,0.05596103130292295,0.019743321380415176,0.0,0.0,0.0
0.011877588153005093,0.00023507541002529994,0.019015791954906967,0.0,0.0,0.0
0.008686822189230744,0.0,0.0,0.0,0.0,0.0
0.010424128198546791,0.0,0.0,0.0,0.0,0.0
0.008495311850007051,0.010200971856794819,0.0010183795615271694,0.0,0.0,0.0
0.01428176089562626,0.007685982846738732,0.0,0.0,0.0,0.0
0.027783475335404425,0.009654405353911405,0.0,0.0,0.0,0.0
0.031687729697372415,0.030364151376790518,0.017401482259970964,0.0,0.0,0.0
0.03579582462614328,0.09226000244574371,0.019248964830157103,0.030833333333333327,0.0,0.0
0.04218983827630317,0.08739991469631135,0.01985231276337754,0.25425,0.0,0.0
0.04799863737941505,0.03468400228814228,0.02050405916288299,0.6548333333333334,0.0,0.0
0.058845827397179404,0.029005996178432865,0.021526533304315986,0.7164166666666665,0.0,0.0
0.06465462650029126,0.03793288859667357,0.025475091637825215,0.68675,0.0,0.0
0.06078209376488335,0.05687574570573957,0.027669893548588297,0.5441666666666666,0.0,0.0
0.05690956102947542,0.0513206528026737,0.027322785559781692,0.5610833333333334,0.0,0.0
0.053037028294067506,0.028939046271956412,0.027270742127754714,0.4284166666666667,2.3333333333333335,2.3333333333333335
0.05420498962319844,0.020214914513738393,0.025033075670823288,0.042249999999999996,4.0,4.0
0.05970449629094162,0.032181363834095734,0.024124318592927282,0.0,4.0,4.0
0.05970449629094162,0.04359788547171243,0.024020128227130462,0.0,4.0,4.0
0.05583196355553369,0.05390540266393123,0.023524788316428458,0.0,4.0,4.0
0.05195943082012576,0.06725384858572749,0.023529146771849332,0.0,4.0,4.0
0.04808689808471783,0.08183301137238322,0.02403913930283679,0.0,2.8333333333333335,2.8333333333333335
0.0442143653493099,0.05311334287050452,0.023593820160110766,0.0,2.0,2.0
0.025964772619787885,0.032306040539027886,0.02142245778796177,0.0,2.0,2.0
0.012700783573191429,0.03568780341869969,0.01944238349712616,0.0,2.0,2.0
0.011465990442911926,0.00022960201459592232,0.01927856014364873,0.0,2.0,2.0
0.008686822189230744,0.0,0.0,0.0,2.0,2.0
0.010424128198546791,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334
0.008495311850007051,0.009156326675980887,0.0009683914127498779,0.0,0.0,0.0
0.01428176089562626,0.006988399730756588,0.0,0.0,0.0,0.0
0.02906546714617984,0.0064251382979025815,1.2841615498885469e-05,0.0,0.0,0.0
0.03288664267041741,0.024491746137774398,0.017962667029237142,0.0,0.0,0.0
0.036385427780503424,0.06532861069523634,0.0197632713727677,0.06499999999999999,0.0,0.0
0.042772767365925425,0.059978348392284504,0.02091991518599596,0.2925,0.0,0.0
0.0485815664690373,0.05590726968454543,0.021266259691232282,0.032499999999999994,0.0,0.0
0.06001168557642392,0.026095374587106583,0.02199794713671192,0.0,0.0,0.0
0.06582048467953577,0.05353324038361938,0.02592887779313698,0.1175,0.0,0.0
0.06194795194412787,0.07345668070941823,0.027132609199033157,0.52875,0.0,0.0
0.05807541920871993,0.06106543569241424,0.027468657144451188,0.058749999999999976,0.0,0.0
0.05420288647331201,0.03465912977013403,0.027929461975415685,0.0,1.75,1.75
0.05522401837820935,0.01682011563632054,0.025574528370475233,0.0,3.0,3.0
0.06217408255150063,0.027144402175760435,0.024940930802552018,0.0,3.0,3.0
0.06217408255150063,0.04450601567739364,0.024909848851329082,0.0,3.0,3.0
0.05830154981609269,0.07237742260201317,0.024451330369062923,0.0,3.0,3.0
0.05442901708068477,0.07627334642768004,0.024421740675569688,0.0,3.0,3.0
0.050556484345276834,0.08003148655852867,0.02485510027624671,0.0,2.416666666666667,2.416666666666667
0.04668395160986891,0.054738116229622755,0.02439861396733159,0.0,2.0,2.0
0.025964772619787885,0.03743362474587506,0.0220689182788942,0.0,2.0,2.0
0.012700783573191429,0.030882848943440445,0.02055344609554172,0.0,2.0,2.0
0.011465990442911926,0.0,0.025090550776634,0.0,2.0,2.0
0.008686822189230744,0.0,0.0,0.0,2.0,2.0
0.010424128198546791,0.0,0.0,0.0,2.0,2.0
0.008495311850007051,0.00952193638984664,0.000976902144704691,0.0,2.0,2.0
0.01428176089562626,0.007983075298922006,0.0001235763161230518,0.0,2.0,2.0
0.02906546714617984,0.0068241226209755125,2.708363427159393e-05,0.0,2.0,2.0
0.03288664267041741,0.024035234051137527,0.023417243183620984,0.0,2.0,2.0
0.036598997852115935,0.0654381563338243,0.020287897550697747,0.019166666666666665,2.0,2.0
0.042772767365925425,0.06209437724250541,0.021109257281358602,0.08625,1.4166666666666667,1.4166666666666667
0.04870169963431934,0.057825183031528435,0.021384667541902866,0.00958333333333333,1.0,1.0
0.06001168557642392,0.027703553176471607,0.022066933716461106,0.0465,1.0,1.0
