Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.011877588153005093,0.0,0.026853151389360414,0.0,1.875,1.875
0.008686822189230744,0.0,0.0,0.0,2.5,2.5
0.010424128198546791,0.0,0.0,0.0,1.0416666666666667,1.0416666666666667
0.008495311850007051,9.147702407187648e-05,0.00606101639948759,0.0,0.0,0.0
0.01428176089562626,0.0,0.012861969230625004,0.0,0.0,0.0
0.027783475335404425,0.0,0.02081173082615809,0.0,0.0,0.0
0.031687729697372415,0.0011252788670521197,0.019240894128837616,0.0,0.0,0.0
0.03573575804350226,0.006144806527092245,0.0202817128084025,0.032,0.0,0.0
0.04218983827630317,0.003404591448295095,0.02063134378435203,0.144,0.0,0.0
0.04799863737941505,0.0,0.02364946868741189,0.015999999999999993,0.0,0.0
0.058845827397179404,0.0,0.026907615860708223,0.07833333333333332,0.0,0.0
0.06465462650029126,0.0,0.03886013696619585,0.44016666666666676,0.0,0.0
0.06078209376488335,0.0,0.04375120978128173,0.5286666666666666,0.0,0.0
0.05690956102947542,0.0,0.04375314562448875,0.47133333333333327,0.0,0.0
0.053037028294067506,0.0,0.04101686196148334,0.16149999999999998,0.0,0.0
0.053037028294067506,0.0,0.042181685343005426,0.5921666666666666,0.0,0.0
0.05826289830755715,0.0,0.04414182047120312,0.41325,0.0,0.0
0.059344096795095495,0.0,0.042853432006067005,0.039583333333333325,0.0,0.0
0.05583196355553369,0.0,0.041639174422185274,0.0,0.0,0.0
0.05195943082012576,0.0,0.04321884323980023,0.0,0.0,0.0
0.04808689808471783,0.0,0.044051236111542116,0.0,0.5833333333333334,0.5833333333333334
0.0442143653493099,0.0,0.03820093081183374,0.0,1.0,1.0
0.025964772619787885,0.0,0.02649602158625222,0.0,1.0,1.0
0.012700783573191429,0.0,0.0202450798352157,0.0,1.0,1.0
0.011465990442911926,0.0,0.024442460410588035,0.0,1.0,1.0
0.008686822189230744,0.0,0.0,0.0,1.0,1.0
0.010424128198546791,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667
0.008495311850007051,9.949247367514205e-05,0.007926402237786751,0.0,0.0,0.0
0.01428176089562626,0.0,0.010379979187172076,0.0,0.0,0.0
0.02906546714617984,0.0,0.02088426794234948,0.0,0.0,0.0
0.03288664267041741,0.0,0.019395652945624422,0.0,0.0,0.0
0.036385427780503424,0.0,0.018515046458982578,0.050499999999999996,0.0,0.0
0.042772767365925425,0.0,0.023102774139780916,0.3090833333333333,0.0,0.0
0.0485815664690373,0.0,0.029120425335449302,0.495,0.0,0.0
0.06001168557642392,0.0,0.0367916422889325,0.49766666666666676,0.0,0.0
0.06582048467953577,0.0,0.04287675270621036,0.050749999999999976,0.0,0.0
0.06194795194412787,0.0,0.04518668760940494,0.0,0.0,0.0
0.05807541920871993,0.0,0.04426718091374042,0.0,0.0,0.0
0.05420288647331201,0.0,0.04175761591252864,0.0,0.0,0.0
0.05420288647331201,0.0,0.037769362241236344,0.0,0.0,0.0
0.060071752159064934,0.0,0.03851801675933604,0.0,0.0,0.0
0.061873749638295526,0.0,0.04149145463427015,0.0,0.0,0.0
0.05830154981609269,0.0,0.04351207831759547,0.0,0.0,0.0
0.05442901708068477,0.0,0.044350529727268585,0.0,0.0,0.0
0.050556484345276834,0.0,0.04490267620073763,0.0,0.5833333333333334,0.5833333333333334
0.04668395160986891,0.0,0.04172266905369104,0.0,1.0,1.0
0.025964772619787885,0.0,0.02901718173180799,0.0,1.0,1.0
0.012700783573191429,0.0,0.022002231688046412,0.0,1.0,1.0
0.011465990442911926,0.0,0.0260664385104288,0.0,1.0,1.0
0.008686822189230744,0.0,0.0,0.0,1.0,1.0
0.010424128198546791,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667
0.008495311850007051,0.00010095982748407138,0.009072419812855918,0.0,0.0,0.0
0.01428176089562626,0.0,0.017426500637990762,0.0,0.0,0.0
0.02906546714617984,0.0,0.024963622823986266,0.0,0.0,0.0
0.03288664267041741,0.0,0.02170721314724838,0.0,0.0,0.0
0.036385427780503424,0.0038949555457362998,0.020764350059856326,0.05399999999999999,0.0,0.0
0.042772767365925425,0.0007012112024239028,0.021617712208070034,0.243,0.0,0.0
0.0485815664690373,0.0,0.022304665459291058,0.02699999999999999,0.0,0.0
0.06001168557642392,0.0,0.02774015865284031,0.0,0.0,0.0
0.06582048467953577,0.0,0.03423692898416472,0.0,0.0,0.0
0.06194795194412787,0.0,0.03942578524671713,0.0,0.0,0.0
0.05807541920871993,0.0,0.04239777510968838,0.0,0.0,0.0
0.05420288647331201,0.0,0.04174328765102901,0.116,0.5833333333333334,0.5833333333333334
0.05420288647331201,0.0,0.039430589970038045,0.522,1.0,1.0
0.06019188532434698,0.0,0.03874506867519817,0.05799999999999998,1.0,1.0
0.061873749638295526,0.0,0.04144257409606636,0.0,1.0,1.0
0.05830154981609269,0.0,0.0435080524967342,0.0,1.0,1.0
0.05442901708068477,0.0,0.04267962017428576,0.0,1.0,1.0
0.050556484345276834,0.0,0.04364872707560263,0.0,0.4166666666666667,0.4166666666666667
0.04668395160986891,0.0,0.040157342235913156,0.0,0.0,0.0
0.025964772619787885,0.0,0.02919765911260998,0.0,0.0,0.0
0.012700783573191429,0.0,0.022105544601389547,0.0,0.0,0.0
0.011465990442911926,0.0,0.025253261273379818,0.0,0.0,0.0
0.008686822189230744,0.0,0.0,0.0,0.0,0.0
0.010424128198546791,0.0,0.0,0.0,0.0,0.0
0.008495311850007051,0.00010650006777658911,0.011937255948742651,0.0,0.0,0.0
0.01428176089562626,0.0,0.011676912313403561,0.0,0.0,0.0
0.02906546714617984,0.0,0.022525337160111507,0.0,0.0,0.0
0.03288664267041741,0.0,0.019878882524006183,0.0,0.0,0.0
0.036385427780503424,0.002475436932446903,0.01949499061180309,0.041333333333333326,0.0,0.0
0.042772767365925425,0.00018350705852425515,0.020654368332609228,0.186,0.5833333333333334,0.5833333333333334
0.0485815664690373,0.0,0.022293708224869445,0.02066666666666666,1.0,1.0
0.06001168557642392,0.0,0.02795074546746937,0.0,1.0,1.0
0.06582048467953577,0.0,0.038362253896089854,0.0,1.0,1.0
0.06194795194412787,0.0,0.04293149015959343,0.0,1.0,1.0
0.05807541920871993,0.0,0.04290737566924821,0.12616666666666668,1.0,1.0
0.05420288647331201,0.0,0.04456051406935615,0.6839166666666666,1.0,1.0
0.05420288647331201,0.0,0.04385758955418306,0.5858333333333333,1.0,1.0
0.060071752159064934,0.0,0.04354828131747212,0.05808333333333332,1.0,1.0
0.061753616473013494,0.0,0.04670390933141959,0.0,1.0,1.0
0.05830154981609269,0.0,0.04725869677412173,0.0,1.0,1.0
0.05442901708068477,0.0,0.04344782804637154,0.0,1.0,1.0
0.050556484345276834,0.0,0.044036109336187346,0.0,0.4166666666666667,0.4166666666666667
0.04668395160986891,0.0,0.041670605261744376,0.0,0.0,0.0
0.025964772619787885,0.0,0.0318829936017321,0.0,0.0,0.0
0.012700783573191429,0.0,0.024616653426493294,0.0,0.0,0.0
0.011465990442911926,0.0,0.015364193047643778,0.0,0.0,0.0
0.008686822189230744,0.0,0.0,0.0,0.0,0.0
0.010424128198546791,0.0,0.0,0.0,1.1666666666666667,1.1666666666666667
0.008495311850007051,0.00011368250868774888,0.0076682081895957065,0.0,2.0,2.0
0.01428176089562626,0.0,0.00728738771087493,0.0,2.0,2.0
0.02906546714617984,0.0,0.018419854533687486,0.0,2.0,2.0
0.03288664267041741,0.0,0.021009116020121135,0.0,2.0,2.0
0.036492212816309676,0.0,0.02424735675504372,0.03383333333333333,2.0,2.0
0.042772767365925425,0.0,0.029800785731883588,0.27125,0.8333333333333334,0.8333333333333334
0.0485815664690373,0.0,0.03365984602171587,0.6830833333333334,0.0,0.0
0.06001168557642392,0.0,0.03821796210353211,0.7285,0.0,0.0
0.06582048467953577,0.0,0.044518538677275316,0.42983333333333323,0.0,0.0
0.06194795194412787,0.0,0.04963671746383865,0.040499999999999994,0.0,0.0
0.05807541920871993,0.0,0.05252876148101443,0.0,0.0,0.0
0.05420288647331201,0.0,0.04972999127691171,0.0,0.5833333333333334,0.5833333333333334
0.05420288647331201,0.0,0.04410977275350806,0.0,1.0,1.0
0.06001168557642392,0.0,0.0458797771946897,0.0,1.0,1.0
0.06181368305565452,0.0,0.050101741032034616,0.0,1.0,1.0
0.05830154981609269,0.0,0.051235020232554024,0.0,1.0,1.0
0.05442901708068477,0.0,0.04556354223729109,0.0,1.0,1.0
0.050556484345276834,0.0,0.04356730716989222,0.0,0.4166666666666667,0.4166666666666667
0.04668395160986891,0.0,0.04069245615895872,0.0,0.0,0.0
0.025964772619787885,0.0,0.03142804006261669,0.0,0.0,0.0
0.012700783573191429,0.0,0.024909405456599917,0.0,0.0,0.0
0.011465990442911926,0.0,0.016568797719029568,0.0,0.0,0.0
0.008686822189230744,0.0,0.0,0.0,0.0,0.0
0.010424128198546791,0.0,0.0,0.0,0.0,0.0
0.008495311850007051,0.0,0.011053824433277985,0.0,0.0,0.0
0.01428176089562626,0.0,0.01291985080234186,0.0,0.0,0.0
0.02906546714617984,0.0,0.02712359423974414,0.0,0.0,0.0
0.03288664267041741,0.0,0.024889507369890564,0.0,0.0,0.0
0.03675917540582532,0.0,0.024390109025740934,0.0,0.0,0.0
