Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.011877588153005093,0.0,0.040156545981225346,0.0,0.8333333333333334,0.8333333333333334
0.008686822189230744,0.0,0.0,0.0,1.1666666666666667,1.1666666666666667
0.010424128198546791,0.0,0.0,0.0,2.5833333333333335,2.5833333333333335
0.008495311850007051,0.005497437792465432,0.0,0.0,4.75,4.75
0.01428176089562626,0.003188069605921537,0.0,0.0,4.833333333333333,4.833333333333333
0.027783475335404425,0.0016276910097922455,0.00397561048092191,0.0,4.0,4.0
0.031687729697372415,0.006998131346257719,0.021248361868466178,0.0,2.25,2.25
0.03593597998563899,0.022053341331560068,0.02023707640871096,0.00425,0.4166666666666667,0.4166666666666667
0.04302409636853955,0.022486031174552203,0.020877892816589787,0.03825,0.5833333333333334,0.5833333333333334
0.048799525147961986,0.008654903033537947,0.02144658802267814,0.0042499999999999994,1.5833333333333333,1.5833333333333333
0.058892545850344646,0.005695576744644648,0.02238387203496378,0.03849999999999999,2.0,2.0
0.06465462650029126,0.005276933121774693,0.0264019481288133,0.2574166666666667,2.5833333333333335,2.5833333333333335
0.06078209376488335,0.008647787550233986,0.028245757720799753,0.5251666666666667,3.0,3.0
0.05690956102947542,0.005652640305594049,0.027800493899909816,0.7373333333333335,3.0,3.0
0.053037028294067506,0.0,0.029746892301536286,0.7299166666666665,2.416666666666667,2.416666666666667
0.053037028294067506,0.0,0.031198222911936684,0.6482500000000001,3.166666666666667,3.166666666666667
0.05826289830755715,0.00014079217784462397,0.025844940626467874,0.41191666666666676,3.416666666666667,3.416666666666667
0.05942418557195021,0.005605450450481068,0.02538657526997631,0.03949999999999999,3.0,3.0
0.05583196355553369,0.01062568111867479,0.024906638071643204,0.0,3.0,3.0
0.05195943082012576,0.018626068103398754,0.02479652411514078,0.0,3.0,3.0
0.04808689808471783,0.02658520936001818,0.02514991061849841,0.0,2.416666666666667,2.416666666666667
0.0442143653493099,0.01747142973325363,0.024605853119270438,0.0,2.0,2.0
0.025964772619787885,0.010764012375542756,0.022472874301897868,0.0,2.0,2.0
0.012700783573191429,0.01417304570169747,0.020589467769111428,0.0,2.0,2.0
0.011465990442911926,0.0,0.03582232684830531,0.0,2.0,2.0
0.008686822189230744,0.0,0.0,0.0,2.0,2.0
0.010424128198546791,0.0,0.0,0.0,1.4166666666666667,1.4166666666666667
0.008495311850007051,0.004696549921635571,0.00023740703242691797,0.0,0.4166666666666667,0.4166666666666667
0.01428176089562626,0.003811375585419123,0.006247793804144895,0.0,1.1666666666666667,1.1666666666666667
0.02906546714617984,0.0017060886118118702,0.012587699418006713,0.0,0.8333333333333334,0.8333333333333334
0.03288664267041741,0.010525315261158978,0.02008730984090005,0.0,0.0,0.0
0.03675917540582532,0.030061387603630512,0.01985437345929086,0.0016666666666666668,0.5833333333333334,0.5833333333333334
0.04397409901874582,0.028478232017669997,0.021056821278913757,0.0155,1.0,1.0
